,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,21187982.13,2018-12-13T10:14:57,27306140.6,2018-12-03,GHS,2730614060.0,GHS03122018,1754,15547.72,0.0,1.367759,TRMOSKWWWWW0,9032163.0,21129432.86,15448212.0
1,21063958.26,2018-12-14T10:14:56,27306140.6,2018-12-04,GHS,2730614060.0,GHS04122018,1754,12930.38,0.0,1.365386,TRMOSKWWWWW0,9057713.0,21076254.18,15436112.0
2,20956353.9,2018-12-15T10:14:55,27306140.6,2018-12-05,GHS,2730614060.0,GHS05122018,1752,12059.55,0.0,1.343127,TRMOSKWWWWW0,9082241.0,20711666.43,15420478.0
3,20719855.62,2018-12-16T10:14:54,27306140.6,2018-12-06,GHS,2730614060.0,GHS06122018,1743,13502.09,0.0,1.340707,TRMOSKWWWWW0,9090417.0,20459023.7,15259880.0
4,20301279.08,2018-12-17T10:14:59,27306140.6,2018-12-07,GHS,2730614060.0,GHS07122018,1740,10046.57,0.0,1.32587,TRMOSKWWWWW0,9098593.0,19937470.92,15037280.0
5,20175627.01,2018-12-20T10:14:57,27306140.6,2018-12-10,GHS,2730614060.0,GHS10122018,1735,10866.57,0.0,1.341163,TRMOSKWWWWW0,9170133.0,19882406.8,14824749.0
6,19794886.57,2018-12-21T10:14:56,27306140.6,2018-12-11,GHS,2730614060.0,GHS11122018,1733,10424.01,0.0,1.327876,TRMOSKWWWWW0,9194661.0,19755545.56,14877549.0
7,19794161.86,2018-12-22T10:14:55,27306140.6,2018-12-12,GHS,2730614060.0,GHS12122018,1732,13874.8,0.0,1.327031,TRMOSKWWWWW0,9219189.0,19742725.92,14877368.0
8,19503672.43,2018-12-23T10:14:54,27306140.6,2018-12-13,GHS,2730614060.0,GHS13122018,1729,11028.25,0.0,1.304954,TRMOSKWWWWW0,9227365.0,19293729.29,14784989.0
9,19557486.48,2018-12-24T10:14:53,27306140.6,2018-12-14,GHS,2730614060.0,GHS14122018,1726,13781.85,0.0,1.321486,TRMOSKWWWWW0,9235542.0,19537237.98,14784296.0
10,19401867.65,2018-12-27T10:14:57,27306140.6,2018-12-17,GHS,2730614060.0,GHS17122018,1730,10510.98,0.0,1.302888,TRMOSKWWWWW0,9307081.0,19370473.33,14867336.0
11,18758692.12,2018-12-28T10:14:59,27306140.6,2018-12-18,GHS,2730614060.0,GHS18122018,1727,11951.51,0.0,1.294769,TRMOSKWWWWW0,9332527.0,19254074.48,14870659.0
12,18957797.52,2018-12-29T10:14:58,27306140.6,2018-12-19,GHS,2730614060.0,GHS19122018,1728,10192.97,0.0,1.307449,TRMOSKWWWWW0,9357055.0,18893410.51,14450595.0
13,19139250.32,2018-12-30T10:14:58,27306140.6,2018-12-20,GHS,2730614060.0,GHS20122018,1723,10922.02,0.0,1.327991,TRMOSKWWWWW0,9365231.0,19179362.16,14442387.0
14,19012516.63,2018-12-31T10:15:00,27306140.6,2018-12-21,GHS,2730614060.0,GHS21122018,1721,10276.75,0.0,1.316819,TRMOSKWWWWW0,9373407.0,19050010.17,14466692.0
15,19104593.39,2019-01-03T10:14:57,27306140.6,2018-12-24,GHS,2730614060.0,GHS24122018,1717,10310.24,0.0,1.317813,TRMOSKWWWWW0,9425529.0,19044196.24,14451369.0
16,19054091.31,2019-01-04T10:14:57,27306140.6,2018-12-25,GHS,2730614060.0,GHS25122018,1716,10719.08,0.0,1.315434,TRMOSKWWWWW0,9450057.0,18964314.84,14416777.0
17,18869816.05,2019-01-05T10:14:56,27306140.6,2018-12-26,GHS,2730614060.0,GHS26122018,1714,11882.65,0.0,1.305349,TRMOSKWWWWW0,9473563.0,18782257.63,14388685.0
18,18887375.33,2019-01-06T10:14:55,27306140.6,2018-12-27,GHS,2730614060.0,GHS27122018,1713,10997.69,0.0,1.307226,TRMOSKWWWWW0,9480717.0,18640441.38,14259540.0
19,18624607.27,2019-01-07T10:15:00,27306140.6,2018-12-28,GHS,2730614060.0,GHS28122018,1704,10721.75,0.0,1.30254,TRMOSKWWWWW0,9487871.0,18516470.01,14215664.0
20,18603745.74,2019-01-10T10:14:57,27306140.6,2018-12-31,GHS,2730614060.0,GHS31122018,1699,10901.54,0.0,1.300033,TRMOSKWWWWW0,9556345.0,18439500.35,14183870.0
21,18687094.85,2019-01-12T10:14:58,27306140.6,2019-01-02,GHS,2730614060.0,GHS02012019,1690,10143.9,0.0,1.313633,TRMOSKWWWWW0,9604275.0,18600006.82,14159208.0
22,18199570.9,2019-01-13T10:14:57,27306140.6,2019-01-03,GHS,2730614060.0,GHS03012019,1688,10721.49,0.0,1.273759,TRMOSKWWWWW0,9612451.0,18192972.79,14282895.0
23,18083910.48,2019-01-14T10:14:59,27306140.6,2019-01-04,GHS,2730614060.0,GHS04012019,1689,10210.97,0.0,1.253335,TRMOSKWWWWW0,9620627.0,17900534.27,14282318.0
24,18437691.11,2019-01-17T10:14:57,27306140.6,2019-01-07,GHS,2730614060.0,GHS07012019,1692,10146.22,0.0,1.282746,TRMOSKWWWWW0,9692167.0,18184756.95,14176433.0
25,18246763.7,2019-01-18T10:14:56,27306140.6,2019-01-08,GHS,2730614060.0,GHS08012019,1692,10628.96,0.0,1.292964,TRMOSKWWWWW0,9717717.0,18382155.56,14217064.0
26,18407441.42,2019-01-19T10:14:55,27306140.6,2019-01-09,GHS,2730614060.0,GHS09012019,1693,10056.65,0.0,1.295917,TRMOSKWWWWW0,9742245.0,18329498.8,14144037.0
27,18370059.29,2019-01-20T10:14:54,27306140.6,2019-01-10,GHS,2730614060.0,GHS10012019,1686,10257.44,0.0,1.295262,TRMOSKWWWWW0,9750421.0,18303098.27,14130813.0
28,18325458.19,2019-01-21T10:14:59,27306140.6,2019-01-11,GHS,2730614060.0,GHS11012019,1682,9700.13,0.0,1.29571,TRMOSKWWWWW0,9758597.0,18244584.38,14080761.0
29,17702676.79,2019-01-24T10:14:57,27306140.6,2019-01-14,GHS,2730614060.0,GHS14012019,1680,9802.37,0.0,1.299531,TRMOSKWWWWW0,9830137.0,18107092.48,13933556.0
30,17565801.65,2019-01-25T10:14:56,27306140.6,2019-01-15,GHS,2730614060.0,GHS15012019,1678,6173.8,0.0,1.303038,TRMOSKWWWWW0,9855687.0,18090113.87,13883026.0
31,18325950.73,2019-01-26T10:14:55,27306140.6,2019-01-16,GHS,2730614060.0,GHS16012019,1673,6233.9,0.0,1.318095,TRMOSKWWWWW0,9880215.0,18295860.29,13880528.0
32,18813582.34,2019-01-27T10:14:57,27306140.6,2019-01-17,GHS,2730614060.0,GHS17012019,1674,8171.51,0.0,1.352099,TRMOSKWWWWW0,9888288.0,18766071.91,13879214.0
33,19037594.53,2019-01-28T10:14:59,27306140.6,2019-01-18,GHS,2730614060.0,GHS18012019,1672,8274.75,0.0,1.371606,TRMOSKWWWWW0,9896464.0,18927059.13,13799196.0
34,19636486.75,2019-01-31T10:14:57,27306140.6,2019-01-21,GHS,2730614060.0,GHS21012019,1671,5507.15,0.0,1.389156,TRMOSKWWWWW0,9968004.0,19037187.99,13704144.0
35,18272608.55,2019-02-01T10:14:56,27306140.6,2019-01-22,GHS,2730614060.0,GHS22012019,1668,7179.05,0.0,1.382315,TRMOSKWWWWW0,9993554.0,18657722.83,13497443.0
36,17239660.57,2019-02-02T10:14:55,27306140.6,2019-01-23,GHS,2730614060.0,GHS23012019,1668,8979.72,0.0,1.410093,TRMOSKWWWWW0,10018082.0,18350507.99,13013686.0
37,17991038.17,2019-02-03T10:14:54,27306140.6,2019-01-24,GHS,2730614060.0,GHS24012019,1657,6483.18,0.0,1.421835,TRMOSKWWWWW0,10026258.0,18323422.51,12887162.0
38,17789662.55,2019-02-04T10:15:00,27306140.6,2019-01-25,GHS,2730614060.0,GHS25012019,1656,9307.77,0.0,1.446651,TRMOSKWWWWW0,10034434.0,17849819.08,12338714.0
39,16943917.83,2019-02-07T10:14:57,27306140.6,2019-01-28,GHS,2730614060.0,GHS28012019,1661,8854.19,0.0,1.447076,TRMOSKWWWWW0,10105974.0,17558706.75,12133924.0
40,17066344.45,2019-02-08T10:14:56,27306140.6,2019-01-29,GHS,2730614060.0,GHS29012019,1668,8752.14,0.0,1.440906,TRMOSKWWWWW0,10131524.0,17486241.55,12135588.0
41,17598458.32,2019-02-09T10:14:55,27306140.6,2019-01-30,GHS,2730614060.0,GHS30012019,1671,6675.71,0.0,1.482715,TRMOSKWWWWW0,10156054.0,17440458.56,11762514.0
42,17481211.09,2019-02-10T10:14:54,27306140.6,2019-01-31,GHS,2730614060.0,GHS31012019,1670,8246.96,0.0,1.488052,TRMOSKWWWWW0,10164228.0,17359695.9,11666057.0
43,17336590.58,2019-02-11T10:14:53,27306140.6,2019-02-01,GHS,2730614060.0,GHS01022019,1670,8482.68,0.0,1.483934,TRMOSKWWWWW0,10172404.0,17039409.1,11482592.0
44,17179477.81,2019-02-14T10:14:58,27306140.6,2019-02-04,GHS,2730614060.0,GHS04022019,1683,6964.23,0.0,1.468189,TRMOSKWWWWW0,10243944.0,17041370.78,11607072.0
45,17386743.41,2019-02-15T10:14:57,27306140.6,2019-02-05,GHS,2730614060.0,GHS05022019,1684,6488.76,0.0,1.46746,TRMOSKWWWWW0,10269494.0,17099166.0,11652223.0
46,17856351.88,2019-02-16T10:14:56,27306140.6,2019-02-06,GHS,2730614060.0,GHS06022019,1685,4374.07,0.0,1.466869,TRMOSKWWWWW0,10294022.0,17128828.31,11677139.0
47,17666427.61,2019-02-17T10:15:00,27306140.6,2019-02-07,GHS,2730614060.0,GHS07022019,1685,8905.56,0.0,1.465125,TRMOSKWWWWW0,10302095.0,17184729.01,11729191.0
48,17328554.3,2019-02-18T10:14:58,27306140.6,2019-02-08,GHS,2730614060.0,GHS08022019,1681,9023.15,0.0,1.47303,TRMOSKWWWWW0,10310271.0,17044402.64,11570978.0
49,17086729.2,2019-02-21T10:14:57,27306140.6,2019-02-11,GHS,2730614060.0,GHS11022019,1671,8454.85,0.0,1.469897,TRMOSKWWWWW0,10381811.0,16910662.9,11504660.0
50,17345681.53,2019-02-22T10:14:56,27306140.6,2019-02-12,GHS,2730614060.0,GHS12022019,1678,9375.73,0.0,1.500607,TRMOSKWWWWW0,10407361.0,17291893.87,11523270.0
51,17371380.71,2019-02-23T10:14:55,27306140.6,2019-02-13,GHS,2730614060.0,GHS13022019,1691,9601.8,0.0,1.494447,TRMOSKWWWWW0,10431888.0,17322412.62,11591183.0
52,17152638.1,2019-02-24T10:14:54,27306140.6,2019-02-14,GHS,2730614060.0,GHS14022019,1696,4800.41,0.0,1.464125,TRMOSKWWWWW0,10440064.0,17105158.59,11682854.0
53,17223374.79,2019-02-25T10:14:59,27306140.6,2019-02-15,GHS,2730614060.0,GHS15022019,1701,7313.43,0.0,1.478313,TRMOSKWWWWW0,10448240.0,17273236.98,11684425.0
54,17468208.66,2019-02-28T10:14:57,27306140.6,2019-02-18,GHS,2730614060.0,GHS18022019,1698,6074.8,0.0,1.481756,TRMOSKWWWWW0,10519780.0,17396557.86,11740501.0
55,17517158.07,2019-03-01T10:14:55,27306140.6,2019-02-19,GHS,2730614060.0,GHS19022019,1707,9627.44,0.0,1.463002,TRMOSKWWWWW0,10545330.0,17215524.56,11767263.0
56,17460258.69,2019-03-02T10:14:55,27306140.6,2019-02-20,GHS,2730614060.0,GHS20022019,1732,5083.61,0.0,1.467865,TRMOSKWWWWW0,10569858.0,17269766.18,11765231.0
57,17341900.6,2019-03-03T10:14:53,27306140.6,2019-02-21,GHS,2730614060.0,GHS21022019,1731,9802.7,0.0,1.46835,TRMOSKWWWWW0,10578034.0,17236925.63,11738979.0
58,17469696.36,2019-03-04T10:14:52,27306140.6,2019-02-22,GHS,2730614060.0,GHS22022019,1733,10916.3,0.0,1.475716,TRMOSKWWWWW0,10586209.0,17383085.08,11779426.0
59,17605149.51,2019-03-07T10:14:48,27306140.6,2019-02-25,GHS,2730614060.0,GHS25022019,1734,6765.52,0.0,1.489412,TRMOSKWWWWW0,10657749.0,17501288.01,11750470.0
60,16982886.72,2019-03-08T10:15:00,27306140.6,2019-02-26,GHS,2730614060.0,GHS26022019,1739,5148.61,0.0,1.500591,TRMOSKWWWWW0,10658771.0,17733376.39,11817594.0
61,17309017.4,2019-03-07T10:14:59,27306140.6,2019-02-27,GHS,2730614060.0,GHS27022019,1757,6721.56,0.0,1.51283,TRMOSKWWWWW0,10659793.0,17930715.03,11852429.0
62,18143817.58,2019-03-07T10:15:03,27306140.6,2019-02-28,GHS,2730614060.0,GHS28022019,1761,6075.74,0.0,1.499986,TRMOSKWWWWW0,10660815.0,17670298.9,11780308.0
63,18066472.8,2019-03-07T10:15:06,27306140.6,2019-03-01,GHS,2730614060.0,GHS01032019,1765,9004.66,0.0,1.50872,TRMOSKWWWWW0,10661837.0,17670216.62,11712056.0
64,17664618.62,2019-03-07T10:15:10,27306140.6,2019-03-04,GHS,2730614060.0,GHS04032019,1774,8407.35,0.0,1.489151,TRMOSKWWWWW0,10662859.0,17553885.23,11787844.0
65,17787739.38,2019-03-07T10:15:14,27306140.6,2019-03-05,GHS,2730614060.0,GHS05032019,1783,7327.84,0.0,1.505316,TRMOSKWWWWW0,10663881.0,17846978.84,11855969.0
66,17823965.13,2019-03-07T10:15:18,27306140.6,2019-03-06,GHS,2730614060.0,GHS06032019,1789,9559.58,0.0,1.504252,TRMOSKWWWWW0,10664903.0,17773382.45,11815426.0
67,17935529.07,2019-03-07T13:50:07,27306140.6,2019-03-07,GHS,2730614060.0,GHS07032019,1793,9078.8,0.0,1.498465,TRMOSKWWWWW0,10666947.0,17837384.52,11903772.0
68,17587448.61,2019-03-08T10:50:00,27306140.6,2019-03-08,GHS,2730614060.0,GHS08032019,1789,7024.82,0.0,1.474512,TRMOSKWWWWW0,10667969.0,17442910.68,11829618.0
69,17318687.14,2019-03-11T10:50:00,27306140.6,2019-03-11,GHS,2730614060.0,GHS11032019,1791,6242.84,0.0,1.466456,TRMOSKWWWWW0,10668812.0,17350840.19,11831815.0
70,17110729.06,2019-03-12T10:22:47,27306140.6,2019-03-12,GHS,2730614060.0,GHS12032019,1784,9387.94,0.0,1.452528,TRMOSKWWWWW0,10670459.0,17122286.91,11787925.0
71,17440461.25,2019-03-13T10:50:00,27306140.6,2019-03-13,GHS,2730614060.0,GHS13032019,1780,13566.45,0.0,1.467488,TRMOSKWWWWW0,10672984.0,17037444.9,11609941.0
72,17421065.88,2019-03-14T10:50:00,27306140.6,2019-03-14,GHS,2730614060.0,GHS14032019,1772,5682.65,0.0,1.474772,TRMOSKWWWWW0,10675688.0,17234775.83,11686400.0
73,17443231.98,2019-03-15T10:50:00,27306140.6,2019-03-15,GHS,2730614060.0,GHS15032019,1768,7098.32,0.0,1.480021,TRMOSKWWWWW0,10678423.0,17371327.78,11737220.0
74,17450221.21,2019-03-18T10:30:32,27306140.6,2019-03-18,GHS,2730614060.0,GHS18032019,1771,6406.47,0.0,1.492108,TRMOSKWWWWW0,10680736.0,17312155.19,11602484.0
75,17455813.67,2019-03-19T10:50:00,27306140.6,2019-03-19,GHS,2730614060.0,GHS19032019,1773,8591.15,0.0,1.515717,TRMOSKWWWWW0,10683411.0,17607710.71,11616750.0
76,17544387.85,2019-03-20T10:24:48,27306140.6,2019-03-20,GHS,2730614060.0,GHS20032019,1783,6856.21,0.0,1.514925,TRMOSKWWWWW0,10686032.0,17492988.25,11547099.0
77,17180941.18,2019-03-21T10:50:00,27306140.6,2019-03-21,GHS,2730614060.0,GHS20032019,1780,9103.47,0.0,1.494178,TRMOSKWWWWW0,10689583.0,17211866.54,11519289.0
78,17329972.43,2019-03-22T09:50:00,27306140.6,2019-03-22,GHS,2730614060.0,GHS21032019,1776,8074.09,0.0,1.493171,TRMOSKWWWWW0,10691523.0,17169808.15,11498893.0
79,16760322.49,2019-03-25T09:50:00,27306140.6,2019-03-25,GHS,2730614060.0,GHS24032019,1763,9028.49,0.0,1.444861,TRMOSKWWWWW0,10694809.0,16694488.61,11554394.0
80,16696441.47,2019-03-26T09:50:00,27306140.6,2019-03-26,GHS,2730614060.0,GHS25032019,1762,5319.62,0.0,1.435582,TRMOSKWWWWW0,11877045.0,16527830.83,11512981.0
81,16373501.95,2019-03-27T09:50:00,27306140.6,2019-03-27,GHS,2730614060.0,GHS26032019,1761,8463.34,0.0,1.409662,TRMOSKWWWWW0,11879720.0,16210402.71,11499494.0
82,15609706.64,2019-03-28T09:50:00,27306140.6,2019-03-28,GHS,2730614060.0,GHS27032019,1748,22270.94,0.0,1.347719,TRMOSKWWWWW0,11882315.0,15530895.25,11523835.0
83,15557551.58,2019-03-29T10:50:01,27306140.6,2019-03-29,GHS,2730614060.0,GHS28032019,1739,8701.77,0.0,1.366155,TRMOSKWWWWW0,11885077.0,15748065.4,11527287.0
84,16532505.19,2019-04-01T09:50:00,27306140.6,2019-04-01,GHS,2730614060.0,GHS01042019,1749,6303.87,0.0,1.387787,TRMOSKWWWWW0,11889146.0,16415897.19,11828830.0
85,18046685.48,2019-04-02T09:50:00,27306140.6,2019-04-02,GHS,2730614060.0,GHS02042019,1744,6483.5,0.0,1.389141,TRMOSKWWWWW0,11890987.0,16480936.77,11864125.0
86,18005091.98,2019-04-03T09:50:00,27306140.6,2019-04-03,GHS,2730614060.0,GHS03042019,1749,5748.55,0.0,1.384129,TRMOSKWWWWW0,11891760.0,16518573.27,11934272.0
87,16285782.03,2019-04-04T09:50:00,27306140.6,2019-04-04,GHS,2730614060.0,GHS04042019,1748,8528.47,0.0,1.4036,TRMOSKWWWWW0,11892535.0,16926123.4,12059075.0
88,16857920.82,2019-04-05T10:50:00,27306140.6,2019-04-05,GHS,2730614060.0,GHS05042019,1753,7200.05,0.0,1.456396,TRMOSKWWWWW0,11893311.0,17563829.77,12059793.0
89,17530681.21,2019-04-08T10:50:00,27306140.6,2019-04-08,GHS,2730614060.0,GHS08042019,1747,8602.73,0.0,1.454182,TRMOSKWWWWW0,11894088.0,17473766.95,12016215.0
90,17416666.22,2019-04-09T09:50:00,27306140.6,2019-04-09,GHS,2730614060.0,GHS09042019,1754,5951.26,0.0,1.434966,TRMOSKWWWWW0,11894865.0,17297690.5,12054428.0
91,17392116.98,2019-04-10T09:50:00,27306140.6,2019-04-10,GHS,2730614060.0,GHS10042019,1756,7710.75,0.0,1.45089,TRMOSKWWWWW0,11895613.0,17132717.13,11808418.0
92,16596077.5,2019-04-11T09:50:00,27306140.6,2019-04-11,GHS,2730614060.0,GHS11042019,1745,9461.89,0.0,1.43958,TRMOSKWWWWW0,11896393.0,17006481.35,11813499.0
93,16740395.46,2019-04-12T10:50:00,27306140.6,2019-04-12,GHS,2730614060.0,GHS12042019,1752,8660.96,0.0,1.426056,TRMOSKWWWWW0,11897157.0,16986467.66,11911503.0
94,17167649.75,2019-04-15T10:50:01,27306140.6,2019-04-15,GHS,2730614060.0,GHS15042019,1755,5819.41,0.0,1.422625,TRMOSKWWWWW0,11897921.0,17115290.09,12030779.0
95,17078334.98,2019-04-16T10:50:01,27306140.6,2019-04-16,GHS,2730614060.0,GHS16042019,1750,6703.89,0.0,1.416258,TRMOSKWWWWW0,11898692.0,16927471.81,11952249.0
96,17247106.7,2019-04-17T09:50:00,27306140.6,2019-04-17,GHS,2730614060.0,GHS17042019,1746,3779.51,0.0,1.432841,TRMOSKWWWWW0,11899456.0,17176206.85,11987514.0
97,18076691.33,2019-04-18T10:50:00,27306140.6,2019-04-18,GHS,2730614060.0,GHS18042019,1742,8480.21,0.0,1.452709,TRMOSKWWWWW0,11900220.0,17660175.85,12156717.0
98,17853711.21,2019-04-19T09:50:00,27306140.6,2019-04-19,GHS,2730614060.0,GHS19042019,1742,5727.9,0.0,1.436395,TRMOSKWWWWW0,11900984.0,17418415.81,12126484.0
99,17508900.11,2019-04-22T10:50:03,27306140.6,2019-04-22,GHS,2730614060.0,GHS22042019,1737,5888.05,0.0,1.439486,TRMOSKWWWWW0,11901748.0,17205346.02,11952424.0
100,17204181.71,2019-04-24T10:50:01,27306140.6,2019-04-24,GHS,2730614060.0,GHS24042019,1736,7114.37,0.0,1.427558,TRMOSKWWWWW0,11902512.0,17154155.74,12016431.0
101,17182232.58,2019-04-25T10:50:00,27306140.6,2019-04-25,GHS,2730614060.0,GHS25042019,1736,6495.67,0.0,1.431167,TRMOSKWWWWW0,11903276.0,17182705.79,12006078.0
102,16843675.21,2019-04-26T09:50:01,27306140.6,2019-04-26,GHS,2730614060.0,GHS26042019,1729,6584.68,0.0,1.402507,TRMOSKWWWWW0,11904040.0,16828175.85,11998640.0
103,16973849.24,2019-04-29T10:50:00,27306140.6,2019-04-29,GHS,2730614060.0,GHS29042019,1724,7503.66,0.0,1.408574,TRMOSKWWWWW0,11904805.0,16692713.41,11850788.0
