,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,27650220.29,2018-12-13T10:14:57,125000.0,2018-12-03,GL1,12500000.0,GL103122018,115,14595.28,1933719.88,41.990804,TRMGL1WWWWW0,9032164.0,26083175.85,621164
1,25269575.11,2018-12-14T10:14:56,125000.0,2018-12-04,GL1,12500000.0,GL104122018,116,11830.11,1320846.25,41.933253,TRMGL1WWWWW0,9057714.0,26201447.73,624837
2,25922188.06,2018-12-15T10:14:55,125000.0,2018-12-05,GL1,12500000.0,GL105122018,118,16690.77,870563.71,41.570253,TRMGL1WWWWW0,9082242.0,26277928.95,632133
3,28278162.75,2018-12-16T10:14:54,125000.0,2018-12-06,GL1,12500000.0,GL106122018,120,8682.38,2561599.12,41.706708,TRMGL1WWWWW0,9090418.0,26357137.86,631964
4,26745374.24,2018-12-17T10:14:59,125000.0,2018-12-07,GL1,12500000.0,GL107122018,121,9690.19,1225778.63,41.273762,TRMGL1WWWWW0,9098594.0,26050925.4,631174
5,25699714.92,2018-12-20T10:14:57,125000.0,2018-12-10,GL1,12500000.0,GL110122018,120,8908.84,611180.73,41.765644,TRMGL1WWWWW0,9170134.0,26346603.79,630820
6,24816759.42,2018-12-21T10:14:56,125000.0,2018-12-11,GL1,12500000.0,GL111122018,118,19825.9,650421.16,41.398483,TRMGL1WWWWW0,9194662.0,26241877.27,633885
7,26172671.94,2018-12-22T10:14:55,125000.0,2018-12-12,GL1,12500000.0,GL112122018,117,9425.94,1400905.21,41.320744,TRMGL1WWWWW0,9219190.0,26153386.57,632936
8,25124775.1,2018-12-23T10:14:54,125000.0,2018-12-13,GL1,12500000.0,GL113122018,116,17488.75,2041319.01,40.362602,TRMGL1WWWWW0,9227366.0,25546944.0,632936
9,24772112.24,2018-12-24T10:14:53,125000.0,2018-12-14,GL1,12500000.0,GL114122018,116,10463.27,1395896.24,40.962883,TRMGL1WWWWW0,9235543.0,25926883.03,632936
10,24284072.37,2018-12-27T10:14:57,125000.0,2018-12-17,GL1,12500000.0,GL117122018,116,11403.88,2484779.95,40.45317,TRMGL1WWWWW0,9307082.0,24849896.79,614288
11,23476500.87,2018-12-28T10:14:59,125000.0,2018-12-18,GL1,12500000.0,GL118122018,113,8917.77,1811162.86,40.209113,TRMGL1WWWWW0,9332528.0,24021286.02,597409
12,24626404.97,2018-12-29T10:14:58,125000.0,2018-12-19,GL1,12500000.0,GL119122018,113,17348.69,2386502.88,40.691891,TRMGL1WWWWW0,9357056.0,22616593.61,555801
13,22746402.62,2018-12-30T10:14:58,125000.0,2018-12-20,GL1,12500000.0,GL120122018,108,25049.15,695442.71,41.377051,TRMGL1WWWWW0,9365232.0,22998440.92,555826
14,20590639.64,2018-12-31T10:15:00,125000.0,2018-12-21,GL1,12500000.0,GL121122018,108,14467.29,400256.99,41.291361,TRMGL1WWWWW0,9373408.0,22950811.79,555826
15,20458080.36,2019-01-03T10:14:57,125000.0,2018-12-24,GL1,12500000.0,GL124122018,108,35928.93,951823.22,41.247335,TRMGL1WWWWW0,9425530.0,20730827.88,502598
16,19810812.1,2019-01-04T10:14:57,125000.0,2018-12-25,GL1,12500000.0,GL125122018,105,8777.89,600384.66,41.209411,TRMGL1WWWWW0,9450058.0,20711767.68,502598
17,20361403.43,2019-01-05T10:14:56,125000.0,2018-12-26,GL1,12500000.0,GL126122018,105,9560.96,1270840.29,40.969142,TRMGL1WWWWW0,9473564.0,20593016.27,502647
18,20679707.69,2019-01-06T10:14:55,125000.0,2018-12-27,GL1,12500000.0,GL127122018,104,10414.64,1541046.36,41.063491,TRMGL1WWWWW0,9480718.0,20638223.0,502593
19,21462803.52,2019-01-07T10:15:00,125000.0,2018-12-28,GL1,12500000.0,GL128122018,101,9224.1,1540985.18,41.035331,TRMGL1WWWWW0,9487872.0,20540357.85,500553
20,21416161.48,2019-01-10T10:14:57,125000.0,2018-12-31,GL1,12500000.0,GL131122018,102,5697.98,1563000.33,40.893778,TRMGL1WWWWW0,9556346.0,20379782.12,498359
21,20205803.06,2019-01-12T10:14:58,125000.0,2019-01-02,GL1,12500000.0,GL102012019,102,8311.52,575753.01,41.374203,TRMGL1WWWWW0,9604276.0,20620033.8,498379
22,19759175.21,2019-01-13T10:14:57,125000.0,2019-01-03,GL1,12500000.0,GL103012019,102,8735.27,575373.34,40.475918,TRMGL1WWWWW0,9612452.0,20172347.43,498379
23,18508059.09,2019-01-14T10:14:59,125000.0,2019-01-04,GL1,12500000.0,GL104012019,102,10368.18,1040659.61,40.043998,TRMGL1WWWWW0,9620628.0,19313340.43,482303
24,19663790.05,2019-01-17T10:14:57,125000.0,2019-01-07,GL1,12500000.0,GL107012019,100,23284.1,390750.08,40.559017,TRMGL1WWWWW0,9692168.0,19561978.73,482309
25,21890863.05,2019-01-18T10:14:56,125000.0,2019-01-08,GL1,12500000.0,GL108012019,101,9409.34,1851193.63,41.03648,TRMGL1WWWWW0,9717718.0,19796121.1,482403
26,19465724.11,2019-01-19T10:14:55,125000.0,2019-01-09,GL1,12500000.0,GL109012019,101,7610.52,155101.28,41.057573,TRMGL1WWWWW0,9742246.0,19806091.05,482398
27,18625755.23,2019-01-20T10:14:54,125000.0,2019-01-10,GL1,12500000.0,GL110012019,100,7520.66,0.0,41.299954,TRMGL1WWWWW0,9750422.0,19484120.37,471771
28,19861265.14,2019-01-21T10:14:59,125000.0,2019-01-11,GL1,12500000.0,GL111012019,98,10210.85,0.0,41.30877,TRMGL1WWWWW0,9758598.0,19488279.53,471771
29,20316287.9,2019-01-24T10:14:57,125000.0,2019-01-14,GL1,12500000.0,GL114012019,98,10547.03,420818.14,41.707312,TRMGL1WWWWW0,9830138.0,19676300.07,471771
30,21401484.1,2019-01-25T10:14:56,125000.0,2019-01-15,GL1,12500000.0,GL115012019,98,11643.09,115075.14,41.71379,TRMGL1WWWWW0,9855688.0,21163575.0,507352
31,20075333.49,2019-01-26T10:14:55,125000.0,2019-01-16,GL1,12500000.0,GL116012019,97,8104.22,275181.2,42.020807,TRMGL1WWWWW0,9880216.0,21100580.26,502146
32,20807692.33,2019-01-27T10:14:57,125000.0,2019-01-17,GL1,12500000.0,GL117012019,97,10296.27,0.0,42.720878,TRMGL1WWWWW0,9888289.0,19863456.89,464959
33,20938804.96,2019-01-28T10:14:59,125000.0,2019-01-18,GL1,12500000.0,GL118012019,96,10095.82,760494.52,43.036828,TRMGL1WWWWW0,9896465.0,19973951.24,464113
34,21380278.78,2019-01-31T10:14:57,125000.0,2019-01-21,GL1,12500000.0,GL121012019,96,43167.23,0.0,43.489995,TRMGL1WWWWW0,9968005.0,20142782.42,463159
35,25907603.61,2019-02-01T10:14:56,125000.0,2019-01-22,GL1,12500000.0,GL122012019,103,12304.16,100065.62,43.239211,TRMGL1WWWWW0,9993555.0,22803365.28,527377
36,26568482.31,2019-02-02T10:14:55,125000.0,2019-01-23,GL1,12500000.0,GL123012019,105,10449.95,2576703.73,43.956901,TRMGL1WWWWW0,10018083.0,24170888.7,549877
37,25700412.85,2019-02-03T10:14:54,125000.0,2019-01-24,GL1,12500000.0,GL124012019,106,12237.3,790516.21,44.297034,TRMGL1WWWWW0,10026259.0,24649704.68,556464
38,27400783.03,2019-02-04T10:15:00,125000.0,2019-01-25,GL1,12500000.0,GL125012019,110,8358.66,1821161.81,45.238588,TRMGL1WWWWW0,10034435.0,26476109.69,585255
39,31459309.99,2019-02-07T10:14:57,125000.0,2019-01-28,GL1,12500000.0,GL128012019,113,10173.14,2349577.57,45.390779,TRMGL1WWWWW0,10105975.0,27663410.28,609450
