,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,2549041.38,2018-12-13T10:14:57,250000000.0,2018-12-03,GLS,25000000000.0,GLS03122018,107,131109.81,0.0,0.022539,TRYGLMK00047,9032165.0,2647447.39,117462651.001
1,2550638.62,2018-12-14T10:14:56,250000000.0,2018-12-04,GLS,25000000000.0,GLS04122018,108,131122.71,0.0,0.022551,TRYGLMK00047,9057715.0,2648682.32,117452654.001
2,2552222.7,2018-12-15T10:14:55,250000000.0,2018-12-05,GLS,25000000000.0,GLS05122018,107,104020.97,0.0,0.022563,TRYGLMK00047,9082243.0,2650289.06,117459308.001
3,2553810.76,2018-12-16T10:14:54,250000000.0,2018-12-06,GLS,25000000000.0,GLS06122018,108,101503.92,0.0,0.022576,TRYGLMK00047,9090419.0,2611070.45,115656744.001
4,2081602.44,2018-12-17T10:14:59,250000000.0,2018-12-07,GLS,25000000000.0,GLS07122018,109,575022.95,0.0,0.022586,TRYGLMK00047,9098595.0,2612243.55,115658757.001
5,2188512.91,2018-12-20T10:14:57,250000000.0,2018-12-10,GLS,25000000000.0,GLS10122018,107,533138.91,0.0,0.022617,TRYGLMK00047,9170135.0,2615817.08,115658882.001
6,2189873.76,2018-12-21T10:14:56,250000000.0,2018-12-11,GLS,25000000000.0,GLS11122018,107,430182.27,0.0,0.022627,TRYGLMK00047,9194663.0,2612034.86,115437010.001
7,2487417.72,2018-12-22T10:14:55,250000000.0,2018-12-12,GLS,25000000000.0,GLS12122018,107,853863.48,0.0,0.02263,TRYGLMK00047,9219191.0,2614661.97,115538021.001
8,2488791.35,2018-12-23T10:14:54,250000000.0,2018-12-13,GLS,25000000000.0,GLS13122018,106,131071.25,0.0,0.022641,TRYGLMK00047,9227367.0,2615902.93,115537719.001
9,2490463.02,2018-12-24T10:14:53,250000000.0,2018-12-14,GLS,25000000000.0,GLS14122018,105,130580.11,0.0,0.022654,TRYGLMK00047,9235544.0,2617671.66,115547567.001
10,2495484.79,2018-12-27T10:14:57,250000000.0,2018-12-17,GLS,25000000000.0,GLS17122018,103,130573.28,0.0,0.022695,TRYGLMK00047,9307083.0,2622315.08,115547567.001
11,2497160.97,2018-12-28T10:14:59,250000000.0,2018-12-18,GLS,25000000000.0,GLS18122018,102,130572.99,0.0,0.022708,TRYGLMK00047,9332529.0,2623865.07,115547567.001
12,2498838.29,2018-12-29T10:14:58,250000000.0,2018-12-19,GLS,25000000000.0,GLS19122018,104,130617.31,0.0,0.022721,TRYGLMK00047,9357057.0,2625460.46,115549944.001
13,2500516.76,2018-12-30T10:14:58,250000000.0,2018-12-20,GLS,25000000000.0,GLS20122018,104,158807.61,0.0,0.022735,TRYGLMK00047,9365233.0,2610052.42,114803884.001
14,2502196.35,2018-12-31T10:15:00,250000000.0,2018-12-21,GLS,25000000000.0,GLS21122018,106,164300.21,0.0,0.022748,TRYGLMK00047,9373409.0,2617098.69,115045901.001
15,2557063.21,2019-01-03T10:14:57,250000000.0,2018-12-24,GLS,25000000000.0,GLS24122018,106,69353.46,0.0,0.022787,TRYGLMK00047,9425531.0,2620053.61,114978491.001
16,2558834.76,2019-01-04T10:14:57,250000000.0,2018-12-25,GLS,25000000000.0,GLS25122018,107,73344.6,0.0,0.022802,TRYGLMK00047,9450059.0,2614442.47,114660455.001
