,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,133042667.96,2018-12-13T10:14:57,10000000.0,2018-12-03,GMA,5000000000.0,GMA03122018,274,8804.08,0.0,0.103372,TRMBYKWWWWW5,9032166.0,128469486.11,1242787891.867
1,130836743.98,2018-12-14T10:14:56,10000000.0,2018-12-04,GMA,5000000000.0,GMA04122018,275,10170.77,0.0,0.103351,TRMBYKWWWWW5,9057716.0,128443097.64,1242788751.867
2,130677357.96,2018-12-15T10:14:55,10000000.0,2018-12-05,GMA,5000000000.0,GMA05122018,279,12551.74,0.0,0.103086,TRMBYKWWWWW5,9082244.0,130468600.21,1265628803.867
3,137284193.51,2018-12-16T10:14:54,10000000.0,2018-12-06,GMA,5000000000.0,GMA06122018,280,12320.29,0.0,0.103306,TRMBYKWWWWW5,9090420.0,130539782.66,1263624160.867
4,130720717.28,2018-12-17T10:14:59,10000000.0,2018-12-07,GMA,5000000000.0,GMA07122018,278,6705.26,0.0,0.102917,TRMBYKWWWWW5,9098596.0,130041893.85,1263565741.867
5,133416082.1,2018-12-20T10:14:57,10000000.0,2018-12-10,GMA,5000000000.0,GMA10122018,279,13609.63,0.0,0.10341,TRMBYKWWWWW5,9170136.0,130441534.18,1261402862.867
6,132176188.86,2018-12-21T10:14:56,10000000.0,2018-12-11,GMA,5000000000.0,GMA11122018,279,11401.58,0.0,0.103422,TRMBYKWWWWW5,9194664.0,130435743.66,1261194853.867
7,129615181.15,2018-12-22T10:14:55,10000000.0,2018-12-12,GMA,5000000000.0,GMA12122018,277,6766.44,0.0,0.103371,TRMBYKWWWWW5,9219192.0,130349299.48,1260988686.867
8,121050727.87,2018-12-23T10:14:54,10000000.0,2018-12-13,GMA,5000000000.0,GMA13122018,276,11305.62,0.0,0.10236,TRMBYKWWWWW5,9227368.0,129075428.17,1260997841.867
9,119191887.77,2018-12-24T10:14:53,10000000.0,2018-12-14,GMA,5000000000.0,GMA14122018,275,12760.3,0.0,0.102979,TRMBYKWWWWW5,9235545.0,129851618.79,1260954313.867
10,122905172.72,2018-12-27T10:14:57,10000000.0,2018-12-17,GMA,5000000000.0,GMA17122018,275,14202.81,0.0,0.102311,TRMBYKWWWWW5,9307084.0,128959516.95,1260466266.867
11,124955092.42,2018-12-28T10:14:59,10000000.0,2018-12-18,GMA,5000000000.0,GMA18122018,276,19114.31,0.0,0.102192,TRMBYKWWWWW5,9332530.0,128832138.3,1260687886.867
12,135516440.66,2018-12-29T10:14:58,10000000.0,2018-12-19,GMA,5000000000.0,GMA19122018,278,9206.09,0.0,0.10264,TRMBYKWWWWW5,9357058.0,128864547.62,1255502152.867
13,136364878.47,2018-12-30T10:14:58,10000000.0,2018-12-20,GMA,5000000000.0,GMA20122018,276,15244.72,0.0,0.10327,TRMBYKWWWWW5,9365234.0,129576015.65,1254726315.867
14,135949792.01,2018-12-31T10:15:00,10000000.0,2018-12-21,GMA,5000000000.0,GMA21122018,276,10547.04,0.0,0.103304,TRMBYKWWWWW5,9373410.0,129879701.48,1257259578.867
15,134671168.85,2019-01-03T10:14:57,10000000.0,2018-12-24,GMA,5000000000.0,GMA24122018,275,13515.7,0.0,0.103307,TRMBYKWWWWW5,9425532.0,128247251.5,1241419589.867
16,133357973.43,2019-01-04T10:14:57,10000000.0,2018-12-25,GMA,5000000000.0,GMA25122018,275,10375.74,0.0,0.103139,TRMBYKWWWWW5,9450060.0,128038889.17,1241419541.867
17,131636044.43,2019-01-05T10:14:56,10000000.0,2018-12-26,GMA,5000000000.0,GMA26122018,274,5644.02,0.0,0.102738,TRMBYKWWWWW5,9473566.0,127518721.46,1241203995.867
18,127965879.61,2019-01-06T10:14:55,10000000.0,2018-12-27,GMA,5000000000.0,GMA27122018,273,6054.46,0.0,0.102887,TRMBYKWWWWW5,9480720.0,127183767.43,1236151831.867
19,125063511.52,2019-01-07T10:15:00,10000000.0,2018-12-28,GMA,5000000000.0,GMA28122018,269,10205.23,0.0,0.1029,TRMBYKWWWWW5,9487874.0,126827954.37,1232536868.867
20,122722669.26,2019-01-10T10:14:57,10000000.0,2018-12-31,GMA,5000000000.0,GMA31122018,268,11766.42,0.0,0.102706,TRMBYKWWWWW5,9556348.0,123101318.29,1198580127.867
21,127869380.28,2019-01-12T10:14:58,10000000.0,2019-01-02,GMA,5000000000.0,GMA02012019,269,18375.87,0.0,0.103375,TRMBYKWWWWW5,9604278.0,127011065.3,1228647344.867
22,129593634.16,2019-01-13T10:14:57,10000000.0,2019-01-03,GMA,5000000000.0,GMA03012019,268,13237.27,0.0,0.102466,TRMBYKWWWWW5,9612454.0,125885797.87,1228563585.867
23,121111355.57,2019-01-14T10:14:59,10000000.0,2019-01-04,GMA,5000000000.0,GMA04012019,268,9787.66,320202.06,0.101973,TRMBYKWWWWW5,9620630.0,125279667.1,1228560166.867
24,132113857.12,2019-01-17T10:14:57,10000000.0,2019-01-07,GMA,5000000000.0,GMA07012019,269,9812.4,0.0,0.1024,TRMBYKWWWWW5,9692170.0,124542505.44,1216239194.867
25,118749776.36,2019-01-18T10:14:56,10000000.0,2019-01-08,GMA,5000000000.0,GMA08012019,264,8239.93,0.0,0.102939,TRMBYKWWWWW5,9717720.0,125193769.78,1216189279.867
26,125244548.42,2019-01-19T10:14:55,10000000.0,2019-01-09,GMA,5000000000.0,GMA09012019,263,7997.2,250163.7,0.103132,TRMBYKWWWWW5,9742248.0,125407554.71,1215996503.867
27,124608682.73,2019-01-20T10:14:54,10000000.0,2019-01-10,GMA,5000000000.0,GMA10012019,262,6829.99,0.0,0.103491,TRMBYKWWWWW5,9750424.0,125844229.32,1215995962.867
28,127944614.1,2019-01-21T10:14:59,10000000.0,2019-01-11,GMA,5000000000.0,GMA11012019,262,7107.79,0.0,0.103694,TRMBYKWWWWW5,9758600.0,125781120.77,1213003807.867
29,127835488.95,2019-01-24T10:14:57,10000000.0,2019-01-14,GMA,5000000000.0,GMA14012019,258,9089.91,0.0,0.104079,TRMBYKWWWWW5,9830140.0,124315765.88,1194434346.867
