,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,10394126.26,2018-12-13T10:14:57,500000000.0,2018-12-03,GMR,500000000.0,GMR03122018,77,13213.61,17032.49,0.035297,TRYGDKM00010,9032167.0,10404992.9,294782900.0
1,10453532.56,2018-12-14T10:14:56,500000000.0,2018-12-04,GMR,500000000.0,GMR04122018,77,14201.7,52033.27,0.035416,TRYGDKM00010,9057717.0,10398154.14,293599800.0
2,10254970.98,2018-12-15T10:14:55,500000000.0,2018-12-05,GMR,500000000.0,GMR05122018,77,16206.37,0.0,0.034981,TRYGDKM00010,9082245.0,10270533.55,293599800.0
3,10285257.66,2018-12-16T10:14:54,500000000.0,2018-12-06,GMR,500000000.0,GMR06122018,78,16139.92,62039.41,0.035101,TRYGDKM00010,9090421.0,10305568.85,293600700.0
4,10203341.49,2018-12-17T10:14:59,500000000.0,2018-12-07,GMR,500000000.0,GMR07122018,78,3249.99,8005.21,0.034849,TRYGDKM00010,9098597.0,10231751.52,293600700.0
5,10290742.5,2018-12-20T10:14:57,500000000.0,2018-12-10,GMR,500000000.0,GMR10122018,78,3502.25,24046.45,0.03515,TRYGDKM00010,9170137.0,10319978.92,293600700.0
6,10205148.88,2018-12-21T10:14:56,500000000.0,2018-12-11,GMR,500000000.0,GMR11122018,78,4391.19,40025.81,0.034888,TRYGDKM00010,9194665.0,10242965.62,293599800.0
7,10128273.9,2018-12-22T10:14:55,500000000.0,2018-12-12,GMR,500000000.0,GMR12122018,77,4492.91,59037.91,0.034578,TRYGDKM00010,9219193.0,10125139.99,292817400.0
8,9845983.48,2018-12-23T10:14:54,500000000.0,2018-12-13,GMR,500000000.0,GMR13122018,76,4353.6,57036.31,0.033632,TRYGDKM00010,9227369.0,9848176.74,292817400.0
9,9963688.02,2018-12-24T10:14:53,500000000.0,2018-12-14,GMR,500000000.0,GMR14122018,76,5297.58,62039.24,0.033984,TRYGDKM00010,9235546.0,9951090.9,292817400.0
