,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,22384410.14,2018-12-13T10:14:57,100000000.0,2018-12-03,GPA,10000000000.0,GPA03122018,588,94338.85,0.0,1.594356,TRYGAPO00052,9032168.0,22341054.82,14012585.0
1,22550295.26,2018-12-14T10:14:56,100000000.0,2018-12-04,GPA,10000000000.0,GPA04122018,588,95171.54,0.0,1.614302,TRYGAPO00052,9057718.0,22457434.54,13911545.0
2,23178833.46,2018-12-15T10:14:55,100000000.0,2018-12-05,GPA,10000000000.0,GPA05122018,588,96626.59,0.0,1.639002,TRYGAPO00052,9082246.0,23204560.61,14157739.0
3,23535719.48,2018-12-16T10:14:54,100000000.0,2018-12-06,GPA,10000000000.0,GPA06122018,588,96842.91,0.0,1.665731,TRYGAPO00052,9090422.0,23565869.36,14147467.0
4,23443428.87,2018-12-17T10:14:59,100000000.0,2018-12-07,GPA,10000000000.0,GPA07122018,590,99101.82,0.0,1.659183,TRYGAPO00052,9098598.0,23508977.42,14169011.0
5,23392319.05,2018-12-20T10:14:57,100000000.0,2018-12-10,GPA,10000000000.0,GPA10122018,599,99046.23,0.0,1.653988,TRYGAPO00052,9170138.0,23460402.09,14184144.0
6,23326233.27,2018-12-21T10:14:56,100000000.0,2018-12-11,GPA,10000000000.0,GPA11122018,600,95318.68,0.0,1.649015,TRYGAPO00052,9194666.0,23355025.76,14163013.0
7,23644903.65,2018-12-22T10:14:55,100000000.0,2018-12-12,GPA,10000000000.0,GPA12122018,599,97914.45,0.0,1.674415,TRYGAPO00052,9219194.0,23695342.44,14151417.0
8,23668402.64,2018-12-23T10:14:54,100000000.0,2018-12-13,GPA,10000000000.0,GPA13122018,599,101998.28,0.0,1.677744,TRYGAPO00052,9227370.0,23706405.13,14129930.0
9,24047736.14,2018-12-24T10:14:53,100000000.0,2018-12-14,GPA,10000000000.0,GPA14122018,602,100403.93,0.0,1.686084,TRYGAPO00052,9235547.0,24105511.22,14296747.0
10,24200670.33,2018-12-27T10:14:57,100000000.0,2018-12-17,GPA,10000000000.0,GPA17122018,604,97172.2,0.0,1.6931,TRYGAPO00052,9307086.0,24228564.33,14310178.0
11,24256893.68,2018-12-28T10:14:59,100000000.0,2018-12-18,GPA,10000000000.0,GPA18122018,606,100853.66,0.0,1.699314,TRYGAPO00052,9332532.0,24069332.36,14164147.0
12,24078090.91,2018-12-29T10:14:58,100000000.0,2018-12-19,GPA,10000000000.0,GPA19122018,610,98896.09,0.0,1.695496,TRYGAPO00052,9357060.0,24063266.91,14192465.0
13,24239806.85,2018-12-30T10:14:58,100000000.0,2018-12-20,GPA,10000000000.0,GPA20122018,617,99560.58,0.0,1.698787,TRYGAPO00052,9365236.0,23902289.41,14070206.0
14,23931683.52,2018-12-31T10:15:00,100000000.0,2018-12-21,GPA,10000000000.0,GPA21122018,614,99062.8,0.0,1.704879,TRYGAPO00052,9373412.0,23992066.52,14072595.0
15,23919661.96,2019-01-03T10:14:57,100000000.0,2018-12-24,GPA,10000000000.0,GPA24122018,618,98736.0,0.0,1.703168,TRYGAPO00052,9425534.0,23961808.88,14068967.0
16,24069666.53,2019-01-04T10:14:57,100000000.0,2018-12-25,GPA,10000000000.0,GPA25122018,623,93957.84,0.0,1.707861,TRYGAPO00052,9450062.0,24032809.6,14071875.0
17,24036840.03,2019-01-05T10:14:56,100000000.0,2018-12-26,GPA,10000000000.0,GPA26122018,620,95561.39,0.0,1.711567,TRYGAPO00052,9473568.0,24058598.51,14056476.0
18,24022813.37,2019-01-06T10:14:55,100000000.0,2018-12-27,GPA,10000000000.0,GPA27122018,616,97197.58,0.0,1.705205,TRYGAPO00052,9480722.0,24037008.89,14096255.0
19,24075275.83,2019-01-07T10:15:00,100000000.0,2018-12-28,GPA,10000000000.0,GPA28122018,615,96866.44,0.0,1.708913,TRYGAPO00052,9487876.0,24080950.1,14091386.0
20,23980796.86,2019-01-10T10:14:57,100000000.0,2018-12-31,GPA,10000000000.0,GPA31122018,617,60593.9,0.0,1.70133,TRYGAPO00052,9556350.0,23983008.8,14096625.0
21,24139631.03,2019-01-12T10:14:58,100000000.0,2019-01-02,GPA,10000000000.0,GPA02012019,618,1156.22,0.0,1.708354,TRYGAPO00052,9604280.0,24095227.84,14104354.0
22,24259171.76,2019-01-13T10:14:57,100000000.0,2019-01-03,GPA,10000000000.0,GPA03012019,624,3498.55,0.0,1.717595,TRYGAPO00052,9612456.0,24196675.18,14087531.0
