,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,596687970.74,2018-12-13T10:14:57,147481099.66,2018-12-03,GPB,14748109966.0,GPB03122018,26298,56082.47,298050849.3,1.552006,TRYGAPO00029,9032169.0,593776989.67,382586875.0
1,594798236.91,2018-12-14T10:14:56,147481099.66,2018-12-04,GPB,14748109966.0,GPB04122018,26241,56156.56,298050849.3,1.552731,TRYGAPO00029,9057719.0,592951459.54,381876440.0
2,594863939.66,2018-12-15T10:14:55,147481099.66,2018-12-05,GPB,14748109966.0,GPB05122018,26247,54779.9,298050849.3,1.552669,TRYGAPO00029,9082247.0,592579540.02,381652135.0
3,595177976.33,2018-12-16T10:14:54,147481099.66,2018-12-06,GPB,14748109966.0,GPB06122018,26243,54878.13,298050849.3,1.551884,TRYGAPO00029,9090423.0,592967666.68,382095387.0
4,594236648.95,2018-12-17T10:14:59,147481099.66,2018-12-07,GPB,14748109966.0,GPB07122018,26192,56303.98,298050849.3,1.551634,TRYGAPO00029,9098599.0,591030133.99,380908239.0
5,611585660.1,2018-12-20T10:14:57,147481099.66,2018-12-10,GPB,14748109966.0,GPB10122018,26155,54494.46,254061808.22,1.555142,TRYGAPO00029,9170139.0,592130944.72,380756778.0
6,614719237.53,2018-12-21T10:14:56,147481099.66,2018-12-11,GPB,14748109966.0,GPB11122018,26117,99417.35,209873315.06,1.562261,TRYGAPO00029,9194667.0,595024794.36,380874222.0
7,603091615.94,2018-12-22T10:14:55,147481099.66,2018-12-12,GPB,14748109966.0,GPB12122018,26142,55300.25,209873315.06,1.563161,TRYGAPO00029,9219195.0,595720605.51,381100009.0
8,602996752.4,2018-12-23T10:14:54,147481099.66,2018-12-13,GPB,14748109966.0,GPB13122018,26131,54027.98,250057424.64,1.561712,TRYGAPO00029,9227371.0,595897856.21,381567095.0
9,599224272.93,2018-12-24T10:14:53,147481099.66,2018-12-14,GPB,14748109966.0,GPB14122018,26134,54955.61,250057424.64,1.564742,TRYGAPO00029,9235548.0,594434434.81,379893052.0
10,597491382.02,2018-12-27T10:14:57,147481099.66,2018-12-17,GPB,14748109966.0,GPB17122018,26113,55773.32,250057424.64,1.565994,TRYGAPO00029,9307087.0,594989991.47,379944014.0
11,597257842.45,2018-12-28T10:14:59,147481099.66,2018-12-18,GPB,14748109966.0,GPB18122018,26080,51037.13,206013589.04,1.565827,TRYGAPO00029,9332533.0,595238296.97,380143045.0
12,596264402.69,2018-12-29T10:14:58,147481099.66,2018-12-19,GPB,14748109966.0,GPB19122018,26071,53450.75,150911452.06,1.563713,TRYGAPO00029,9357061.0,593675315.39,379657511.0
13,598635325.94,2018-12-30T10:14:58,147481099.66,2018-12-20,GPB,14748109966.0,GPB20122018,26089,50733.82,110727342.48,1.567043,TRYGAPO00029,9365237.0,595970079.58,380315009.0
14,599531786.45,2018-12-31T10:15:00,147481099.66,2018-12-21,GPB,14748109966.0,GPB21122018,26083,51590.28,110727342.48,1.56828,TRYGAPO00029,9373413.0,595510182.59,379721886.0
15,596402375.05,2019-01-03T10:14:57,147481099.66,2018-12-24,GPB,14748109966.0,GPB24122018,26057,90167.08,145358849.32,1.563922,TRYGAPO00029,9425535.0,594159036.71,379916035.0
16,596020103.81,2019-01-04T10:14:57,147481099.66,2018-12-25,GPB,14748109966.0,GPB25122018,26033,51029.85,101337479.44,1.563623,TRYGAPO00029,9450063.0,593272783.01,379421838.0
17,595399868.3,2019-01-05T10:14:56,147481099.66,2018-12-26,GPB,14748109966.0,GPB26122018,26035,81478.79,101337479.44,1.562927,TRYGAPO00029,9473569.0,593203802.14,379546723.0
