,record_id,kisi_sayisi,record_date,price,aktif_deger,data_date,tedavuldeki_pay_sayisi,fund_code
0,GPC03122018,7,2020-09-21T18:03:30.289,4.895249,17357012.03,2018-12-03,3545685.0,GPC
1,GPC04122018,7,2020-09-21T18:03:30.3,4.955117,17569283.61,2018-12-04,3545685.0,GPC
2,GPC05122018,7,2020-09-21T18:03:30.307,5.028226,12389855.37,2018-12-05,2464061.0,GPC
3,GPC06122018,6,2020-09-21T18:03:30.316,5.115449,12604777.98,2018-12-06,2464061.0,GPC
4,GPC07122018,6,2020-09-21T18:03:30.321,5.099697,12565964.5,2018-12-07,2464061.0,GPC
5,GPC10122018,6,2020-09-21T18:03:30.326,5.097416,12560342.88,2018-12-10,2464061.0,GPC
6,GPC11122018,6,2020-09-21T18:03:30.33,5.056513,12459557.41,2018-12-11,2464061.0,GPC
7,GPC12122018,6,2020-09-21T18:03:30.337,5.135234,12653530.55,2018-12-12,2464061.0,GPC
8,GPC13122018,6,2020-09-21T18:03:30.342,5.163302,12722691.18,2018-12-13,2464061.0,GPC
9,GPC14122018,6,2020-09-21T18:03:30.347,5.17726,12757084.55,2018-12-14,2464061.0,GPC
10,GPC17122018,6,2020-09-21T18:03:30.353,5.206786,12829839.33,2018-12-17,2464061.0,GPC
11,GPC18122018,6,2020-09-21T18:03:30.359,5.222188,12867789.24,2018-12-18,2464061.0,GPC
12,GPC19122018,6,2020-09-21T18:03:30.365,5.217038,12855100.93,2018-12-19,2464061.0,GPC
13,GPC20122018,6,2020-09-21T18:03:30.372,5.256003,12951111.18,2018-12-20,2464061.0,GPC
14,GPC21122018,6,2020-09-21T18:03:30.376,5.225487,12875917.69,2018-12-21,2464061.0,GPC
15,GPC24122018,6,2020-09-21T18:03:30.381,5.226668,12878828.29,2018-12-24,2464061.0,GPC
16,GPC25122018,6,2020-09-21T18:03:30.387,5.245289,12924712.82,2018-12-25,2464061.0,GPC
17,GPC26122018,6,2020-09-21T18:03:30.397,5.256506,12952351.85,2018-12-26,2464061.0,GPC
18,GPC27122018,6,2020-09-21T18:03:30.406,5.237024,12904347.57,2018-12-27,2464061.0,GPC
19,GPC28122018,6,2020-09-21T18:03:30.41,5.250816,12938330.74,2018-12-28,2464061.0,GPC
20,GPC31122018,6,2020-09-21T18:03:30.415,5.225925,12876997.36,2018-12-31,2464061.0,GPC
21,GPC02012019,6,2020-09-21T18:15:27.432,5.245759,12925871.27,2019-01-02,2464061.0,GPC
