,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,2809605.62,2018-12-13T10:14:57,100000000.0,2018-12-03,GPF,10000000000.0,GPF03122018,191,21221.14,0.0,1.284474,TRYGAPO00011,9032170.0,2822102.43,2197088.0
1,3012237.94,2018-12-14T10:14:56,100000000.0,2018-12-04,GPF,10000000000.0,GPF04122018,189,17168.6,0.0,1.285348,TRYGAPO00011,9057720.0,3024062.59,2352719.0
2,3009688.41,2018-12-15T10:14:55,100000000.0,2018-12-05,GPF,10000000000.0,GPF05122018,188,272064.5,0.0,1.284267,TRYGAPO00011,9082248.0,3276357.67,2551149.0
3,3016683.33,2018-12-16T10:14:54,100000000.0,2018-12-06,GPF,10000000000.0,GPF06122018,188,69045.0,0.0,1.287115,TRYGAPO00011,9090424.0,3080152.16,2393067.0
4,3188062.09,2018-12-17T10:14:59,100000000.0,2018-12-07,GPF,10000000000.0,GPF07122018,186,76833.45,0.0,1.287229,TRYGAPO00011,9098600.0,3259112.16,2531882.0
5,3190019.73,2018-12-20T10:14:57,100000000.0,2018-12-10,GPF,10000000000.0,GPF10122018,188,15549.76,0.0,1.287784,TRYGAPO00011,9170140.0,3199205.84,2484273.0
6,2929972.98,2018-12-21T10:14:56,100000000.0,2018-12-11,GPF,10000000000.0,GPF11122018,188,154357.42,0.0,1.285752,TRYGAPO00011,9194668.0,3077778.4,2393758.0
7,2933095.12,2018-12-22T10:14:55,100000000.0,2018-12-12,GPF,10000000000.0,GPF12122018,186,22515.21,0.0,1.287038,TRYGAPO00011,9219196.0,2948882.37,2291217.0
8,2912089.57,2018-12-23T10:14:54,100000000.0,2018-12-13,GPF,10000000000.0,GPF13122018,183,4691.39,0.0,1.287726,TRYGAPO00011,9227372.0,2909875.18,2259701.0
9,2915690.5,2018-12-24T10:14:53,100000000.0,2018-12-14,GPF,10000000000.0,GPF14122018,182,8631.83,0.0,1.289238,TRYGAPO00011,9235549.0,2917236.99,2262761.0
