,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,1446584.56,2018-12-13T10:14:57,250000000.0,2018-12-03,GPG,250000000.0,GPG03122018,92,2302.39,268848.62,1.004402,TRYGEPO00039,9032171.0,1404857.25,1398700.0
1,1456171.41,2018-12-14T10:14:56,250000000.0,2018-12-04,GPG,250000000.0,GPG04122018,88,2311.44,258936.15,1.005258,TRYGEPO00039,9057721.0,1406055.06,1398700.0
2,1400726.56,2018-12-15T10:14:55,250000000.0,2018-12-05,GPG,250000000.0,GPG05122018,89,2302.39,259112.76,1.004522,TRYGEPO00039,9082249.0,1369967.19,1363800.0
3,1279739.53,2018-12-16T10:14:54,250000000.0,2018-12-06,GPG,250000000.0,GPG06122018,90,2214.88,259283.71,1.003563,TRYGEPO00039,9090425.0,1371769.94,1366900.0
4,1309030.96,2018-12-17T10:14:59,250000000.0,2018-12-07,GPG,250000000.0,GPG07122018,91,1748.83,259468.25,1.002841,TRYGEPO00039,9098601.0,1356744.26,1352900.0
5,1391053.26,2018-12-20T10:14:57,250000000.0,2018-12-10,GPG,250000000.0,GPG10122018,92,1704.51,259993.43,1.005782,TRYGEPO00039,9170141.0,1360018.88,1352200.0
6,1397348.11,2018-12-21T10:14:56,250000000.0,2018-12-11,GPG,250000000.0,GPG11122018,91,1703.42,260168.45,1.007815,TRYGEPO00039,9194669.0,1354603.8,1344100.0
7,1378232.87,2018-12-22T10:14:55,250000000.0,2018-12-12,GPG,250000000.0,GPG12122018,89,1704.86,235447.23,1.006225,TRYGEPO00039,9219197.0,1352467.69,1344100.0
8,1469465.95,2018-12-23T10:14:54,250000000.0,2018-12-13,GPG,250000000.0,GPG13122018,88,1482.6,235589.23,0.997594,TRYGEPO00039,9227373.0,1340866.48,1344100.0
9,1579942.26,2018-12-24T10:14:53,250000000.0,2018-12-14,GPG,250000000.0,GPG14122018,89,1480.2,235774.19,0.999063,TRYGEPO00039,9235550.0,1467223.94,1468600.0
10,1610740.64,2018-12-27T10:14:57,250000000.0,2018-12-17,GPG,250000000.0,GPG17122018,89,1450.09,236256.13,0.995709,TRYGEPO00039,9307089.0,1557089.24,1563800.0
11,1641523.11,2018-12-28T10:14:59,250000000.0,2018-12-18,GPG,250000000.0,GPG18122018,91,1450.87,236417.0,0.994627,TRYGEPO00039,9332535.0,1582451.65,1591000.0
12,1629890.89,2018-12-29T10:14:58,250000000.0,2018-12-19,GPG,250000000.0,GPG19122018,91,1452.17,236590.92,0.998603,TRYGEPO00039,9357063.0,1583584.14,1585800.0
13,1616960.38,2018-12-30T10:14:58,250000000.0,2018-12-20,GPG,250000000.0,GPG20122018,91,1451.42,236751.2,1.002525,TRYGEPO00039,9365239.0,1559727.66,1555800.0
14,1501231.86,2018-12-31T10:15:00,250000000.0,2018-12-21,GPG,250000000.0,GPG21122018,90,1451.41,236912.3,1.005047,TRYGEPO00039,9373415.0,1552697.01,1544900.0
15,1537674.18,2019-01-03T10:14:57,250000000.0,2018-12-24,GPG,250000000.0,GPG24122018,89,1451.63,237409.14,1.010302,TRYGEPO00039,9425537.0,1557279.45,1541400.0
16,1541948.21,2019-01-04T10:14:57,250000000.0,2018-12-25,GPG,250000000.0,GPG25122018,88,1451.47,237568.8,1.015981,TRYGEPO00039,9450065.0,1564610.41,1540000.0
17,1522869.27,2019-01-05T10:14:56,250000000.0,2018-12-26,GPG,250000000.0,GPG26122018,87,1451.43,237684.11,1.0131,TRYGEPO00039,9473571.0,1549029.67,1529000.0
18,1552851.02,2019-01-06T10:14:55,250000000.0,2018-12-27,GPG,250000000.0,GPG27122018,85,1451.43,237839.02,1.014772,TRYGEPO00039,9480725.0,1542757.76,1520300.0
19,1651582.94,2019-01-07T10:15:00,250000000.0,2018-12-28,GPG,250000000.0,GPG28122018,85,1453.85,238002.78,1.013519,TRYGEPO00039,9487879.0,1632170.87,1610400.0
20,1663006.93,2019-01-10T10:14:57,250000000.0,2018-12-31,GPG,250000000.0,GPG31122018,85,1445.02,238499.46,1.015857,TRYGEPO00039,9556353.0,1420981.3,1398800.0
21,1411076.9,2019-01-12T10:14:58,250000000.0,2019-01-02,GPG,250000000.0,GPG02012019,84,1441.21,238840.11,1.018514,TRYGEPO00039,9604283.0,1402391.96,1376900.0
22,1396573.34,2019-01-13T10:14:57,250000000.0,2019-01-03,GPG,250000000.0,GPG03012019,82,1451.31,239003.57,1.015025,TRYGEPO00039,9612459.0,1397384.7,1376700.0
23,1401185.03,2019-01-14T10:14:59,250000000.0,2019-01-04,GPG,250000000.0,GPG04012019,82,1209.13,239169.0,1.006529,TRYGEPO00039,9620635.0,1400484.64,1391400.0
24,1657267.96,2019-01-17T10:14:57,250000000.0,2019-01-07,GPG,250000000.0,GPG07012019,83,3642.77,185895.33,1.011759,TRYGEPO00039,9692175.0,1607786.76,1589100.0
25,1660437.42,2019-01-18T10:14:56,250000000.0,2019-01-08,GPG,250000000.0,GPG08012019,82,3632.09,186024.73,1.013427,TRYGEPO00039,9717725.0,1610335.18,1589000.0
26,1576851.97,2019-01-19T10:14:55,250000000.0,2019-01-09,GPG,250000000.0,GPG09012019,81,907.65,186154.15,1.014248,TRYGEPO00039,9742253.0,1596527.41,1574100.0
27,1575437.17,2019-01-20T10:14:54,250000000.0,2019-01-10,GPG,250000000.0,GPG10012019,80,819.46,186281.53,1.013976,TRYGEPO00039,9750429.0,1596200.64,1574200.0
28,1641378.49,2019-01-21T10:14:59,250000000.0,2019-01-11,GPG,250000000.0,GPG11012019,80,819.62,226435.36,1.014063,TRYGEPO00039,9758605.0,1587718.42,1565700.0
29,1618286.16,2019-01-24T10:14:57,250000000.0,2019-01-14,GPG,250000000.0,GPG14012019,77,824.07,246481.87,1.017383,TRYGEPO00039,9830145.0,1593018.47,1565800.0
30,1599960.91,2019-01-25T10:14:56,250000000.0,2019-01-15,GPG,250000000.0,GPG15012019,77,749.69,247231.64,1.020219,TRYGEPO00039,9855695.0,1594602.14,1563000.0
31,1604575.65,2019-01-26T10:14:55,250000000.0,2019-01-16,GPG,250000000.0,GPG16012019,76,749.69,247428.91,1.023777,TRYGEPO00039,9880223.0,1600164.18,1563000.0
32,1520928.5,2019-01-27T10:14:57,250000000.0,2019-01-17,GPG,250000000.0,GPG17012019,76,749.91,247591.51,1.028209,TRYGEPO00039,9888296.0,1609660.59,1565500.0
33,1582829.55,2019-01-28T10:14:59,250000000.0,2019-01-18,GPG,250000000.0,GPG18012019,77,749.59,247754.6,1.034103,TRYGEPO00039,9896472.0,1621059.2,1567600.0
34,1722944.14,2019-01-31T10:14:57,250000000.0,2019-01-21,GPG,250000000.0,GPG21012019,76,766.24,318298.4,1.04084,TRYGEPO00039,9968012.0,1631725.43,1567700.0
35,1674179.37,2019-02-01T10:14:56,250000000.0,2019-01-22,GPG,250000000.0,GPG22012019,76,934.1,278035.45,1.042892,TRYGEPO00039,9993562.0,1635880.01,1568600.0
36,1580053.75,2019-02-02T10:14:55,250000000.0,2019-01-23,GPG,250000000.0,GPG23012019,75,914.16,278215.77,1.043832,TRYGEPO00039,10018090.0,1637981.45,1569200.0
37,1616547.1,2019-02-03T10:14:54,250000000.0,2019-01-24,GPG,250000000.0,GPG24012019,75,912.65,278396.2,1.046852,TRYGEPO00039,10026266.0,1447586.41,1382800.0
38,1817751.11,2019-02-04T10:15:00,250000000.0,2019-01-25,GPG,250000000.0,GPG25012019,75,903.23,278576.76,1.052538,TRYGEPO00039,10034442.0,1595962.99,1516300.0
39,1588173.74,2019-02-07T10:14:57,250000000.0,2019-01-28,GPG,250000000.0,GPG28012019,73,906.45,279119.11,1.050756,TRYGEPO00039,10105982.0,1528430.1,1454600.0
40,1561682.58,2019-02-08T10:14:56,250000000.0,2019-01-29,GPG,250000000.0,GPG29012019,72,904.71,279300.14,1.050234,TRYGEPO00039,10131532.0,1527670.13,1454600.0
41,1938617.84,2019-02-09T10:14:55,250000000.0,2019-01-30,GPG,250000000.0,GPG30012019,73,900.06,329513.99,1.054896,TRYGEPO00039,10156062.0,1926240.33,1826000.0
42,2116658.13,2019-02-10T10:14:54,250000000.0,2019-01-31,GPG,250000000.0,GPG31012019,74,912.65,329746.92,1.05467,TRYGEPO00039,10164236.0,2008407.74,1904300.0
43,2336003.97,2019-02-11T10:14:53,250000000.0,2019-02-01,GPG,250000000.0,GPG01022019,75,924.19,379988.13,1.062116,TRYGEPO00039,10172412.0,2274308.76,2141300.0
44,2282030.05,2019-02-14T10:14:58,250000000.0,2019-02-04,GPG,250000000.0,GPG04022019,77,901.77,380725.39,1.061501,TRYGEPO00039,10243952.0,2298256.85,2165100.0
45,2379109.39,2019-02-15T10:14:57,250000000.0,2019-02-05,GPG,250000000.0,GPG05022019,86,901.51,330810.68,1.065478,TRYGEPO00039,10269502.0,2402971.59,2255300.0
46,2205594.98,2019-02-16T10:14:56,250000000.0,2019-02-06,GPG,250000000.0,GPG06022019,90,5522.17,280759.35,1.069031,TRYGEPO00039,10294030.0,2529433.81,2366100.0
47,2418449.27,2019-02-17T10:15:00,250000000.0,2019-02-07,GPG,250000000.0,GPG07022019,94,5330.11,280940.3,1.070186,TRYGEPO00039,10302103.0,2579897.23,2410700.0
48,2705518.6,2019-02-18T10:14:58,250000000.0,2019-02-08,GPG,250000000.0,GPG08022019,99,5330.11,481252.82,1.070283,TRYGEPO00039,10310279.0,2625619.33,2453200.0
49,2860291.11,2019-02-21T10:14:57,250000000.0,2019-02-11,GPG,250000000.0,GPG11022019,104,2208.52,482053.65,1.069639,TRYGEPO00039,10381819.0,2682760.43,2508100.0
50,3038536.42,2019-02-22T10:14:56,250000000.0,2019-02-12,GPG,250000000.0,GPG12022019,108,2126.93,481970.32,1.075732,TRYGEPO00039,10407369.0,2756563.93,2562500.0
51,3308362.71,2019-02-23T10:14:55,250000000.0,2019-02-13,GPG,250000000.0,GPG13022019,114,2126.06,337173.6,1.07432,TRYGEPO00039,10431896.0,3116815.97,2901200.0
52,3593355.57,2019-02-24T10:14:54,250000000.0,2019-02-14,GPG,250000000.0,GPG14022019,117,2122.96,337389.76,1.069269,TRYGEPO00039,10440072.0,3300511.26,3086700.0
53,3511658.26,2019-02-25T10:14:59,250000000.0,2019-02-15,GPG,250000000.0,GPG15022019,119,2126.06,637803.93,1.072419,TRYGEPO00039,10448248.0,3317526.88,3093500.0
54,3537315.68,2019-02-28T10:14:57,250000000.0,2019-02-18,GPG,250000000.0,GPG18022019,122,2078.06,638830.28,1.072326,TRYGEPO00039,10519788.0,3535996.14,3297500.0
55,3364660.99,2019-03-01T10:14:55,250000000.0,2019-02-19,GPG,250000000.0,GPG19022019,126,201572.03,237516.21,1.072343,TRYGEPO00039,10545338.0,3614224.13,3370400.0
56,3717671.99,2019-03-02T10:14:55,250000000.0,2019-02-20,GPG,250000000.0,GPG20022019,127,1577.76,337667.12,1.074975,TRYGEPO00039,10569866.0,3718444.55,3459100.0
57,3515025.63,2019-03-03T10:14:53,250000000.0,2019-02-21,GPG,250000000.0,GPG21022019,126,1572.03,337757.4,1.077147,TRYGEPO00039,10578042.0,3731882.7,3464600.0
58,3683792.68,2019-03-04T10:14:52,250000000.0,2019-02-22,GPG,250000000.0,GPG22022019,127,1593.04,237780.83,1.079497,TRYGEPO00039,10586217.0,3789789.37,3510700.0
59,3873503.46,2019-03-07T10:14:48,250000000.0,2019-02-25,GPG,250000000.0,GPG25022019,128,1572.03,538807.89,1.082172,TRYGEPO00039,10657757.0,3803727.01,3514900.0
60,3806503.06,2019-03-08T10:15:00,250000000.0,2019-02-26,GPG,250000000.0,GPG26022019,131,1572.03,538581.35,1.086363,TRYGEPO00039,10658779.0,3882444.88,3573800.0
61,4094529.8,2019-03-07T10:14:59,250000000.0,2019-02-27,GPG,250000000.0,GPG27022019,137,1572.03,238545.99,1.085037,TRYGEPO00039,10659801.0,3962879.01,3652300.0
62,5257838.26,2019-03-07T10:15:03,250000000.0,2019-02-28,GPG,250000000.0,GPG28022019,145,1087.9,739012.2,1.086938,TRYGEPO00039,10660823.0,4701657.48,4325600.0
63,5030689.58,2019-03-07T10:15:06,250000000.0,2019-03-01,GPG,250000000.0,GPG01032019,150,1087.9,739536.07,1.09086,TRYGEPO00039,10661845.0,4872325.57,4466500.0
64,5102032.79,2019-03-07T10:15:10,250000000.0,2019-03-04,GPG,250000000.0,GPG04032019,156,1182.79,640225.96,1.092099,TRYGEPO00039,10662867.0,5053358.7,4627200.0
65,4884635.94,2019-03-07T10:15:14,250000000.0,2019-03-05,GPG,250000000.0,GPG05032019,161,1425.65,940801.05,1.095243,TRYGEPO00039,10663889.0,5146107.9,4698600.0
66,4729296.5,2019-03-07T10:15:18,250000000.0,2019-03-06,GPG,250000000.0,GPG06032019,161,1881.16,841151.29,1.096767,TRYGEPO00039,10664911.0,5344876.07,4873300.0
67,6642622.25,2019-03-07T13:50:07,250000000.0,2019-03-07,GPG,250000000.0,GPG07032019,172,5524.65,991644.75,1.098064,TRYGEPO00039,10666955.0,6365038.37,5796600.0
68,6799851.58,2019-03-08T11:50:00,250000000.0,2019-03-08,GPG,250000000.0,GPG08032019,173,1577.21,992094.41,1.098389,TRYGEPO00039,10667977.0,6466108.43,5886900.0
69,7419947.34,2019-03-11T11:50:00,250000000.0,2019-03-11,GPG,250000000.0,GPG11032019,178,2792.51,1244438.43,1.100541,TRYGEPO00039,10668820.0,7290535.76,6624500.0
70,7229257.26,2019-03-12T11:50:00,250000000.0,2019-03-12,GPG,250000000.0,GPG12032019,180,2702.62,1244757.97,1.10332,TRYGEPO00039,10670467.0,7365872.34,6676100.0
71,8273896.91,2019-03-13T11:50:00,250000000.0,2019-03-13,GPG,250000000.0,GPG13032019,182,2709.98,1392499.1,1.102969,TRYGEPO00039,10672992.0,7952515.36,7210100.0
72,8790759.99,2019-03-14T10:50:00,250000000.0,2019-03-14,GPG,250000000.0,GPG14032019,185,2702.62,1343188.86,1.102902,TRYGEPO00039,10675696.0,8220811.67,7453800.0
73,8366003.96,2019-03-15T10:50:00,250000000.0,2019-03-15,GPG,250000000.0,GPG15032019,186,2455.0,1394066.15,1.105955,TRYGEPO00039,10678431.0,8315232.47,7518600.0
74,8216313.7,2019-03-18T10:30:32,250000000.0,2019-03-18,GPG,250000000.0,GPG18032019,188,5200.12,1396430.07,1.108882,TRYGEPO00039,10680744.0,8353100.18,7532900.0
75,8104394.36,2019-03-19T11:50:00,250000000.0,2019-03-19,GPG,250000000.0,GPG19032019,186,5200.13,1396897.35,1.113438,TRYGEPO00039,10683419.0,8508894.23,7642000.0
76,9095725.48,2019-03-20T10:24:48,250000000.0,2019-03-20,GPG,250000000.0,GPG20032019,196,5200.13,1497988.28,1.114914,TRYGEPO00039,10686040.0,8881182.85,7965800.0
77,9768602.73,2019-03-21T10:50:00,250000000.0,2019-03-21,GPG,250000000.0,GPG20032019,204,5180.17,1748838.3,1.115112,TRYGEPO00039,10689591.0,9000848.45,8071700.0
78,9080796.92,2019-03-22T09:50:00,250000000.0,2019-03-22,GPG,250000000.0,GPG21032019,206,5180.17,1699632.92,1.116499,TRYGEPO00039,10691531.0,9272298.12,8304800.0
79,9558041.2,2019-03-25T09:50:00,250000000.0,2019-03-25,GPG,250000000.0,GPG24032019,216,5159.97,2053214.37,1.115157,TRYGEPO00039,10694817.0,9791745.34,8780600.0
80,10114773.32,2019-03-26T09:50:00,250000000.0,2019-03-26,GPG,250000000.0,GPG25032019,216,5139.96,1702392.3,1.117152,TRYGEPO00039,11877053.0,9535337.01,8535400.0
81,11247322.51,2019-03-27T09:50:00,250000000.0,2019-03-27,GPG,250000000.0,GPG26032019,219,5912.78,1753156.81,1.117928,TRYGEPO00039,11879728.0,10096345.58,9031300.0
82,11825893.32,2019-03-28T09:50:00,250000000.0,2019-03-28,GPG,250000000.0,GPG27032019,222,1188.01,1904063.56,1.109934,TRYGEPO00039,11882323.0,9989299.01,8999900.0
83,11112099.67,2019-03-29T10:50:01,250000000.0,2019-03-29,GPG,250000000.0,GPG28032019,222,1179.76,1904855.26,1.117307,TRYGEPO00039,11885085.0,10256770.86,9179900.0
84,9471739.46,2019-04-01T13:50:00,250000000.0,2019-04-01,GPG,250000000.0,GPG01042019,221,1179.97,1807286.8,1.12489,TRYGEPO00039,11889154.0,9437265.59,8389500.0
85,8912401.89,2019-04-02T09:50:00,250000000.0,2019-04-02,GPG,250000000.0,GPG02042019,212,1179.21,1657289.67,1.126387,TRYGEPO00039,11890991.0,9464576.8,8402600.0
86,9584620.15,2019-04-03T09:50:00,250000000.0,2019-04-03,GPG,250000000.0,GPG03042019,218,1211.48,1858320.01,1.125199,TRYGEPO00039,11891764.0,9590294.54,8523200.0
87,10361744.71,2019-04-04T09:50:00,250000000.0,2019-04-04,GPG,250000000.0,GPG04042019,223,1168.9,1759345.31,1.127001,TRYGEPO00039,11892539.0,10264276.41,9107600.0
88,10564121.85,2019-04-05T10:50:00,250000000.0,2019-04-05,GPG,250000000.0,GPG05042019,229,7352.71,1710237.15,1.132584,TRYGEPO00039,11893315.0,10524879.33,9292800.0
89,11141888.85,2019-04-08T10:50:00,250000000.0,2019-04-08,GPG,250000000.0,GPG08042019,236,6949.96,1763661.76,1.133567,TRYGEPO00039,11894092.0,11035727.06,9735400.0
90,11108389.92,2019-04-09T09:50:00,250000000.0,2019-04-09,GPG,250000000.0,GPG09042019,241,6949.98,1414026.69,1.135307,TRYGEPO00039,11894869.0,11191630.21,9857800.0
91,11202072.82,2019-04-10T09:50:00,250000000.0,2019-04-10,GPG,250000000.0,GPG10042019,245,6478.12,1915417.83,1.137712,TRYGEPO00039,11895617.0,11327744.47,9956600.0
92,11620172.67,2019-04-11T09:50:00,250000000.0,2019-04-11,GPG,250000000.0,GPG11042019,246,6347.31,2016606.52,1.137315,TRYGEPO00039,11896397.0,11524870.79,10133400.0
93,12179760.31,2019-04-12T10:50:00,250000000.0,2019-04-12,GPG,250000000.0,GPG12042019,250,6347.31,1937475.16,1.138614,TRYGEPO00039,11897161.0,11790806.1,10355400.0
94,12238722.46,2019-04-15T10:50:01,250000000.0,2019-04-15,GPG,250000000.0,GPG15042019,253,6347.32,1941266.78,1.138284,TRYGEPO00039,11897925.0,12255791.17,10766900.0
95,12341697.35,2019-04-16T10:50:01,250000000.0,2019-04-16,GPG,250000000.0,GPG16042019,257,6298.46,2399576.09,1.139613,TRYGEPO00039,11898696.0,12504171.95,10972300.0
96,12423939.01,2019-04-17T09:50:00,250000000.0,2019-04-17,GPG,250000000.0,GPG17042019,259,6299.31,2521208.91,1.14155,TRYGEPO00039,11899460.0,12706253.09,11130700.0
97,13737242.2,2019-04-18T10:50:00,250000000.0,2019-04-18,GPG,250000000.0,GPG18042019,258,6269.92,2402570.25,1.143627,TRYGEPO00039,11900224.0,12991374.5,11359800.0
98,14210144.74,2019-04-19T08:50:00,250000000.0,2019-04-19,GPG,250000000.0,GPG19042019,258,6269.37,2388211.4,1.14333,TRYGEPO00039,11900988.0,13398461.16,11718800.0
99,13703628.86,2019-04-22T10:50:03,250000000.0,2019-04-22,GPG,250000000.0,GPG22042019,259,6269.91,2392837.25,1.147646,TRYGEPO00039,11901752.0,13658368.42,11901200.0
100,14207262.45,2019-04-24T10:50:01,250000000.0,2019-04-24,GPG,250000000.0,GPG24042019,262,6269.37,2393772.78,1.147104,TRYGEPO00039,11902516.0,14070838.09,12266400.0
101,14774897.41,2019-04-25T10:50:00,250000000.0,2019-04-25,GPG,250000000.0,GPG25042019,265,6269.37,1430882.19,1.146698,TRYGEPO00039,11903280.0,14614094.22,12744500.0
102,15523484.04,2019-04-26T09:50:01,250000000.0,2019-04-26,GPG,250000000.0,GPG26042019,269,6269.37,1780992.64,1.145264,TRYGEPO00039,11904044.0,15035600.12,13128500.0
103,15859264.34,2019-04-29T10:50:00,250000000.0,2019-04-29,GPG,250000000.0,GPG29042019,275,6269.37,2095037.34,1.146711,TRYGEPO00039,11904809.0,15321890.66,13361600.0
104,16273673.89,2019-04-30T10:50:00,250000000.0,2019-04-30,GPG,250000000.0,GPG30042019,281,6406.87,1975688.3,1.146292,TRYGEPO00039,11905581.0,15645168.84,13648500.0
105,15769431.58,2019-05-02T11:50:01,250000000.0,2019-05-02,GPG,250000000.0,GPG02052019,285,6353.46,2238479.28,1.147109,TRYGEPO00039,11906353.0,15786861.27,13762300.0
106,15165305.27,2019-05-03T08:50:00,250000000.0,2019-05-03,GPG,250000000.0,GPG03052019,285,6352.88,2039240.83,1.145246,TRYGEPO00039,11907119.0,15870358.12,13857600.0
107,16011592.42,2019-05-06T09:50:00,250000000.0,2019-05-06,GPG,250000000.0,GPG06052019,287,6352.88,2844901.58,1.147176,TRYGEPO00039,11907889.0,15794206.53,13767900.0
108,16678025.73,2019-05-07T10:50:01,250000000.0,2019-05-07,GPG,250000000.0,GPG07052019,290,6352.88,3347177.4,1.141497,TRYGEPO00039,11908656.0,16406849.75,14373100.0
109,17347775.1,2019-05-08T10:50:00,250000000.0,2019-05-08,GPG,250000000.0,GPG08052019,293,5072.99,3349374.67,1.143228,TRYGEPO00039,11909423.0,16897479.72,14780500.0
110,17018450.23,2019-05-09T10:50:00,250000000.0,2019-05-09,GPG,250000000.0,GPG09052019,289,2226.59,3351434.97,1.143133,TRYGEPO00039,11910190.0,16359946.45,14311500.0
111,16554727.66,2019-05-10T10:50:00,250000000.0,2019-05-10,GPG,250000000.0,GPG10052019,287,2168.84,3353548.56,1.140582,TRYGEPO00039,11910957.0,16306558.41,14296700.0
112,16616429.28,2019-05-13T10:50:01,250000000.0,2019-05-13,GPG,250000000.0,GPG13052019,285,2045.28,3359656.06,1.141566,TRYGEPO00039,11911722.0,15762853.75,13808100.0
113,16436787.77,2019-05-14T10:52:44,250000000.0,2019-05-14,GPG,250000000.0,GPG14052019,284,1887.78,2475576.65,1.134147,TRYGEPO00039,11912490.0,15686835.97,13831400.0
114,16675115.91,2019-05-15T10:50:00,250000000.0,2019-05-15,GPG,250000000.0,GPG15052019,282,1887.78,1982304.26,1.135974,TRYGEPO00039,11913259.0,15681661.13,13804600.0
115,16123451.4,2019-05-16T10:50:00,250000000.0,2019-05-16,GPG,250000000.0,GPG16052019,280,1640.23,1848197.23,1.133712,TRYGEPO00039,11914029.0,15471543.69,13646800.0
116,15760149.03,2019-05-17T10:50:00,250000000.0,2019-05-17,GPG,250000000.0,GPG17052019,278,1640.15,1999536.52,1.135008,TRYGEPO00039,11914798.0,15306041.25,13485400.0
117,15141209.43,2019-05-20T09:50:00,250000000.0,2019-05-20,GPG,250000000.0,GPG20052019,274,1640.15,2028735.29,1.137608,TRYGEPO00039,11915565.0,15269315.39,13422300.0
118,15202076.33,2019-05-21T10:50:00,250000000.0,2019-05-21,GPG,250000000.0,GPG21052019,275,1640.15,2054692.09,1.137217,TRYGEPO00039,11916332.0,15212211.41,13376700.0
119,15064159.38,2019-05-22T10:50:00,250000000.0,2019-05-22,GPG,250000000.0,GPG22052019,273,1640.15,2136115.16,1.134994,TRYGEPO00039,11917099.0,14944460.37,13167000.0
120,14538168.26,2019-05-23T09:50:01,250000000.0,2019-05-23,GPG,250000000.0,GPG23052019,272,1640.15,1857341.05,1.12858,TRYGEPO00039,11917868.0,14325742.89,12693600.0
121,14418061.43,2019-05-24T10:50:00,250000000.0,2019-05-24,GPG,250000000.0,GPG24052019,267,1640.15,1542819.04,1.128224,TRYGEPO00039,11918635.0,13751465.3,12188600.0
122,13989268.41,2019-05-27T11:50:00,250000000.0,2019-05-27,GPG,250000000.0,GPG27052019,262,1923.53,1204944.0,1.132042,TRYGEPO00039,11919402.0,13535255.47,11956500.0
123,13370974.58,2019-05-28T10:50:00,250000000.0,2019-05-28,GPG,250000000.0,GPG28052019,259,1965.53,975940.17,1.1339,TRYGEPO00039,11920169.0,13531626.81,11933700.0
124,13721731.72,2019-05-29T10:50:00,250000000.0,2019-05-29,GPG,250000000.0,GPG29052019,259,1970.78,535354.28,1.13683,TRYGEPO00039,11920936.0,13498492.87,11873800.0
125,13920768.05,2019-05-30T08:50:00,250000000.0,2019-05-30,GPG,250000000.0,GPG30052019,272,1856.38,495565.45,1.135726,TRYGEPO00039,11921703.0,13330466.1,11737400.0
126,13333686.23,2019-05-31T10:50:00,250000000.0,2019-05-31,GPG,250000000.0,GPG31052019,253,1856.38,670875.51,1.142805,TRYGEPO00039,11922470.0,13355732.89,11686800.0
127,12581752.98,2019-06-03T11:50:00,250000000.0,2019-06-03,GPG,250000000.0,GPG03062019,250,1856.38,702087.09,1.146025,TRYGEPO00039,11923240.0,13318411.83,11621400.0
