,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,236436449.71,2018-12-13T10:14:57,100000000.0,2018-12-03,GPI,10000000000.0,GPI03122018,2720,79510.57,0.0,1.57022,TRYGAPO00037,9032172.0,235081789.21,149712630.0
1,235237296.21,2018-12-14T10:14:56,100000000.0,2018-12-04,GPI,10000000000.0,GPI04122018,2710,59162.58,0.0,1.571411,TRYGAPO00037,9057722.0,234797252.6,149418076.0
2,234867395.71,2018-12-15T10:14:55,100000000.0,2018-12-05,GPI,10000000000.0,GPI05122018,2716,59450.68,0.0,1.570243,TRYGAPO00037,9082250.0,233513973.18,148712015.0
3,233523171.91,2018-12-16T10:14:54,100000000.0,2018-12-06,GPI,10000000000.0,GPI06122018,2708,59769.0,0.0,1.569309,TRYGAPO00037,9090426.0,232836590.45,148368891.0
4,232509279.31,2018-12-17T10:14:59,100000000.0,2018-12-07,GPI,10000000000.0,GPI07122018,2701,60167.6,0.0,1.566718,TRYGAPO00037,9098602.0,232104169.76,148146776.0
5,237948114.64,2018-12-20T10:14:57,100000000.0,2018-12-10,GPI,10000000000.0,GPI10122018,2697,59336.92,0.0,1.570285,TRYGAPO00037,9170142.0,232191877.23,147866035.0
6,234538943.27,2018-12-21T10:14:56,100000000.0,2018-12-11,GPI,10000000000.0,GPI11122018,2695,59363.95,0.0,1.567762,TRYGAPO00037,9194670.0,230869586.1,147260615.0
7,231311802.4,2018-12-22T10:14:55,100000000.0,2018-12-12,GPI,10000000000.0,GPI12122018,2691,60272.94,0.0,1.569835,TRYGAPO00037,9219198.0,229848996.17,146415989.0
8,229544227.64,2018-12-23T10:14:54,100000000.0,2018-12-13,GPI,10000000000.0,GPI13122018,2687,59688.34,0.0,1.566624,TRYGAPO00037,9227374.0,228574693.54,145902685.0
9,225338292.17,2018-12-24T10:14:53,100000000.0,2018-12-14,GPI,10000000000.0,GPI14122018,2679,59456.29,0.0,1.57082,TRYGAPO00037,9235551.0,228618964.98,145541200.0
10,224795795.26,2018-12-27T10:14:57,100000000.0,2018-12-17,GPI,10000000000.0,GPI17122018,2674,59646.99,0.0,1.570368,TRYGAPO00037,9307090.0,225476325.06,143581808.0
11,225391063.8,2018-12-28T10:14:59,100000000.0,2018-12-18,GPI,10000000000.0,GPI18122018,2668,39615.69,0.0,1.568852,TRYGAPO00037,9332536.0,224920394.73,143366214.0
12,224990820.9,2018-12-29T10:14:58,100000000.0,2018-12-19,GPI,10000000000.0,GPI19122018,2668,58727.15,0.0,1.5686,TRYGAPO00037,9357064.0,224146436.96,142895851.0
13,225030770.09,2018-12-30T10:14:58,100000000.0,2018-12-20,GPI,10000000000.0,GPI20122018,2656,48982.71,0.0,1.572346,TRYGAPO00037,9365240.0,223899837.83,142398536.0
14,223913254.4,2018-12-31T10:15:00,100000000.0,2018-12-21,GPI,10000000000.0,GPI21122018,2644,49414.85,0.0,1.570841,TRYGAPO00037,9373416.0,220241222.43,140205937.0
15,220157481.2,2019-01-03T10:14:57,100000000.0,2018-12-24,GPI,10000000000.0,GPI24122018,2637,49593.6,0.0,1.568724,TRYGAPO00037,9425538.0,217771385.98,138820743.0
16,217915182.83,2019-01-04T10:14:57,100000000.0,2018-12-25,GPI,10000000000.0,GPI25122018,2623,49454.58,0.0,1.568283,TRYGAPO00037,9450066.0,217480626.75,138674340.0
17,217473224.04,2019-01-05T10:14:56,100000000.0,2018-12-26,GPI,10000000000.0,GPI26122018,2623,79807.88,0.0,1.566167,TRYGAPO00037,9473572.0,214608306.13,137027769.0
18,214448945.56,2019-01-06T10:14:55,100000000.0,2018-12-27,GPI,10000000000.0,GPI27122018,2607,70611.04,0.0,1.566669,TRYGAPO00037,9480726.0,214297610.21,136785501.0
19,213338241.05,2019-01-07T10:15:00,100000000.0,2018-12-28,GPI,10000000000.0,GPI28122018,2596,70981.07,0.0,1.568486,TRYGAPO00037,9487880.0,213571635.18,136164156.0
20,212574216.48,2019-01-10T10:14:57,100000000.0,2018-12-31,GPI,10000000000.0,GPI31122018,2593,89894.46,0.0,1.566017,TRYGAPO00037,9556354.0,212418404.8,135642472.0
21,212606991.66,2019-01-12T10:14:58,100000000.0,2019-01-02,GPI,10000000000.0,GPI02012019,2583,70618.98,0.0,1.572068,TRYGAPO00037,9604284.0,212749799.64,135331142.0
22,210390500.46,2019-01-13T10:14:57,100000000.0,2019-01-03,GPI,10000000000.0,GPI03012019,2577,39682.61,0.0,1.567108,TRYGAPO00037,9612460.0,211242484.68,134797632.0
23,205955314.38,2019-01-14T10:14:59,100000000.0,2019-01-04,GPI,10000000000.0,GPI04012019,2568,40208.54,0.0,1.569419,TRYGAPO00037,9620636.0,210145201.04,133900025.0
24,207707531.35,2019-01-17T10:14:57,100000000.0,2019-01-07,GPI,10000000000.0,GPI07012019,2558,40553.63,0.0,1.57135,TRYGAPO00037,9692176.0,209552136.66,133358042.0
25,209944614.99,2019-01-18T10:14:56,100000000.0,2019-01-08,GPI,10000000000.0,GPI08012019,2545,39689.78,0.0,1.57251,TRYGAPO00037,9717726.0,209582549.58,133279001.0
26,208474274.33,2019-01-19T10:14:55,100000000.0,2019-01-09,GPI,10000000000.0,GPI09012019,2546,40463.43,0.0,1.576207,TRYGAPO00037,9742254.0,208490970.7,132273891.0
27,207270551.53,2019-01-20T10:14:54,100000000.0,2019-01-10,GPI,10000000000.0,GPI10012019,2538,40780.39,0.0,1.57689,TRYGAPO00037,9750430.0,204846163.45,129905183.0
28,201850786.81,2019-01-21T10:14:59,100000000.0,2019-01-11,GPI,10000000000.0,GPI11012019,2526,40006.56,0.0,1.577234,TRYGAPO00037,9758606.0,203307439.49,128901263.0
29,202660864.41,2019-01-24T10:14:57,100000000.0,2019-01-14,GPI,10000000000.0,GPI14012019,2523,40196.12,0.0,1.579428,TRYGAPO00037,9830146.0,202643120.52,128301618.0
30,201445841.39,2019-01-25T10:14:56,100000000.0,2019-01-15,GPI,10000000000.0,GPI15012019,2514,40035.0,0.0,1.580705,TRYGAPO00037,9855696.0,202635349.93,128193050.0
31,200130019.64,2019-01-26T10:14:55,100000000.0,2019-01-16,GPI,10000000000.0,GPI16012019,2507,40688.05,0.0,1.581528,TRYGAPO00037,9880224.0,201797196.36,127596372.0
32,198661802.7,2019-01-27T10:14:57,100000000.0,2019-01-17,GPI,10000000000.0,GPI17012019,2493,40430.96,0.0,1.583177,TRYGAPO00037,9888297.0,200837878.83,126857469.0
33,201360138.28,2019-01-28T10:14:59,100000000.0,2019-01-18,GPI,10000000000.0,GPI18012019,2487,33529.1,0.0,1.585904,TRYGAPO00037,9896473.0,200387362.27,126355307.0
34,200000157.02,2019-01-31T10:14:57,100000000.0,2019-01-21,GPI,10000000000.0,GPI21012019,2477,34345.49,0.0,1.589423,TRYGAPO00037,9968013.0,199799904.81,125705953.0
35,197278188.31,2019-02-01T10:14:56,100000000.0,2019-01-22,GPI,10000000000.0,GPI22012019,2469,33765.45,0.0,1.589686,TRYGAPO00037,9993563.0,199160083.04,125282630.0
36,198474140.55,2019-02-02T10:14:55,100000000.0,2019-01-23,GPI,10000000000.0,GPI23012019,2472,34143.93,0.0,1.593959,TRYGAPO00037,10018091.0,198463463.45,124509772.0
37,198730907.02,2019-02-03T10:14:54,100000000.0,2019-01-24,GPI,10000000000.0,GPI24012019,2472,48156.2,0.0,1.592361,TRYGAPO00037,10026267.0,198181085.94,124457365.0
38,199130492.48,2019-02-04T10:15:00,100000000.0,2019-01-25,GPI,10000000000.0,GPI25012019,2471,33694.58,0.0,1.597098,TRYGAPO00037,10034443.0,198598991.36,124349934.0
39,199502671.79,2019-02-07T10:14:57,100000000.0,2019-01-28,GPI,10000000000.0,GPI28012019,2470,33826.59,0.0,1.600212,TRYGAPO00037,10105983.0,199088749.71,124414007.0
40,199434464.86,2019-02-08T10:14:56,100000000.0,2019-01-29,GPI,10000000000.0,GPI29012019,2467,32938.8,0.0,1.599274,TRYGAPO00037,10131533.0,198835491.65,124328595.0
41,199952834.26,2019-02-09T10:14:55,100000000.0,2019-01-30,GPI,10000000000.0,GPI30012019,2474,33750.62,0.0,1.603038,TRYGAPO00037,10156063.0,199281766.58,124315067.0
42,199904862.58,2019-02-10T10:14:54,100000000.0,2019-01-31,GPI,10000000000.0,GPI31012019,2474,34174.82,0.0,1.603686,TRYGAPO00037,10164237.0,199397485.7,124336986.0
43,199844007.66,2019-02-11T10:14:53,100000000.0,2019-02-01,GPI,10000000000.0,GPI01022019,2473,34467.33,0.0,1.604668,TRYGAPO00037,10172413.0,198984994.96,124003851.0
44,199161650.95,2019-02-14T10:14:58,100000000.0,2019-02-04,GPI,10000000000.0,GPI04022019,2469,23965.06,0.0,1.603824,TRYGAPO00037,10243953.0,198858099.11,123989943.0
45,199575638.6,2019-02-15T10:14:57,100000000.0,2019-02-05,GPI,10000000000.0,GPI05022019,2471,33995.93,0.0,1.603372,TRYGAPO00037,10269503.0,199440809.99,124388363.0
46,199733417.21,2019-02-16T10:14:56,100000000.0,2019-02-06,GPI,10000000000.0,GPI06022019,2472,34153.42,0.0,1.603838,TRYGAPO00037,10294031.0,199358516.6,124300938.0
47,203362166.01,2019-02-17T10:15:00,100000000.0,2019-02-07,GPI,10000000000.0,GPI07022019,2461,33991.15,0.0,1.604369,TRYGAPO00037,10302104.0,199132200.81,124118724.0
48,210096680.43,2019-02-18T10:14:58,100000000.0,2019-02-08,GPI,10000000000.0,GPI08022019,2464,34594.19,0.0,1.606742,TRYGAPO00037,10310280.0,200152022.57,124570082.0
49,201045567.25,2019-02-21T10:14:57,100000000.0,2019-02-11,GPI,10000000000.0,GPI11022019,2459,47327.98,0.0,1.60874,TRYGAPO00037,10381820.0,200726557.05,124772545.0
50,201904634.03,2019-02-22T10:14:56,100000000.0,2019-02-12,GPI,10000000000.0,GPI12022019,2462,34875.72,0.0,1.613964,TRYGAPO00037,10407370.0,201254247.37,124695636.0
51,201889244.67,2019-02-23T10:14:55,100000000.0,2019-02-13,GPI,10000000000.0,GPI13022019,2474,24293.11,0.0,1.612957,TRYGAPO00037,10431897.0,201245904.51,124768328.0
52,202787741.1,2019-02-24T10:14:54,100000000.0,2019-02-14,GPI,10000000000.0,GPI14022019,2472,24712.5,0.0,1.610686,TRYGAPO00037,10440073.0,202251345.33,125568466.0
53,202851776.86,2019-02-25T10:14:59,100000000.0,2019-02-15,GPI,10000000000.0,GPI15022019,2470,23279.03,0.0,1.613991,TRYGAPO00037,10448249.0,202582439.28,125516500.0
54,203113088.52,2019-02-28T10:14:57,100000000.0,2019-02-18,GPI,10000000000.0,GPI18022019,2470,24142.57,0.0,1.616364,TRYGAPO00037,10519789.0,202947373.75,125557961.0
55,203075488.99,2019-03-01T10:14:55,100000000.0,2019-02-19,GPI,10000000000.0,GPI19022019,2471,24516.0,0.0,1.614457,TRYGAPO00037,10545339.0,202868184.56,125657205.0
56,203839698.47,2019-03-02T10:14:55,100000000.0,2019-02-20,GPI,10000000000.0,GPI20022019,2485,34083.78,0.0,1.615639,TRYGAPO00037,10569867.0,203233630.32,125791453.0
57,204162037.56,2019-03-03T10:14:53,100000000.0,2019-02-21,GPI,10000000000.0,GPI21022019,2483,24201.67,0.0,1.617814,TRYGAPO00037,10578043.0,203336208.9,125685782.0
58,205108023.57,2019-03-04T10:14:52,100000000.0,2019-02-22,GPI,10000000000.0,GPI22022019,2477,43983.95,0.0,1.620156,TRYGAPO00037,10586218.0,204498469.13,126221507.0
