,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,60216960.86,2018-12-13T10:14:57,100000000.0,2018-12-03,GPU,10000000000.0,GPU03122018,1450,62746.08,6606147.94,1.680427,TRYGAPO00045,9032173.0,59873351.86,35629846.0
1,60144913.54,2018-12-14T10:14:56,100000000.0,2018-12-04,GPU,10000000000.0,GPU04122018,1450,60561.84,6606147.94,1.683028,TRYGAPO00045,9057723.0,59914581.19,35599276.0
2,59884393.81,2018-12-15T10:14:55,100000000.0,2018-12-05,GPU,10000000000.0,GPU05122018,1454,60845.47,6606147.94,1.680484,TRYGAPO00045,9082251.0,59740638.76,35549655.0
3,59688590.26,2018-12-16T10:14:54,100000000.0,2018-12-06,GPU,10000000000.0,GPU06122018,1446,60451.89,6606147.94,1.676045,TRYGAPO00045,9090427.0,59531571.09,35519074.0
4,59337048.82,2018-12-17T10:14:59,100000000.0,2018-12-07,GPU,10000000000.0,GPU07122018,1439,60554.59,6606147.94,1.669952,TRYGAPO00045,9098603.0,59099043.93,35389673.0
5,59301061.22,2018-12-20T10:14:57,100000000.0,2018-12-10,GPU,10000000000.0,GPU10122018,1427,60387.4,6606147.94,1.674639,TRYGAPO00045,9170143.0,59073227.69,35275203.0
6,58895884.91,2018-12-21T10:14:56,100000000.0,2018-12-11,GPU,10000000000.0,GPU11122018,1419,60790.27,6606147.94,1.668723,TRYGAPO00045,9194671.0,58755859.33,35210068.0
7,58843835.24,2018-12-22T10:14:55,100000000.0,2018-12-12,GPU,10000000000.0,GPU12122018,1416,60806.57,6606147.94,1.670803,TRYGAPO00045,9219199.0,58668506.39,35113968.0
8,58399762.59,2018-12-23T10:14:54,100000000.0,2018-12-13,GPU,10000000000.0,GPU13122018,1408,60908.06,6606147.94,1.661912,TRYGAPO00045,9227375.0,57764343.57,34757767.0
9,58169788.45,2018-12-24T10:14:53,100000000.0,2018-12-14,GPU,10000000000.0,GPU14122018,1402,60819.95,6606147.94,1.669711,TRYGAPO00045,9235552.0,57993499.11,34732661.0
10,57917410.03,2018-12-27T10:14:57,100000000.0,2018-12-17,GPU,10000000000.0,GPU17122018,1400,55022.38,6606147.94,1.666942,TRYGAPO00045,9307091.0,57794915.19,34671222.0
11,57717942.17,2018-12-28T10:14:59,100000000.0,2018-12-18,GPU,10000000000.0,GPU18122018,1397,36279.16,0.0,1.664061,TRYGAPO00045,9332537.0,57229216.43,34391300.0
12,57166188.78,2018-12-29T10:14:58,100000000.0,2018-12-19,GPU,10000000000.0,GPU19122018,1392,54762.69,0.0,1.66201,TRYGAPO00045,9357065.0,56537984.76,34017840.0
13,56789282.42,2018-12-30T10:14:58,100000000.0,2018-12-20,GPU,10000000000.0,GPU20122018,1373,50690.3,0.0,1.667775,TRYGAPO00045,9365241.0,56454643.38,33850270.0
14,56341208.55,2018-12-31T10:15:00,100000000.0,2018-12-21,GPU,10000000000.0,GPU21122018,1366,50789.39,0.0,1.663192,TRYGAPO00045,9373417.0,55013126.3,33076826.0
15,54650724.39,2019-01-03T10:14:57,100000000.0,2018-12-24,GPU,10000000000.0,GPU24122018,1360,50781.24,0.0,1.664093,TRYGAPO00045,9425539.0,54948176.47,33019888.0
16,54448299.66,2019-01-04T10:14:57,100000000.0,2018-12-25,GPU,10000000000.0,GPU25122018,1352,50270.02,0.0,1.662252,TRYGAPO00045,9450067.0,54884003.19,33017855.0
17,54789600.43,2019-01-05T10:14:56,100000000.0,2018-12-26,GPU,10000000000.0,GPU26122018,1350,81108.39,0.0,1.659091,TRYGAPO00045,9473573.0,54557416.74,32883917.0
18,54368902.12,2019-01-06T10:14:55,100000000.0,2018-12-27,GPU,10000000000.0,GPU27122018,1347,56897.87,0.0,1.655391,TRYGAPO00045,9480727.0,53842092.7,32525303.0
19,53825630.09,2019-01-07T10:15:00,100000000.0,2018-12-28,GPU,10000000000.0,GPU28122018,1338,50856.3,0.0,1.657526,TRYGAPO00045,9487881.0,53496847.0,32275122.0
20,53418430.4,2019-01-10T10:14:57,100000000.0,2018-12-31,GPU,10000000000.0,GPU31122018,1332,55894.59,0.0,1.653523,TRYGAPO00045,9556355.0,53078002.81,32099948.0
21,53483226.84,2019-01-12T10:14:58,100000000.0,2019-01-02,GPU,10000000000.0,GPU02012019,1326,50094.83,0.0,1.664153,TRYGAPO00045,9604285.0,53351718.94,32059374.0
22,53047929.15,2019-01-13T10:14:57,100000000.0,2019-01-03,GPU,10000000000.0,GPU03012019,1318,30761.68,0.0,1.652665,TRYGAPO00045,9612461.0,52581892.88,31816429.0
23,52886820.65,2019-01-14T10:14:59,100000000.0,2019-01-04,GPU,10000000000.0,GPU04012019,1313,30465.05,0.0,1.654014,TRYGAPO00045,9620637.0,52505666.87,31744395.0
24,52817356.44,2019-01-17T10:14:57,100000000.0,2019-01-07,GPU,10000000000.0,GPU07012019,1311,30028.31,0.0,1.65617,TRYGAPO00045,9692177.0,52380962.1,31627760.0
25,48972755.32,2019-01-18T10:14:56,100000000.0,2019-01-08,GPU,10000000000.0,GPU08012019,1305,30590.17,0.0,1.658711,TRYGAPO00045,9717727.0,52156081.62,31443740.0
26,47416072.65,2019-01-19T10:14:55,100000000.0,2019-01-09,GPU,10000000000.0,GPU09012019,1299,30451.93,0.0,1.666892,TRYGAPO00045,9742255.0,48572003.05,29139262.0
27,46681442.07,2019-01-20T10:14:54,100000000.0,2019-01-10,GPU,10000000000.0,GPU10012019,1281,30590.12,0.0,1.666314,TRYGAPO00045,9750431.0,47067652.14,28246567.0
28,47166985.41,2019-01-21T10:14:59,100000000.0,2019-01-11,GPU,10000000000.0,GPU11012019,1279,30584.04,0.0,1.666863,TRYGAPO00045,9758607.0,46954936.7,28169636.0
29,47169703.92,2019-01-24T10:14:57,100000000.0,2019-01-14,GPU,10000000000.0,GPU14012019,1284,30263.68,0.0,1.671811,TRYGAPO00045,9830147.0,47015495.85,28122496.0
30,47262712.99,2019-01-25T10:14:56,100000000.0,2019-01-15,GPU,10000000000.0,GPU15012019,1280,30703.88,0.0,1.67304,TRYGAPO00045,9855697.0,46851674.05,28003912.0
31,47115361.55,2019-01-26T10:14:55,100000000.0,2019-01-16,GPU,10000000000.0,GPU16012019,1278,30805.75,0.0,1.674526,TRYGAPO00045,9880225.0,46486787.23,27761160.0
32,46811282.55,2019-01-27T10:14:57,100000000.0,2019-01-17,GPU,10000000000.0,GPU17012019,1277,30720.49,0.0,1.679183,TRYGAPO00045,9888298.0,46492974.69,27687862.0
33,46388416.55,2019-01-28T10:14:59,100000000.0,2019-01-18,GPU,10000000000.0,GPU18012019,1272,43957.77,0.0,1.685087,TRYGAPO00045,9896474.0,46432057.25,27554699.0
34,46275262.73,2019-01-31T10:14:57,100000000.0,2019-01-21,GPU,10000000000.0,GPU21012019,1274,44436.95,0.0,1.689962,TRYGAPO00045,9968014.0,46609880.13,27580429.0
35,45753351.32,2019-02-01T10:14:56,100000000.0,2019-01-22,GPU,10000000000.0,GPU22012019,1277,44006.01,0.0,1.6897,TRYGAPO00045,9993564.0,46428610.4,27477425.0
36,45451529.87,2019-02-02T10:14:55,100000000.0,2019-01-23,GPU,10000000000.0,GPU23012019,1281,43834.89,0.0,1.696714,TRYGAPO00045,10018092.0,45464528.61,26795628.0
37,44612733.82,2019-02-03T10:14:54,100000000.0,2019-01-24,GPU,10000000000.0,GPU24012019,1277,42909.53,0.0,1.694417,TRYGAPO00045,10026268.0,45345462.2,26761697.0
38,45911954.23,2019-02-04T10:15:00,100000000.0,2019-01-25,GPU,10000000000.0,GPU25012019,1281,44057.65,0.0,1.699388,TRYGAPO00045,10034444.0,46019667.52,27080136.0
39,46500751.16,2019-02-07T10:14:57,100000000.0,2019-01-28,GPU,10000000000.0,GPU28012019,1284,43670.14,0.0,1.702079,TRYGAPO00045,10105984.0,45820506.56,26920319.0
40,45803255.46,2019-02-08T10:14:56,100000000.0,2019-01-29,GPU,10000000000.0,GPU29012019,1287,44099.01,8185572.62,1.701821,TRYGAPO00045,10131534.0,45786747.53,26904569.0
41,46239858.66,2019-02-09T10:14:55,100000000.0,2019-01-30,GPU,10000000000.0,GPU30012019,1285,43818.95,8185572.62,1.71091,TRYGAPO00045,10156064.0,46005676.63,26889600.0
42,46357349.03,2019-02-10T10:14:54,100000000.0,2019-01-31,GPU,10000000000.0,GPU31012019,1288,38378.63,8185572.62,1.709301,TRYGAPO00045,10164238.0,46177480.14,27015415.0
43,46608612.01,2019-02-11T10:14:53,100000000.0,2019-02-01,GPU,10000000000.0,GPU01022019,1287,39020.57,8185572.62,1.707105,TRYGAPO00045,10172414.0,46391933.96,27175793.0
44,46282131.72,2019-02-14T10:14:58,100000000.0,2019-02-04,GPU,10000000000.0,GPU04022019,1293,33342.92,8185572.62,1.703259,TRYGAPO00045,10243954.0,46421213.44,27254341.0
45,46494418.22,2019-02-15T10:14:57,100000000.0,2019-02-05,GPU,10000000000.0,GPU05022019,1294,33511.23,8185572.62,1.702515,TRYGAPO00045,10269504.0,46635480.2,27392109.0
46,53452242.61,2019-02-16T10:14:56,100000000.0,2019-02-06,GPU,10000000000.0,GPU06022019,1298,33303.6,8185572.62,1.702349,TRYGAPO00045,10294032.0,50515225.23,29673838.0
47,53177114.01,2019-02-17T10:15:00,100000000.0,2019-02-07,GPU,10000000000.0,GPU07022019,1293,34237.74,8185572.62,1.702598,TRYGAPO00045,10302105.0,50364483.21,29580963.0
48,50687840.32,2019-02-18T10:14:58,100000000.0,2019-02-08,GPU,10000000000.0,GPU08022019,1292,23487.7,8185572.62,1.706902,TRYGAPO00045,10310281.0,50393948.69,29523630.0
49,50614500.12,2019-02-21T10:14:57,100000000.0,2019-02-11,GPU,10000000000.0,GPU11022019,1288,25944.0,8185572.62,1.707327,TRYGAPO00045,10381821.0,50488150.16,29571459.0
50,51089565.26,2019-02-22T10:14:56,100000000.0,2019-02-12,GPU,10000000000.0,GPU12022019,1285,33853.8,8185572.62,1.717827,TRYGAPO00045,10407371.0,50800956.86,29572802.0
51,50980360.09,2019-02-23T10:14:55,100000000.0,2019-02-13,GPU,10000000000.0,GPU13022019,1296,33389.65,8185572.62,1.714691,TRYGAPO00045,10431898.0,51116650.7,29810992.0
52,51272582.14,2019-02-24T10:14:54,100000000.0,2019-02-14,GPU,10000000000.0,GPU14022019,1300,23458.36,8185572.62,1.708567,TRYGAPO00045,10440074.0,51233314.87,29986129.0
53,51800342.97,2019-02-25T10:14:59,100000000.0,2019-02-15,GPU,10000000000.0,GPU15022019,1304,23372.64,8185572.62,1.714024,TRYGAPO00045,10448250.0,50826663.46,29653416.0
54,50966905.15,2019-02-28T10:14:57,100000000.0,2019-02-18,GPU,10000000000.0,GPU18022019,1302,23362.32,8185572.62,1.715528,TRYGAPO00045,10519790.0,50876275.58,29656337.0
55,50939558.92,2019-03-01T10:14:55,100000000.0,2019-02-19,GPU,10000000000.0,GPU19022019,1303,24089.23,8185572.62,1.712941,TRYGAPO00045,10545340.0,50490236.34,29475758.0
56,50904749.23,2019-03-02T10:14:55,100000000.0,2019-02-20,GPU,10000000000.0,GPU20022019,1319,24157.91,8185572.62,1.715251,TRYGAPO00045,10569868.0,50600040.78,29500087.0
57,51535143.7,2019-03-03T10:14:53,100000000.0,2019-02-21,GPU,10000000000.0,GPU21022019,1320,26910.99,8185572.62,1.718229,TRYGAPO00045,10578044.0,50799473.57,29565017.0
58,51441011.59,2019-03-04T10:14:52,100000000.0,2019-02-22,GPU,10000000000.0,GPU22022019,1322,39051.04,8185572.62,1.72305,TRYGAPO00045,10586219.0,50841089.86,29506454.0
59,51493719.39,2019-03-07T10:14:48,100000000.0,2019-02-25,GPU,10000000000.0,GPU25022019,1327,39218.59,8185572.62,1.725837,TRYGAPO00045,10657759.0,51027725.86,29566947.0
60,51255829.22,2019-03-08T10:15:00,100000000.0,2019-02-26,GPU,10000000000.0,GPU26022019,1324,38085.93,8185572.62,1.7246,TRYGAPO00045,10658781.0,50944899.17,29540124.0
61,51208738.34,2019-03-07T10:14:59,100000000.0,2019-02-27,GPU,10000000000.0,GPU27022019,1325,44033.62,8185572.62,1.731633,TRYGAPO00045,10659803.0,51141112.86,29533459.0
62,51153119.45,2019-03-07T10:15:03,100000000.0,2019-02-28,GPU,10000000000.0,GPU28022019,1324,42295.96,8185572.62,1.727644,TRYGAPO00045,10660825.0,50985224.04,29511411.0
63,50999850.93,2019-03-07T10:15:06,100000000.0,2019-03-01,GPU,10000000000.0,GPU01032019,1320,44102.94,8185572.62,1.733861,TRYGAPO00045,10661847.0,51136075.28,29492611.0
64,50781081.77,2019-03-07T10:15:10,100000000.0,2019-03-04,GPU,10000000000.0,GPU04032019,1319,44096.22,8185572.62,1.728548,TRYGAPO00045,10662869.0,50931237.86,29464749.0
65,51571238.38,2019-03-07T10:15:14,100000000.0,2019-03-05,GPU,10000000000.0,GPU05032019,1324,39097.44,8185572.62,1.73537,TRYGAPO00045,10663891.0,51322061.7,29574125.0
66,50917556.43,2019-03-07T10:15:18,100000000.0,2019-03-06,GPU,10000000000.0,GPU06032019,1324,44189.68,0.0,1.733608,TRYGAPO00045,10664913.0,51315953.26,29600664.0
67,51984841.92,2019-03-07T13:50:07,100000000.0,2019-03-07,GPU,10000000000.0,GPU07032019,1330,44159.55,0.0,1.734014,TRYGAPO00045,10666957.0,51975680.79,29974205.0
68,51879826.43,2019-03-08T12:50:03,100000000.0,2019-03-08,GPU,10000000000.0,GPU08032019,1331,34764.35,0.0,1.731793,TRYGAPO00045,10667979.0,52024567.75,30040871.0
69,51514780.1,2019-03-11T11:50:00,100000000.0,2019-03-11,GPU,10000000000.0,GPU11032019,1333,34812.55,0.0,1.729415,TRYGAPO00045,10668822.0,51689266.87,29888303.0
70,52149173.71,2019-03-12T11:50:00,100000000.0,2019-03-12,GPU,10000000000.0,GPU12032019,1330,34556.39,0.0,1.726411,TRYGAPO00045,10671793.0,51392635.73,29768478.0
71,52014277.88,2019-03-13T12:50:00,100000000.0,2019-03-13,GPU,10000000000.0,GPU13032019,1324,35120.67,0.0,1.733677,TRYGAPO00045,10674602.0,51225642.98,29547397.0
72,51338167.05,2019-03-14T12:50:00,100000000.0,2019-03-14,GPU,10000000000.0,GPU14032019,1321,35119.46,0.0,1.737004,TRYGAPO00045,10677341.0,51443170.02,29616032.0
73,51884176.12,2019-03-15T12:50:00,100000000.0,2019-03-15,GPU,10000000000.0,GPU15032019,1326,35276.5,0.0,1.739573,TRYGAPO00045,10680069.0,51087341.98,29367745.0
74,51414853.43,2019-03-18T13:50:00,100000000.0,2019-03-18,GPU,10000000000.0,GPU18032019,1322,29719.62,0.0,1.745372,TRYGAPO00045,10682355.0,51218398.56,29345261.0
75,51738780.1,2019-03-19T12:50:00,100000000.0,2019-03-19,GPU,10000000000.0,GPU19032019,1325,32533.07,0.0,1.75473,TRYGAPO00045,10684926.0,51515484.69,29358066.0
76,51459216.36,2019-03-20T11:50:03,100000000.0,2019-03-20,GPU,10000000000.0,GPU20032019,1325,35253.2,0.0,1.756831,TRYGAPO00045,10687411.0,51469472.2,29296776.0
77,53065849.79,2019-03-21T11:50:00,100000000.0,2019-03-21,GPU,10000000000.0,GPU20032019,1328,34783.99,0.0,1.750572,TRYGAPO00045,10690398.0,51465259.4,29399111.0
78,53047269.19,2019-03-22T11:50:00,100000000.0,2019-03-22,GPU,10000000000.0,GPU21032019,1322,34888.1,0.0,1.751834,TRYGAPO00045,10693151.0,51605296.88,29457877.0
79,51598733.95,2019-03-25T10:50:00,100000000.0,2019-03-25,GPU,10000000000.0,GPU24032019,1325,39835.41,0.0,1.7445,TRYGAPO00045,10696232.0,50997352.19,29233224.0
80,51278905.8,2019-03-26T11:50:01,100000000.0,2019-03-26,GPU,10000000000.0,GPU25032019,1327,34221.0,0.0,1.743389,TRYGAPO00045,11878636.0,51156642.1,29343221.0
81,50917992.24,2019-03-27T11:50:00,100000000.0,2019-03-27,GPU,10000000000.0,GPU26032019,1330,36071.74,0.0,1.725274,TRYGAPO00045,11881197.0,50513719.15,29278662.0
82,49803855.44,2019-03-28T11:50:00,100000000.0,2019-03-28,GPU,10000000000.0,GPU27032019,1319,65426.92,2101415.34,1.697623,TRYGAPO00045,11883976.0,49425835.14,29114735.0
83,52231427.84,2019-03-29T11:50:00,100000000.0,2019-03-29,GPU,10000000000.0,GPU28032019,1314,57275.64,0.0,1.710999,TRYGAPO00045,11886904.0,49694016.2,29043862.0
84,52648347.43,2019-04-01T11:50:00,100000000.0,2019-04-01,GPU,10000000000.0,GPU01042019,1305,58035.09,0.0,1.73028,TRYGAPO00045,11890702.0,50390042.88,29122475.0
85,50021101.4,2019-04-02T11:50:00,100000000.0,2019-04-02,GPU,10000000000.0,GPU02042019,1297,63913.08,0.0,1.719053,TRYGAPO00045,11891667.0,50018486.51,29096527.0
86,50373710.26,2019-04-03T11:50:00,100000000.0,2019-04-03,GPU,10000000000.0,GPU03042019,1293,57373.8,0.0,1.721665,TRYGAPO00045,11892442.0,49838297.79,28947739.0
87,50907352.98,2019-04-04T12:50:01,100000000.0,2019-04-04,GPU,10000000000.0,GPU04042019,1293,47196.45,0.0,1.731215,TRYGAPO00045,11893230.0,50346630.34,29081667.0
88,51153655.49,2019-04-05T11:50:00,100000000.0,2019-04-05,GPU,10000000000.0,GPU05042019,1290,61613.79,0.0,1.755039,TRYGAPO00045,11894008.0,51238499.98,29195083.0
89,51226762.06,2019-04-08T11:50:00,100000000.0,2019-04-08,GPU,10000000000.0,GPU08042019,1294,47900.98,0.0,1.760219,TRYGAPO00045,11894771.0,51279081.69,29132217.0
90,51612023.39,2019-04-09T10:50:00,100000000.0,2019-04-09,GPU,10000000000.0,GPU09042019,1292,48140.55,0.0,1.757506,TRYGAPO00045,11895453.0,51463406.67,29282063.0
91,51884213.31,2019-04-10T12:50:00,100000000.0,2019-04-10,GPU,10000000000.0,GPU10042019,1301,48128.27,0.0,1.76358,TRYGAPO00045,11896314.0,51628427.54,29274779.0
92,51476907.73,2019-04-11T12:50:01,100000000.0,2019-04-11,GPU,10000000000.0,GPU11042019,1303,68304.15,0.0,1.757922,TRYGAPO00045,11897077.0,51493983.21,29292527.0
93,51261582.21,2019-04-12T12:50:00,100000000.0,2019-04-12,GPU,10000000000.0,GPU12042019,1300,44666.3,0.0,1.755709,TRYGAPO00045,11897841.0,50998094.54,29047002.0
94,51643483.12,2019-04-15T11:50:01,100000000.0,2019-04-15,GPU,10000000000.0,GPU15042019,1295,45059.0,0.0,1.759888,TRYGAPO00045,11898603.0,51385317.24,29198059.0
95,51238908.04,2019-04-16T11:50:00,100000000.0,2019-04-16,GPU,10000000000.0,GPU16042019,1294,45824.98,0.0,1.759477,TRYGAPO00045,11899343.0,51310728.89,29162487.0
96,50988148.48,2019-04-17T10:50:00,100000000.0,2019-04-17,GPU,10000000000.0,GPU17042019,1294,46106.53,0.0,1.765501,TRYGAPO00045,11900074.0,51554742.96,29201198.0
97,51169511.04,2019-04-18T10:50:00,100000000.0,2019-04-18,GPU,10000000000.0,GPU18042019,1288,45401.52,0.0,1.767558,TRYGAPO00045,11900782.0,51446852.63,29106180.0
98,51036848.56,2019-04-19T11:50:01,100000000.0,2019-04-19,GPU,10000000000.0,GPU19042019,1285,45947.46,19012232.88,1.76733,TRYGAPO00045,11901668.0,51399485.11,29083133.0
99,50789217.92,2019-04-22T11:50:00,100000000.0,2019-04-22,GPU,10000000000.0,GPU22042019,1278,45969.91,0.0,1.758754,TRYGAPO00045,11902398.0,51118776.17,29065330.0
100,51248726.89,2019-04-24T12:50:00,100000000.0,2019-04-24,GPU,10000000000.0,GPU24042019,1269,45489.43,0.0,1.758925,TRYGAPO00045,11903196.0,51117320.82,29061686.0
101,51443856.0,2019-04-25T12:50:01,100000000.0,2019-04-25,GPU,10000000000.0,GPU25042019,1270,65902.91,0.0,1.765098,TRYGAPO00045,11903960.0,47050630.7,26656108.0
102,46690447.54,2019-04-26T10:50:00,100000000.0,2019-04-26,GPU,10000000000.0,GPU26042019,1263,46174.63,0.0,1.758324,TRYGAPO00045,11904696.0,45882865.05,26094653.0
103,46093867.3,2019-04-29T10:50:00,100000000.0,2019-04-29,GPU,10000000000.0,GPU29042019,1259,65563.19,0.0,1.762871,TRYGAPO00045,11905366.0,45835401.48,26000432.0
104,46252430.16,2019-04-30T10:50:00,100000000.0,2019-04-30,GPU,10000000000.0,GPU30042019,1254,51614.93,0.0,1.76369,TRYGAPO00045,11906170.0,45631659.95,25872836.0
105,46401869.97,2019-05-02T11:50:01,100000000.0,2019-05-02,GPU,10000000000.0,GPU02052019,1255,66492.63,0.0,1.774564,TRYGAPO00045,11907027.0,45408867.93,25588743.0
106,45677734.93,2019-05-03T10:50:01,100000000.0,2019-05-03,GPU,10000000000.0,GPU03052019,1249,66484.73,0.0,1.766997,TRYGAPO00045,11907690.0,45088168.49,25516829.0
107,45588688.04,2019-05-06T12:50:00,100000000.0,2019-05-06,GPU,10000000000.0,GPU06052019,1246,64768.53,0.0,1.765624,TRYGAPO00045,11908572.0,44878850.49,25418121.0
108,46063382.84,2019-05-07T12:50:01,100000000.0,2019-05-07,GPU,10000000000.0,GPU07052019,1245,46434.26,0.0,1.764198,TRYGAPO00045,11909336.0,45111610.33,25570601.0
109,46266032.4,2019-05-08T10:50:00,100000000.0,2019-05-08,GPU,10000000000.0,GPU08052019,1244,37882.05,0.0,1.771355,TRYGAPO00045,11909961.0,44905444.55,25350895.0
110,44337914.19,2019-05-09T12:50:00,100000000.0,2019-05-09,GPU,10000000000.0,GPU09052019,1230,34895.89,0.0,1.773819,TRYGAPO00045,11910870.0,43841519.29,24715886.0
