,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,7938007.69,2018-12-13T10:14:57,250000000.0,2018-12-03,GSP,25000000000.0,GSP03122018,201,10702.51,330636.04,0.024456,TRMGLAWWWWW2,9032174.0,7928845.68,324208809.0
1,7348737.75,2018-12-14T10:14:56,250000000.0,2018-12-04,GSP,25000000000.0,GSP04122018,200,4187.54,150096.16,0.024298,TRMGLAWWWWW2,9057724.0,7876142.35,324145874.0
2,7357756.08,2018-12-15T10:14:55,250000000.0,2018-12-05,GSP,25000000000.0,GSP05122018,201,15527.0,330213.82,0.024091,TRMGLAWWWWW2,9082252.0,7813712.4,324348057.0
3,8220559.52,2018-12-16T10:14:54,250000000.0,2018-12-06,GSP,25000000000.0,GSP06122018,203,9316.33,680424.77,0.02402,TRMGLAWWWWW2,9090428.0,7794375.76,324493326.0
4,8456364.09,2018-12-17T10:14:59,250000000.0,2018-12-07,GSP,25000000000.0,GSP07122018,203,3887.67,790502.14,0.02381,TRMGLAWWWWW2,9098604.0,7721496.4,324291676.0
5,7859685.51,2018-12-20T10:14:57,250000000.0,2018-12-10,GSP,25000000000.0,GSP10122018,203,5223.75,250483.9,0.024043,TRMGLAWWWWW2,9170144.0,7797934.38,324333675.0
6,7266639.42,2018-12-21T10:14:56,250000000.0,2018-12-11,GSP,25000000000.0,GSP11122018,203,2082.61,60038.88,0.023845,TRMGLAWWWWW2,9194672.0,7728578.93,324117613.0
7,7615985.24,2018-12-22T10:14:55,250000000.0,2018-12-12,GSP,25000000000.0,GSP12122018,202,1140.46,190122.85,0.02381,TRMGLAWWWWW2,9219200.0,7718365.99,324163754.0
8,7464882.86,2018-12-23T10:14:54,250000000.0,2018-12-13,GSP,25000000000.0,GSP13122018,202,10181.53,520336.22,0.023314,TRMGLAWWWWW2,9227376.0,7557531.21,324163754.0
9,7040417.5,2018-12-24T10:14:53,250000000.0,2018-12-14,GSP,25000000000.0,GSP14122018,202,851.4,300192.74,0.023636,TRMGLAWWWWW2,9235553.0,7661916.71,324163754.0
10,6373414.09,2018-12-27T10:14:57,250000000.0,2018-12-17,GSP,25000000000.0,GSP17122018,202,1645.92,621194.99,0.02334,TRMGLAWWWWW2,9307092.0,7452021.41,319282234.0
11,7251442.54,2018-12-28T10:14:59,250000000.0,2018-12-18,GSP,25000000000.0,GSP18122018,200,6704.54,810520.4,0.023246,TRMGLAWWWWW2,9332538.0,7421891.5,319282234.0
12,8535242.77,2018-12-29T10:14:58,250000000.0,2018-12-19,GSP,25000000000.0,GSP19122018,200,13129.1,1701071.23,0.02352,TRMGLAWWWWW2,9357066.0,7428248.69,315831168.0
13,7829525.65,2018-12-30T10:14:58,250000000.0,2018-12-20,GSP,25000000000.0,GSP20122018,197,15133.93,900573.29,0.02388,TRMGLAWWWWW2,9365242.0,7541910.55,315826079.0
14,5849690.54,2018-12-31T10:15:00,250000000.0,2018-12-21,GSP,25000000000.0,GSP21122018,197,6638.66,600385.48,0.023805,TRMGLAWWWWW2,9373418.0,7518199.92,315826079.0
15,6661454.2,2019-01-03T10:14:57,250000000.0,2018-12-24,GSP,25000000000.0,GSP24122018,197,26025.68,601151.51,0.023794,TRMGLAWWWWW2,9425540.0,6534347.08,274626161.0
16,7469647.06,2019-01-04T10:14:57,250000000.0,2018-12-25,GSP,25000000000.0,GSP25122018,197,2542.59,1300833.42,0.023766,TRMGLAWWWWW2,9450068.0,6526631.49,274626174.0
17,6886524.96,2019-01-05T10:14:56,250000000.0,2018-12-26,GSP,25000000000.0,GSP26122018,197,9646.92,480317.59,0.023623,TRMGLAWWWWW2,9473574.0,6486480.9,274584175.0
18,6798254.1,2019-01-06T10:14:55,250000000.0,2018-12-27,GSP,25000000000.0,GSP27122018,196,2690.3,370251.4,0.023672,TRMGLAWWWWW2,9480728.0,6498130.2,274505382.0
19,6360084.93,2019-01-07T10:15:00,250000000.0,2018-12-28,GSP,25000000000.0,GSP28122018,196,4567.07,90057.58,0.023629,TRMGLAWWWWW2,9487882.0,6441584.53,272612914.0
20,6297237.9,2019-01-10T10:14:57,250000000.0,2018-12-31,GSP,25000000000.0,GSP31122018,195,1756.84,40076.93,0.023467,TRMGLAWWWWW2,9556356.0,6351630.92,270662945.0
21,6296647.06,2019-01-12T10:14:58,250000000.0,2019-01-02,GSP,25000000000.0,GSP02012019,196,2354.98,140183.34,0.023539,TRMGLAWWWWW2,9604286.0,6371059.48,270663371.0
22,5677632.03,2019-01-13T10:14:57,250000000.0,2019-01-03,GSP,25000000000.0,GSP03012019,196,20790.92,50031.44,0.023041,TRMGLAWWWWW2,9612462.0,6236239.98,270663371.0
23,5693941.61,2019-01-14T10:14:59,250000000.0,2019-01-04,GSP,25000000000.0,GSP04012019,196,4395.55,230145.88,0.022814,TRMGLAWWWWW2,9620638.0,6164698.27,270214037.0
24,6552427.04,2019-01-17T10:14:57,250000000.0,2019-01-07,GSP,25000000000.0,GSP07012019,197,4836.73,671288.6,0.023097,TRMGLAWWWWW2,9692178.0,6315100.97,273421708.0
