,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,89174748.81,2018-12-13T10:14:57,200000000.0,2018-12-03,GTA,20000000000.0,GTA03122018,6773,4024.13,0.0,0.058116,TRYGRAN00027,9032175.0,89006051.59,1531522574.0
1,89429321.43,2018-12-14T10:14:56,200000000.0,2018-12-04,GTA,20000000000.0,GTA04122018,6773,3004.6,0.0,0.058429,TRYGRAN00027,9057725.0,89407319.67,1530192085.0
2,91546020.36,2018-12-15T10:14:55,200000000.0,2018-12-05,GTA,20000000000.0,GTA05122018,6760,4817.62,0.0,0.05995,TRYGRAN00027,9082253.0,91526615.68,1526714007.0
3,92865860.39,2018-12-16T10:14:54,200000000.0,2018-12-06,GTA,20000000000.0,GTA06122018,6768,1561.13,0.0,0.060902,TRYGRAN00027,9090429.0,92837628.96,1524389075.0
4,94086244.62,2018-12-17T10:14:59,200000000.0,2018-12-07,GTA,20000000000.0,GTA07122018,6782,3859.87,0.0,0.061058,TRYGRAN00027,9098605.0,94054668.65,1540419007.0
5,93716435.33,2018-12-20T10:14:57,200000000.0,2018-12-10,GTA,20000000000.0,GTA10122018,6793,6515.32,0.0,0.060772,TRYGRAN00027,9170145.0,93670912.63,1541340733.0
6,93367908.71,2018-12-21T10:14:56,200000000.0,2018-12-11,GTA,20000000000.0,GTA11122018,6803,6866.91,0.0,0.060465,TRYGRAN00027,9194673.0,93317139.58,1543319757.0
7,94661112.34,2018-12-22T10:14:55,200000000.0,2018-12-12,GTA,20000000000.0,GTA12122018,6805,5170.35,0.0,0.061238,TRYGRAN00027,9219201.0,94602970.48,1544834383.0
8,94783992.61,2018-12-23T10:14:54,200000000.0,2018-12-13,GTA,20000000000.0,GTA13122018,6797,2699.15,0.0,0.061293,TRYGRAN00027,9227377.0,94727648.32,1545499028.0
9,95012461.6,2018-12-24T10:14:53,200000000.0,2018-12-14,GTA,20000000000.0,GTA14122018,6795,3578.45,0.0,0.061418,TRYGRAN00027,9235554.0,94951298.94,1545972444.0
10,95537717.87,2018-12-27T10:14:57,200000000.0,2018-12-17,GTA,20000000000.0,GTA17122018,6800,3384.63,0.0,0.061207,TRYGRAN00027,9307093.0,95459386.09,1559619027.0
11,95765248.75,2018-12-28T10:14:59,200000000.0,2018-12-18,GTA,20000000000.0,GTA18122018,6806,4554.51,0.0,0.061229,TRYGRAN00027,9332539.0,95682346.95,1562705141.0
12,96151363.6,2018-12-29T10:14:58,200000000.0,2018-12-19,GTA,20000000000.0,GTA19122018,6806,4597.61,0.0,0.061345,TRYGRAN00027,9357067.0,96062741.13,1565930249.0
13,96044666.83,2018-12-30T10:14:58,200000000.0,2018-12-20,GTA,20000000000.0,GTA20122018,6809,2454.02,0.0,0.061215,TRYGRAN00027,9365243.0,95948143.88,1567401491.0
14,95603009.89,2018-12-31T10:15:00,200000000.0,2018-12-21,GTA,20000000000.0,GTA21122018,6808,5586.37,0.0,0.060637,TRYGRAN00027,9373419.0,95504204.28,1575009559.0
15,96186870.84,2019-01-03T10:14:57,200000000.0,2018-12-24,GTA,20000000000.0,GTA24122018,6810,3425.48,0.0,0.061079,TRYGRAN00027,9425541.0,96068610.95,1572863341.0
16,96596367.33,2019-01-04T10:14:57,200000000.0,2018-12-25,GTA,20000000000.0,GTA25122018,6805,5919.0,0.0,0.061195,TRYGRAN00027,9450069.0,96474813.51,1576524489.0
17,97660534.58,2019-01-05T10:14:56,200000000.0,2018-12-26,GTA,20000000000.0,GTA26122018,6812,1534.55,0.0,0.061807,TRYGRAN00027,9473575.0,97528744.59,1577954563.0
18,97400757.52,2019-01-06T10:14:55,200000000.0,2018-12-27,GTA,20000000000.0,GTA27122018,6816,2855.59,0.0,0.061603,TRYGRAN00027,9480729.0,97264452.7,1578892137.0
19,96370594.24,2019-01-07T10:15:00,200000000.0,2018-12-28,GTA,20000000000.0,GTA28122018,6822,5356.57,0.0,0.061755,TRYGRAN00027,9487883.0,96231016.54,1558265926.0
20,96600977.99,2019-01-10T10:14:57,200000000.0,2018-12-31,GTA,20000000000.0,GTA31122018,6817,4178.47,0.0,0.06166,TRYGRAN00027,9556357.0,96442861.43,1564119898.0
21,97208163.46,2019-01-12T10:14:58,200000000.0,2019-01-02,GTA,20000000000.0,GTA02012019,6817,4920.48,0.0,0.062136,TRYGRAN00027,9604287.0,97039631.77,1561725554.0
22,98330890.63,2019-01-13T10:14:57,200000000.0,2019-01-03,GTA,20000000000.0,GTA03012019,6815,2058.46,0.0,0.062929,TRYGRAN00027,9612463.0,98303457.65,1562124452.0
23,101146714.22,2019-01-14T10:14:59,200000000.0,2019-01-04,GTA,20000000000.0,GTA04012019,6823,5962.73,0.0,0.06438,TRYGRAN00027,9620639.0,101123894.23,1570739905.0
24,102952948.3,2019-01-17T10:14:57,200000000.0,2019-01-07,GTA,20000000000.0,GTA07012019,6844,4146.42,0.0,0.064048,TRYGRAN00027,9692179.0,102910777.71,1606771422.0
25,102792166.84,2019-01-18T10:14:56,200000000.0,2019-01-08,GTA,20000000000.0,GTA08012019,6860,7325.61,0.0,0.063456,TRYGRAN00027,9717729.0,102747380.82,1619196376.0
26,103927610.8,2019-01-19T10:14:55,200000000.0,2019-01-09,GTA,20000000000.0,GTA09012019,6883,8388.81,0.0,0.064033,TRYGRAN00027,9742257.0,103878023.32,1622253865.0
27,105171512.91,2019-01-20T10:14:54,200000000.0,2019-01-10,GTA,20000000000.0,GTA10012019,6890,5117.9,0.0,0.064894,TRYGRAN00027,9750433.0,105112720.74,1619748299.0
28,105657235.42,2019-01-21T10:14:59,200000000.0,2019-01-11,GTA,20000000000.0,GTA11012019,6905,4983.2,0.0,0.064838,TRYGRAN00027,9758609.0,105599087.21,1628649227.0
29,104837651.92,2019-01-24T10:14:57,200000000.0,2019-01-14,GTA,20000000000.0,GTA14012019,6928,7805.8,0.0,0.064285,TRYGRAN00027,9830149.0,104764366.33,1629673907.0
30,108695852.95,2019-01-25T10:14:56,200000000.0,2019-01-15,GTA,20000000000.0,GTA15012019,6955,8861.7,0.0,0.0652,TRYGRAN00027,9855699.0,108617107.37,1665898675.0
31,108985945.74,2019-01-26T10:14:55,200000000.0,2019-01-16,GTA,20000000000.0,GTA16012019,6958,5763.24,0.0,0.064296,TRYGRAN00027,9880227.0,108902467.53,1693778804.0
32,112626498.01,2019-01-27T10:14:57,200000000.0,2019-01-17,GTA,20000000000.0,GTA17012019,6982,4721.07,0.0,0.063878,TRYGRAN00027,9888300.0,112535225.52,1761725978.0
33,112702772.91,2019-01-28T10:14:59,200000000.0,2019-01-18,GTA,20000000000.0,GTA18012019,6996,6664.64,0.0,0.063589,TRYGRAN00027,9896476.0,112607391.54,1770869510.0
34,112591729.18,2019-01-31T10:14:57,200000000.0,2019-01-21,GTA,20000000000.0,GTA21012019,6993,5508.71,0.0,0.06321,TRYGRAN00027,9968016.0,112476217.52,1779398872.0
35,111792560.85,2019-02-01T10:14:56,200000000.0,2019-01-22,GTA,20000000000.0,GTA22012019,6990,5353.26,0.0,0.062687,TRYGRAN00027,9993566.0,111670779.73,1781398352.0
36,112977242.66,2019-02-02T10:14:55,200000000.0,2019-01-23,GTA,20000000000.0,GTA23012019,6986,13057.75,0.0,0.062919,TRYGRAN00027,10018094.0,112856394.65,1793675987.0
37,113208367.69,2019-02-03T10:14:54,200000000.0,2019-01-24,GTA,20000000000.0,GTA24012019,6979,5502.48,0.0,0.062743,TRYGRAN00027,10026270.0,113073180.02,1802162471.0
38,112098267.69,2019-02-04T10:15:00,200000000.0,2019-01-25,GTA,20000000000.0,GTA25012019,6977,6667.13,0.0,0.062114,TRYGRAN00027,10034446.0,111957527.22,1802440342.0
39,112187879.34,2019-02-07T10:14:57,200000000.0,2019-01-28,GTA,20000000000.0,GTA28012019,6967,5009.33,0.0,0.06215,TRYGRAN00027,10105986.0,112025315.3,1802510016.0
40,115031402.28,2019-02-08T10:14:56,200000000.0,2019-01-29,GTA,20000000000.0,GTA29012019,6965,3698.28,0.0,0.062918,TRYGRAN00027,10131536.0,114860636.76,1825550791.0
41,117552332.74,2019-02-09T10:14:55,200000000.0,2019-01-30,GTA,20000000000.0,GTA30012019,6960,3126.16,0.0,0.063958,TRYGRAN00027,10156066.0,117373952.67,1835159593.0
42,118305614.61,2019-02-10T10:14:54,200000000.0,2019-01-31,GTA,20000000000.0,GTA31012019,6974,7857.73,0.0,0.06358,TRYGRAN00027,10164240.0,118125585.41,1857914114.0
43,117098228.21,2019-02-11T10:14:53,200000000.0,2019-02-01,GTA,20000000000.0,GTA01022019,6959,7336.71,0.0,0.062815,TRYGRAN00027,10172416.0,116910663.31,1861181204.0
44,116827319.59,2019-02-14T10:14:58,200000000.0,2019-02-04,GTA,20000000000.0,GTA04022019,6954,3444.19,0.0,0.062907,TRYGRAN00027,10243956.0,116795302.23,1856637087.0
45,116808266.86,2019-02-15T10:14:57,200000000.0,2019-02-05,GTA,20000000000.0,GTA05022019,6955,15053.36,0.0,0.062793,TRYGRAN00027,10269506.0,116788239.11,1859878716.0
46,116444944.36,2019-02-16T10:14:56,200000000.0,2019-02-06,GTA,20000000000.0,GTA06022019,6952,21664.94,0.0,0.062585,TRYGRAN00027,10294034.0,116424542.71,1860274712.0
47,116485336.04,2019-02-17T10:15:00,200000000.0,2019-02-07,GTA,20000000000.0,GTA07022019,6952,17049.43,0.0,0.062738,TRYGRAN00027,10302107.0,116453450.87,1856177931.0
48,116501396.8,2019-02-18T10:14:58,200000000.0,2019-02-08,GTA,20000000000.0,GTA08022019,6948,13662.79,0.0,0.062782,TRYGRAN00027,10310283.0,116459564.83,1854981085.0
49,117057437.39,2019-02-21T10:14:57,200000000.0,2019-02-11,GTA,20000000000.0,GTA11022019,6949,12132.83,0.0,0.063023,TRYGRAN00027,10381823.0,116994290.67,1856368998.0
50,117378066.48,2019-02-22T10:14:56,200000000.0,2019-02-12,GTA,20000000000.0,GTA12022019,6944,7173.43,0.0,0.063042,TRYGRAN00027,10407373.0,117303342.8,1860731555.0
51,117885194.88,2019-02-23T10:14:55,200000000.0,2019-02-13,GTA,20000000000.0,GTA13022019,6940,12190.54,0.0,0.063313,TRYGRAN00027,10431900.0,117817476.91,1860877446.0
52,117410346.36,2019-02-24T10:14:54,200000000.0,2019-02-14,GTA,20000000000.0,GTA14022019,6938,11654.04,0.0,0.063039,TRYGRAN00027,10440076.0,117335051.24,1861313819.0
53,117834213.85,2019-02-25T10:14:59,200000000.0,2019-02-15,GTA,20000000000.0,GTA15022019,6932,6676.74,0.0,0.063329,TRYGRAN00027,10448252.0,117746876.62,1859301738.0
54,118131051.43,2019-02-28T10:14:57,200000000.0,2019-02-18,GTA,20000000000.0,GTA18022019,6928,6191.7,0.0,0.063505,TRYGRAN00027,10519792.0,118023080.13,1858493458.0
55,119480851.04,2019-03-01T10:14:55,200000000.0,2019-02-19,GTA,20000000000.0,GTA19022019,6926,7928.54,0.0,0.064206,TRYGRAN00027,10545342.0,119367455.81,1859145091.0
