,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,17882481.93,2018-12-13T10:14:57,500000000.0,2018-12-03,GUH,50000000000.0,GUH03122018,1370,3481.46,0.0,0.020805,TRYGRAN00571,9032179.0,18081944.13,869098131.0
1,18574017.67,2018-12-14T10:14:56,500000000.0,2018-12-04,GUH,50000000000.0,GUH04122018,1372,7782.14,0.0,0.021274,TRYGRAN00571,9057729.0,18452398.84,867366152.0
2,18504822.32,2018-12-15T10:14:55,500000000.0,2018-12-05,GUH,50000000000.0,GUH05122018,1366,4302.1,0.0,0.021257,TRYGRAN00571,9082257.0,18368562.43,864110921.0
3,18790575.03,2018-12-16T10:14:54,500000000.0,2018-12-06,GUH,50000000000.0,GUH06122018,1360,4711.59,0.0,0.021634,TRYGRAN00571,9090433.0,18659097.27,862475200.0
4,18531071.85,2018-12-17T10:14:59,500000000.0,2018-12-07,GUH,50000000000.0,GUH07122018,1358,3856.48,0.0,0.021408,TRYGRAN00571,9098609.0,18401256.01,859567861.0
5,18077051.63,2018-12-20T10:14:57,500000000.0,2018-12-10,GUH,50000000000.0,GUH10122018,1352,4591.07,0.0,0.020905,TRYGRAN00571,9170149.0,17971675.89,859688333.0
6,17755569.09,2018-12-21T10:14:56,500000000.0,2018-12-11,GUH,50000000000.0,GUH11122018,1350,3806.38,0.0,0.020589,TRYGRAN00571,9194677.0,17641793.8,856842871.0
7,18083124.29,2018-12-22T10:14:55,500000000.0,2018-12-12,GUH,50000000000.0,GUH12122018,1351,5255.76,0.0,0.020989,TRYGRAN00571,9219205.0,17956755.71,855527292.0
8,18263274.22,2018-12-23T10:14:54,500000000.0,2018-12-13,GUH,50000000000.0,GUH13122018,1348,2620.27,0.0,0.021276,TRYGRAN00571,9227381.0,18067547.73,849190797.0
9,18249216.0,2018-12-24T10:14:53,500000000.0,2018-12-14,GUH,50000000000.0,GUH14122018,1349,4463.5,0.0,0.021326,TRYGRAN00571,9235558.0,18079880.93,847795052.0
10,17958550.95,2018-12-27T10:14:57,500000000.0,2018-12-17,GUH,50000000000.0,GUH17122018,1351,2478.97,0.0,0.021116,TRYGRAN00571,9307097.0,17920226.25,848642278.0
11,17800454.98,2018-12-28T10:14:59,500000000.0,2018-12-18,GUH,50000000000.0,GUH18122018,1351,441.09,0.0,0.020931,TRYGRAN00571,9332543.0,17771869.57,849067424.0
12,17505636.82,2018-12-29T10:14:58,500000000.0,2018-12-19,GUH,50000000000.0,GUH19122018,1346,2083.31,0.0,0.020747,TRYGRAN00571,9357071.0,17665110.28,851439825.0
13,17189246.32,2018-12-30T10:14:58,500000000.0,2018-12-20,GUH,50000000000.0,GUH20122018,1345,31012.96,0.0,0.020582,TRYGRAN00571,9365247.0,17350310.46,842984683.0
14,17318550.48,2018-12-31T10:15:00,500000000.0,2018-12-21,GUH,50000000000.0,GUH21122018,1341,3005.38,0.0,0.020474,TRYGRAN00571,9373423.0,17258223.18,842922161.0
15,17066022.65,2019-01-03T10:14:57,500000000.0,2018-12-24,GUH,50000000000.0,GUH24122018,1336,5091.81,0.0,0.020362,TRYGRAN00571,9425545.0,17180006.24,843733070.0
16,17024260.51,2019-01-04T10:14:57,500000000.0,2018-12-25,GUH,50000000000.0,GUH25122018,1337,5970.91,0.0,0.020308,TRYGRAN00571,9450073.0,17070411.03,840575786.0
17,17061986.89,2019-01-05T10:14:56,500000000.0,2018-12-26,GUH,50000000000.0,GUH26122018,1336,2761.09,0.0,0.020347,TRYGRAN00571,9473579.0,16877930.36,829491593.0
18,17140909.15,2019-01-06T10:14:55,500000000.0,2018-12-27,GUH,50000000000.0,GUH27122018,1332,160602.24,0.0,0.020537,TRYGRAN00571,9480733.0,16950023.17,825333302.0
19,16923594.84,2019-01-07T10:15:00,500000000.0,2018-12-28,GUH,50000000000.0,GUH28122018,1323,160511.76,0.0,0.02054,TRYGRAN00571,9487887.0,16852402.67,820464717.0
20,17050726.47,2019-01-10T10:14:57,500000000.0,2018-12-31,GUH,50000000000.0,GUH31122018,1318,9859.84,0.0,0.020606,TRYGRAN00571,9556361.0,16896611.31,820004568.0
21,16998949.68,2019-01-12T10:14:58,500000000.0,2019-01-02,GUH,50000000000.0,GUH02012019,1310,2882.73,0.0,0.020646,TRYGRAN00571,9604291.0,16907817.87,818944488.0
22,17163767.62,2019-01-13T10:14:57,500000000.0,2019-01-03,GUH,50000000000.0,GUH03012019,1312,6988.37,0.0,0.020884,TRYGRAN00571,9612467.0,17067744.05,817257420.0
23,17257117.22,2019-01-14T10:14:59,500000000.0,2019-01-04,GUH,50000000000.0,GUH04012019,1308,7441.15,0.0,0.021022,TRYGRAN00571,9620643.0,17160013.76,816273574.0
