,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,7480271.41,2018-12-13T10:14:57,2000000000.0,2018-12-03,GYK,2000000000.0,GYK03122018,38,13252.56,400764.38,0.014199,TRYGDKM00028,9032180.0,7470226.93,526116570.0
1,7486198.18,2018-12-14T10:14:56,2000000000.0,2018-12-04,GYK,2000000000.0,GYK04122018,38,14008.94,400255.89,0.014211,TRYGDKM00028,9057730.0,7476509.9,526116570.0
2,7491476.14,2018-12-15T10:14:55,2000000000.0,2018-12-05,GYK,2000000000.0,GYK05122018,39,14259.67,400256.99,0.01422,TRYGDKM00028,9082258.0,7481638.19,526116770.0
3,6988852.4,2018-12-16T10:14:54,2000000000.0,2018-12-06,GYK,2000000000.0,GYK06122018,39,14587.8,196124.58,0.014231,TRYGDKM00028,9090434.0,6979351.46,490416770.0
4,6995114.19,2018-12-17T10:14:59,2000000000.0,2018-12-07,GYK,2000000000.0,GYK07122018,39,4882.6,258164.65,0.014244,TRYGDKM00028,9098610.0,6985377.12,490416770.0
5,6999441.23,2018-12-20T10:14:57,2000000000.0,2018-12-10,GYK,2000000000.0,GYK10122018,39,5232.61,247478.1,0.014273,TRYGDKM00028,9170150.0,6989040.46,489666770.0
6,7004293.54,2018-12-21T10:14:56,2000000000.0,2018-12-11,GYK,2000000000.0,GYK11122018,39,5299.14,637409.34,0.014282,TRYGDKM00028,9194678.0,6993578.96,489666770.0
7,6927770.31,2018-12-22T10:14:55,2000000000.0,2018-12-12,GYK,2000000000.0,GYK12122018,38,6178.3,556357.21,0.014292,TRYGDKM00028,9219206.0,6917557.68,484028970.0
8,6916030.55,2018-12-23T10:14:54,2000000000.0,2018-12-13,GYK,2000000000.0,GYK13122018,38,6704.09,307184.94,0.014302,TRYGDKM00028,9227382.0,6906109.77,482878970.0
9,6917064.03,2018-12-24T10:14:53,2000000000.0,2018-12-14,GYK,2000000000.0,GYK14122018,38,7153.9,297187.93,0.014304,TRYGDKM00028,9235559.0,6907216.27,482878970.0
