,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,20869831.38,2018-12-13T10:14:57,20000000.0,2018-12-03,GYL,20000000.0,GYL03122018,4515,4445.01,3220609.0,2.21221,TRMGD2WWWWW8,9032181.0,20840254.67,9420557.0
1,20469650.95,2018-12-14T10:14:56,20000000.0,2018-12-04,GYL,20000000.0,GYL04122018,4496,4537.22,2808491.16,2.213566,TRMGD2WWWWW8,9057731.0,20438994.33,9233516.0
2,20922277.81,2018-12-15T10:14:55,20000000.0,2018-12-05,GYL,20000000.0,GYL05122018,4512,4586.32,3248862.95,2.214953,TRMGD2WWWWW8,9082259.0,20890479.88,9431566.0
3,20397633.74,2018-12-16T10:14:54,20000000.0,2018-12-06,GYL,20000000.0,GYL06122018,4530,3734.29,2765756.12,2.216301,TRMGD2WWWWW8,9090435.0,20364850.12,9188668.0
4,20013648.64,2018-12-17T10:14:59,20000000.0,2018-12-07,GYL,20000000.0,GYL07122018,4496,4035.86,2369503.02,2.217694,TRMGD2WWWWW8,9098611.0,20012842.19,9024169.0
5,19963230.32,2018-12-20T10:14:57,20000000.0,2018-12-10,GYL,20000000.0,GYL10122018,4497,3473.23,2319493.89,2.222202,TRMGD2WWWWW8,9170151.0,19958974.75,8981619.0
6,19540136.88,2018-12-21T10:14:56,20000000.0,2018-12-11,GYL,20000000.0,GYL11122018,4501,3502.82,2748775.08,2.223498,TRMGD2WWWWW8,9194679.0,19534806.74,8785619.0
7,19789076.13,2018-12-22T10:14:55,20000000.0,2018-12-12,GYL,20000000.0,GYL12122018,4480,4235.08,3387164.32,2.224795,TRMGD2WWWWW8,9219207.0,19783360.08,8892219.0
8,19811109.9,2018-12-23T10:14:54,20000000.0,2018-12-13,GYL,20000000.0,GYL13122018,4433,4225.89,2803744.22,2.226288,TRMGD2WWWWW8,9227383.0,19804486.59,8895742.0
9,19238521.36,2018-12-24T10:14:53,20000000.0,2018-12-14,GYL,20000000.0,GYL14122018,4439,4340.35,2220403.15,2.227563,TRMGD2WWWWW8,9235560.0,19230904.17,8633159.0
10,18049013.27,2018-12-27T10:14:57,20000000.0,2018-12-17,GYL,20000000.0,GYL17122018,4398,4430.76,105203.67,2.231814,TRMGD2WWWWW8,9307099.0,18038338.38,8082367.0
11,20182823.31,2018-12-28T10:14:59,20000000.0,2018-12-18,GYL,20000000.0,GYL18122018,4421,4528.76,2227429.52,2.233121,TRMGD2WWWWW8,9332545.0,20171120.63,9032705.0
12,18986388.01,2018-12-29T10:14:58,20000000.0,2018-12-19,GYL,20000000.0,GYL19122018,4413,4672.05,1019650.58,2.234399,TRMGD2WWWWW8,9357073.0,18973711.72,8491639.0
13,19899692.23,2018-12-30T10:14:58,20000000.0,2018-12-20,GYL,20000000.0,GYL20122018,4391,4738.03,2371507.93,2.235722,TRMGD2WWWWW8,9365249.0,19885937.32,8894639.0
14,20381681.07,2018-12-31T10:15:00,20000000.0,2018-12-21,GYL,20000000.0,GYL21122018,4460,4827.72,3497204.39,2.236942,TRMGD2WWWWW8,9373425.0,20366864.89,9104782.0
15,20720000.13,2019-01-03T10:14:57,20000000.0,2018-12-24,GYL,20000000.0,GYL24122018,4489,4818.49,3526728.63,2.240896,TRMGD2WWWWW8,9425547.0,20701596.1,9238087.0
16,20240344.12,2019-01-04T10:14:57,20000000.0,2018-12-25,GYL,20000000.0,GYL25122018,4488,5038.34,3035936.08,2.242212,TRMGD2WWWWW8,9450075.0,20221008.52,9018332.0
17,20396860.42,2019-01-05T10:14:56,20000000.0,2018-12-26,GYL,20000000.0,GYL26122018,4493,5136.6,3179052.1,2.243779,TRMGD2WWWWW8,9473581.0,20376465.2,9081317.0
18,20015670.18,2019-01-06T10:14:55,20000000.0,2018-12-27,GYL,20000000.0,GYL27122018,4498,5231.7,2784833.94,2.245313,TRMGD2WWWWW8,9480735.0,19994227.24,8904873.0
19,19280824.43,2019-01-07T10:15:00,20000000.0,2018-12-28,GYL,20000000.0,GYL28122018,4457,5398.07,2042284.68,2.247266,TRMGD2WWWWW8,9487889.0,19258434.63,8569716.0
20,19076935.55,2019-01-10T10:14:57,20000000.0,2018-12-31,GYL,20000000.0,GYL31122018,4453,244.0,1938702.88,2.250968,TRMGD2WWWWW8,9556363.0,19046010.13,8461255.0
21,18958015.97,2019-01-12T10:14:58,20000000.0,2019-01-02,GYL,20000000.0,GYL02012019,4451,2021.91,1798379.23,2.253541,TRMGD2WWWWW8,9604293.0,18926734.42,8398665.0
22,19268592.42,2019-01-13T10:14:57,20000000.0,2019-01-03,GYL,20000000.0,GYL03012019,4461,2068.32,2098344.04,2.254814,TRMGD2WWWWW8,9612469.0,19236303.13,8531216.0
23,19652607.08,2019-01-14T10:14:59,20000000.0,2019-01-04,GYL,20000000.0,GYL04012019,4522,1854.18,2471594.03,2.256089,TRMGD2WWWWW8,9620645.0,19619114.37,8696071.0
24,18950077.55,2019-01-17T10:14:57,20000000.0,2019-01-07,GYL,20000000.0,GYL07012019,4416,6038.33,1357600.96,2.259803,TRMGD2WWWWW8,9692185.0,18918690.7,8371832.0
25,18698994.05,2019-01-18T10:14:56,20000000.0,2019-01-08,GYL,20000000.0,GYL08012019,4378,6028.19,717463.58,2.260934,TRMGD2WWWWW8,9717735.0,18666574.13,8256133.0
26,18536089.95,2019-01-19T10:14:55,20000000.0,2019-01-09,GYL,20000000.0,GYL09012019,4406,11164.52,843549.5,2.262219,TRMGD2WWWWW8,9742263.0,18532709.02,8192269.0
27,19335914.01,2019-01-20T10:14:54,20000000.0,2019-01-10,GYL,20000000.0,GYL10012019,4431,10469.46,1723107.01,2.263485,TRMGD2WWWWW8,9750439.0,19331055.1,8540396.0
28,18943709.71,2019-01-21T10:14:59,20000000.0,2019-01-11,GYL,20000000.0,GYL11012019,4437,10581.82,1235795.85,2.264825,TRMGD2WWWWW8,9758615.0,18937862.73,8361733.0
29,19094333.66,2019-01-24T10:14:57,20000000.0,2019-01-14,GYL,20000000.0,GYL14012019,4407,10605.58,1851605.28,2.268785,TRMGD2WWWWW8,9830155.0,19085292.93,8412120.0
30,19763501.97,2019-01-25T10:14:56,20000000.0,2019-01-15,GYL,20000000.0,GYL15012019,4423,9781.45,2547660.36,2.27004,TRMGD2WWWWW8,9855705.0,19753379.91,8701775.0
31,19437781.3,2019-01-26T10:14:55,20000000.0,2019-01-16,GYL,20000000.0,GYL16012019,4468,9766.8,2421591.53,2.271406,TRMGD2WWWWW8,9880233.0,19426566.77,8552661.0
