,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,28545905.96,2018-12-13T10:14:57,0.0,2018-12-03,HBF,317821355.0,HBF03122018,2931,206060.39,0.0,1.821523,TRMDAFWWWWW1,9032183.0,28695828.55,15753759.0
1,28602709.11,2018-12-14T10:14:56,0.0,2018-12-04,HBF,317821355.0,HBF04122018,2928,198743.88,0.0,1.831516,TRMDAFWWWWW1,9057733.0,28743668.48,15693924.0
2,29350306.04,2018-12-15T10:14:55,0.0,2018-12-05,HBF,317821355.0,HBF05122018,2929,203275.0,0.0,1.87989,TRMDAFWWWWW1,9082261.0,29494112.81,15689275.0
3,29844025.34,2018-12-16T10:14:54,0.0,2018-12-06,HBF,317821355.0,HBF06122018,2926,206446.47,0.0,1.910193,TRMDAFWWWWW1,9090437.0,29989295.44,15699612.0
4,29873705.35,2018-12-17T10:14:59,0.0,2018-12-07,HBF,317821355.0,HBF07122018,2925,210920.3,0.0,1.915137,TRMDAFWWWWW1,9098613.0,30065812.21,15699041.0
5,29724394.38,2018-12-20T10:14:57,0.0,2018-12-10,HBF,317821355.0,HBF10122018,2925,210133.52,0.0,1.905864,TRMDAFWWWWW1,9170153.0,29910703.37,15694041.0
6,29566235.67,2018-12-21T10:14:56,0.0,2018-12-11,HBF,317821355.0,HBF11122018,2925,213725.49,0.0,1.895904,TRMDAFWWWWW1,9194681.0,29754440.07,15694063.0
7,29956341.69,2018-12-22T10:14:55,0.0,2018-12-12,HBF,317821355.0,HBF12122018,2926,216299.97,0.0,1.920816,TRMDAFWWWWW1,9219209.0,30145404.73,15694065.0
8,29929903.61,2018-12-23T10:14:54,0.0,2018-12-13,HBF,317821355.0,HBF13122018,2926,215381.76,0.0,1.92256,TRMDAFWWWWW1,9227385.0,30121351.58,15667312.0
9,29438774.41,2018-12-24T10:14:53,0.0,2018-12-14,HBF,317821355.0,HBF14122018,2925,748077.07,0.0,1.926526,TRMDAFWWWWW1,9235562.0,30161172.11,15655732.0
10,29256778.14,2018-12-27T10:14:57,0.0,2018-12-17,HBF,317821355.0,HBF17122018,2921,750169.76,0.0,1.919752,TRMDAFWWWWW1,9307101.0,29976158.85,15614599.0
11,29303656.45,2018-12-28T10:14:59,0.0,2018-12-18,HBF,317821355.0,HBF18122018,2923,751395.68,0.0,1.920453,TRMDAFWWWWW1,9332547.0,30022524.39,15633040.0
12,29362956.03,2018-12-29T10:14:58,0.0,2018-12-19,HBF,317821355.0,HBF19122018,2922,749051.93,0.0,1.923911,TRMDAFWWWWW1,9357075.0,30077738.8,15633647.0
13,29318682.21,2018-12-30T10:14:58,0.0,2018-12-20,HBF,317821355.0,HBF20122018,2924,736616.05,0.0,1.919527,TRMDAFWWWWW1,9365251.0,30019290.57,15638896.0
