,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,13158396.54,2018-12-13T10:14:57,0.0,2018-12-03,HOA,20000000000.0,HOA03122018,276,22256.83,0.0,0.016108,TRYHSBC00461,9032189.0,13151592.5,816456923.0
1,13218020.54,2018-12-14T10:14:56,0.0,2018-12-04,HOA,20000000000.0,HOA04122018,276,12439.76,0.0,0.01617,TRYHSBC00461,9057739.0,13201868.86,816456923.0
2,13194057.23,2018-12-15T10:14:55,0.0,2018-12-05,HOA,20000000000.0,HOA05122018,276,12517.55,0.0,0.016139,TRYHSBC00461,9082267.0,13140196.11,814167660.0
3,13148177.05,2018-12-16T10:14:54,0.0,2018-12-06,HOA,20000000000.0,HOA06122018,275,15593.84,0.0,0.016131,TRYHSBC00461,9090443.0,13133644.73,814167660.0
4,13034829.45,2018-12-17T10:14:59,0.0,2018-12-07,HOA,20000000000.0,HOA07122018,275,13828.17,0.0,0.016013,TRYHSBC00461,9098619.0,13037082.03,814167660.0
5,13091594.71,2018-12-20T10:14:57,0.0,2018-12-10,HOA,20000000000.0,HOA10122018,275,13847.64,0.0,0.01608,TRYHSBC00461,9170159.0,13091495.85,814167660.0
6,12958059.46,2018-12-21T10:14:56,0.0,2018-12-11,HOA,20000000000.0,HOA11122018,275,23988.42,0.0,0.015927,TRYHSBC00461,9194687.0,12967248.75,814167660.0
7,12986340.2,2018-12-22T10:14:55,0.0,2018-12-12,HOA,20000000000.0,HOA12122018,276,25275.37,0.0,0.015961,TRYHSBC00461,9219215.0,12991343.38,813950000.0
8,12942077.08,2018-12-23T10:14:54,0.0,2018-12-13,HOA,20000000000.0,HOA13122018,277,23493.01,0.0,0.015912,TRYHSBC00461,9227391.0,12951477.65,813950626.0
9,12981107.64,2018-12-24T10:14:53,0.0,2018-12-14,HOA,20000000000.0,HOA14122018,277,23513.35,0.0,0.015959,TRYHSBC00461,9235568.0,12980026.61,813324100.0
10,12931997.08,2018-12-27T10:14:57,0.0,2018-12-17,HOA,20000000000.0,HOA17122018,278,23517.24,0.0,0.015909,TRYHSBC00461,9307107.0,12938983.79,813324500.0
11,12908195.54,2018-12-28T10:14:59,0.0,2018-12-18,HOA,20000000000.0,HOA18122018,278,23671.28,0.0,0.015884,TRYHSBC00461,9332553.0,12903675.81,812384591.0
12,12908260.9,2018-12-29T10:14:58,0.0,2018-12-19,HOA,20000000000.0,HOA19122018,278,25198.17,0.0,0.015917,TRYHSBC00461,9357081.0,12930913.26,812384591.0
13,12986713.66,2018-12-30T10:14:58,0.0,2018-12-20,HOA,20000000000.0,HOA20122018,280,19219.58,0.0,0.015995,TRYHSBC00461,9365257.0,13107110.12,819436799.0
14,13067775.83,2018-12-31T10:15:00,0.0,2018-12-21,HOA,20000000000.0,HOA21122018,279,24561.12,0.0,0.015967,TRYHSBC00461,9373433.0,13084324.07,819436799.0
15,12755303.43,2019-01-03T10:14:57,200000000.0,2018-12-24,HOA,20000000000.0,HOA24122018,279,24748.97,290554.18,0.015973,TRYHSBC00461,9425555.0,13075043.63,818588649.0
16,13044227.82,2019-01-04T10:14:57,0.0,2018-12-25,HOA,20000000000.0,HOA25122018,279,25412.1,0.0,0.015953,TRYHSBC00461,9450083.0,13059124.25,818588649.0
17,13022559.95,2019-01-05T10:14:56,200000000.0,2018-12-26,HOA,20000000000.0,HOA26122018,279,23951.29,120078.08,0.015924,TRYHSBC00461,9473589.0,13035376.08,818588649.0
18,12986601.87,2019-01-06T10:14:55,200000000.0,2018-12-27,HOA,20000000000.0,HOA27122018,279,36027.88,120078.41,0.01588,TRYHSBC00461,9480743.0,12989026.43,817954342.0
19,12987502.49,2019-01-07T10:15:00,200000000.0,2018-12-28,HOA,20000000000.0,HOA28122018,278,35813.1,110066.75,0.015893,TRYHSBC00461,9487897.0,12999671.42,817953716.0
20,13024574.82,2019-01-10T10:14:57,0.0,2018-12-31,HOA,20000000000.0,HOA31122018,277,37589.88,0.0,0.015938,TRYHSBC00461,9556371.0,12956175.94,812890743.0
21,13019371.71,2019-01-12T10:14:58,0.0,2019-01-02,HOA,20000000000.0,HOA02012019,275,38369.02,0.0,0.016031,TRYHSBC00461,9604301.0,13031076.59,812890343.0
22,12973241.18,2019-01-13T10:14:57,0.0,2019-01-03,HOA,20000000000.0,HOA03012019,274,35710.21,0.0,0.015968,TRYHSBC00461,9612477.0,12605307.84,789412949.0
23,12614836.33,2019-01-14T10:14:59,200000000.0,2019-01-04,HOA,20000000000.0,HOA04012019,273,41520.11,160102.79,0.015997,TRYHSBC00461,9620653.0,12603706.02,787862790.0
24,12568418.38,2019-01-17T10:14:57,0.0,2019-01-07,HOA,20000000000.0,HOA07012019,272,42482.49,0.0,0.016077,TRYHSBC00461,9692193.0,12505175.87,777810582.0
25,12478086.56,2019-01-18T10:14:56,0.0,2019-01-08,HOA,20000000000.0,HOA08012019,270,36969.48,0.0,0.016126,TRYHSBC00461,9717743.0,12588141.34,780626743.0
26,12539749.29,2019-01-19T10:14:55,0.0,2019-01-09,HOA,20000000000.0,HOA09012019,270,122315.99,0.0,0.016206,TRYHSBC00461,9742271.0,12650474.86,780626743.0
27,12609025.88,2019-01-20T10:14:54,0.0,2019-01-10,HOA,20000000000.0,HOA10012019,270,123689.53,0.0,0.016295,TRYHSBC00461,9750447.0,12720499.41,780626743.0
28,12586334.84,2019-01-21T10:14:59,0.0,2019-01-11,HOA,20000000000.0,HOA11012019,270,119260.68,0.0,0.016264,TRYHSBC00461,9758623.0,12689905.09,780221126.0
29,12603060.08,2019-01-24T10:14:57,0.0,2019-01-14,HOA,20000000000.0,HOA14012019,271,115348.49,0.0,0.016282,TRYHSBC00461,9830163.0,12707452.62,780436422.0
30,12374841.54,2019-01-25T10:14:56,0.0,2019-01-15,HOA,20000000000.0,HOA15012019,273,122014.71,0.0,0.016336,TRYHSBC00461,9855713.0,12723419.45,778833950.0
31,12361627.59,2019-01-26T10:14:55,0.0,2019-01-16,HOA,20000000000.0,HOA16012019,273,129305.0,0.0,0.016368,TRYHSBC00461,9880241.0,12747755.57,778832931.0
