,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,177460199.67,2018-12-13T10:14:57,0.0,2018-12-03,HOY,20000000000.0,HOY03122018,1310,2166603.44,0.0,0.025939,TRYHSBC00479,9032191.0,179096181.43,6904487080.0
1,179407428.56,2018-12-14T10:14:56,200000000.0,2018-12-04,HOY,20000000000.0,HOY04122018,1309,2125623.65,80051.18,0.026258,TRYHSBC00479,9057741.0,181219084.56,6901362985.0
2,183888154.08,2018-12-15T10:14:55,0.0,2018-12-05,HOY,20000000000.0,HOY05122018,1308,80775.67,0.0,0.026626,TRYHSBC00479,9082269.0,182500942.96,6854238256.0
3,186187497.71,2018-12-16T10:14:54,200000000.0,2018-12-06,HOY,20000000000.0,HOY06122018,1305,82208.72,450285.41,0.026973,TRYHSBC00479,9090445.0,184732829.16,6848825285.0
4,183045230.04,2018-12-17T10:14:59,0.0,2018-12-07,HOY,20000000000.0,HOY07122018,1305,82948.83,0.0,0.02674,TRYHSBC00479,9098621.0,182215069.47,6814306782.0
5,182150491.28,2018-12-20T10:14:57,0.0,2018-12-10,HOY,20000000000.0,HOY10122018,1305,75701.65,0.0,0.026747,TRYHSBC00479,9170161.0,181992360.47,6804221601.0
6,178203440.54,2018-12-21T10:14:56,200000000.0,2018-12-11,HOY,20000000000.0,HOY11122018,1305,166401.45,300193.97,0.026331,TRYHSBC00479,9194689.0,179132152.1,6803071537.0
7,180764982.35,2018-12-22T10:14:55,200000000.0,2018-12-12,HOY,20000000000.0,HOY12122018,1302,1226601.76,30019.27,0.026748,TRYHSBC00479,9219217.0,181852915.76,6798672865.0
8,182217051.78,2018-12-23T10:14:54,200000000.0,2018-12-13,HOY,20000000000.0,HOY13122018,1306,1226755.09,70044.59,0.026881,TRYHSBC00479,9227393.0,183050726.0,6809630755.0
9,183331511.14,2018-12-24T10:14:53,200000000.0,2018-12-14,HOY,20000000000.0,HOY14122018,1300,48843.92,110069.77,0.02689,TRYHSBC00479,9235570.0,182992003.54,6805080716.0
10,180273791.27,2018-12-27T10:14:57,200000000.0,2018-12-17,HOY,20000000000.0,HOY17122018,1296,50108.8,10018.86,0.026831,TRYHSBC00479,9307109.0,180576903.12,6730202175.0
11,179233680.74,2018-12-28T10:14:59,200000000.0,2018-12-18,HOY,20000000000.0,HOY18122018,1295,959857.43,0.0,0.026814,TRYHSBC00479,9332555.0,180479628.94,6730882735.0
12,176927223.4,2018-12-29T10:14:58,200000000.0,2018-12-19,HOY,20000000000.0,HOY19122018,1294,2630008.27,15009.55,0.026716,TRYHSBC00479,9357083.0,179889701.91,6733356806.0
13,177695996.13,2018-12-30T10:14:58,0.0,2018-12-20,HOY,20000000000.0,HOY20122018,1295,1549372.44,0.0,0.026689,TRYHSBC00479,9365259.0,179233974.05,6715548948.0
14,174807468.9,2018-12-31T10:15:00,0.0,2018-12-21,HOY,20000000000.0,HOY21122018,1296,1530407.06,0.0,0.026241,TRYHSBC00479,9373435.0,176011958.96,6707523922.0
