,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,92593850.51,2018-12-13T10:14:57,500000000.0,2018-12-03,HPD,50000000000.0,HPD03122018,1834,606871.06,155300.66,0.02042,TRYHSBC00180,9032192.0,91443232.1,4478179078.0
1,92856352.52,2018-12-14T10:14:56,500000000.0,2018-12-04,HPD,50000000000.0,HPD04122018,1832,627930.8,140089.37,0.020493,TRYHSBC00180,9057742.0,91772560.38,4478179578.0
2,92816471.05,2018-12-15T10:14:55,500000000.0,2018-12-05,HPD,50000000000.0,HPD05122018,1832,641544.7,170109.45,0.02048,TRYHSBC00180,9082270.0,91649039.29,4474957983.0
3,92798857.44,2018-12-16T10:14:54,500000000.0,2018-12-06,HPD,50000000000.0,HPD06122018,1831,653082.51,80050.74,0.020499,TRYHSBC00180,9090446.0,91425489.04,4460001892.0
4,91889935.92,2018-12-17T10:14:59,500000000.0,2018-12-07,HPD,50000000000.0,HPD07122018,1828,646074.94,220138.93,0.020387,TRYHSBC00180,9098622.0,90895917.76,4458426061.0
5,92081645.07,2018-12-20T10:14:57,500000000.0,2018-12-10,HPD,50000000000.0,HPD10122018,1831,652744.7,290557.75,0.020436,TRYHSBC00180,9170162.0,91061879.79,4455891994.0
6,91332078.14,2018-12-21T10:14:56,500000000.0,2018-12-11,HPD,50000000000.0,HPD11122018,1830,653628.13,250161.64,0.020278,TRYHSBC00180,9194690.0,89905128.11,4433675408.0
7,91104525.62,2018-12-22T10:14:55,500000000.0,2018-12-12,HPD,50000000000.0,HPD12122018,1827,667837.4,300192.74,0.02033,TRYHSBC00180,9219218.0,89975172.66,4425812835.0
8,90806289.56,2018-12-23T10:14:54,500000000.0,2018-12-13,HPD,50000000000.0,HPD13122018,1827,666064.19,135085.81,0.020299,TRYHSBC00180,9227394.0,89830526.06,4425265862.0
9,90873946.92,2018-12-24T10:14:53,500000000.0,2018-12-14,HPD,50000000000.0,HPD14122018,1827,666470.64,130082.45,0.020317,TRYHSBC00180,9235571.0,89726980.17,4416434903.0
