,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,249924400.43,2018-12-13T10:14:57,0.0,2018-12-03,HPO,40150000000.0,HPO03122018,2712,61962.99,0.0,0.020393,TRYHSBC00198,9032194.0,242710085.34,11901876379.0
1,249999764.85,2018-12-14T10:14:56,0.0,2018-12-04,HPO,40150000000.0,HPO04122018,2712,58619.42,0.0,0.020408,TRYHSBC00198,9057744.0,242559223.35,11885771658.0
2,250762014.56,2018-12-15T10:14:55,0.0,2018-12-05,HPO,40150000000.0,HPO05122018,2711,52067.03,0.0,0.020415,TRYHSBC00198,9082272.0,243340529.85,11919579277.0
3,250724229.19,2018-12-16T10:14:54,0.0,2018-12-06,HPO,40150000000.0,HPO06122018,2710,53595.75,0.0,0.020423,TRYHSBC00198,9090448.0,242978695.91,11897060937.0
4,250402576.79,2018-12-17T10:14:59,0.0,2018-12-07,HPO,40150000000.0,HPO07122018,2711,53696.64,0.0,0.020426,TRYHSBC00198,9098624.0,242035167.61,11849166566.0
5,250917555.26,2018-12-20T10:14:57,0.0,2018-12-10,HPO,40150000000.0,HPO10122018,2714,54456.44,0.0,0.020456,TRYHSBC00198,9170164.0,243568264.08,11907081847.0
6,252342604.48,2018-12-21T10:14:56,0.0,2018-12-11,HPO,40150000000.0,HPO11122018,2717,59831.67,0.0,0.020459,TRYHSBC00198,9194692.0,245409860.21,11995012055.0
7,252343656.54,2018-12-22T10:14:55,0.0,2018-12-12,HPO,40150000000.0,HPO12122018,2719,62090.84,0.0,0.020464,TRYHSBC00198,9219220.0,245399999.5,11991633931.0
8,252523597.75,2018-12-23T10:14:54,401500000.0,2018-12-13,HPO,40150000000.0,HPO13122018,2724,62339.24,2068709.89,0.020465,TRYHSBC00198,9227396.0,245162473.61,11979850399.0
9,253349246.0,2018-12-24T10:14:53,401500000.0,2018-12-14,HPO,40150000000.0,HPO14122018,2724,63353.72,2275054.93,0.020476,TRYHSBC00198,9235573.0,246509560.1,12039215319.0
10,253732225.07,2018-12-27T10:14:57,401500000.0,2018-12-17,HPO,40150000000.0,HPO17122018,2728,72100.35,2018831.21,0.020505,TRYHSBC00198,9307112.0,246730213.74,12032892851.0
11,253608201.87,2018-12-28T10:14:59,401500000.0,2018-12-18,HPO,40150000000.0,HPO18122018,2726,63173.69,2055184.61,0.020511,TRYHSBC00198,9332558.0,245423351.87,11965730657.0
12,253083093.44,2018-12-29T10:14:58,401500000.0,2018-12-19,HPO,40150000000.0,HPO19122018,2727,62743.27,2622427.03,0.02051,TRYHSBC00198,9357086.0,245978963.12,11993091898.0
13,253465309.13,2018-12-30T10:14:58,401500000.0,2018-12-20,HPO,40150000000.0,HPO20122018,2726,58726.25,5791320.79,0.020529,TRYHSBC00198,9365262.0,246311179.76,11998268097.0
14,253511907.59,2018-12-31T10:15:00,401500000.0,2018-12-21,HPO,40150000000.0,HPO21122018,2723,61475.19,12499561.66,0.020533,TRYHSBC00198,9373438.0,246150630.38,11988330808.0
15,253257503.41,2019-01-03T10:14:57,401500000.0,2018-12-24,HPO,40150000000.0,HPO24122018,2721,60680.94,12398183.48,0.020545,TRYHSBC00198,9425560.0,246350520.11,11990619437.0
16,254332310.59,2019-01-04T10:14:57,401500000.0,2018-12-25,HPO,40150000000.0,HPO25122018,2722,60252.92,19410291.02,0.020554,TRYHSBC00198,9450088.0,247398160.13,12036499779.0
17,254121465.77,2019-01-05T10:14:56,401500000.0,2018-12-26,HPO,40150000000.0,HPO26122018,2725,60347.53,23652143.75,0.020542,TRYHSBC00198,9473594.0,246947936.19,12021760630.0
18,253898637.87,2019-01-06T10:14:55,401500000.0,2018-12-27,HPO,40150000000.0,HPO27122018,2723,61517.44,24085827.62,0.020513,TRYHSBC00198,9480748.0,246110649.76,11997858826.0
19,253391723.69,2019-01-07T10:15:00,401500000.0,2018-12-28,HPO,40150000000.0,HPO28122018,2719,62141.34,23850425.19,0.020533,TRYHSBC00198,9487902.0,245635211.19,11962980743.0
20,254704035.57,2019-01-10T10:14:57,0.0,2018-12-31,HPO,40150000000.0,HPO31122018,2716,62807.12,0.0,0.020582,TRYHSBC00198,9556376.0,246481209.79,11975543523.0
21,254448706.61,2019-01-12T10:14:58,0.0,2019-01-02,HPO,40150000000.0,HPO02012019,2714,61489.93,0.0,0.020657,TRYHSBC00198,9604306.0,245216979.74,11871126847.0
22,252198466.54,2019-01-13T10:14:57,0.0,2019-01-03,HPO,40150000000.0,HPO03012019,2703,64655.35,0.0,0.020657,TRYHSBC00198,9612482.0,244097329.83,11816716892.0
23,251973749.14,2019-01-14T10:14:59,401500000.0,2019-01-04,HPO,40150000000.0,HPO04012019,2702,63165.28,17475592.63,0.020668,TRYHSBC00198,9620658.0,244399356.89,11824732723.0
24,252791561.66,2019-01-17T10:14:57,0.0,2019-01-07,HPO,40150000000.0,HPO07012019,2703,62710.62,0.0,0.0207,TRYHSBC00198,9692198.0,245328864.3,11851398501.0
