,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,260240914.58,2018-12-13T10:14:57,0.0,2018-12-03,HPT,90000000000.0,HPT03122018,13826,68583.03,0.0,0.017374,TRYHSBC00362,9032196.0,259794437.64,14952882817.0
1,261408804.22,2018-12-14T10:14:56,0.0,2018-12-04,HPT,90000000000.0,HPT04122018,13923,84216.56,0.0,0.017389,TRYHSBC00362,9057746.0,260963081.19,15007079727.0
2,260393479.61,2018-12-15T10:14:55,0.0,2018-12-05,HPT,90000000000.0,HPT05122018,14065,86832.55,0.0,0.017396,TRYHSBC00362,9082274.0,259935049.43,14941952015.0
3,260643883.35,2018-12-16T10:14:54,0.0,2018-12-06,HPT,90000000000.0,HPT06122018,14067,80801.74,0.0,0.017404,TRYHSBC00362,9090450.0,260164343.87,14948329022.0
4,262451410.43,2018-12-17T10:14:59,0.0,2018-12-07,HPT,90000000000.0,HPT07122018,14105,81747.72,0.0,0.017417,TRYHSBC00362,9098626.0,262398097.01,15065974455.0
5,262227215.63,2018-12-20T10:14:57,0.0,2018-12-10,HPT,90000000000.0,HPT10122018,14110,91924.77,0.0,0.017446,TRYHSBC00362,9170166.0,262137176.7,15025629500.0
6,261898679.71,2018-12-21T10:14:56,0.0,2018-12-11,HPT,90000000000.0,HPT11122018,14089,20695.02,0.0,0.017457,TRYHSBC00362,9194694.0,261722733.12,14992056743.0
7,259172908.16,2018-12-22T10:14:55,0.0,2018-12-12,HPT,90000000000.0,HPT12122018,13949,30860.62,0.0,0.017466,TRYHSBC00362,9219222.0,258991931.08,14828147626.0
8,262053960.0,2018-12-23T10:14:54,0.0,2018-12-13,HPT,90000000000.0,HPT13122018,14003,17747.22,0.0,0.017474,TRYHSBC00362,9227398.0,261867341.09,14985705751.0
9,259330281.51,2018-12-24T10:14:53,0.0,2018-12-14,HPT,90000000000.0,HPT14122018,13923,21026.49,0.0,0.017483,TRYHSBC00362,9235575.0,259131593.36,14822260674.0
10,258865170.59,2018-12-27T10:14:57,0.0,2018-12-17,HPT,90000000000.0,HPT17122018,13882,65843.66,0.0,0.017502,TRYHSBC00362,9307114.0,258665116.69,14778858661.0
