,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,33502641.3,2018-12-13T10:14:57,0.0,2018-12-03,HSA,10367021.0,HSA03122018,438,18046.17,0.0,74.977119,TRMDM1WWWWW2,9032198.0,33014749.58,440331
1,33382089.13,2018-12-14T10:14:56,0.0,2018-12-04,HSA,10367021.0,HSA04122018,438,12155.85,0.0,75.191051,TRMDM1WWWWW2,9057748.0,33065715.99,439756
2,33202420.77,2018-12-15T10:14:55,0.0,2018-12-05,HSA,10367021.0,HSA05122018,438,10345.88,0.0,74.857459,TRMDM1WWWWW2,9082276.0,32913028.27,439676
3,33291241.36,2018-12-16T10:14:54,0.0,2018-12-06,HSA,10367021.0,HSA06122018,438,19081.02,0.0,75.100947,TRMDM1WWWWW2,9090452.0,32999581.48,439403
4,32226997.88,2018-12-17T10:14:59,0.0,2018-12-07,HSA,10367021.0,HSA07122018,437,18438.92,0.0,74.517803,TRMDM1WWWWW2,9098628.0,32742750.18,439395
5,32457325.14,2018-12-20T10:14:57,0.0,2018-12-10,HSA,10367021.0,HSA10122018,437,18849.59,0.0,74.844075,TRMDM1WWWWW2,9170168.0,32958187.09,440358
6,33033040.71,2018-12-21T10:14:56,0.0,2018-12-11,HSA,10367021.0,HSA11122018,437,21457.81,0.0,74.537272,TRMDM1WWWWW2,9194696.0,32821668.02,440339
7,32869965.58,2018-12-22T10:14:55,0.0,2018-12-12,HSA,10367021.0,HSA12122018,437,19194.29,0.0,74.59516,TRMDM1WWWWW2,9219224.0,32823586.28,440023
8,33071409.19,2018-12-23T10:14:54,0.0,2018-12-13,HSA,10367021.0,HSA13122018,434,20165.35,0.0,74.384246,TRMDM1WWWWW2,9227400.0,32654832.82,439002
9,33434829.79,2018-12-24T10:14:53,0.0,2018-12-14,HSA,10367021.0,HSA14122018,433,19895.19,0.0,74.942852,TRMDM1WWWWW2,9235577.0,32599990.9,434998
