,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,90744692.07,2018-12-13T10:14:57,0.0,2018-12-03,HSL,83081036.0,HSL03122018,17214,54808.31,0.0,56.717909,TRMDM2WWWWW0,9032199.0,90729313.99,1599659.0
1,90893862.49,2018-12-14T10:14:56,0.0,2018-12-04,HSL,83081036.0,HSL04122018,17205,78750.22,0.0,56.752727,TRMDM2WWWWW0,9057749.0,90900332.04,1601691.0
2,91703239.92,2018-12-15T10:14:55,0.0,2018-12-05,HSL,83081036.0,HSL05122018,17202,82940.26,0.0,56.786122,TRMDM2WWWWW0,9082277.0,91712085.69,1615044.0
3,91286871.27,2018-12-16T10:14:54,0.0,2018-12-06,HSL,83081036.0,HSL06122018,17199,82931.75,0.0,56.820527,TRMDM2WWWWW0,9090453.0,91293937.7,1606707.0
4,93302043.27,2018-12-17T10:14:59,0.0,2018-12-07,HSL,83081036.0,HSL07122018,17209,81014.92,0.0,56.857836,TRMDM2WWWWW0,9098629.0,93378989.02,1642324.0
5,92937746.73,2018-12-20T10:14:57,0.0,2018-12-10,HSL,83081036.0,HSL10122018,17203,81023.09,0.0,56.960173,TRMDM2WWWWW0,9170169.0,93005139.48,1632810.0
6,89989069.27,2018-12-21T10:14:56,0.0,2018-12-11,HSL,83081036.0,HSL11122018,17197,43206.45,0.0,56.995147,TRMDM2WWWWW0,9194697.0,90017108.59,1579382.0
7,98662939.48,2018-12-22T10:14:55,0.0,2018-12-12,HSL,83081036.0,HSL12122018,17191,32907.68,0.0,57.028388,TRMDM2WWWWW0,9219225.0,98678957.22,1730348.0
8,98137976.9,2018-12-23T10:14:54,0.0,2018-12-13,HSL,83081036.0,HSL13122018,17171,50026.95,0.0,57.062459,TRMDM2WWWWW0,9227401.0,98173564.03,1720458.0
9,93338139.94,2018-12-24T10:14:53,0.0,2018-12-14,HSL,83081036.0,HSL14122018,17165,48529.87,0.0,57.095872,TRMDM2WWWWW0,9235578.0,93370135.01,1635322.0
