,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,10005734.03,2018-12-13T10:14:57,0.0,2018-12-03,HST,22914108348.0,HST03122018,4145,18726.8,0.0,0.188722,TRMDBTWWWWW0,9032200.0,9700257.57,51399591.0
1,10145284.68,2018-12-14T10:14:56,0.0,2018-12-04,HST,22914108348.0,HST04122018,4146,12653.53,0.0,0.188918,TRMDBTWWWWW0,9057750.0,9833092.33,52049631.0
2,10212135.86,2018-12-15T10:14:55,0.0,2018-12-05,HST,22914108348.0,HST05122018,4145,14533.73,0.0,0.188664,TRMDBTWWWWW0,9082278.0,9901177.01,52480501.0
3,10031355.95,2018-12-16T10:14:54,0.0,2018-12-06,HST,22914108348.0,HST06122018,4143,16295.09,0.0,0.18826,TRMDBTWWWWW0,9090454.0,9721522.54,51638919.0
4,9851495.83,2018-12-17T10:14:59,0.0,2018-12-07,HST,22914108348.0,HST07122018,4142,10614.03,0.0,0.188258,TRMDBTWWWWW0,9098630.0,9552127.08,50739424.0
5,9806065.26,2018-12-20T10:14:57,0.0,2018-12-10,HST,22914108348.0,HST10122018,4141,17884.26,0.0,0.187726,TRMDBTWWWWW0,9170170.0,9512104.36,50670188.0
6,9577572.65,2018-12-21T10:14:56,0.0,2018-12-11,HST,22914108348.0,HST11122018,4138,21070.63,0.0,0.187561,TRMDBTWWWWW0,9194698.0,9286190.95,49510301.0
7,9553724.54,2018-12-22T10:14:55,0.0,2018-12-12,HST,22914108348.0,HST12122018,4137,19089.63,0.0,0.187124,TRMDBTWWWWW0,9219226.0,9259755.43,49484522.0
8,9519603.27,2018-12-23T10:14:54,0.0,2018-12-13,HST,22914108348.0,HST13122018,4138,23864.28,0.0,0.186528,TRMDBTWWWWW0,9227402.0,9230749.42,49487193.0
9,9509255.29,2018-12-24T10:14:53,0.0,2018-12-14,HST,22914108348.0,HST14122018,4137,19071.44,0.0,0.18621,TRMDBTWWWWW0,9235579.0,9215012.7,49487193.0
10,9529285.49,2018-12-27T10:14:57,0.0,2018-12-17,HST,22914108348.0,HST17122018,4138,22040.06,0.0,0.186234,TRMDBTWWWWW0,9307118.0,9236219.8,49594652.0
11,9475838.01,2018-12-28T10:14:59,0.0,2018-12-18,HST,22914108348.0,HST18122018,4136,19551.88,0.0,0.186232,TRMDBTWWWWW0,9332564.0,9179690.36,49291652.0
12,9473504.26,2018-12-29T10:14:58,0.0,2018-12-19,HST,22914108348.0,HST19122018,4132,19275.87,0.0,0.186179,TRMDBTWWWWW0,9357092.0,9176482.33,49288600.0
13,9497412.29,2018-12-30T10:14:58,0.0,2018-12-20,HST,22914108348.0,HST20122018,4129,18664.91,0.0,0.186644,TRMDBTWWWWW0,9365268.0,9199181.82,49287300.0
14,9566482.02,2018-12-31T10:15:00,0.0,2018-12-21,HST,22914108348.0,HST21122018,4129,19662.66,0.0,0.188054,TRMDBTWWWWW0,9373444.0,9268679.03,49287301.0
15,9590544.99,2019-01-03T10:14:57,0.0,2018-12-24,HST,22914108348.0,HST24122018,4127,19918.86,0.0,0.188513,TRMDBTWWWWW0,9425566.0,9291188.71,49286711.0
16,9584666.79,2019-01-04T10:14:57,0.0,2018-12-25,HST,22914108348.0,HST25122018,4124,20973.28,0.0,0.188404,TRMDBTWWWWW0,9450094.0,9285762.15,49286493.0
17,9591071.77,2019-01-05T10:14:56,229141083.48,2018-12-26,HST,22914108348.0,HST26122018,4122,19207.56,95061.82,0.188512,TRMDBTWWWWW0,9473600.0,9289798.39,49279694.0
18,9522657.69,2019-01-06T10:14:55,0.0,2018-12-27,HST,22914108348.0,HST27122018,4119,20000.46,0.0,0.188442,TRMDBTWWWWW0,9480754.0,9221577.29,48935957.0
19,9385740.78,2019-01-07T10:15:00,229141083.48,2018-12-28,HST,22914108348.0,HST28122018,4117,18632.38,355215.77,0.188782,TRMDBTWWWWW0,9487908.0,9178068.39,48617384.0
20,9482936.67,2019-01-10T10:14:57,229141083.48,2018-12-31,HST,22914108348.0,HST31122018,4115,9762.35,500957.53,0.189739,TRMDBTWWWWW0,9556382.0,9169149.3,48325119.0
21,9509914.8,2019-01-12T10:14:58,0.0,2019-01-02,HST,22914108348.0,HST02012019,4109,21546.63,0.0,0.190518,TRMDBTWWWWW0,9604312.0,9206700.25,48324468.0
22,9511779.75,2019-01-13T10:14:57,0.0,2019-01-03,HST,22914108348.0,HST03012019,4107,22805.27,0.0,0.190572,TRMDBTWWWWW0,9612488.0,9209225.66,48324088.0
23,9506126.27,2019-01-14T10:14:59,229141083.48,2019-01-04,HST,22914108348.0,HST04012019,4107,18858.63,495318.7,0.190352,TRMDBTWWWWW0,9620664.0,9199025.97,48326396.0
24,9515573.08,2019-01-17T10:14:57,0.0,2019-01-07,HST,22914108348.0,HST07012019,4106,13335.73,0.0,0.190398,TRMDBTWWWWW0,9692204.0,9201149.63,48325806.0
25,9501908.91,2019-01-18T10:14:56,0.0,2019-01-08,HST,22914108348.0,HST08012019,4103,22805.87,0.0,0.190659,TRMDBTWWWWW0,9717754.0,9213754.38,48325806.0
26,9493886.45,2019-01-19T10:14:55,0.0,2019-01-09,HST,22914108348.0,HST09012019,4101,18453.4,0.0,0.190391,TRMDBTWWWWW0,9742282.0,9200777.15,48325753.0
27,9485862.51,2019-01-20T10:14:54,0.0,2019-01-10,HST,22914108348.0,HST10012019,4099,12254.61,0.0,0.190383,TRMDBTWWWWW0,9750458.0,9185953.01,48249753.0
28,9251456.47,2019-01-21T10:14:59,0.0,2019-01-11,HST,22914108348.0,HST11012019,4095,19263.16,0.0,0.190291,TRMDBTWWWWW0,9758634.0,8958903.28,47079918.0
29,9296007.41,2019-01-24T10:14:57,0.0,2019-01-14,HST,22914108348.0,HST14012019,4095,20147.19,0.0,0.19122,TRMDBTWWWWW0,9830174.0,9002616.7,47079918.0
30,9285881.33,2019-01-25T10:14:56,0.0,2019-01-15,HST,22914108348.0,HST15012019,4090,22298.64,0.0,0.191026,TRMDBTWWWWW0,9855724.0,8994068.8,47082847.0
31,9332720.17,2019-01-26T10:14:55,0.0,2019-01-16,HST,22914108348.0,HST16012019,4091,22299.12,0.0,0.192018,TRMDBTWWWWW0,9880252.0,9040792.38,47083108.0
32,9357666.27,2019-01-27T10:14:57,0.0,2019-01-17,HST,22914108348.0,HST17012019,4088,22111.62,0.0,0.192535,TRMDBTWWWWW0,9888325.0,9064973.45,47082267.0
33,9367641.62,2019-01-28T10:14:59,0.0,2019-01-18,HST,22914108348.0,HST18012019,4088,18416.06,0.0,0.192656,TRMDBTWWWWW0,9896501.0,9070675.37,47082136.0
