,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,3837473.13,2018-12-13T10:14:57,0.0,2018-12-03,HTT,10000000000.0,HTT03122018,302,21930.35,0.0,0.420413,TRMDBLWWWWW7,9032201.0,3848837.36,9154900.0
1,3859715.41,2018-12-14T10:14:56,0.0,2018-12-04,HTT,10000000000.0,HTT04122018,302,11042.08,0.0,0.421792,TRMDBLWWWWW7,9057751.0,3859946.77,9151300.0
2,3862095.72,2018-12-15T10:14:55,0.0,2018-12-05,HTT,10000000000.0,HTT05122018,303,10440.93,0.0,0.419872,TRMDBLWWWWW7,9082279.0,3861481.24,9196800.0
3,3838982.14,2018-12-16T10:14:54,0.0,2018-12-06,HTT,10000000000.0,HTT06122018,302,18892.32,0.0,0.417362,TRMDBLWWWWW7,9090455.0,3846575.26,9216400.0
4,3825552.0,2018-12-17T10:14:59,0.0,2018-12-07,HTT,10000000000.0,HTT07122018,301,13050.31,0.0,0.416986,TRMDBLWWWWW7,9098631.0,3833480.23,9193300.0
5,3704918.52,2018-12-20T10:14:57,0.0,2018-12-10,HTT,10000000000.0,HTT10122018,301,10109.0,0.0,0.413516,TRMDBLWWWWW7,9170171.0,3709198.7,8969900.0
6,3287955.03,2018-12-21T10:14:56,0.0,2018-12-11,HTT,10000000000.0,HTT11122018,298,20913.82,0.0,0.412431,TRMDBLWWWWW7,9194699.0,3302826.31,8008200.0
7,3257855.98,2018-12-22T10:14:55,0.0,2018-12-12,HTT,10000000000.0,HTT12122018,295,20176.96,0.0,0.410517,TRMDBLWWWWW7,9219227.0,3271781.09,7969900.0
8,3222837.72,2018-12-23T10:14:54,0.0,2018-12-13,HTT,10000000000.0,HTT13122018,292,22975.26,0.0,0.407351,TRMDBLWWWWW7,9227403.0,3239704.19,7953100.0
9,3149429.06,2018-12-24T10:14:53,0.0,2018-12-14,HTT,10000000000.0,HTT14122018,291,18581.52,0.0,0.406147,TRMDBLWWWWW7,9235580.0,3161694.15,7784600.0
10,3111566.26,2018-12-27T10:14:57,0.0,2018-12-17,HTT,10000000000.0,HTT17122018,289,21135.63,0.0,0.40505,TRMDBLWWWWW7,9307119.0,3125771.75,7717000.0
11,2870005.04,2018-12-28T10:14:59,0.0,2018-12-18,HTT,10000000000.0,HTT18122018,290,20302.32,0.0,0.405374,TRMDBLWWWWW7,9332565.0,3122311.58,7702300.0
12,2868729.5,2018-12-29T10:14:58,0.0,2018-12-19,HTT,10000000000.0,HTT19122018,288,21203.63,0.0,0.407292,TRMDBLWWWWW7,9357093.0,2882606.18,7077500.0
13,2925060.57,2018-12-30T10:14:58,0.0,2018-12-20,HTT,10000000000.0,HTT20122018,288,10777.42,0.0,0.409721,TRMDBLWWWWW7,9365269.0,2928318.34,7147100.0
14,2969756.62,2018-12-31T10:15:00,0.0,2018-12-21,HTT,10000000000.0,HTT21122018,288,20814.82,0.0,0.417355,TRMDBLWWWWW7,9373445.0,2982879.05,7147100.0
15,2986299.27,2019-01-03T10:14:57,0.0,2018-12-24,HTT,10000000000.0,HTT24122018,290,20927.61,0.0,0.418193,TRMDBLWWWWW7,9425567.0,2998943.62,7171200.0
16,3032588.28,2019-01-04T10:14:57,0.0,2018-12-25,HTT,10000000000.0,HTT25122018,291,19039.38,0.0,0.417682,TRMDBLWWWWW7,9450095.0,3043144.81,7285800.0
17,3031472.63,2019-01-05T10:14:56,100000000.0,2018-12-26,HTT,10000000000.0,HTT26122018,290,20210.42,225146.71,0.418178,TRMDBLWWWWW7,9473601.0,3042999.78,7276800.0
18,3023450.83,2019-01-06T10:14:55,0.0,2018-12-27,HTT,10000000000.0,HTT27122018,289,20752.7,0.0,0.418497,TRMDBLWWWWW7,9480755.0,3035319.14,7252900.0
19,3029504.04,2019-01-07T10:15:00,100000000.0,2018-12-28,HTT,10000000000.0,HTT28122018,288,19876.24,405245.22,0.41934,TRMDBLWWWWW7,9487909.0,3040298.47,7250200.0
20,3044376.9,2019-01-10T10:14:57,100000000.0,2018-12-31,HTT,10000000000.0,HTT31122018,288,20110.5,405775.6,0.421317,TRMDBLWWWWW7,9556383.0,3054630.69,7250200.0
21,3130670.0,2019-01-12T10:14:58,0.0,2019-01-02,HTT,10000000000.0,HTT02012019,289,20825.55,0.0,0.424241,TRMDBLWWWWW7,9604313.0,3141248.81,7404400.0
22,3129600.1,2019-01-13T10:14:57,0.0,2019-01-03,HTT,10000000000.0,HTT03012019,288,21420.74,0.0,0.424286,TRMDBLWWWWW7,9612489.0,3140566.19,7402000.0
23,3123345.36,2019-01-14T10:14:59,100000000.0,2019-01-04,HTT,10000000000.0,HTT04012019,287,19944.0,55035.41,0.422785,TRMDBLWWWWW7,9620665.0,3132627.12,7409500.0
24,3123628.74,2019-01-17T10:14:57,0.0,2019-01-07,HTT,10000000000.0,HTT07012019,288,21261.95,0.0,0.422786,TRMDBLWWWWW7,9692205.0,3133605.45,7411800.0
25,3126411.99,2019-01-18T10:14:56,0.0,2019-01-08,HTT,10000000000.0,HTT08012019,289,21662.73,0.0,0.42395,TRMDBLWWWWW7,9717755.0,3142699.24,7412900.0
