,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,15870311.55,2018-12-13T10:14:57,0.0,2018-12-03,HVS,2000000000.0,HVS03122018,372,20341.71,0.0,0.044773,TRYHSBC00016,9032202.0,16001227.7,357387217.0
1,15942128.79,2018-12-14T10:14:56,20000000.0,2018-12-04,HVS,2000000000.0,HVS04122018,370,17816.33,250159.59,0.044705,TRYHSBC00016,9057752.0,15977813.99,357401734.0
2,15646803.52,2018-12-15T10:14:55,20000000.0,2018-12-05,HVS,2000000000.0,HVS05122018,371,17685.71,310199.59,0.044093,TRYHSBC00016,9082280.0,15624205.08,354343302.0
3,15580250.14,2018-12-16T10:14:54,20000000.0,2018-12-06,HVS,2000000000.0,HVS06122018,369,11151.87,180114.16,0.04427,TRYHSBC00016,9090456.0,15683878.88,354279495.0
4,15646728.31,2018-12-17T10:14:59,20000000.0,2018-12-07,HVS,2000000000.0,HVS07122018,367,18049.34,80050.52,0.04367,TRYHSBC00016,9098632.0,15756095.99,360802758.0
5,15913295.7,2018-12-20T10:14:57,20000000.0,2018-12-10,HVS,2000000000.0,HVS10122018,366,14341.09,70134.63,0.044106,TRYHSBC00016,9170172.0,15914663.93,360829091.0
6,15784624.13,2018-12-21T10:14:56,20000000.0,2018-12-11,HVS,2000000000.0,HVS11122018,366,23399.17,180116.38,0.04356,TRYHSBC00016,9194700.0,15717454.25,360822385.0
7,15474062.84,2018-12-22T10:14:55,20000000.0,2018-12-12,HVS,2000000000.0,HVS12122018,365,22538.58,65041.76,0.043502,TRYHSBC00016,9219228.0,15696625.59,360822385.0
8,15274659.01,2018-12-23T10:14:54,20000000.0,2018-12-13,HVS,2000000000.0,HVS13122018,366,21174.58,110069.92,0.042822,TRYHSBC00016,9227404.0,15433443.16,360408053.0
9,15659046.48,2018-12-24T10:14:53,20000000.0,2018-12-14,HVS,2000000000.0,HVS14122018,368,23399.99,280177.59,0.043419,TRYHSBC00016,9235581.0,15632909.51,360051019.0
10,15384157.6,2018-12-27T10:14:57,20000000.0,2018-12-17,HVS,2000000000.0,HVS17122018,368,21631.86,250474.66,0.04273,TRYHSBC00016,9307120.0,15384911.82,360045766.0
11,15249051.67,2018-12-28T10:14:59,20000000.0,2018-12-18,HVS,2000000000.0,HVS18122018,367,22675.5,255166.62,0.04248,TRYHSBC00016,9332566.0,15298844.36,360144853.0
12,15425855.31,2018-12-29T10:14:58,20000000.0,2018-12-19,HVS,2000000000.0,HVS19122018,367,20256.87,260165.62,0.042955,TRYHSBC00016,9357094.0,15472123.05,360194287.0
13,15703555.65,2018-12-30T10:14:58,20000000.0,2018-12-20,HVS,2000000000.0,HVS20122018,367,10241.73,320202.08,0.04363,TRYHSBC00016,9365270.0,15642221.38,358520292.0
14,15654056.78,2018-12-31T10:15:00,20000000.0,2018-12-21,HVS,2000000000.0,HVS21122018,365,18706.08,240152.55,0.043286,TRYHSBC00016,9373446.0,15519035.67,358520292.0
15,15717344.32,2019-01-03T10:14:57,20000000.0,2018-12-24,HVS,2000000000.0,HVS24122018,365,19122.18,265507.49,0.043385,TRYHSBC00016,9425568.0,15553981.9,358509519.0
16,15555447.22,2019-01-04T10:14:57,20000000.0,2018-12-25,HVS,2000000000.0,HVS25122018,365,22006.66,110070.22,0.043367,TRYHSBC00016,9450096.0,15540635.46,358353245.0
