,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,2320357.26,2018-12-13T10:14:57,5000000.0,2018-12-03,IBB,5000000.0,IBB03122018,58,5905.69,712232.33,1.108139,TRYISPO00183,9032206.0,2284357.3,2061436.0
1,2298029.78,2018-12-14T10:14:56,5000000.0,2018-12-04,IBB,5000000.0,IBB04122018,57,5649.02,712717.25,1.11333,TRYISPO00183,9057756.0,2295171.22,2061538.0
2,2310666.2,2018-12-15T10:14:55,5000000.0,2018-12-05,IBB,5000000.0,IBB05122018,57,5892.51,713189.31,1.115825,TRYISPO00183,9082284.0,2305890.52,2066534.0
3,2312929.76,2018-12-16T10:14:54,5000000.0,2018-12-06,IBB,5000000.0,IBB06122018,57,5873.22,713654.0,1.117836,TRYISPO00183,9090460.0,2310090.1,2066574.0
4,2321183.31,2018-12-17T10:14:59,5000000.0,2018-12-07,IBB,5000000.0,IBB07122018,59,6495.35,457706.47,1.123252,TRYISPO00183,9098636.0,2321927.27,2067147.0
5,2340167.38,2018-12-20T10:14:57,5000000.0,2018-12-10,IBB,5000000.0,IBB10122018,62,5947.16,458624.92,1.128552,TRYISPO00183,9170176.0,2341097.09,2074425.0
6,2330845.77,2018-12-21T10:14:56,5000000.0,2018-12-11,IBB,5000000.0,IBB11122018,63,5848.75,609031.19,1.121547,TRYISPO00183,9194704.0,2331055.63,2078428.0
7,2325552.91,2018-12-22T10:14:55,5000000.0,2018-12-12,IBB,5000000.0,IBB12122018,64,6136.96,609330.6,1.119168,TRYISPO00183,9219232.0,2325944.39,2078280.0
8,2337790.95,2018-12-23T10:14:54,5000000.0,2018-12-13,IBB,5000000.0,IBB13122018,65,5954.12,609708.51,1.118432,TRYISPO00183,9227408.0,2338182.23,2090589.0
9,2364723.13,2018-12-24T10:14:53,5000000.0,2018-12-14,IBB,5000000.0,IBB14122018,65,6232.13,610139.55,1.122158,TRYISPO00183,9235585.0,2359586.97,2102722.0
10,2354540.65,2018-12-27T10:14:57,5000000.0,2018-12-17,IBB,5000000.0,IBB17122018,64,5888.75,611410.09,1.118052,TRYISPO00183,9307124.0,2349106.94,2101072.0
11,2364403.05,2018-12-28T10:14:59,5000000.0,2018-12-18,IBB,5000000.0,IBB18122018,64,5579.14,611818.74,1.120503,TRYISPO00183,9332570.0,2363057.44,2108926.0
12,2378635.71,2018-12-29T10:14:58,5000000.0,2018-12-19,IBB,5000000.0,IBB19122018,64,6260.81,408225.88,1.127466,TRYISPO00183,9357098.0,2377742.49,2108927.0
13,2399154.31,2018-12-30T10:14:58,5000000.0,2018-12-20,IBB,5000000.0,IBB20122018,64,5885.56,408489.85,1.136058,TRYISPO00183,9365274.0,2396862.74,2109807.0
14,2398190.16,2018-12-31T10:15:00,5000000.0,2018-12-21,IBB,5000000.0,IBB21122018,68,5614.73,408754.0,1.135216,TRYISPO00183,9373450.0,2395608.09,2110266.0
15,2392123.62,2019-01-03T10:14:57,5000000.0,2018-12-24,IBB,5000000.0,IBB24122018,68,5661.08,409566.42,1.131609,TRYISPO00183,9425572.0,2368720.57,2093233.0
16,2378982.41,2019-01-04T10:14:57,5000000.0,2018-12-25,IBB,5000000.0,IBB25122018,66,6366.24,409826.96,1.134658,TRYISPO00183,9450100.0,2375106.13,2093235.0
17,2398414.93,2019-01-05T10:14:56,5000000.0,2018-12-26,IBB,5000000.0,IBB26122018,68,5999.44,410033.42,1.134147,TRYISPO00183,9473606.0,2393149.13,2110088.0
18,2424634.82,2019-01-06T10:14:55,5000000.0,2018-12-27,IBB,5000000.0,IBB27122018,69,5691.87,410228.16,1.137306,TRYISPO00183,9480760.0,2418041.18,2126114.0
19,2415448.64,2019-01-07T10:15:00,5000000.0,2018-12-28,IBB,5000000.0,IBB28122018,68,6165.65,460540.12,1.133147,TRYISPO00183,9487914.0,2409201.28,2126115.0
20,2418270.01,2019-01-10T10:14:57,5000000.0,2018-12-31,IBB,5000000.0,IBB31122018,70,5685.52,461510.59,1.134741,TRYISPO00183,9556388.0,2412869.37,2126361.0
21,2418625.49,2019-01-12T10:14:58,5000000.0,2019-01-02,IBB,5000000.0,IBB02012019,68,6451.73,462140.59,1.136327,TRYISPO00183,9604318.0,2416234.12,2126355.0
22,2407807.81,2019-01-13T10:14:57,5000000.0,2019-01-03,IBB,5000000.0,IBB03012019,68,6099.48,462420.93,1.130358,TRYISPO00183,9612494.0,2404934.67,2127586.0
23,2403291.41,2019-01-14T10:14:59,5000000.0,2019-01-04,IBB,5000000.0,IBB04012019,69,5710.6,462737.51,1.1263,TRYISPO00183,9620670.0,2398899.38,2129894.0
24,2676897.65,2019-01-17T10:14:57,5000000.0,2019-01-07,IBB,5000000.0,IBB07012019,71,6207.14,463634.45,1.135454,TRYISPO00183,9692210.0,2667271.13,2349080.0
25,2688758.21,2019-01-18T10:14:56,5000000.0,2019-01-08,IBB,5000000.0,IBB08012019,71,5645.67,252926.72,1.144273,TRYISPO00183,9717760.0,2653434.79,2318882.0
26,2650158.96,2019-01-19T10:14:55,5000000.0,2019-01-09,IBB,5000000.0,IBB09012019,68,6320.51,453198.06,1.141854,TRYISPO00183,9742288.0,2650433.44,2321167.0
27,2672953.87,2019-01-20T10:14:54,5000000.0,2019-01-10,IBB,5000000.0,IBB10012019,70,6440.92,453466.79,1.1473,TRYISPO00183,9750464.0,2673208.31,2330000.0
28,2710523.97,2019-01-21T10:14:59,5000000.0,2019-01-11,IBB,5000000.0,IBB11012019,73,5554.93,453681.03,1.150318,TRYISPO00183,9758640.0,2454963.53,2134160.0
29,2456163.47,2019-01-24T10:14:57,5000000.0,2019-01-14,IBB,5000000.0,IBB14012019,70,5563.68,301181.45,1.149635,TRYISPO00183,9830180.0,2451149.07,2132110.0
30,2664020.95,2019-01-25T10:14:56,5000000.0,2019-01-15,IBB,5000000.0,IBB15012019,69,6084.87,301363.44,1.151476,TRYISPO00183,9855730.0,2455113.36,2132145.0
31,3256389.96,2019-01-26T10:14:55,5000000.0,2019-01-16,IBB,5000000.0,IBB16012019,73,5731.51,601754.37,1.155151,TRYISPO00183,9880258.0,3046590.75,2637395.0
32,3145886.72,2019-01-27T10:14:57,5000000.0,2019-01-17,IBB,5000000.0,IBB17012019,78,6307.63,752255.33,1.15709,TRYISPO00183,9888331.0,3143199.72,2716470.0
33,3553935.8,2019-01-28T10:14:59,5000000.0,2019-01-18,IBB,5000000.0,IBB18012019,81,5595.74,752770.78,1.158108,TRYISPO00183,9896507.0,3551603.36,3066728.0
34,3559812.01,2019-01-31T10:14:57,5000000.0,2019-01-21,IBB,5000000.0,IBB21012019,83,5759.62,754252.36,1.159884,TRYISPO00183,9968047.0,3557432.54,3067060.0
35,3827130.14,2019-02-01T10:14:56,5000000.0,2019-01-22,IBB,5000000.0,IBB22012019,85,6489.29,754769.42,1.158901,TRYISPO00183,9993597.0,3824043.75,3299717.0
36,4015427.65,2019-02-02T10:14:55,5000000.0,2019-01-23,IBB,5000000.0,IBB23012019,90,5748.45,755264.66,1.16094,TRYISPO00183,10018125.0,4208046.54,3624689.0
37,4014006.68,2019-02-03T10:14:54,5000000.0,2019-01-24,IBB,5000000.0,IBB24012019,89,6255.92,755760.22,1.161344,TRYISPO00183,10026301.0,4210102.88,3625198.0
38,4242060.43,2019-02-04T10:15:00,5000000.0,2019-01-25,IBB,5000000.0,IBB25012019,91,5928.33,756238.43,1.162854,TRYISPO00183,10034477.0,4238732.32,3645112.0
39,4262843.87,2019-02-07T10:14:57,5000000.0,2019-01-28,IBB,5000000.0,IBB28012019,94,5533.55,757788.78,1.166089,TRYISPO00183,10106017.0,4258113.64,3651619.0
40,4272857.49,2019-02-08T10:14:56,5000000.0,2019-01-29,IBB,5000000.0,IBB29012019,94,5694.91,758303.79,1.167969,TRYISPO00183,10131567.0,4268378.69,3654530.0
41,4336712.26,2019-02-09T10:14:55,5000000.0,2019-01-30,IBB,5000000.0,IBB30012019,97,5837.69,758811.45,1.17369,TRYISPO00183,10156097.0,4327104.72,3686754.0
42,4800176.19,2019-02-10T10:14:54,5000000.0,2019-01-31,IBB,5000000.0,IBB31012019,97,6383.9,759350.24,1.175474,TRYISPO00183,10164271.0,4793277.57,4077741.0
43,4895469.12,2019-02-11T10:14:53,5000000.0,2019-02-01,IBB,5000000.0,IBB01022019,97,5988.57,909926.58,1.17233,TRYISPO00183,10172447.0,4890427.02,4171543.0
44,5058700.61,2019-02-14T10:14:58,5000000.0,2019-02-04,IBB,5000000.0,IBB04022019,101,6574.48,911746.4,1.168601,TRYISPO00183,10243987.0,5029902.26,4304210.0
45,5095508.93,2019-02-15T10:14:57,5000000.0,2019-02-05,IBB,5000000.0,IBB05022019,101,6389.98,912354.43,1.166641,TRYISPO00183,10269537.0,5061335.33,4338383.0
46,5076562.97,2019-02-16T10:14:56,5000000.0,2019-02-06,IBB,5000000.0,IBB06022019,106,5693.07,912958.28,1.168398,TRYISPO00183,10294065.0,5055276.8,4326674.0
47,5078343.41,2019-02-17T10:15:00,5000000.0,2019-02-07,IBB,5000000.0,IBB07022019,105,6111.41,913536.39,1.169511,TRYISPO00183,10302138.0,5072377.51,4337177.0
48,5080843.09,2019-02-18T10:14:58,5000000.0,2019-02-08,IBB,5000000.0,IBB08022019,104,6269.42,914122.27,1.171022,TRYISPO00183,10310314.0,5074737.95,4333596.0
49,5089704.72,2019-02-21T10:14:57,5000000.0,2019-02-11,IBB,5000000.0,IBB11022019,103,5930.97,915868.73,1.173964,TRYISPO00183,10381854.0,4913716.89,4185577.0
50,4977158.35,2019-02-22T10:14:56,5000000.0,2019-02-12,IBB,5000000.0,IBB12022019,102,5957.29,763668.04,1.178842,TRYISPO00183,10407404.0,4974609.11,4219911.0
51,4971947.11,2019-02-23T10:14:55,5000000.0,2019-02-13,IBB,5000000.0,IBB13022019,105,6294.66,559433.93,1.177526,TRYISPO00183,10431931.0,4959416.78,4211727.0
