,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,5920685.03,2018-12-13T10:14:57,0.0,2018-12-03,ICA,10000000000.0,ICA03122018,322,2210.68,0.0,0.020635,TRYTKSB00014,9032209.0,5908885.98,286346000.0
1,5940206.77,2018-12-14T10:14:56,0.0,2018-12-04,ICA,10000000000.0,ICA04122018,323,2327.19,0.0,0.020748,TRYTKSB00014,9057759.0,5935954.93,286095000.0
2,6100149.53,2018-12-15T10:14:55,0.0,2018-12-05,ICA,10000000000.0,ICA05122018,324,2354.25,0.0,0.021295,TRYTKSB00014,9082287.0,6095560.16,286240000.0
3,6200284.22,2018-12-16T10:14:54,0.0,2018-12-06,ICA,10000000000.0,ICA06122018,325,2142.25,0.0,0.021637,TRYTKSB00014,9090463.0,6195112.36,286323000.0
4,6230813.36,2018-12-17T10:14:59,0.0,2018-12-07,ICA,10000000000.0,ICA07122018,324,2224.58,0.0,0.021693,TRYTKSB00014,9098639.0,6225419.42,286976000.0
5,6238075.69,2018-12-20T10:14:57,0.0,2018-12-10,ICA,10000000000.0,ICA10122018,326,2135.95,0.0,0.02159,TRYTKSB00014,9170179.0,6231472.14,288630000.0
6,6222300.37,2018-12-21T10:14:56,0.0,2018-12-11,ICA,10000000000.0,ICA11122018,327,1934.95,0.0,0.021479,TRYTKSB00014,9194707.0,6216048.49,289397000.0
7,6333135.25,2018-12-22T10:14:55,0.0,2018-12-12,ICA,10000000000.0,ICA12122018,328,1662.88,0.0,0.021756,TRYTKSB00014,9219235.0,6326232.61,290778000.0
8,6345071.32,2018-12-23T10:14:54,0.0,2018-12-13,ICA,10000000000.0,ICA13122018,328,2140.09,0.0,0.021776,TRYTKSB00014,9227411.0,6338268.84,291072000.0
9,6364471.22,2018-12-24T10:14:53,10000000000.0,2018-12-14,ICA,10000000000.0,ICA14122018,330,2279.89,143092.07,0.021821,TRYTKSB00014,9235588.0,6357429.07,291350000.0
10,6512847.01,2018-12-27T10:14:57,0.0,2018-12-17,ICA,10000000000.0,ICA17122018,333,1901.64,0.0,0.021745,TRYTKSB00014,9307127.0,6504258.72,299116000.0
11,6605409.83,2018-12-28T10:14:59,0.0,2018-12-18,ICA,10000000000.0,ICA18122018,339,1661.02,0.0,0.021753,TRYTKSB00014,9332573.0,6596227.01,303237000.0
12,6633412.97,2018-12-29T10:14:58,10000000000.0,2018-12-19,ICA,10000000000.0,ICA19122018,341,2417.68,205131.42,0.021795,TRYTKSB00014,9357101.0,6624595.4,303956000.0
13,6632351.53,2018-12-30T10:14:58,0.0,2018-12-20,ICA,10000000000.0,ICA20122018,344,1819.71,0.0,0.021748,TRYTKSB00014,9365277.0,6622538.85,304519000.0
14,6577094.89,2018-12-31T10:15:00,10000000000.0,2018-12-21,ICA,10000000000.0,ICA21122018,346,3701.51,226144.51,0.02154,TRYTKSB00014,9373453.0,6566557.56,304860000.0
15,6684577.76,2019-01-03T10:14:57,0.0,2018-12-24,ICA,10000000000.0,ICA24122018,349,2604.3,0.0,0.021698,TRYTKSB00014,9425575.0,6671826.6,307492000.0
16,6711883.43,2019-01-04T10:14:57,0.0,2018-12-25,ICA,10000000000.0,ICA25122018,352,2518.94,0.0,0.02174,TRYTKSB00014,9450103.0,6698673.35,308127000.0
17,6851790.98,2019-01-05T10:14:56,0.0,2018-12-26,ICA,10000000000.0,ICA26122018,354,2728.94,0.0,0.021963,TRYTKSB00014,9473609.0,6838410.64,311354000.0
18,6873793.54,2019-01-06T10:14:55,0.0,2018-12-27,ICA,10000000000.0,ICA27122018,357,2216.85,0.0,0.021889,TRYTKSB00014,9480763.0,6859519.76,313375000.0
19,6882149.67,2019-01-07T10:15:00,0.0,2018-12-28,ICA,10000000000.0,ICA28122018,356,2629.38,0.0,0.021944,TRYTKSB00014,9487917.0,6867906.66,312977000.0
20,6993710.8,2019-01-10T10:14:57,0.0,2018-12-31,ICA,10000000000.0,ICA31122018,359,2112.29,0.0,0.021904,TRYTKSB00014,9556391.0,6977789.6,318556000.0
21,7070536.33,2019-01-12T10:14:58,0.0,2019-01-02,ICA,10000000000.0,ICA02012019,362,2522.15,0.0,0.022081,TRYTKSB00014,9604321.0,7055463.1,319532000.0
22,7177962.23,2019-01-13T10:14:57,0.0,2019-01-03,ICA,10000000000.0,ICA03012019,364,2785.13,0.0,0.022372,TRYTKSB00014,9612497.0,7162808.86,320171000.0
23,7447236.72,2019-01-14T10:14:59,10000000000.0,2019-01-04,ICA,10000000000.0,ICA04012019,367,2102.49,7004.53,0.022901,TRYTKSB00014,9620673.0,7440642.11,324898000.0
24,7468204.33,2019-01-17T10:14:57,0.0,2019-01-07,ICA,10000000000.0,ICA07012019,366,2075.6,0.0,0.022773,TRYTKSB00014,9692213.0,7460363.84,327604000.0
25,7410370.51,2019-01-18T10:14:56,0.0,2019-01-08,ICA,10000000000.0,ICA08012019,366,1803.07,0.0,0.02255,TRYTKSB00014,9717763.0,7401853.96,328245000.0
26,7428306.3,2019-01-19T10:14:55,0.0,2019-01-09,ICA,10000000000.0,ICA09012019,369,36077.87,0.0,0.022761,TRYTKSB00014,9742291.0,7453472.5,327466000.0
27,7741543.05,2019-01-20T10:14:54,0.0,2019-01-10,ICA,10000000000.0,ICA10012019,371,2788.89,0.0,0.023065,TRYTKSB00014,9750467.0,7732983.4,335273000.0
28,7770241.15,2019-01-21T10:14:59,0.0,2019-01-11,ICA,10000000000.0,ICA11012019,375,2945.81,0.0,0.023046,TRYTKSB00014,9758643.0,7761417.48,336785000.0
29,7843377.23,2019-01-24T10:14:57,0.0,2019-01-14,ICA,10000000000.0,ICA14012019,380,2016.3,0.0,0.022847,TRYTKSB00014,9830183.0,7832369.24,342819000.0
30,7839420.02,2019-01-25T10:14:56,0.0,2019-01-15,ICA,10000000000.0,ICA15012019,385,2924.29,0.0,0.023188,TRYTKSB00014,9855733.0,7828896.04,337634000.0
31,7761774.8,2019-01-26T10:14:55,10000000000.0,2019-01-16,ICA,10000000000.0,ICA16012019,388,2237.81,110072.41,0.022845,TRYTKSB00014,9880261.0,7750144.13,339242000.0
32,7881620.41,2019-01-27T10:14:57,0.0,2019-01-17,ICA,10000000000.0,ICA17012019,395,2764.46,0.0,0.022682,TRYTKSB00014,9888334.0,7870443.19,346998000.0
33,7834587.78,2019-01-28T10:14:59,0.0,2019-01-18,ICA,10000000000.0,ICA18012019,398,1935.44,0.0,0.022571,TRYTKSB00014,9896510.0,7822216.88,346566000.0
34,7788110.12,2019-01-31T10:14:57,0.0,2019-01-21,ICA,10000000000.0,ICA21012019,399,2730.22,0.0,0.02243,TRYTKSB00014,9968050.0,7775269.75,346644000.0
35,7727780.4,2019-02-01T10:14:56,0.0,2019-01-22,ICA,10000000000.0,ICA22012019,397,2799.98,0.0,0.022238,TRYTKSB00014,9993600.0,7714591.28,346912000.0
36,7774724.94,2019-02-02T10:14:55,0.0,2019-01-23,ICA,10000000000.0,ICA23012019,400,2538.8,0.0,0.022323,TRYTKSB00014,10018128.0,7760815.36,347663000.0
37,7739289.95,2019-02-03T10:14:54,0.0,2019-01-24,ICA,10000000000.0,ICA24012019,400,2178.47,0.0,0.022257,TRYTKSB00014,10026304.0,7724639.61,347064000.0
38,7660561.61,2019-02-04T10:15:00,0.0,2019-01-25,ICA,10000000000.0,ICA25012019,402,2221.73,0.0,0.022023,TRYTKSB00014,10034480.0,7645539.33,347154000.0
39,7697856.75,2019-02-07T10:14:57,0.0,2019-01-28,ICA,10000000000.0,ICA28012019,402,2680.18,0.0,0.022035,TRYTKSB00014,10106020.0,7682042.07,348626000.0
40,7786146.36,2019-02-08T10:14:56,10000000000.0,2019-01-29,ICA,10000000000.0,ICA29012019,402,2392.13,0.0,0.022323,TRYTKSB00014,10131570.0,7769622.49,348060000.0
41,7960655.7,2019-02-09T10:14:55,0.0,2019-01-30,ICA,10000000000.0,ICA30012019,404,2505.31,0.0,0.022712,TRYTKSB00014,10156100.0,7943815.52,349765000.0
42,7911578.6,2019-02-10T10:14:54,0.0,2019-01-31,ICA,10000000000.0,ICA31012019,401,2312.83,0.0,0.022579,TRYTKSB00014,10164274.0,7894118.83,349621000.0
43,7880215.66,2019-02-11T10:14:53,0.0,2019-02-01,ICA,10000000000.0,ICA01022019,403,2307.3,0.0,0.022308,TRYTKSB00014,10172450.0,7862324.77,352452000.0
44,7899000.72,2019-02-14T10:14:58,10000000000.0,2019-02-04,ICA,10000000000.0,ICA04022019,403,2489.14,192369.66,0.02234,TRYTKSB00014,10243990.0,7880012.37,352724000.0
45,7871935.61,2019-02-15T10:14:57,0.0,2019-02-05,ICA,10000000000.0,ICA05022019,403,2715.78,0.0,0.0223,TRYTKSB00014,10269540.0,7864141.08,352646000.0
46,7857151.91,2019-02-16T10:14:56,10000000000.0,2019-02-06,ICA,10000000000.0,ICA06022019,403,2507.3,190119.84,0.022226,TRYTKSB00014,10294068.0,7848723.97,353125000.0
47,7903735.03,2019-02-17T10:15:00,10000000000.0,2019-02-07,ICA,10000000000.0,ICA07022019,405,2225.68,217138.67,0.022281,TRYTKSB00014,10302141.0,7894598.34,354322000.0
48,7908545.19,2019-02-18T10:14:58,0.0,2019-02-08,ICA,10000000000.0,ICA08022019,405,2444.67,0.0,0.022296,TRYTKSB00014,10310317.0,7899200.14,354281000.0
49,7945981.61,2019-02-21T10:14:57,0.0,2019-02-11,ICA,10000000000.0,ICA11022019,405,2250.33,0.0,0.022381,TRYTKSB00014,10381857.0,7934909.03,354536000.0
50,7943345.44,2019-02-22T10:14:56,0.0,2019-02-12,ICA,10000000000.0,ICA12022019,403,2365.74,0.0,0.022387,TRYTKSB00014,10407407.0,7931777.36,354299000.0
51,7967818.9,2019-02-23T10:14:55,0.0,2019-02-13,ICA,10000000000.0,ICA13022019,402,2483.57,0.0,0.022483,TRYTKSB00014,10431934.0,7957055.53,353916000.0
52,7944857.67,2019-02-24T10:14:54,0.0,2019-02-14,ICA,10000000000.0,ICA14022019,400,3008.08,0.0,0.022386,TRYTKSB00014,10440110.0,7934007.79,354423000.0
