,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,2343585.68,2018-12-13T10:14:57,0.0,2018-12-03,ICC,10000000000.0,ICC03122018,50,2248.9,0.0,0.088643,TRMTMDWWWWW7,9032210.0,2312729.51,26090240.0
1,2306580.35,2018-12-14T10:14:56,0.0,2018-12-04,ICC,10000000000.0,ICC04122018,50,1750.94,0.0,0.088658,TRMTMDWWWWW7,9057760.0,2313103.36,26090240.0
2,2279711.7,2018-12-15T10:14:55,0.0,2018-12-05,ICC,10000000000.0,ICC05122018,50,2591.87,0.0,0.088014,TRMTMDWWWWW7,9082288.0,2296310.7,26090240.0
3,2303842.37,2018-12-16T10:14:54,0.0,2018-12-06,ICC,10000000000.0,ICC06122018,50,2331.17,0.0,0.088069,TRMTMDWWWWW7,9090464.0,2297748.52,26090240.0
4,2283936.05,2018-12-17T10:14:59,0.0,2018-12-07,ICC,10000000000.0,ICC07122018,50,2530.16,0.0,0.087664,TRMTMDWWWWW7,9098640.0,2284182.25,26056240.0
5,2290665.61,2018-12-20T10:14:57,0.0,2018-12-10,ICC,10000000000.0,ICC10122018,49,1951.31,0.0,0.087994,TRMTMDWWWWW7,9170180.0,2292796.62,26056240.0
6,2294237.52,2018-12-21T10:14:56,0.0,2018-12-11,ICC,10000000000.0,ICC11122018,49,2065.73,0.0,0.087511,TRMTMDWWWWW7,9194708.0,2280218.9,26056240.0
7,2291222.74,2018-12-22T10:14:55,0.0,2018-12-12,ICC,10000000000.0,ICC12122018,49,1998.17,0.0,0.087442,TRMTMDWWWWW7,9219236.0,2278414.0,26056240.0
8,2263488.43,2018-12-23T10:14:54,0.0,2018-12-13,ICC,10000000000.0,ICC13122018,49,2179.05,0.0,0.086732,TRMTMDWWWWW7,9227412.0,2259921.04,26056240.0
9,2293444.27,2018-12-24T10:14:53,10000000000.0,2018-12-14,ICC,10000000000.0,ICC14122018,49,2043.88,95061.16,0.087188,TRMTMDWWWWW7,9235589.0,2271800.97,26056240.0
10,2281630.51,2018-12-27T10:14:57,0.0,2018-12-17,ICC,10000000000.0,ICC17122018,49,1451.39,0.0,0.086692,TRMTMDWWWWW7,9307128.0,2258869.6,26056240.0
11,2268510.69,2018-12-28T10:14:59,0.0,2018-12-18,ICC,10000000000.0,ICC18122018,49,2374.22,0.0,0.086503,TRMTMDWWWWW7,9332574.0,2253940.46,26056240.0
12,2275303.58,2018-12-29T10:14:58,10000000000.0,2018-12-19,ICC,10000000000.0,ICC19122018,49,2780.25,80051.29,0.087036,TRMTMDWWWWW7,9357102.0,2267827.66,26056240.0
13,2285472.02,2018-12-30T10:14:58,0.0,2018-12-20,ICC,10000000000.0,ICC20122018,49,2323.53,0.0,0.087645,TRMTMDWWWWW7,9365278.0,2283709.94,26056240.0
14,2299266.33,2018-12-31T10:15:00,10000000000.0,2018-12-21,ICC,10000000000.0,ICC21122018,50,1634.44,80051.18,0.08756,TRMTMDWWWWW7,9373454.0,2281517.1,26056740.0
15,2288622.44,2019-01-03T10:14:57,0.0,2018-12-24,ICC,10000000000.0,ICC24122018,50,1516.31,0.0,0.087708,TRMTMDWWWWW7,9425576.0,2285382.39,26056740.0
16,2289079.64,2019-01-04T10:14:57,0.0,2018-12-25,ICC,10000000000.0,ICC25122018,50,2495.21,0.0,0.087716,TRMTMDWWWWW7,9450104.0,2285581.25,26056740.0
17,2295761.03,2019-01-05T10:14:56,0.0,2018-12-26,ICC,10000000000.0,ICC26122018,50,2536.37,0.0,0.087482,TRMTMDWWWWW7,9473610.0,2279494.03,26056740.0
18,2287443.16,2019-01-06T10:14:55,0.0,2018-12-27,ICC,10000000000.0,ICC27122018,50,2630.69,0.0,0.087516,TRMTMDWWWWW7,9480764.0,2280375.55,26056740.0
19,2286505.9,2019-01-07T10:15:00,0.0,2018-12-28,ICC,10000000000.0,ICC28122018,50,2027.12,0.0,0.087333,TRMTMDWWWWW7,9487918.0,2275607.63,26056740.0
20,2281318.28,2019-01-10T10:14:57,0.0,2018-12-31,ICC,10000000000.0,ICC31122018,50,1376.8,0.0,0.087367,TRMTMDWWWWW7,9556392.0,2276496.42,26056740.0
21,2292347.18,2019-01-12T10:14:58,0.0,2019-01-02,ICC,10000000000.0,ICC02012019,50,2432.44,0.0,0.087934,TRMTMDWWWWW7,9604322.0,2291282.26,26056740.0
22,2274088.93,2019-01-13T10:14:57,0.0,2019-01-03,ICC,10000000000.0,ICC03012019,50,2500.4,0.0,0.086957,TRMTMDWWWWW7,9612498.0,2265804.32,26056740.0
23,2261994.98,2019-01-14T10:14:59,10000000000.0,2019-01-04,ICC,10000000000.0,ICC04012019,50,2030.75,78050.49,0.086298,TRMTMDWWWWW7,9620674.0,2248632.72,26056740.0
24,2286970.18,2019-01-17T10:14:57,0.0,2019-01-07,ICC,10000000000.0,ICC07012019,50,2488.7,0.0,0.086902,TRMTMDWWWWW7,9692214.0,2264381.76,26056740.0
25,2261518.73,2019-01-18T10:14:56,0.0,2019-01-08,ICC,10000000000.0,ICC08012019,51,2589.02,0.0,0.087321,TRMTMDWWWWW7,9717764.0,2275376.77,26057740.0
26,2227235.42,2019-01-19T10:14:55,0.0,2019-01-09,ICC,10000000000.0,ICC09012019,51,33628.51,0.0,0.087428,TRMTMDWWWWW7,9742292.0,2278171.81,26057740.0
27,2318334.19,2019-01-20T10:14:54,0.0,2019-01-10,ICC,10000000000.0,ICC10012019,51,2223.8,0.0,0.087482,TRMTMDWWWWW7,9750468.0,2279585.6,26057740.0
28,2316127.41,2019-01-21T10:14:59,0.0,2019-01-11,ICC,10000000000.0,ICC11012019,51,2483.84,0.0,0.087523,TRMTMDWWWWW7,9758644.0,2280648.66,26057740.0
29,2284813.71,2019-01-24T10:14:57,0.0,2019-01-14,ICC,10000000000.0,ICC14012019,51,2002.0,0.0,0.087809,TRMTMDWWWWW7,9830184.0,2288113.2,26057740.0
30,2261183.77,2019-01-25T10:14:56,0.0,2019-01-15,ICC,10000000000.0,ICC15012019,52,2311.6,0.0,0.088041,TRMTMDWWWWW7,9855734.0,2294190.93,26058240.0
31,2288253.93,2019-01-26T10:14:55,10000000000.0,2019-01-16,ICC,10000000000.0,ICC16012019,52,2588.4,71046.73,0.088658,TRMTMDWWWWW7,9880262.0,2310282.58,26058240.0
32,2335565.96,2019-01-27T10:14:57,0.0,2019-01-17,ICC,10000000000.0,ICC17012019,52,2502.83,0.0,0.089658,TRMTMDWWWWW7,9888335.0,2336334.04,26058240.0
33,2351635.68,2019-01-28T10:14:59,0.0,2019-01-18,ICC,10000000000.0,ICC18012019,52,2462.39,0.0,0.090327,TRMTMDWWWWW7,9896511.0,2353764.35,26058240.0
34,2366587.54,2019-01-31T10:14:57,0.0,2019-01-21,ICC,10000000000.0,ICC21012019,52,2381.6,0.0,0.091078,TRMTMDWWWWW7,9968051.0,2373332.2,26058240.0
35,2371489.85,2019-02-01T10:14:56,0.0,2019-01-22,ICC,10000000000.0,ICC22012019,52,2022.04,0.0,0.090913,TRMTMDWWWWW7,9993601.0,2369039.4,26058240.0
36,2404044.77,2019-02-02T10:14:55,0.0,2019-01-23,ICC,10000000000.0,ICC23012019,52,2189.78,0.0,0.091635,TRMTMDWWWWW7,10018129.0,2387854.28,26058240.0
37,2373035.77,2019-02-03T10:14:54,0.0,2019-01-24,ICC,10000000000.0,ICC24012019,52,2331.55,0.0,0.091849,TRMTMDWWWWW7,10026305.0,2393416.87,26058240.0
38,2346485.79,2019-02-04T10:15:00,0.0,2019-01-25,ICC,10000000000.0,ICC25012019,52,1890.67,0.0,0.092472,TRMTMDWWWWW7,10034481.0,2409668.73,26058240.0
39,2349725.91,2019-02-07T10:14:57,0.0,2019-01-28,ICC,10000000000.0,ICC28012019,52,2186.65,0.0,0.092531,TRMTMDWWWWW7,10106021.0,2411101.32,26057240.0
40,2386057.56,2019-02-08T10:14:56,10000000000.0,2019-01-29,ICC,10000000000.0,ICC29012019,50,2187.47,0.0,0.092255,TRMTMDWWWWW7,10131571.0,2403915.76,26057240.0
41,2437999.7,2019-02-09T10:14:55,0.0,2019-01-30,ICC,10000000000.0,ICC30012019,51,1994.11,0.0,0.093202,TRMTMDWWWWW7,10156101.0,2428634.99,26057740.0
42,2438789.56,2019-02-10T10:14:54,0.0,2019-01-31,ICC,10000000000.0,ICC31012019,51,2587.26,0.0,0.093248,TRMTMDWWWWW7,10164275.0,2429780.19,26057240.0
43,2440393.59,2019-02-11T10:14:53,0.0,2019-02-01,ICC,10000000000.0,ICC01022019,48,2447.95,0.0,0.0933,TRMTMDWWWWW7,10172451.0,2431152.09,26057240.0
44,2435620.06,2019-02-14T10:14:58,10000000000.0,2019-02-04,ICC,10000000000.0,ICC04022019,48,2083.95,422812.49,0.093079,TRMTMDWWWWW7,10243991.0,2425465.84,26058240.0
45,2436579.4,2019-02-15T10:14:57,0.0,2019-02-05,ICC,10000000000.0,ICC05022019,48,2886.71,0.0,0.092971,TRMTMDWWWWW7,10269541.0,2422652.53,26058240.0
46,2430246.02,2019-02-16T10:14:56,10000000000.0,2019-02-06,ICC,10000000000.0,ICC06022019,48,2628.33,375236.54,0.092946,TRMTMDWWWWW7,10294069.0,2422002.8,26058240.0
47,2417038.8,2019-02-17T10:15:00,10000000000.0,2019-02-07,ICC,10000000000.0,ICC07022019,48,2153.25,368235.25,0.092779,TRMTMDWWWWW7,10302142.0,2417663.52,26058240.0
48,2430030.5,2019-02-18T10:14:58,0.0,2019-02-08,ICC,10000000000.0,ICC08022019,48,2143.62,0.0,0.092911,TRMTMDWWWWW7,10310318.0,2421094.9,26058240.0
49,2454948.09,2019-02-21T10:14:57,0.0,2019-02-11,ICC,10000000000.0,ICC11022019,48,1172.01,0.0,0.092894,TRMTMDWWWWW7,10381858.0,2420642.9,26058240.0
50,2440614.53,2019-02-22T10:14:56,0.0,2019-02-12,ICC,10000000000.0,ICC12022019,48,2609.72,0.0,0.093636,TRMTMDWWWWW7,10407408.0,2439995.46,26058240.0
51,2421741.67,2019-02-23T10:14:55,0.0,2019-02-13,ICC,10000000000.0,ICC13022019,48,2461.89,0.0,0.093453,TRMTMDWWWWW7,10431935.0,2435215.57,26058240.0
52,2442434.4,2019-02-24T10:14:54,0.0,2019-02-14,ICC,10000000000.0,ICC14022019,48,1512.5,0.0,0.092894,TRMTMDWWWWW7,10440111.0,2420653.56,26058240.0
53,2450767.54,2019-02-25T10:14:59,0.0,2019-02-15,ICC,10000000000.0,ICC15022019,48,1832.49,0.0,0.093192,TRMTMDWWWWW7,10448287.0,2428414.56,26058240.0
54,2446095.71,2019-02-28T10:14:57,0.0,2019-02-18,ICC,10000000000.0,ICC18022019,48,1781.83,0.0,0.093448,TRMTMDWWWWW7,10519827.0,2435033.19,26057720.0
55,2426467.6,2019-03-01T10:14:55,0.0,2019-02-19,ICC,10000000000.0,ICC19022019,47,2078.33,0.0,0.093168,TRMTMDWWWWW7,10545377.0,2427734.61,26057720.0
56,2437804.23,2019-03-02T10:14:55,0.0,2019-02-20,ICC,10000000000.0,ICC20022019,47,2970.52,0.0,0.093313,TRMTMDWWWWW7,10569905.0,2431531.49,26057720.0
57,2586746.48,2019-03-03T10:14:53,0.0,2019-02-21,ICC,10000000000.0,ICC21022019,48,2728.18,0.0,0.093366,TRMTMDWWWWW7,10578081.0,2460837.07,26357010.0
58,2588980.82,2019-03-04T10:14:52,0.0,2019-02-22,ICC,10000000000.0,ICC22022019,48,2308.66,0.0,0.093553,TRMTMDWWWWW7,10586256.0,2465771.12,26357010.0
59,2462552.92,2019-03-07T10:14:48,0.0,2019-02-25,ICC,10000000000.0,ICC25022019,48,1997.57,0.0,0.09393,TRMTMDWWWWW7,10657796.0,2475702.01,26357010.0
60,2473872.01,2019-03-08T10:15:00,0.0,2019-02-26,ICC,10000000000.0,ICC26022019,48,2429.6,0.0,0.094368,TRMTMDWWWWW7,10658818.0,2487261.58,26357010.0
61,2503056.77,2019-03-07T10:14:59,0.0,2019-02-27,ICC,10000000000.0,ICC27022019,48,2251.63,0.0,0.094588,TRMTMDWWWWW7,10659840.0,2493054.12,26357010.0
62,2491082.81,2019-03-07T10:15:03,0.0,2019-02-28,ICC,10000000000.0,ICC28022019,49,2148.1,0.0,0.094351,TRMTMDWWWWW7,10660862.0,2486855.21,26357530.0
63,2512750.29,2019-03-07T10:15:06,0.0,2019-03-01,ICC,10000000000.0,ICC01032019,49,2792.77,0.0,0.094535,TRMTMDWWWWW7,10661884.0,2491706.83,26357530.0
64,2502277.65,2019-03-07T10:15:10,0.0,2019-03-04,ICC,10000000000.0,ICC04032019,49,2968.65,0.0,0.094149,TRMTMDWWWWW7,10662906.0,2481539.36,26357530.0
65,2495000.56,2019-03-07T10:15:14,10000000000.0,2019-03-05,ICC,10000000000.0,ICC05032019,49,2091.88,322200.7,0.094608,TRMTMDWWWWW7,10663928.0,2493642.63,26357530.0
66,2493736.12,2019-03-07T10:15:18,0.0,2019-03-06,ICC,10000000000.0,ICC06032019,49,2742.59,0.0,0.094463,TRMTMDWWWWW7,10664950.0,2489813.21,26357530.0
67,2490277.71,2019-03-07T13:50:07,0.0,2019-03-07,ICC,10000000000.0,ICC07032019,49,2731.1,0.0,0.094324,TRMTMDWWWWW7,10666994.0,2486152.21,26357530.0
