,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,6772793.43,2018-12-13T10:14:57,0.0,2018-12-03,ICD,1000000.0,ICD03122018,37,2620.15,0.0,14.380591,TRMTL2WWWWW3,9032211.0,6733855.44,468260
1,6731024.2,2018-12-14T10:14:56,0.0,2018-12-04,ICD,1000000.0,ICD04122018,37,2439.48,0.0,14.383505,TRMTL2WWWWW3,9057761.0,6735219.93,468260
2,6704777.29,2018-12-15T10:14:55,0.0,2018-12-05,ICD,1000000.0,ICD05122018,37,1919.39,0.0,14.345469,TRMTL2WWWWW3,9082289.0,6717409.29,468260
3,6730805.4,2018-12-16T10:14:54,0.0,2018-12-06,ICD,1000000.0,ICD06122018,37,2533.64,0.0,14.353872,TRMTL2WWWWW3,9090465.0,6721343.91,468260
4,6717704.45,2018-12-17T10:14:59,0.0,2018-12-07,ICD,1000000.0,ICD07122018,37,2258.95,0.0,14.344445,TRMTL2WWWWW3,9098641.0,6716929.78,468260
5,6727152.85,2018-12-20T10:14:57,0.0,2018-12-10,ICD,1000000.0,ICD10122018,37,1920.06,0.0,14.361188,TRMTL2WWWWW3,9170181.0,6724769.89,468260
6,6733478.4,2018-12-21T10:14:56,0.0,2018-12-11,ICD,1000000.0,ICD11122018,37,2402.25,0.0,14.34142,TRMTL2WWWWW3,9194709.0,6715513.55,468260
7,6734005.32,2018-12-22T10:14:55,0.0,2018-12-12,ICD,1000000.0,ICD12122018,36,1903.01,0.0,14.344007,TRMTL2WWWWW3,9219237.0,6716581.08,468250
8,6710327.22,2018-12-23T10:14:54,0.0,2018-12-13,ICD,1000000.0,ICD13122018,36,1704.19,0.0,14.311857,TRMTL2WWWWW3,9227413.0,6701526.81,468250
9,6726421.18,2018-12-24T10:14:53,100000000.0,2018-12-14,ICD,1000000.0,ICD14122018,35,2318.82,177113.96,14.319097,TRMTL2WWWWW3,9235590.0,6700048.9,467910
10,6715810.42,2018-12-27T10:14:57,100000000.0,2018-12-17,ICD,1000000.0,ICD17122018,35,2340.14,198378.52,14.293823,TRMTL2WWWWW3,9307129.0,6688222.93,467910
