,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,52374055.2,2018-12-13T10:14:57,0.0,2018-12-03,ICE,30000000.0,ICE03122018,4004,5907.04,0.0,16.718527,TRMTL1WWWWW5,9032212.0,52332568.1,3130214.0
1,52043102.19,2018-12-14T10:14:56,0.0,2018-12-04,ICE,30000000.0,ICE04122018,4066,7375.97,0.0,16.729394,TRMTL1WWWWW5,9057762.0,52047386.94,3111134.0
2,54203685.47,2018-12-15T10:14:55,0.0,2018-12-05,ICE,30000000.0,ICE05122018,4043,6230.69,0.0,16.740313,TRMTL1WWWWW5,9082290.0,54205133.99,3238000.0
3,53879199.54,2018-12-16T10:14:54,0.0,2018-12-06,ICE,30000000.0,ICE06122018,4069,6168.04,0.0,16.75092,TRMTL1WWWWW5,9090466.0,53879166.54,3216490.0
4,49984871.19,2018-12-17T10:14:59,0.0,2018-12-07,ICE,30000000.0,ICE07122018,4037,5610.61,0.0,16.762928,TRMTL1WWWWW5,9098642.0,49983196.91,2981770.0
5,50172859.01,2018-12-20T10:14:57,0.0,2018-12-10,ICE,30000000.0,ICE10122018,4020,6033.82,0.0,16.797388,TRMTL1WWWWW5,9170182.0,50166742.16,2986580.0
6,50671707.39,2018-12-21T10:14:56,0.0,2018-12-11,ICE,30000000.0,ICE11122018,3970,5746.54,0.0,16.807989,TRMTL1WWWWW5,9194710.0,50667513.5,3014490.0
7,52933797.85,2018-12-22T10:14:55,0.0,2018-12-12,ICE,30000000.0,ICE12122018,3942,4291.9,0.0,16.819351,TRMTL1WWWWW5,9219238.0,52927134.16,3146800.0
8,51684811.78,2018-12-23T10:14:54,0.0,2018-12-13,ICE,30000000.0,ICE13122018,3897,7307.14,0.0,16.831436,TRMTL1WWWWW5,9227414.0,51679576.9,3070420.0
9,50558840.24,2018-12-24T10:14:53,30000000.0,2018-12-14,ICE,30000000.0,ICE14122018,3869,9288.04,5549113.45,16.842061,TRMTL1WWWWW5,9235591.0,50553970.97,3001650.0
10,46774343.78,2018-12-27T10:14:57,0.0,2018-12-17,ICE,30000000.0,ICE17122018,3855,3134.74,0.0,16.874335,TRMTL1WWWWW5,9307130.0,46758952.1,2771010.0
11,50536427.02,2018-12-28T10:14:59,0.0,2018-12-18,ICE,30000000.0,ICE18122018,3895,78365.39,0.0,16.884809,TRMTL1WWWWW5,9332576.0,50594991.6,2996480.0
12,51917116.81,2018-12-29T10:14:58,30000000.0,2018-12-19,ICE,30000000.0,ICE19122018,3863,5834.28,6571080.44,16.8953,TRMTL1WWWWW5,9357104.0,51901515.3,3071950.0
13,51764631.66,2018-12-30T10:14:58,0.0,2018-12-20,ICE,30000000.0,ICE20122018,3833,4619.23,0.0,16.905936,TRMTL1WWWWW5,9365280.0,51746196.91,3060830.0
14,53840572.07,2018-12-31T10:15:00,30000000.0,2018-12-21,ICE,30000000.0,ICE21122018,3799,4776.34,7067579.97,16.915289,TRMTL1WWWWW5,9373456.0,53817192.74,3181571.0
15,56762218.8,2019-01-03T10:14:57,0.0,2018-12-24,ICE,30000000.0,ICE24122018,3811,5358.13,0.0,16.943487,TRMTL1WWWWW5,9425578.0,56723932.43,3347831.0
