,record_id,kisi_sayisi,record_date,price,aktif_deger,data_date,tedavuldeki_pay_sayisi,fund_code
0,IDF03122018,70,2020-09-21T18:03:30.29,5.239881,12374462.08,2018-12-03,2361592.0,IDF
1,IDF04122018,70,2020-09-21T18:03:30.3,5.281644,12264863.74,2018-12-04,2322168.0,IDF
2,IDF05122018,68,2020-09-21T18:03:30.308,5.360021,11915744.53,2018-12-05,2223078.0,IDF
3,IDF06122018,68,2020-09-21T18:03:30.316,5.463251,17218130.89,2018-12-06,3151627.0,IDF
4,IDF07122018,68,2020-09-21T18:03:30.321,5.452028,17089571.15,2018-12-07,3134535.0,IDF
5,IDF10122018,67,2020-09-21T18:03:30.327,5.418159,17223145.24,2018-12-10,3178782.0,IDF
6,IDF11122018,67,2020-09-21T18:03:30.331,5.388552,17129030.93,2018-12-11,3178782.0,IDF
7,IDF12122018,67,2020-09-21T18:03:30.337,5.468829,17004349.69,2018-12-12,3109322.0,IDF
8,IDF13122018,68,2020-09-21T18:03:30.342,5.482243,17046058.78,2018-12-13,3109322.0,IDF
9,IDF14122018,68,2020-09-21T18:03:30.347,5.491641,17075280.06,2018-12-14,3109322.0,IDF
10,IDF17122018,66,2020-09-21T18:03:30.355,5.51045,17187557.17,2018-12-17,3119084.0,IDF
11,IDF18122018,66,2020-09-21T18:03:30.36,5.522901,17226391.21,2018-12-18,3119084.0,IDF
12,IDF19122018,66,2020-09-21T18:03:30.365,5.496396,18347640.07,2018-12-19,3338122.0,IDF
13,IDF20122018,67,2020-09-21T18:03:30.372,5.485929,17832078.7,2018-12-20,3250512.0,IDF
14,IDF21122018,69,2020-09-21T18:03:30.376,5.421396,17622314.04,2018-12-21,3250512.0,IDF
15,IDF24122018,69,2020-09-21T18:03:30.383,5.440214,17900605.42,2018-12-24,3290423.0,IDF
16,IDF25122018,70,2020-09-21T18:03:30.388,5.460564,17967566.35,2018-12-25,3290423.0,IDF
17,IDF26122018,70,2020-09-21T18:03:30.4,5.472148,18005682.91,2018-12-26,3290423.0,IDF
18,IDF27122018,70,2020-09-21T18:03:30.406,5.450564,17659833.35,2018-12-27,3240001.0,IDF
19,IDF28122018,70,2020-09-21T18:03:30.41,5.456463,18394423.73,2018-12-28,3371126.0,IDF
20,IDF31122018,75,2020-09-21T18:03:30.416,5.429312,19039650.97,2018-12-31,3506826.0,IDF
21,IDF02012019,74,2020-09-21T18:15:27.433,5.451725,19171090.07,2019-01-02,3516518.0,IDF
22,IDF03012019,75,2020-09-21T18:15:27.429,5.504569,19356900.43,2019-01-03,3516515.0,IDF
23,IDF04012019,75,2020-09-21T18:15:27.426,5.64088,19780999.12,2019-01-04,3506722.0,IDF
24,IDF07012019,75,2020-09-21T18:15:27.422,5.599598,19636232.97,2019-01-07,3506722.0,IDF
25,IDF08012019,75,2020-09-21T18:15:27.419,5.557412,19560766.67,2019-01-08,3519762.0,IDF
26,IDF09012019,74,2020-09-21T18:15:27.415,5.628147,19809738.65,2019-01-09,3519762.0,IDF
27,IDF10012019,74,2020-09-21T18:15:27.411,5.698325,20141902.84,2019-01-10,3534706.0,IDF
