,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,21502164.93,2018-12-13T10:14:57,300000000.0,2018-12-03,IDY,30000000000.0,IDY03122018,463,1980.7,8885626.91,0.02061,TRYOYKB00013,9032215.0,21451023.83,1040787731.0
1,21473758.28,2018-12-14T10:14:56,300000000.0,2018-12-04,IDY,30000000000.0,IDY04122018,465,1130.8,8883410.63,0.02059,TRYOYKB00013,9057765.0,21429683.87,1040797677.0
2,21497655.76,2018-12-15T10:14:55,300000000.0,2018-12-05,IDY,30000000000.0,IDY05122018,464,1525.52,8939074.38,0.020564,TRYOYKB00013,9082293.0,21407495.13,1041032433.0
3,21736946.21,2018-12-16T10:14:54,300000000.0,2018-12-06,IDY,30000000000.0,IDY06122018,468,1085.49,9199948.63,0.020548,TRYOYKB00013,9090469.0,21712781.14,1056686660.0
4,21730879.38,2018-12-17T10:14:59,300000000.0,2018-12-07,IDY,30000000000.0,IDY07122018,470,1547.45,9202011.11,0.020545,TRYOYKB00013,9098645.0,21711283.87,1056769341.0
5,21782402.91,2018-12-20T10:14:57,300000000.0,2018-12-10,IDY,30000000000.0,IDY10122018,471,1808.06,9219825.19,0.020591,TRYOYKB00013,9170185.0,21448702.5,1041633228.0
6,21442499.66,2018-12-21T10:14:56,300000000.0,2018-12-11,IDY,30000000000.0,IDY11122018,470,1661.41,8914367.8,0.020563,TRYOYKB00013,9194713.0,21356677.16,1038613486.0
7,21439961.07,2018-12-22T10:14:55,300000000.0,2018-12-12,IDY,30000000000.0,IDY12122018,469,1638.25,8907343.48,0.020571,TRYOYKB00013,9219241.0,21415749.31,1041040237.0
8,21487481.87,2018-12-23T10:14:54,300000000.0,2018-12-13,IDY,30000000000.0,IDY13122018,471,1399.36,9018159.92,0.020515,TRYOYKB00013,9227417.0,21461955.74,1046139716.0
9,21541081.34,2018-12-24T10:14:53,300000000.0,2018-12-14,IDY,30000000000.0,IDY14122018,471,1851.62,9024006.72,0.020566,TRYOYKB00013,9235594.0,21508281.09,1045839792.0
10,21654628.48,2018-12-27T10:14:57,300000000.0,2018-12-17,IDY,30000000000.0,IDY17122018,474,1684.18,9142878.74,0.020574,TRYOYKB00013,9307133.0,21625511.73,1051090149.0
11,21644333.34,2018-12-28T10:14:59,300000000.0,2018-12-18,IDY,30000000000.0,IDY18122018,471,1467.27,9168732.29,0.020563,TRYOYKB00013,9332579.0,21561888.96,1048557270.0
12,21652374.73,2018-12-29T10:14:58,300000000.0,2018-12-19,IDY,30000000000.0,IDY19122018,470,1180.31,9122790.06,0.020619,TRYOYKB00013,9357107.0,21618719.12,1048460013.0
13,21727415.75,2018-12-30T10:14:58,300000000.0,2018-12-20,IDY,30000000000.0,IDY20122018,470,2036.35,9127882.79,0.020691,TRYOYKB00013,9365283.0,21690564.39,1048320033.0
14,21723565.26,2018-12-31T10:15:00,300000000.0,2018-12-21,IDY,30000000000.0,IDY21122018,470,1793.1,9128997.63,0.020691,TRYOYKB00013,9373459.0,21690317.39,1048315033.0
15,21742005.38,2019-01-03T10:14:57,300000000.0,2018-12-24,IDY,30000000000.0,IDY24122018,471,1605.53,9948393.4,0.020705,TRYOYKB00013,9425581.0,21705532.68,1048331476.0
16,21756399.6,2019-01-04T10:14:57,300000000.0,2018-12-25,IDY,30000000000.0,IDY25122018,472,1445.59,9965028.1,0.020708,TRYOYKB00013,9450109.0,21718729.67,1048823736.0
17,21762973.53,2019-01-05T10:14:56,300000000.0,2018-12-26,IDY,30000000000.0,IDY26122018,473,2337.4,9970374.8,0.020714,TRYOYKB00013,9473615.0,21545115.95,1040139244.0
18,21616563.31,2019-01-06T10:14:55,300000000.0,2018-12-27,IDY,30000000000.0,IDY27122018,475,1833.02,10296513.2,0.020745,TRYOYKB00013,9480769.0,21149611.62,1019507324.0
19,21180643.5,2019-01-07T10:15:00,300000000.0,2018-12-28,IDY,30000000000.0,IDY28122018,472,1395.66,9876943.61,0.020735,TRYOYKB00013,9487923.0,21055077.78,1015454717.0
20,21381533.9,2019-01-10T10:14:57,300000000.0,2018-12-31,IDY,30000000000.0,IDY31122018,477,1491.58,8563253.52,0.020763,TRYOYKB00013,9556397.0,21322775.75,1026984843.0
21,21507260.34,2019-01-12T10:14:58,300000000.0,2019-01-02,IDY,30000000000.0,IDY02012019,479,1745.97,7803252.57,0.020774,TRYOYKB00013,9604327.0,21461726.08,1033124973.0
22,21426345.84,2019-01-13T10:14:57,300000000.0,2019-01-03,IDY,30000000000.0,IDY03012019,478,1190.5,5028246.06,0.020694,TRYOYKB00013,9612503.0,21379445.69,1033140133.0
23,21328564.27,2019-01-14T10:14:59,300000000.0,2019-01-04,IDY,30000000000.0,IDY04012019,478,1377.32,3820053.52,0.020583,TRYOYKB00013,9620679.0,21280953.09,1033885257.0
24,21804368.7,2019-01-17T10:14:57,300000000.0,2019-01-07,IDY,30000000000.0,IDY07012019,480,2780.73,4203841.06,0.020677,TRYOYKB00013,9692219.0,21646267.32,1046856928.0
25,21745783.77,2019-01-18T10:14:56,300000000.0,2019-01-08,IDY,30000000000.0,IDY08012019,479,1493.04,4123526.71,0.020703,TRYOYKB00013,9717769.0,21713403.85,1048787606.0
26,21789656.23,2019-01-19T10:14:55,300000000.0,2019-01-09,IDY,30000000000.0,IDY09012019,477,2841.61,4161161.71,0.020712,TRYOYKB00013,9742297.0,21736397.69,1049448412.0
27,21766817.37,2019-01-20T10:14:54,300000000.0,2019-01-10,IDY,30000000000.0,IDY10012019,475,2285.67,4176779.64,0.020719,TRYOYKB00013,9750473.0,21622329.53,1043597568.0
28,21673966.58,2019-01-21T10:14:59,300000000.0,2019-01-11,IDY,30000000000.0,IDY11012019,469,1605.69,4059323.43,0.020745,TRYOYKB00013,9758649.0,21649797.28,1043599981.0
29,21724878.98,2019-01-24T10:14:57,300000000.0,2019-01-14,IDY,30000000000.0,IDY14012019,469,1855.77,4068264.03,0.020792,TRYOYKB00013,9830189.0,21651480.14,1041350486.0
30,21708993.97,2019-01-25T10:14:56,300000000.0,2019-01-15,IDY,30000000000.0,IDY15012019,467,1841.29,4158349.75,0.02082,TRYOYKB00013,9855739.0,21681241.82,1041350486.0
31,21806297.54,2019-01-26T10:14:55,300000000.0,2019-01-16,IDY,30000000000.0,IDY16012019,467,1622.11,4161756.37,0.020914,TRYOYKB00013,9880267.0,21725332.27,1038803497.0
32,21943253.97,2019-01-27T10:14:57,300000000.0,2019-01-17,IDY,30000000000.0,IDY17012019,466,1247.38,4120611.21,0.021089,TRYOYKB00013,9888340.0,21858645.67,1036502590.0
33,22030896.44,2019-01-28T10:14:59,300000000.0,2019-01-18,IDY,30000000000.0,IDY18012019,464,1125.46,4069580.26,0.021227,TRYOYKB00013,9896516.0,21758744.43,1025045350.0
34,21965687.42,2019-01-31T10:14:57,300000000.0,2019-01-21,IDY,30000000000.0,IDY21012019,465,1630.88,4014481.37,0.021335,TRYOYKB00013,9968056.0,21925690.88,1027667728.0
