,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,100885091.36,2018-12-13T10:14:57,71000000.0,2018-12-03,IPV,71000000.0,IPV03122018,619,906028.87,0.0,5.018206,TRYISPO00100,9032234.0,101668600.82,20259950.0
1,101903691.98,2018-12-14T10:14:56,71000000.0,2018-12-04,IPV,71000000.0,IPV04122018,618,911090.2,0.0,5.068348,TRYISPO00100,9057784.0,102583921.91,20240109.0
2,104049154.5,2018-12-15T10:14:55,71000000.0,2018-12-05,IPV,71000000.0,IPV05122018,618,925778.45,0.0,5.153483,TRYISPO00100,9082312.0,104234160.09,20225965.0
3,105884740.18,2018-12-16T10:14:54,71000000.0,2018-12-06,IPV,71000000.0,IPV06122018,612,881008.36,0.0,5.246906,TRYISPO00100,9090488.0,106117217.85,20224721.0
4,105446360.46,2018-12-17T10:14:59,71000000.0,2018-12-07,IPV,71000000.0,IPV07122018,611,411919.77,0.0,5.232272,TRYISPO00100,9098664.0,105834598.76,20227274.0
5,104864735.29,2018-12-20T10:14:57,71000000.0,2018-12-10,IPV,71000000.0,IPV10122018,610,409639.5,0.0,5.20225,TRYISPO00100,9170204.0,105216736.37,20225238.0
6,104290816.91,2018-12-21T10:14:56,71000000.0,2018-12-11,IPV,71000000.0,IPV11122018,610,406502.36,0.0,5.173148,TRYISPO00100,9194732.0,104637071.23,20226962.0
7,105901456.64,2018-12-22T10:14:55,71000000.0,2018-12-12,IPV,71000000.0,IPV12122018,610,411086.44,0.0,5.253521,TRYISPO00100,9219260.0,106221692.46,20219144.0
8,106251742.51,2018-12-23T10:14:54,71000000.0,2018-12-13,IPV,71000000.0,IPV13122018,610,412042.31,0.0,5.269933,TRYISPO00100,9227436.0,106562599.74,20220865.0
9,106423218.1,2018-12-24T10:14:53,71000000.0,2018-12-14,IPV,71000000.0,IPV14122018,607,412026.72,0.0,5.280636,TRYISPO00100,9235613.0,106790177.89,20222976.0
