,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,63968050.27,2018-12-13T10:14:57,150000000.0,2018-12-03,IST,15000000000.0,IST03122018,380,158143.0,0.0,0.02323,TRYISMD00076,9032236.0,64043406.74,2756918187.622
1,63936303.97,2018-12-14T10:14:56,150000000.0,2018-12-04,IST,15000000000.0,IST04122018,384,40594.01,0.0,0.023245,TRYISMD00076,9057786.0,63891815.95,2748650479.622
2,66438915.45,2018-12-15T10:14:55,150000000.0,2018-12-05,IST,15000000000.0,IST05122018,386,42086.55,100064.38,0.02326,TRYISMD00076,9082314.0,66393526.47,2854385414.622
3,72820651.13,2018-12-16T10:14:54,150000000.0,2018-12-06,IST,15000000000.0,IST06122018,385,47499.74,400253.7,0.023276,TRYISMD00076,9090490.0,72842271.61,3129535270.622
4,74875410.47,2018-12-17T10:14:59,150000000.0,2018-12-07,IST,15000000000.0,IST07122018,386,89215.07,250157.88,0.023291,TRYISMD00076,9098666.0,74936067.86,3217392734.622
5,74901766.64,2018-12-20T10:14:57,150000000.0,2018-12-10,IST,15000000000.0,IST10122018,387,25189.19,350671.71,0.023331,TRYISMD00076,9170206.0,74890370.2,3209959424.622
6,75640207.51,2018-12-21T10:14:56,150000000.0,2018-12-11,IST,15000000000.0,IST11122018,386,184634.14,0.0,0.023347,TRYISMD00076,9194734.0,75785561.68,3246010098.622
7,76698083.33,2018-12-22T10:14:55,150000000.0,2018-12-12,IST,15000000000.0,IST12122018,385,57717.46,0.0,0.023363,TRYISMD00076,9219262.0,76713773.32,3283592073.622
8,77117086.47,2018-12-23T10:14:54,150000000.0,2018-12-13,IST,15000000000.0,IST13122018,385,45254.41,0.0,0.023375,TRYISMD00076,9227438.0,77117559.05,3299126022.622
9,77760761.71,2018-12-24T10:14:53,150000000.0,2018-12-14,IST,15000000000.0,IST14122018,386,84326.92,0.0,0.02339,TRYISMD00076,9235615.0,77797523.71,3326061313.622
10,75948264.96,2018-12-27T10:14:57,150000000.0,2018-12-17,IST,15000000000.0,IST17122018,388,50293.46,150290.96,0.023437,TRYISMD00076,9307154.0,75942863.3,3240343422.622
11,76017988.9,2018-12-28T10:14:59,150000000.0,2018-12-18,IST,15000000000.0,IST18122018,386,122834.82,2601670.41,0.023451,TRYISMD00076,9332600.0,76082363.07,3244358322.622
12,75661528.75,2018-12-29T10:14:58,150000000.0,2018-12-19,IST,15000000000.0,IST19122018,385,145343.87,0.0,0.023466,TRYISMD00076,9357128.0,75745762.66,3227845896.622
13,74504499.16,2018-12-30T10:14:58,150000000.0,2018-12-20,IST,15000000000.0,IST20122018,393,31421.87,500316.44,0.023482,TRYISMD00076,9365303.0,74472154.32,3171459813.622
14,73278272.65,2018-12-31T10:15:00,150000000.0,2018-12-21,IST,15000000000.0,IST21122018,395,56568.14,0.0,0.023495,TRYISMD00076,9373479.0,73268449.15,3118492152.622
15,75169055.02,2019-01-03T10:14:57,150000000.0,2018-12-24,IST,15000000000.0,IST24122018,394,84496.62,0.0,0.023545,TRYISMD00076,9425601.0,75179098.89,3193062773.622
