,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,26064857.71,2018-12-13T10:14:57,20000000.0,2018-12-03,KRC,5000000000.0,KRC03122018,36,779.18,0.0,0.019013,TRYKARE00036,9032250.0,25692476.52,1351286000.0
1,26067332.17,2018-12-14T10:14:56,20000000.0,2018-12-04,KRC,5000000000.0,KRC04122018,37,414.31,0.0,0.019013,TRYKARE00036,9057800.0,25693150.74,1351332000.0
2,25074800.07,2018-12-15T10:14:55,20000000.0,2018-12-05,KRC,5000000000.0,KRC05122018,37,381.58,0.0,0.018973,TRYKARE00036,9082328.0,25560012.18,1347186000.0
3,25277728.6,2018-12-16T10:14:54,20000000.0,2018-12-06,KRC,5000000000.0,KRC06122018,39,448.89,0.0,0.019107,TRYKARE00036,9090504.0,25892225.64,1355144000.0
4,25276971.33,2018-12-17T10:14:59,20000000.0,2018-12-07,KRC,5000000000.0,KRC07122018,39,957216.08,0.0,0.019103,TRYKARE00036,9098680.0,25887724.1,1355144000.0
5,26309507.13,2018-12-20T10:14:57,20000000.0,2018-12-10,KRC,5000000000.0,KRC10122018,39,3493.46,0.0,0.01891,TRYKARE00036,9170220.0,25626014.55,1355144000.0
6,26251628.49,2018-12-21T10:14:56,20000000.0,2018-12-11,KRC,5000000000.0,KRC11122018,39,3184.87,0.0,0.018866,TRYKARE00036,9194748.0,25565697.21,1355144000.0
7,26306631.67,2018-12-22T10:14:55,20000000.0,2018-12-12,KRC,5000000000.0,KRC12122018,39,3775.09,0.0,0.018905,TRYKARE00036,9219276.0,25619524.94,1355144000.0
8,26335731.16,2018-12-23T10:14:54,20000000.0,2018-12-13,KRC,5000000000.0,KRC13122018,39,3340.09,0.0,0.018925,TRYKARE00036,9227452.0,25646421.96,1355144000.0
9,26357647.01,2018-12-24T10:14:53,20000000.0,2018-12-14,KRC,5000000000.0,KRC14122018,41,3610.45,0.0,0.018941,TRYKARE00036,9235629.0,25665344.14,1355050000.0
10,26394452.7,2018-12-27T10:14:57,20000000.0,2018-12-17,KRC,5000000000.0,KRC17122018,40,3278.04,0.0,0.018965,TRYKARE00036,9307168.0,25698491.23,1355050000.0
11,26424704.88,2018-12-28T10:14:59,20000000.0,2018-12-18,KRC,5000000000.0,KRC18122018,40,3682.64,0.0,0.018986,TRYKARE00036,9332613.0,25642278.65,1350568000.0
12,26368272.44,2018-12-29T10:14:58,20000000.0,2018-12-19,KRC,5000000000.0,KRC19122018,40,4212.89,0.0,0.019007,TRYKARE00036,9357141.0,25669699.3,1350568000.0
13,26430122.73,2018-12-30T10:14:58,20000000.0,2018-12-20,KRC,5000000000.0,KRC20122018,40,3791.58,0.0,0.019051,TRYKARE00036,9365316.0,25729181.32,1350559000.0
14,26409574.85,2018-12-31T10:15:00,20000000.0,2018-12-21,KRC,5000000000.0,KRC21122018,40,3759.73,0.0,0.019034,TRYKARE00036,9373492.0,25705379.88,1350505000.0
15,26422482.78,2019-01-03T10:14:57,20000000.0,2018-12-24,KRC,5000000000.0,KRC24122018,39,3736.09,0.0,0.019041,TRYKARE00036,9425614.0,25714551.24,1350505000.0
16,26666268.2,2019-01-04T10:14:57,20000000.0,2018-12-25,KRC,5000000000.0,KRC25122018,41,3647.79,0.0,0.019071,TRYKARE00036,9450142.0,25956459.97,1361013000.0
17,26655967.77,2019-01-05T10:14:56,20000000.0,2018-12-26,KRC,5000000000.0,KRC26122018,41,3376.72,0.0,0.019062,TRYKARE00036,9473648.0,25944099.89,1361013000.0
18,26675924.65,2019-01-06T10:14:55,20000000.0,2018-12-27,KRC,5000000000.0,KRC27122018,41,3089.98,0.0,0.019075,TRYKARE00036,9480802.0,25961980.1,1361013000.0
19,26741187.63,2019-01-07T10:15:00,20000000.0,2018-12-28,KRC,5000000000.0,KRC28122018,42,2963.74,0.0,0.019098,TRYKARE00036,9487956.0,26025323.6,1362699000.0
20,26735935.49,2019-01-10T10:14:57,20000000.0,2018-12-31,KRC,5000000000.0,KRC31122018,42,3194.82,0.0,0.019157,TRYKARE00036,9556430.0,26104161.72,1362646000.0
21,26767922.4,2019-01-12T10:14:58,20000000.0,2019-01-02,KRC,5000000000.0,KRC02012019,42,3807.29,0.0,0.019179,TRYKARE00036,9604360.0,26134023.41,1362646000.0
22,26783584.92,2019-01-13T10:14:57,20000000.0,2019-01-03,KRC,5000000000.0,KRC03012019,43,36774.66,0.0,0.019182,TRYKARE00036,9612536.0,26147935.17,1363167000.0
23,26813415.73,2019-01-14T10:14:59,20000000.0,2019-01-04,KRC,5000000000.0,KRC04012019,43,37443.51,0.0,0.019203,TRYKARE00036,9620712.0,26176721.17,1363167000.0
24,26908938.57,2019-01-17T10:14:57,20000000.0,2019-01-07,KRC,5000000000.0,KRC07012019,45,36607.64,0.0,0.019267,TRYKARE00036,9692252.0,26299887.3,1365049000.0
25,28380759.86,2019-01-18T10:14:56,20000000.0,2019-01-08,KRC,5000000000.0,KRC08012019,45,36921.16,0.0,0.019272,TRYKARE00036,9717802.0,27770239.12,1440981000.0
26,28655282.19,2019-01-19T10:14:55,20000000.0,2019-01-09,KRC,5000000000.0,KRC09012019,46,36898.0,0.0,0.019284,TRYKARE00036,9742330.0,28042943.3,1454240000.0
