,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,28453818.6,2018-12-13T10:14:57,0.0,2018-12-03,KRF,250000000.0,KRF03122018,21,748.49,1001923.29,1.079019,TRYKARP00016,9032251.0,28230775.31,26163366.0
1,28407398.29,2018-12-14T10:14:56,0.0,2018-12-04,KRF,250000000.0,KRF04122018,21,796.25,1000642.47,1.077231,TRYKARP00016,9057801.0,28185019.56,26164326.0
2,28276626.44,2018-12-15T10:14:55,0.0,2018-12-05,KRF,250000000.0,KRF05122018,20,330.31,1000644.76,1.07212,TRYKARP00016,9082329.0,28033200.81,26147436.0
3,28653532.04,2018-12-16T10:14:54,0.0,2018-12-06,KRF,250000000.0,KRF06122018,18,734.01,1000634.25,1.088163,TRYKARP00016,9090505.0,28384041.09,26084363.0
4,28511209.92,2018-12-17T10:14:59,0.0,2018-12-07,KRF,250000000.0,KRF07122018,18,694.77,1000635.62,1.085704,TRYKARP00016,9098681.0,28319900.39,26084363.0
5,28845547.74,2018-12-20T10:14:57,0.0,2018-12-10,KRF,250000000.0,KRF10122018,19,1266.01,1202327.67,1.08379,TRYKARP00016,9170221.0,28469614.9,26268574.0
6,28649499.36,2018-12-21T10:14:56,0.0,2018-12-11,KRF,250000000.0,KRF11122018,20,597.93,1200777.53,1.076166,TRYKARP00016,9194749.0,28200926.04,26204996.0
7,28736533.43,2018-12-22T10:14:55,0.0,2018-12-12,KRF,250000000.0,KRF12122018,20,408.0,1200753.8,1.082088,TRYKARP00016,9219277.0,28351089.87,26200346.0
8,28797718.29,2018-12-23T10:14:54,0.0,2018-12-13,KRF,250000000.0,KRF13122018,20,549.83,1200774.25,1.08456,TRYKARP00016,9227453.0,28414839.37,26199424.0
9,28842973.25,2018-12-24T10:14:53,0.0,2018-12-14,KRF,250000000.0,KRF14122018,19,769.56,1200770.96,1.086292,TRYKARP00016,9235630.0,28459201.25,26198485.0
10,28840172.85,2018-12-27T10:14:57,0.0,2018-12-17,KRF,250000000.0,KRF17122018,18,482.94,751485.62,1.086031,TRYKARP00016,9307169.0,28452373.56,26198485.0
11,28890501.16,2018-12-28T10:14:59,0.0,2018-12-18,KRF,250000000.0,KRF18122018,18,1929.18,750481.85,1.087952,TRYKARP00016,9332614.0,28422580.36,26124839.0
12,28861384.55,2018-12-29T10:14:58,0.0,2018-12-19,KRF,250000000.0,KRF19122018,18,389.81,750475.68,1.08978,TRYKARP00016,9357142.0,28467249.09,26122018.0
13,29021685.01,2018-12-30T10:14:58,0.0,2018-12-20,KRF,250000000.0,KRF20122018,17,757.0,750478.77,1.095987,TRYKARP00016,9365317.0,28629390.68,26122018.0
14,28930397.67,2018-12-31T10:15:00,0.0,2018-12-21,KRF,250000000.0,KRF21122018,17,1196.39,750477.74,1.092436,TRYKARP00016,9373493.0,28436386.24,26030257.0
15,28743606.39,2019-01-03T10:14:57,0.0,2018-12-24,KRF,250000000.0,KRF24122018,17,65.89,751448.63,1.090417,TRYKARP00016,9425615.0,28383834.98,26030257.0
16,28838820.33,2019-01-04T10:14:57,0.0,2018-12-25,KRF,250000000.0,KRF25122018,17,1475.14,750478.73,1.094073,TRYKARP00016,9450143.0,28479002.56,26030257.0
17,28841951.17,2019-01-05T10:14:56,0.0,2018-12-26,KRF,250000000.0,KRF26122018,17,1914.49,750480.82,1.094152,TRYKARP00016,9473649.0,28481062.68,26030257.0
18,28870280.08,2019-01-06T10:14:55,0.0,2018-12-27,KRF,250000000.0,KRF27122018,17,355.93,750480.82,1.095114,TRYKARP00016,9480803.0,28506089.08,26030257.0
19,28907834.09,2019-01-07T10:15:00,0.0,2018-12-28,KRF,250000000.0,KRF28122018,17,797.37,750462.04,1.096514,TRYKARP00016,9487957.0,28537517.53,26025677.0
20,28857953.34,2019-01-10T10:14:57,0.0,2018-12-31,KRF,250000000.0,KRF31122018,17,39994.63,801597.81,1.097514,TRYKARP00016,9556431.0,28563551.89,26025677.0
21,28905354.81,2019-01-12T10:14:58,0.0,2019-01-02,KRF,250000000.0,KRF02012019,17,40179.47,801082.74,1.09935,TRYKARP00016,9604361.0,28611318.36,26025677.0
22,29873310.65,2019-01-13T10:14:57,0.0,2019-01-03,KRF,250000000.0,KRF03012019,17,91583.46,800523.83,1.09803,TRYKARP00016,9612537.0,28576982.26,26025673.0
23,28989684.29,2019-01-14T10:14:59,0.0,2019-01-04,KRF,250000000.0,KRF04012019,16,1047736.21,0.0,1.099831,TRYKARP00016,9620713.0,28623841.76,26025673.0
24,29142003.52,2019-01-17T10:14:57,0.0,2019-01-07,KRF,250000000.0,KRF07012019,16,22921.35,0.0,1.107003,TRYKARP00016,9692253.0,28810501.47,26025673.0
25,30583531.72,2019-01-18T10:14:56,0.0,2019-01-08,KRF,250000000.0,KRF08012019,16,22028.93,1000650.68,1.106236,TRYKARP00016,9717803.0,30249516.84,27344549.0
26,30824505.56,2019-01-19T10:14:55,0.0,2019-01-09,KRF,250000000.0,KRF09012019,16,22884.04,1250808.22,1.10588,TRYKARP00016,9742331.0,30489714.98,27570540.0
27,32864151.11,2019-01-20T10:14:54,0.0,2019-01-10,KRF,250000000.0,KRF10012019,16,22658.99,1354879.17,1.116202,TRYKARP00016,9750507.0,30774288.19,27570540.0
28,31053815.77,2019-01-21T10:14:59,0.0,2019-01-11,KRF,250000000.0,KRF11012019,16,1777376.35,0.0,1.114125,TRYKARP00016,9758683.0,30717029.28,27570540.0
29,30945571.7,2019-01-24T10:14:57,0.0,2019-01-14,KRF,250000000.0,KRF14012019,16,23786.24,0.0,1.110003,TRYKARP00016,9830223.0,30603488.97,27570629.0
30,31190219.35,2019-01-25T10:14:56,0.0,2019-01-15,KRF,250000000.0,KRF15012019,16,23052.29,0.0,1.118823,TRYKARP00016,9855773.0,30846640.12,27570629.0
31,31124149.19,2019-01-26T10:14:55,0.0,2019-01-16,KRF,250000000.0,KRF16012019,16,22230.88,0.0,1.116377,TRYKARP00016,9880301.0,30626274.28,27433641.0
32,31077706.94,2019-01-27T10:14:57,0.0,2019-01-17,KRF,250000000.0,KRF17012019,14,22688.11,0.0,1.120232,TRYKARP00016,9888374.0,30697629.82,27402932.0
33,30925575.75,2019-01-28T10:14:59,0.0,2019-01-18,KRF,250000000.0,KRF18012019,12,22612.32,0.0,1.115868,TRYKARP00016,9896550.0,30578068.53,27402932.0
34,31033861.74,2019-01-31T10:14:57,0.0,2019-01-21,KRF,250000000.0,KRF21012019,12,22410.32,0.0,1.119633,TRYKARP00016,9968090.0,30681204.99,27402913.0
35,31068527.81,2019-02-01T10:14:56,0.0,2019-01-22,KRF,250000000.0,KRF22012019,11,22031.99,0.0,1.120825,TRYKARP00016,9993640.0,30713869.88,27402913.0
36,31101567.3,2019-02-02T10:14:55,0.0,2019-01-23,KRF,250000000.0,KRF23012019,11,21877.61,0.0,1.121965,TRYKARP00016,10018168.0,30745109.35,27402913.0
37,31170646.11,2019-02-03T10:14:54,0.0,2019-01-24,KRF,250000000.0,KRF24012019,11,22412.13,0.0,1.124445,TRYKARP00016,10026344.0,30813073.87,27402913.0
38,31233358.15,2019-02-04T10:15:00,0.0,2019-01-25,KRF,250000000.0,KRF25012019,11,22486.16,0.0,1.126676,TRYKARP00016,10034520.0,30871957.2,27400911.0
39,30907133.43,2019-02-07T10:14:57,0.0,2019-01-28,KRF,250000000.0,KRF28012019,10,22419.25,0.0,1.126863,TRYKARP00016,10106060.0,30877065.93,27400911.0
40,30853250.3,2019-02-08T10:14:56,0.0,2019-01-29,KRF,250000000.0,KRF29012019,10,22321.13,0.0,1.124861,TRYKARP00016,10131610.0,30822208.29,27400911.0
41,31054889.98,2019-02-09T10:14:55,0.0,2019-01-30,KRF,250000000.0,KRF30012019,10,361005.13,0.0,1.132298,TRYKARP00016,10156140.0,31025991.43,27400911.0
42,31058406.25,2019-02-10T10:14:54,0.0,2019-01-31,KRF,250000000.0,KRF31012019,10,357214.23,0.0,1.132227,TRYKARP00016,10164314.0,31024056.99,27400911.0
43,31170923.74,2019-02-11T10:14:53,0.0,2019-02-01,KRF,250000000.0,KRF01022019,10,352678.95,0.0,1.136107,TRYKARP00016,10172490.0,31130374.59,27400911.0
44,32102124.41,2019-02-14T10:14:58,0.0,2019-02-04,KRF,250000000.0,KRF04022019,10,351756.56,0.0,1.133461,TRYKARP00016,10244030.0,32055540.11,28281109.0
45,32573912.57,2019-02-15T10:14:57,0.0,2019-02-05,KRF,250000000.0,KRF05022019,11,353437.15,0.0,1.13772,TRYKARP00016,10269580.0,32527284.17,28589897.0
46,32595107.4,2019-02-16T10:14:56,0.0,2019-02-06,KRF,250000000.0,KRF06022019,11,351782.82,0.0,1.139047,TRYKARP00016,10294108.0,32565239.92,28589897.0
47,34100324.99,2019-02-17T10:15:00,0.0,2019-02-07,KRF,250000000.0,KRF07022019,11,372762.67,2801833.42,1.14102,TRYKARP00016,10302181.0,34109229.94,29893618.0
48,34271593.19,2019-02-18T10:14:58,0.0,2019-02-08,KRF,250000000.0,KRF08022019,11,374886.05,1400903.29,1.146761,TRYKARP00016,10310357.0,34280821.99,29893618.0
49,34348439.79,2019-02-21T10:14:57,0.0,2019-02-11,KRF,250000000.0,KRF11022019,11,375963.44,901705.07,1.149186,TRYKARP00016,10381897.0,34353336.19,29893618.0
50,34337212.23,2019-02-22T10:14:56,0.0,2019-02-12,KRF,250000000.0,KRF12022019,11,376831.46,900554.79,1.148779,TRYKARP00016,10407446.0,34341173.34,29893618.0
51,34383695.95,2019-02-23T10:14:55,0.0,2019-02-13,KRF,250000000.0,KRF13022019,12,376229.72,1000627.36,1.150064,TRYKARP00016,10431973.0,34385249.88,29898560.0
52,34405777.25,2019-02-24T10:14:54,0.0,2019-02-14,KRF,250000000.0,KRF14022019,13,375887.3,1000628.77,1.150711,TRYKARP00016,10440149.0,34405182.17,29899060.0
53,34434473.25,2019-02-25T10:14:59,0.0,2019-02-15,KRF,250000000.0,KRF15022019,13,378060.4,1532967.47,1.151651,TRYKARP00016,10448325.0,34434243.14,29899885.0
54,34504182.91,2019-02-28T10:14:57,0.0,2019-02-18,KRF,250000000.0,KRF18022019,14,376000.26,1001964.39,1.15323,TRYKARP00016,10519865.0,34496458.35,29912909.0
55,34574796.48,2019-03-01T10:14:55,0.0,2019-02-19,KRF,250000000.0,KRF19022019,17,378237.99,1000632.87,1.155541,TRYKARP00016,10545415.0,34567494.68,29914559.0
56,34713618.69,2019-03-02T10:14:55,0.0,2019-02-20,KRF,250000000.0,KRF20022019,20,379739.33,1080683.51,1.157492,TRYKARP00016,10569943.0,34705997.14,29983788.0
57,34773679.83,2019-03-03T10:14:53,0.0,2019-02-21,KRF,250000000.0,KRF21022019,22,378913.07,1160735.73,1.156734,TRYKARP00016,10578119.0,34763408.15,30053058.0
58,35025257.66,2019-03-04T10:14:52,0.0,2019-02-22,KRF,250000000.0,KRF22022019,24,380261.57,1360856.99,1.158411,TRYKARP00016,10586290.0,35014499.66,30226322.0
59,35065019.12,2019-03-07T10:14:48,0.0,2019-02-25,KRF,250000000.0,KRF25022019,24,380239.94,1362481.53,1.160584,TRYKARP00016,10657830.0,34627320.52,29836106.0
60,34752562.41,2019-03-08T10:15:00,0.0,2019-02-26,KRF,250000000.0,KRF26022019,25,379383.14,1500930.82,1.164369,TRYKARP00016,10658852.0,34563782.02,29684565.0
61,34646401.15,2019-03-07T10:14:59,0.0,2019-02-27,KRF,250000000.0,KRF27022019,26,408972.81,1370878.3,1.165026,TRYKARP00016,10659874.0,34635188.7,29729113.0
62,34657546.49,2019-03-07T10:15:03,0.0,2019-02-28,KRF,250000000.0,KRF28022019,29,408231.32,1380871.48,1.165019,TRYKARP00016,10660896.0,34659322.02,29750008.0
63,34715266.2,2019-03-07T10:15:06,0.0,2019-03-01,KRF,250000000.0,KRF01032019,30,411224.41,1975297.97,1.166693,TRYKARP00016,10661918.0,34719154.23,29758592.0
64,34721352.23,2019-03-07T10:15:10,0.0,2019-03-04,KRF,250000000.0,KRF04032019,31,412934.47,839467.07,1.166262,TRYKARP00016,10662940.0,34718210.09,29768795.0
65,34824902.69,2019-03-07T10:15:14,0.0,2019-03-05,KRF,250000000.0,KRF05032019,31,415778.51,831500.88,1.17005,TRYKARP00016,10663962.0,34830969.03,29768795.0
66,34806112.18,2019-03-07T10:15:18,0.0,2019-03-06,KRF,250000000.0,KRF06032019,32,414504.05,832520.85,1.16931,TRYKARP00016,10664984.0,34801316.01,29762264.0
67,34799121.18,2019-03-07T13:50:07,0.0,2019-03-07,KRF,250000000.0,KRF07032019,32,415682.36,1500916.44,1.169311,TRYKARP00016,10667028.0,34841174.61,29796319.0
68,34818220.92,2019-03-08T09:50:00,0.0,2019-03-08,KRF,250000000.0,KRF08032019,31,419004.58,0.0,1.17002,TRYKARP00016,10668050.0,34862175.52,29796219.0
69,34937611.74,2019-03-11T10:50:00,0.0,2019-03-11,KRF,250000000.0,KRF11032019,32,421287.2,1502755.48,1.173825,TRYKARP00016,10668893.0,34975760.43,29796397.0
70,34889392.91,2019-03-12T09:50:00,0.0,2019-03-12,KRF,250000000.0,KRF12032019,31,419737.56,1500922.6,1.172183,TRYKARP00016,10670540.0,34913582.72,29785097.0
71,34880668.95,2019-03-13T10:50:00,0.0,2019-03-13,KRF,250000000.0,KRF13032019,31,419491.07,1510930.82,1.171523,TRYKARP00016,10673065.0,34916040.0,29803963.0
72,34956660.52,2019-03-14T11:50:00,0.0,2019-03-14,KRF,250000000.0,KRF14032019,31,421267.88,1150710.48,1.172895,TRYKARP00016,10675769.0,34991968.4,29833837.0
73,35026809.76,2019-03-15T10:50:00,0.0,2019-03-15,KRF,250000000.0,KRF15032019,32,421848.24,1180750.03,1.174241,TRYKARP00016,10678506.0,35060854.79,29858312.0
74,35079152.58,2019-03-18T10:30:32,0.0,2019-03-18,KRF,250000000.0,KRF18032019,32,421620.53,1256422.11,1.175801,TRYKARP00016,10680819.0,35107432.31,29858312.0
