,record_id,kisi_sayisi,record_date,price,aktif_deger,data_date,tedavuldeki_pay_sayisi,fund_code
0,KRS03122018,44,2020-09-21T18:03:30.292,0.042789,173731058.38,2018-12-03,4060139082.0,KRS
1,KRS02012019,44,2020-09-21T18:15:27.433,0.043344,175981091.08,2019-01-02,4060139082.0,KRS
2,KRS01022019,40,2020-09-21T18:15:27.349,0.043852,170436920.26,2019-02-01,3886682927.04,KRS
3,KRS27022019,40,2020-09-21T18:15:27.182,0.043852,170436920.26,2019-02-27,3886682927.04,KRS
4,KRS28022019,40,2020-09-21T18:15:27.176,0.043852,170436920.26,2019-02-28,3886682927.04,KRS
5,KRS01032019,38,2020-09-21T18:15:27.17,0.045646,177299220.12,2019-03-01,3884192557.0,KRS
6,KRS04032019,38,2020-09-21T18:15:27.164,0.045646,177299220.12,2019-03-04,3884192557.0,KRS
7,KRS05032019,38,2020-09-21T18:15:27.159,0.045646,177299220.12,2019-03-05,3884192557.0,KRS
8,KRS06032019,36,2020-09-21T18:15:27.153,0.04607,181232310.92,2019-03-06,3933819770.04,KRS
9,KRS07032019,36,2020-09-21T18:15:27.147,0.04607,181232310.92,2019-03-07,3933819770.04,KRS
10,KRS08032019,36,2020-09-21T18:15:27.14,0.04657,183197737.02,2019-03-08,3933819770.04,KRS
11,KRS11032019,38,2020-09-21T18:15:27.135,0.045646,177299220.12,2019-03-11,3884192557.04,KRS
12,KRS12032019,38,2020-09-21T18:15:27.129,0.045646,177299220.12,2019-03-12,3884192557.04,KRS
13,KRS13032019,38,2020-09-21T18:15:27.123,0.045646,177299220.12,2019-03-13,3884192557.04,KRS
14,KRS14032019,38,2020-09-21T18:15:27.117,0.045646,177299220.12,2019-03-14,3884192557.04,KRS
15,KRS15032019,38,2020-09-21T18:15:27.111,0.045646,177299220.12,2019-03-15,3884192557.04,KRS
16,KRS18032019,38,2020-09-21T18:15:27.105,0.045646,177299220.12,2019-03-18,3884192557.04,KRS
17,KRS19032019,38,2020-09-21T18:15:27.099,0.045646,177299220.12,2019-03-19,3884192557.04,KRS
18,KRS20032019,38,2020-09-21T18:15:27.094,0.045646,177299220.12,2019-03-20,3884192557.04,KRS
19,KRS21032019,38,2020-09-21T18:15:27.087,0.045646,177299220.12,2019-03-21,3884192557.04,KRS
20,KRS22032019,38,2020-09-21T18:15:27.081,0.045646,177299220.12,2019-03-22,3884192557.04,KRS
21,KRS25032019,38,2020-09-21T18:15:27.074,0.045646,177299220.12,2019-03-25,3884192557.04,KRS
22,KRS26032019,38,2020-09-21T18:15:27.067,0.045646,177299220.12,2019-03-26,3884192557.04,KRS
23,KRS27032019,38,2020-09-21T18:15:27.06,0.045646,177299220.12,2019-03-27,3884192557.04,KRS
24,KRS28032019,38,2020-09-21T18:15:27.051,0.045646,177299220.12,2019-03-28,3884192557.04,KRS
25,KRS29032019,38,2020-09-21T18:15:27.035,0.045646,177299220.12,2019-03-29,3884192557.04,KRS
26,KRS01042019,36,2020-09-21T18:16:40.81,0.048112,189262823.89,2019-04-01,3933819770.04,KRS
27,KRS02042019,36,2020-09-21T18:16:40.806,0.048112,189262823.89,2019-04-02,3933819770.04,KRS
28,KRS03042019,36,2020-09-21T18:16:40.802,0.048112,189262823.89,2019-04-03,3933819770.04,KRS
29,KRS04042019,36,2020-09-21T18:16:40.798,0.048112,189262823.89,2019-04-04,3933819770.04,KRS
30,KRS05042019,36,2020-09-21T18:16:40.793,0.048112,189262823.89,2019-04-05,3933819770.04,KRS
31,KRS08042019,36,2020-09-21T18:16:40.788,0.048112,189262823.89,2019-04-08,3933819770.04,KRS
32,KRS09042019,36,2020-09-21T18:16:40.784,0.048112,189262823.89,2019-04-09,3933819770.04,KRS
33,KRS10042019,36,2020-09-21T18:16:40.779,0.048112,189262823.89,2019-04-10,3933819770.04,KRS
34,KRS11042019,36,2020-09-21T18:16:40.775,0.048112,189262823.89,2019-04-11,3933819770.04,KRS
35,KRS12042019,36,2020-09-21T18:16:40.767,0.048112,189262823.89,2019-04-12,3933819770.04,KRS
36,KRS15042019,36,2020-09-21T18:16:40.762,0.048112,189262823.89,2019-04-15,3933819770.04,KRS
37,KRS16042019,36,2020-09-21T18:16:40.758,0.048112,189262823.89,2019-04-16,3933819770.04,KRS
38,KRS17042019,36,2020-09-21T18:16:40.753,0.048112,189262823.89,2019-04-17,3933819770.04,KRS
39,KRS18042019,36,2020-09-21T18:16:40.748,0.048112,189262823.89,2019-04-18,3933819770.04,KRS
40,KRS19042019,36,2020-09-21T18:16:40.744,0.048112,189262823.89,2019-04-19,3933819770.04,KRS
41,KRS22042019,36,2020-09-21T18:16:40.739,0.048112,189262823.89,2019-04-22,3933819770.04,KRS
42,KRS24042019,36,2020-09-21T18:16:40.733,0.048112,189262823.89,2019-04-24,3933819770.04,KRS
43,KRS25042019,36,2020-09-21T18:16:40.728,0.048112,189262823.89,2019-04-25,3933819770.04,KRS
44,KRS26042019,36,2020-09-21T18:16:40.719,0.048112,189262823.89,2019-04-26,3933819770.04,KRS
45,KRS29042019,36,2020-09-21T18:16:40.714,0.048112,189262823.89,2019-04-29,3933819770.04,KRS
46,KRS30042019,36,2020-09-21T18:16:40.71,0.048112,189262823.89,2019-04-30,3933819770.04,KRS
47,KRS02052019,36,2020-09-21T18:16:40.593,0.051377,202408306.62,2019-05-02,3939669091.04,KRS
48,KRS03052019,36,2020-09-21T18:16:40.589,0.051377,202408306.62,2019-05-03,3939669091.04,KRS
49,KRS06052019,36,2020-09-21T18:16:40.583,0.051377,202408306.62,2019-05-06,3939669091.04,KRS
50,KRS07052019,36,2020-09-21T18:16:40.579,0.051377,202408306.62,2019-05-07,3939669091.04,KRS
51,KRS08052019,36,2020-09-21T18:16:40.574,0.051377,202408306.62,2019-05-08,3939669091.04,KRS
52,KRS09052019,36,2020-09-21T18:16:40.569,0.051377,202408306.62,2019-05-09,3939669091.04,KRS
53,KRS10052019,36,2020-09-21T18:16:40.564,0.051377,202408306.62,2019-05-10,3939669091.04,KRS
54,KRS13052019,36,2020-09-21T18:16:40.558,0.051377,202408306.62,2019-05-13,3939669091.04,KRS
55,KRS14052019,36,2020-09-21T18:16:40.552,0.051377,202408306.62,2019-05-14,3939669091.04,KRS
56,KRS15052019,36,2020-09-21T18:16:40.547,0.051377,202408306.62,2019-05-15,3939669091.04,KRS
57,KRS16052019,36,2020-09-21T18:16:40.542,0.051377,202408306.62,2019-05-16,3939669091.04,KRS
58,KRS17052019,36,2020-09-21T18:16:40.537,0.051377,202408306.62,2019-05-17,3939669091.04,KRS
59,KRS20052019,36,2020-09-21T18:16:40.532,0.051377,202408306.62,2019-05-20,3939669091.04,KRS
60,KRS21052019,36,2020-09-21T18:16:40.525,0.051377,202408306.62,2019-05-21,3939669091.04,KRS
61,KRS22052019,36,2020-09-21T18:16:40.52,0.051377,202408306.62,2019-05-22,3939669091.04,KRS
62,KRS23052019,36,2020-09-21T18:16:40.515,0.051377,202408306.62,2019-05-23,3939669091.04,KRS
63,KRS24052019,36,2020-09-21T18:16:40.509,0.051377,202408306.62,2019-05-24,3939669091.04,KRS
64,KRS27052019,36,2020-09-21T18:16:40.504,0.051377,202408306.62,2019-05-27,3939669091.04,KRS
65,KRS28052019,36,2020-09-21T18:16:40.499,0.051377,202408306.62,2019-05-28,3939669091.04,KRS
66,KRS29052019,36,2020-09-21T18:16:40.493,0.051377,202408306.62,2019-05-29,3939669091.04,KRS
67,KRS30052019,36,2020-09-21T18:16:40.487,0.051377,202408306.62,2019-05-30,3939669091.04,KRS
68,KRS31052019,36,2020-09-21T18:16:40.482,0.051377,202408306.62,2019-05-31,3939669091.04,KRS
69,KRS03062019,36,2020-09-21T18:16:40.477,0.050418,199479296.0,2019-06-03,3956500182.04,KRS
70,KRS07062019,36,2020-09-21T18:16:40.471,0.050418,199479296.0,2019-06-07,3956500182.04,KRS
71,KRS10062019,36,2020-09-21T18:16:40.465,0.050418,199479296.0,2019-06-10,3956500182.04,KRS
72,KRS11062019,36,2020-09-21T18:16:40.459,0.050418,199479296.0,2019-06-11,3956500182.04,KRS
73,KRS12062019,36,2020-09-21T18:16:40.453,0.050418,199479296.0,2019-06-12,3956500182.04,KRS
74,KRS13062019,36,2020-09-21T18:16:40.447,0.050418,199479296.0,2019-06-13,3956500182.04,KRS
75,KRS14062019,36,2020-09-21T18:16:40.441,0.050418,199479296.0,2019-06-14,3956500182.04,KRS
76,KRS17062019,36,2020-09-21T18:16:40.436,0.050418,199479296.0,2019-06-17,3956500182.04,KRS
77,KRS18062019,36,2020-09-21T18:16:40.433,0.050418,199479296.0,2019-06-18,3956500182.04,KRS
78,KRS19062019,36,2020-09-21T18:16:40.43,0.050418,199479296.0,2019-06-19,3956500182.04,KRS
79,KRS20062019,36,2020-09-21T18:16:40.427,0.050418,199479296.0,2019-06-20,3956500182.04,KRS
80,KRS21062019,36,2020-09-21T18:16:40.423,0.050418,199479296.0,2019-06-21,3956500182.04,KRS
81,KRS24062019,36,2020-09-21T18:16:40.42,0.050418,199479296.0,2019-06-24,3956500182.04,KRS
