,record_id,kisi_sayisi,record_date,price,aktif_deger,data_date,tedavuldeki_pay_sayisi,fund_code
0,KRT03122018,9,2020-09-21T18:03:30.292,5.127294,12215602.54,2018-12-03,2382466,KRT
1,KRT10122018,12,2020-09-21T18:03:30.327,5.308645,17821807.23,2018-12-10,3357129,KRT
2,KRT17122018,12,2020-09-21T18:03:30.355,5.415385,18344079.74,2018-12-17,3387401,KRT
3,KRT24122018,12,2020-09-21T18:03:30.383,5.352423,18130804.6,2018-12-24,3387401,KRT
4,KRT31122018,12,2020-09-21T18:03:30.417,5.342193,18096148.98,2018-12-31,3387401,KRT
5,KRT02012019,0,2020-09-21T18:15:27.434,5.363009,32109558.58,2019-01-02,5987228,KRT
6,KRT14012019,14,2020-09-21T18:15:27.405,5.544454,33195909.86,2019-01-14,5987228,KRT
7,KRT21012019,12,2020-09-21T18:15:27.387,5.487613,32855591.57,2019-01-21,5987228,KRT
8,KRT28012019,23,2020-09-21T18:15:27.369,5.462747,33338890.79,2019-01-28,6102954,KRT
9,KRT01022019,20,2020-09-21T18:15:27.349,5.423098,36458136.61,2019-02-01,6722751,KRT
10,KRT04022019,23,2020-09-21T18:15:27.345,5.415088,36404289.43,2019-02-04,6722751,KRT
11,KRT11022019,24,2020-09-21T18:15:27.327,5.50804,39592510.08,2019-02-11,7188131,KRT
12,KRT18022019,24,2020-09-21T18:15:27.307,5.524938,39713980.99,2019-02-18,7188131,KRT
13,KRT25022019,1,2020-09-21T18:15:27.196,5.598288,40507719.72,2019-02-25,7235734,KRT
14,KRT27022019,1,2020-09-21T18:15:27.182,5.598288,40507719.72,2019-02-27,7235734,KRT
15,KRT28022019,1,2020-09-21T18:15:27.176,5.598288,40507719.72,2019-02-28,7235734,KRT
16,KRT01032019,25,2020-09-21T18:15:27.17,5.610586,40921202.7,2019-03-01,7293570,KRT
17,KRT04032019,25,2020-09-21T18:15:27.164,5.641308,41145276.26,2019-03-04,7293570,KRT
18,KRT05032019,25,2020-09-21T18:15:27.159,5.641308,41145276.26,2019-03-05,7293570,KRT
19,KRT06032019,25,2020-09-21T18:15:27.153,5.660896,41556276.72,2019-03-06,7340936,KRT
20,KRT07032019,25,2020-09-21T18:15:27.147,5.660896,41556276.72,2019-03-07,7340936,KRT
21,KRT08032019,25,2020-09-21T18:15:27.14,5.716872,41967189.41,2019-03-08,7340936,KRT
22,KRT11032019,25,2020-09-21T18:15:27.135,5.72902,42056370.27,2019-03-11,7340936,KRT
23,KRT12032019,25,2020-09-21T18:15:27.13,5.72902,42056370.27,2019-03-12,7340936,KRT
24,KRT13032019,25,2020-09-21T18:15:27.123,5.72902,42056370.27,2019-03-13,7340936,KRT
25,KRT14032019,25,2020-09-21T18:15:27.117,5.72902,42056370.27,2019-03-14,7340936,KRT
26,KRT15032019,25,2020-09-21T18:15:27.111,5.72902,42056370.27,2019-03-15,7340936,KRT
27,KRT18032019,25,2020-09-21T18:15:27.105,5.742294,42153816.31,2019-03-18,7340936,KRT
28,KRT19032019,25,2020-09-21T18:15:27.099,5.742294,42153816.31,2019-03-19,7340936,KRT
29,KRT20032019,25,2020-09-21T18:15:27.094,5.742294,42153816.31,2019-03-20,7340936,KRT
30,KRT21032019,25,2020-09-21T18:15:27.087,5.742294,42153816.31,2019-03-21,7340936,KRT
31,KRT22032019,25,2020-09-21T18:15:27.081,5.742294,42153816.31,2019-03-22,7340936,KRT
32,KRT25032019,25,2020-09-21T18:15:27.074,5.816618,42699420.16,2019-03-25,7340936,KRT
33,KRT26032019,25,2020-09-21T18:15:27.067,5.816618,42699420.16,2019-03-26,7340936,KRT
34,KRT27032019,25,2020-09-21T18:15:27.06,5.816618,42699420.16,2019-03-27,7340936,KRT
35,KRT28032019,25,2020-09-21T18:15:27.051,5.816618,42699420.16,2019-03-28,7340936,KRT
36,KRT29032019,25,2020-09-21T18:15:27.035,5.816618,42699420.16,2019-03-29,7340936,KRT
37,KRT01042019,25,2020-09-21T18:16:40.81,5.785225,42468967.09,2019-04-01,7340936,KRT
38,KRT02042019,25,2020-09-21T18:16:40.806,5.785225,42468967.09,2019-04-02,7340936,KRT
39,KRT03042019,25,2020-09-21T18:16:40.802,5.785225,42468967.09,2019-04-03,7340936,KRT
40,KRT04042019,25,2020-09-21T18:16:40.798,5.785225,42468967.09,2019-04-04,7340936,KRT
41,KRT05042019,25,2020-09-21T18:16:40.793,5.785225,42468967.09,2019-04-05,7340936,KRT
42,KRT08042019,26,2020-09-21T18:16:40.788,5.836781,42963845.54,2019-04-08,7360880,KRT
