,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,5438958.51,2018-12-13T10:14:57,0.0,2018-12-03,KTM,1000000000.0,KTM03122018,433,9729.86,0.0,1.394194,TRYKTPY00012,9032255.0,5064086.88,3632269.0
1,5091575.76,2018-12-14T10:14:56,0.0,2018-12-04,KTM,1000000000.0,KTM04122018,432,6975.73,0.0,1.404162,TRYKTPY00012,9057805.0,5097607.43,3630355.0
2,5191523.1,2018-12-15T10:14:55,0.0,2018-12-05,KTM,1000000000.0,KTM05122018,431,10404.71,0.0,1.404713,TRYKTPY00012,9082333.0,5086212.69,3620820.0
3,5415137.9,2018-12-16T10:14:54,0.0,2018-12-06,KTM,1000000000.0,KTM06122018,431,38889.33,0.0,1.412508,TRYKTPY00012,9090509.0,4993101.6,3534919.0
4,5179439.5,2018-12-17T10:14:59,0.0,2018-12-07,KTM,1000000000.0,KTM07122018,430,7415.11,0.0,1.407985,TRYKTPY00012,9098685.0,4980471.26,3537304.0
5,4992669.28,2018-12-20T10:14:57,0.0,2018-12-10,KTM,1000000000.0,KTM10122018,431,10607.43,0.0,1.411043,TRYKTPY00012,9170225.0,4991588.97,3537518.0
6,5108673.28,2018-12-21T10:14:56,0.0,2018-12-11,KTM,1000000000.0,KTM11122018,433,20720.37,0.0,1.404927,TRYKTPY00012,9194753.0,4977297.16,3542744.0
7,5224306.11,2018-12-22T10:14:55,0.0,2018-12-12,KTM,1000000000.0,KTM12122018,432,5067.41,0.0,1.403645,TRYKTPY00012,9219281.0,4972708.62,3542712.0
8,4110866.45,2018-12-23T10:14:54,1000000000.0,2018-12-13,KTM,1000000000.0,KTM13122018,431,379226.18,0.0,1.392797,TRYKTPY00012,9227457.0,4932948.36,3541756.0
9,4248619.36,2018-12-24T10:14:53,0.0,2018-12-14,KTM,1000000000.0,KTM14122018,429,5836.26,0.0,1.397549,TRYKTPY00012,9235634.0,4745478.55,3395572.0
10,4592337.05,2018-12-27T10:14:57,0.0,2018-12-17,KTM,1000000000.0,KTM17122018,427,5574.85,0.0,1.393042,TRYKTPY00012,9307173.0,4727186.44,3393428.0
11,4719150.0,2018-12-28T10:14:59,0.0,2018-12-18,KTM,1000000000.0,KTM18122018,425,22882.36,0.0,1.39344,TRYKTPY00012,9332618.0,4711661.27,3381317.0
12,4725572.67,2018-12-29T10:14:58,0.0,2018-12-19,KTM,1000000000.0,KTM19122018,426,10011.79,0.0,1.395242,TRYKTPY00012,9357146.0,4712281.89,3377394.0
13,4743323.78,2018-12-30T10:14:58,0.0,2018-12-20,KTM,1000000000.0,KTM20122018,425,1691.64,0.0,1.400405,TRYKTPY00012,9365321.0,4723408.41,3372887.0
14,4700468.49,2018-12-31T10:15:00,0.0,2018-12-21,KTM,1000000000.0,KTM21122018,425,37972.45,0.0,1.397601,TRYKTPY00012,9373497.0,4721923.44,3378593.0
15,4710020.3,2019-01-03T10:14:57,0.0,2018-12-24,KTM,1000000000.0,KTM24122018,424,35961.47,0.0,1.400136,TRYKTPY00012,9425619.0,4718565.44,3370077.0
16,4737851.98,2019-01-04T10:14:57,0.0,2018-12-25,KTM,1000000000.0,KTM25122018,419,2415.94,0.0,1.401981,TRYKTPY00012,9450147.0,4455560.42,3178047.0
17,4444238.99,2019-01-05T10:14:56,0.0,2018-12-26,KTM,1000000000.0,KTM26122018,416,15641.3,0.0,1.397935,TRYKTPY00012,9473653.0,4439687.49,3175889.0
18,4444086.95,2019-01-06T10:14:55,0.0,2018-12-27,KTM,1000000000.0,KTM27122018,414,11702.84,0.0,1.397785,TRYKTPY00012,9480807.0,4336635.39,3102505.0
19,4332449.19,2019-01-07T10:15:00,0.0,2018-12-28,KTM,1000000000.0,KTM28122018,406,11030.83,0.0,1.395554,TRYKTPY00012,9487961.0,4328572.27,3101687.0
20,4334796.85,2019-01-10T10:14:57,0.0,2018-12-31,KTM,1000000000.0,KTM31122018,406,10883.86,0.0,1.39607,TRYKTPY00012,9556435.0,4331139.92,3102380.0
21,4349928.82,2019-01-12T10:14:58,0.0,2019-01-02,KTM,1000000000.0,KTM02012019,405,18051.29,0.0,1.400724,TRYKTPY00012,9604365.0,4344231.18,3101418.0
22,4330880.28,2019-01-13T10:14:57,0.0,2019-01-03,KTM,1000000000.0,KTM03012019,403,8707.7,0.0,1.394207,TRYKTPY00012,9612541.0,4320631.54,3098989.0
23,4314869.34,2019-01-14T10:14:59,1000000000.0,2019-01-04,KTM,1000000000.0,KTM04012019,406,12574.27,0.0,1.388957,TRYKTPY00012,9620717.0,4301548.59,3096963.0
24,4324165.72,2019-01-17T10:14:57,0.0,2019-01-07,KTM,1000000000.0,KTM07012019,406,12270.61,0.0,1.391712,TRYKTPY00012,9692257.0,4319701.7,3103876.0
25,4327084.65,2019-01-18T10:14:56,0.0,2019-01-08,KTM,1000000000.0,KTM08012019,404,4216.42,0.0,1.392572,TRYKTPY00012,9717807.0,4322472.29,3103948.0
26,4347959.61,2019-01-19T10:14:55,0.0,2019-01-09,KTM,1000000000.0,KTM09012019,403,6731.1,0.0,1.399007,TRYKTPY00012,9742335.0,4317412.7,3086056.0
27,4338794.42,2019-01-20T10:14:54,0.0,2019-01-10,KTM,1000000000.0,KTM10012019,401,9181.59,0.0,1.405907,TRYKTPY00012,9750511.0,4327395.12,3078009.0
28,4333425.08,2019-01-21T10:14:59,0.0,2019-01-11,KTM,1000000000.0,KTM11012019,399,8050.14,0.0,1.407372,TRYKTPY00012,9758687.0,4331890.41,3078000.0
29,4152497.06,2019-01-24T10:14:57,0.0,2019-01-14,KTM,1000000000.0,KTM14012019,398,8037.49,0.0,1.408461,TRYKTPY00012,9830227.0,4320491.51,3067527.0
30,4149974.34,2019-01-25T10:14:56,0.0,2019-01-15,KTM,1000000000.0,KTM15012019,397,3448.55,0.0,1.410858,TRYKTPY00012,9855777.0,4327693.57,3067420.0
31,4337127.9,2019-01-26T10:14:55,0.0,2019-01-16,KTM,1000000000.0,KTM16012019,398,5302.22,0.0,1.412172,TRYKTPY00012,9880305.0,4306385.63,3049477.0
32,4410554.6,2019-01-27T10:14:57,1000000000.0,2019-01-17,KTM,1000000000.0,KTM17012019,398,21056.79,0.0,1.415468,TRYKTPY00012,9888378.0,4316404.64,3049454.0
33,4656996.3,2019-01-28T10:14:59,0.0,2019-01-18,KTM,1000000000.0,KTM18012019,398,25528.08,0.0,1.418833,TRYKTPY00012,9896554.0,4331128.05,3052599.0
34,5454795.76,2019-01-31T10:14:57,0.0,2019-01-21,KTM,1000000000.0,KTM21012019,399,7204.06,0.0,1.42821,TRYKTPY00012,9968094.0,4863509.98,3405318.0
35,4937145.29,2019-02-01T10:14:56,0.0,2019-01-22,KTM,1000000000.0,KTM22012019,398,13461.81,0.0,1.431938,TRYKTPY00012,9993644.0,4871047.26,3401717.0
36,4640780.06,2019-02-02T10:14:55,0.0,2019-01-23,KTM,1000000000.0,KTM23012019,402,3108.03,0.0,1.434537,TRYKTPY00012,10018172.0,4918509.75,3428640.0
37,4956475.35,2019-02-03T10:14:54,0.0,2019-01-24,KTM,1000000000.0,KTM24012019,405,14785.6,0.0,1.438628,TRYKTPY00012,10026348.0,4991083.54,3469335.0
38,5262337.31,2019-02-04T10:15:00,0.0,2019-01-25,KTM,1000000000.0,KTM25012019,410,27476.14,0.0,1.445804,TRYKTPY00012,10034524.0,5025974.26,3476249.0
39,5660418.14,2019-02-07T10:14:57,0.0,2019-01-28,KTM,1000000000.0,KTM28012019,415,12391.98,0.0,1.447155,TRYKTPY00012,10106064.0,5340787.5,3690543.0
40,5917538.5,2019-02-08T10:14:56,0.0,2019-01-29,KTM,1000000000.0,KTM29012019,424,4802.35,0.0,1.445652,TRYKTPY00012,10131614.0,6207425.59,4293859.0
41,5988207.5,2019-02-09T10:14:55,0.0,2019-01-30,KTM,1000000000.0,KTM30012019,431,9018.65,0.0,1.453579,TRYKTPY00012,10156144.0,6126611.15,4214847.0
42,6341658.62,2019-02-10T10:14:54,0.0,2019-01-31,KTM,1000000000.0,KTM31012019,440,38632.67,0.0,1.462145,TRYKTPY00012,10164318.0,6071474.99,4152444.0
43,7517757.02,2019-02-11T10:14:53,0.0,2019-02-01,KTM,1000000000.0,KTM01022019,448,10724.04,0.0,1.458226,TRYKTPY00012,10172494.0,7028802.47,4820105.0
