,record_id,kisi_sayisi,record_date,price,aktif_deger,data_date,tedavuldeki_pay_sayisi,fund_code
0,KTR03122018,0,2020-09-21T18:03:30.292,1.391789,117823416.71,2018-12-03,84656080.0,KTR
1,KTR04122018,2,2020-09-21T18:03:30.302,1.392591,119224751.79,2018-12-04,85613634.0,KTR
2,KTR05122018,0,2020-09-21T18:03:30.31,1.393398,116312692.53,2018-12-05,83474128.0,KTR
3,KTR06122018,0,2020-09-21T18:03:30.317,1.394193,117634061.9,2018-12-06,84374303.0,KTR
4,KTR07122018,0,2020-09-21T18:03:30.322,1.394995,109198934.3,2018-12-07,78279097.0,KTR
5,KTR10122018,0,2020-09-21T18:03:30.328,1.397192,106449428.85,2018-12-10,76188108.0,KTR
6,KTR11122018,0,2020-09-21T18:03:30.331,1.397985,107245977.77,2018-12-11,76714710.0,KTR
7,KTR12122018,0,2020-09-21T18:03:30.339,1.398779,106660665.29,2018-12-12,76252698.0,KTR
8,KTR13122018,0,2020-09-21T18:03:30.343,1.399573,106622485.2,2018-12-13,76182172.0,KTR
9,KTR14122018,0,2020-09-21T18:03:30.348,1.400367,107649051.76,2018-12-14,76872046.0,KTR
10,KTR17122018,0,2020-09-21T18:03:30.356,1.402713,100670029.33,2018-12-17,71768110.0,KTR
11,KTR18122018,0,2020-09-21T18:03:30.36,1.403491,95733234.57,2018-12-18,68210802.0,KTR
12,KTR19122018,0,2020-09-21T18:03:30.368,1.404261,88797893.79,2018-12-19,63234604.0,KTR
13,KTR20122018,0,2020-09-21T18:03:30.373,1.40503,87959261.45,2018-12-20,62603104.0,KTR
14,KTR21122018,0,2020-09-21T18:03:30.377,1.405323,87977064.01,2018-12-21,62602744.0,KTR
15,KTR24122018,0,2020-09-21T18:03:30.384,1.4076,85246698.02,2018-12-24,60561743.0,KTR
16,KTR25122018,0,2020-09-21T18:03:30.388,1.408363,85416747.64,2018-12-25,60649650.0,KTR
17,KTR26122018,0,2020-09-21T18:03:30.403,1.409189,85722423.98,2018-12-26,60831020.0,KTR
18,KTR27122018,0,2020-09-21T18:03:30.407,1.409951,85760980.81,2018-12-27,60825511.0,KTR
19,KTR28122018,0,2020-09-21T18:03:30.411,1.410654,84179880.47,2018-12-28,59674365.0,KTR
20,KTR31122018,0,2020-09-21T18:03:30.417,1.420637,84000893.8,2018-12-31,59129037.0,KTR
21,KTR02012019,0,2020-09-21T18:15:27.434,1.422054,83576408.59,2019-01-02,58771601.0,KTR
22,KTR03012019,0,2020-09-21T18:15:27.43,1.422821,82704217.54,2019-01-03,58126930.0,KTR
23,KTR04012019,0,2020-09-21T18:15:27.427,1.42359,84679963.31,2019-01-04,59483390.0,KTR
24,KTR07012019,0,2020-09-21T18:15:27.423,1.42593,88613431.56,2019-01-07,62144289.0,KTR
25,KTR08012019,0,2020-09-21T18:15:27.42,1.426713,88662087.26,2019-01-08,62144289.0,KTR
26,KTR09012019,0,2020-09-21T18:15:27.416,1.427349,89824073.32,2019-01-09,62930717.0,KTR
27,KTR10012019,0,2020-09-21T18:15:27.412,1.42813,90172722.69,2019-01-10,63140420.0,KTR
28,KTR11012019,0,2020-09-21T18:15:27.409,1.428909,92865628.54,2019-01-11,64990587.0,KTR
29,KTR14012019,0,2020-09-21T18:15:27.405,1.431257,93126229.76,2019-01-14,65066040.0,KTR
30,KTR15012019,0,2020-09-21T18:15:27.402,1.432038,93241811.88,2019-01-15,65111278.0,KTR
31,KTR16012019,0,2020-09-21T18:15:27.398,1.432818,92002724.49,2019-01-16,64211022.0,KTR
32,KTR17012019,0,2020-09-21T18:15:27.394,1.433606,95604040.63,2019-01-17,66687815.0,KTR
33,KTR18012019,0,2020-09-21T18:15:27.391,1.434391,95555662.63,2019-01-18,66617565.0,KTR
34,KTR21012019,0,2020-09-21T18:15:27.387,1.436746,97747376.66,2019-01-21,68033838.0,KTR
35,KTR22012019,0,2020-09-21T18:15:27.383,1.437533,97810861.07,2019-01-22,68040798.0,KTR
36,KTR23012019,0,2020-09-21T18:15:27.38,1.43836,94715124.34,2019-01-23,65849388.0,KTR
37,KTR24012019,0,2020-09-21T18:15:27.376,1.439155,85353504.02,2019-01-24,59308051.0,KTR
