,record_id,kisi_sayisi,record_date,price,aktif_deger,data_date,tedavuldeki_pay_sayisi,fund_code
0,KTT03122018,0,2020-09-21T18:03:30.292,5.571954,52925757.82,2018-12-03,9498600.0,KTT
1,KTT04122018,0,2020-09-21T18:03:30.302,5.639385,53566266.22,2018-12-04,9498600.0,KTT
2,KTT05122018,0,2020-09-21T18:03:30.31,5.73254,54296896.82,2018-12-05,9471700.0,KTT
3,KTT06122018,0,2020-09-21T18:03:30.317,5.839584,55310783.18,2018-12-06,9471700.0,KTT
4,KTT07122018,0,2020-09-21T18:03:30.322,5.83392,55257143.26,2018-12-07,9471700.0,KTT
5,KTT10122018,0,2020-09-21T18:03:30.328,5.795947,54897475.9,2018-12-10,9471700.0,KTT
6,KTT11122018,0,2020-09-21T18:03:30.332,5.74716,54435376.72,2018-12-11,9471700.0,KTT
7,KTT12122018,0,2020-09-21T18:03:30.339,5.822006,55144290.34,2018-12-12,9471700.0,KTT
8,KTT13122018,0,2020-09-21T18:03:30.343,5.839457,55309585.64,2018-12-13,9471700.0,KTT
9,KTT14122018,0,2020-09-21T18:03:30.348,5.83818,55297487.22,2018-12-14,9471700.0,KTT
10,KTT17122018,0,2020-09-21T18:03:30.356,5.851763,55417367.48,2018-12-17,9470200.0,KTT
11,KTT18122018,0,2020-09-21T18:03:30.36,5.860618,55501221.18,2018-12-18,9470200.0,KTT
12,KTT19122018,0,2020-09-21T18:03:30.368,5.830744,55218309.89,2018-12-19,9470200.0,KTT
13,KTT20122018,0,2020-09-21T18:03:30.373,5.813847,55058295.27,2018-12-20,9470200.0,KTT
14,KTT21122018,0,2020-09-21T18:03:30.377,5.7373,54333382.69,2018-12-21,9470200.0,KTT
15,KTT24122018,0,2020-09-21T18:03:30.384,5.753573,54699219.05,2018-12-24,9507000.0,KTT
16,KTT25122018,0,2020-09-21T18:03:30.389,5.765841,54815848.63,2018-12-25,9507000.0,KTT
17,KTT26122018,0,2020-09-21T18:03:30.403,5.776581,54917959.89,2018-12-26,9507000.0,KTT
18,KTT27122018,0,2020-09-21T18:03:30.407,5.755361,54504422.82,2018-12-27,9470200.0,KTT
19,KTT28122018,0,2020-09-21T18:03:30.411,5.769441,54637755.54,2018-12-28,9470200.0,KTT
20,KTT31122018,0,2020-09-21T18:03:30.417,5.745772,54413613.16,2018-12-31,9470200.0,KTT
21,KTT02012019,0,2020-09-21T18:15:27.434,5.767514,54677186.47,2019-01-02,9480200.0,KTT
22,KTT03012019,0,2020-09-21T18:15:27.43,5.824177,55127001.14,2019-01-03,9465200.0,KTT
23,KTT04012019,0,2020-09-21T18:15:27.427,5.964941,56459358.93,2019-01-04,9465200.0,KTT
24,KTT07012019,0,2020-09-21T18:15:27.423,5.911585,55954336.85,2019-01-07,9465200.0,KTT
25,KTT08012019,0,2020-09-21T18:15:27.42,5.858651,55377142.93,2019-01-08,9452200.0,KTT
26,KTT09012019,0,2020-09-21T18:15:27.416,5.93639,56111948.37,2019-01-09,9452200.0,KTT
27,KTT10012019,0,2020-09-21T18:15:27.412,6.012737,56833591.97,2019-01-10,9452200.0,KTT
28,KTT11012019,0,2020-09-21T18:15:27.409,5.980524,56529108.6,2019-01-11,9452200.0,KTT
29,KTT14012019,0,2020-09-21T18:15:27.405,5.938627,56133094.39,2019-01-14,9452200.0,KTT
30,KTT15012019,0,2020-09-21T18:15:27.402,6.031504,59495360.53,2019-01-15,9864100.0,KTT
31,KTT16012019,0,2020-09-21T18:15:27.398,5.955624,55211019.94,2019-01-16,9270400.0,KTT
32,KTT17012019,0,2020-09-21T18:15:27.394,5.917789,54762036.72,2019-01-17,9253800.0,KTT
33,KTT18012019,0,2020-09-21T18:15:27.391,5.866512,56297400.32,2019-01-18,9596400.0,KTT
34,KTT21012019,0,2020-09-21T18:15:27.387,5.854665,56480534.32,2019-01-21,9647100.0,KTT
35,KTT22012019,0,2020-09-21T18:15:27.383,5.84733,56409777.66,2019-01-22,9647100.0,KTT
36,KTT23012019,0,2020-09-21T18:15:27.38,5.860846,56626320.17,2019-01-23,9661800.0,KTT
37,KTT24012019,0,2020-09-21T18:15:27.376,5.831301,54553573.75,2019-01-24,9355300.0,KTT
38,KTT25012019,0,2020-09-21T18:15:27.373,5.791734,54183408.36,2019-01-25,9355300.0,KTT
39,KTT28012019,0,2020-09-21T18:15:27.369,5.784808,54193814.23,2019-01-28,9368300.0,KTT
40,KTT29012019,0,2020-09-21T18:15:27.365,5.798485,54321944.9,2019-01-29,9368300.0,KTT
41,KTT30012019,0,2020-09-21T18:15:27.36,5.861879,54992044.95,2019-01-30,9381300.0,KTT
42,KTT31012019,0,2020-09-21T18:15:27.353,5.805671,54471705.42,2019-01-31,9382500.0,KTT
43,KTT01022019,0,2020-09-21T18:15:27.349,5.735642,54770794.41,2019-02-01,9549200.0,KTT
44,KTT04022019,0,2020-09-21T18:15:27.345,5.720356,54752383.27,2019-02-04,9571500.0,KTT
45,KTT05022019,0,2020-09-21T18:15:27.342,5.74851,55958872.99,2019-02-05,9734500.0,KTT
46,KTT06022019,0,2020-09-21T18:15:27.338,5.726785,55726197.72,2019-02-06,9730800.0,KTT
47,KTT07022019,0,2020-09-21T18:15:27.335,5.748627,55789852.39,2019-02-07,9704900.0,KTT
48,KTT08022019,0,2020-09-21T18:15:27.331,5.79237,56214369.04,2019-02-08,9704900.0,KTT
49,KTT11022019,0,2020-09-21T18:15:27.327,5.79822,56803426.05,2019-02-11,9796700.0,KTT
