,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,287612548.73,2018-12-13T10:14:57,0.0,2018-12-03,KTV,1000000000.0,KTV03122018,1066,11588.89,0.0,1.18511,TRYKTPY00061,9032258.0,287315981.5,242438284.0
1,290223312.79,2018-12-14T10:14:56,1000000000.0,2018-12-04,KTV,1000000000.0,KTV04122018,1066,28924.5,0.0,1.185822,TRYKTPY00061,9057808.0,289932180.2,244498910.0
2,301250038.23,2018-12-15T10:14:55,0.0,2018-12-05,KTV,1000000000.0,KTV05122018,1099,21197.19,0.0,1.186528,TRYKTPY00061,9082336.0,300938826.23,253629814.0
3,310001077.29,2018-12-16T10:14:54,0.0,2018-12-06,KTV,1000000000.0,KTV06122018,1110,15606.85,0.0,1.187236,TRYKTPY00061,9090512.0,309671564.81,260833954.0
4,321710898.07,2018-12-17T10:14:59,0.0,2018-12-07,KTV,1000000000.0,KTV07122018,1132,61994.49,0.0,1.18796,TRYKTPY00061,9098688.0,321712930.85,270811274.0
5,370796508.18,2018-12-20T10:14:57,0.0,2018-12-10,KTV,1000000000.0,KTV10122018,1162,9701.52,0.0,1.189962,TRYKTPY00061,9170228.0,370700560.93,311523022.0
6,359340444.25,2018-12-21T10:14:56,0.0,2018-12-11,KTV,1000000000.0,KTV11122018,1157,16704.37,0.0,1.190656,TRYKTPY00061,9194756.0,359236740.84,301713253.0
7,366438493.81,2018-12-22T10:14:55,0.0,2018-12-12,KTV,1000000000.0,KTV12122018,1188,11821.2,0.0,1.191405,TRYKTPY00061,9219284.0,366314857.98,307464698.0
8,379199534.23,2018-12-23T10:14:54,0.0,2018-12-13,KTV,1000000000.0,KTV13122018,1223,21485.62,0.0,1.192088,TRYKTPY00061,9227460.0,379069990.65,317988383.0
9,383730795.74,2018-12-24T10:14:53,0.0,2018-12-14,KTV,1000000000.0,KTV14122018,1248,18994.82,0.0,1.192824,TRYKTPY00061,9235637.0,383583387.98,321575714.0
10,395949047.12,2018-12-27T10:14:57,0.0,2018-12-17,KTV,1000000000.0,KTV17122018,1262,11358.03,0.0,1.194964,TRYKTPY00061,9307176.0,395745235.0,331177567.0
11,450595652.95,2018-12-28T10:14:59,0.0,2018-12-18,KTV,1000000000.0,KTV18122018,1266,19446.19,0.0,1.195838,TRYKTPY00061,9332621.0,450381433.02,376624082.0
12,519888521.14,2018-12-29T10:14:58,0.0,2018-12-19,KTV,1000000000.0,KTV19122018,1299,2988.6,0.0,1.196488,TRYKTPY00061,9357149.0,519636508.24,434301554.0
13,538604745.37,2018-12-30T10:14:58,0.0,2018-12-20,KTV,1000000000.0,KTV20122018,1321,16415.55,0.0,1.197159,TRYKTPY00061,9365324.0,538344056.98,449684614.0
14,541762528.51,2018-12-31T10:15:00,0.0,2018-12-21,KTV,1000000000.0,KTV21122018,1328,107931.83,0.0,1.19783,TRYKTPY00061,9373500.0,541571121.76,452126827.0
15,577642161.61,2019-01-03T10:14:57,0.0,2018-12-24,KTV,1000000000.0,KTV24122018,1361,19886.04,0.0,1.199816,TRYKTPY00061,9425622.0,577291611.17,481150003.0
16,584213846.79,2019-01-04T10:14:57,0.0,2018-12-25,KTV,1000000000.0,KTV25122018,1380,21497.3,0.0,1.200038,TRYKTPY00061,9450150.0,583840939.82,486518547.0
