,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,22071682.36,2018-12-13T10:14:57,50000000.0,2018-12-03,KUB,5000000000.0,KUB03122018,188,791.15,0.0,0.042915,TRYKARE00044,9032260.0,22008521.7,512845074.0
1,22243414.71,2018-12-14T10:14:56,50000000.0,2018-12-04,KUB,5000000000.0,KUB04122018,187,1087.31,0.0,0.043271,TRYKARE00044,9057810.0,21318296.73,492669010.0
2,22028186.56,2018-12-15T10:14:55,50000000.0,2018-12-05,KUB,5000000000.0,KUB05122018,188,1048.26,0.0,0.043996,TRYKARE00044,9082338.0,21673683.92,492633887.0
3,21526950.84,2018-12-16T10:14:54,50000000.0,2018-12-06,KUB,5000000000.0,KUB06122018,188,1596.93,0.0,0.044825,TRYKARE00044,9090514.0,22068224.73,492323677.0
4,21432191.8,2018-12-17T10:14:59,50000000.0,2018-12-07,KUB,5000000000.0,KUB07122018,188,564123.96,0.0,0.04472,TRYKARE00044,9098690.0,22012141.21,492219682.0
5,21843570.98,2018-12-20T10:14:57,50000000.0,2018-12-10,KUB,5000000000.0,KUB10122018,186,45076.75,0.0,0.044423,TRYKARE00044,9170230.0,21839036.29,491617948.0
6,21708330.61,2018-12-21T10:14:56,50000000.0,2018-12-11,KUB,5000000000.0,KUB11122018,186,44147.51,0.0,0.04415,TRYKARE00044,9194758.0,21706050.7,491643586.0
7,22086043.93,2018-12-22T10:14:55,50000000.0,2018-12-12,KUB,5000000000.0,KUB12122018,189,44546.46,0.0,0.044912,TRYKARE00044,9219286.0,22109919.61,492295770.0
8,22147342.72,2018-12-23T10:14:54,50000000.0,2018-12-13,KUB,5000000000.0,KUB13122018,190,44563.3,0.0,0.045032,TRYKARE00044,9227462.0,22161598.79,492129198.0
9,22158681.95,2018-12-24T10:14:53,50000000.0,2018-12-14,KUB,5000000000.0,KUB14122018,189,45152.03,0.0,0.045057,TRYKARE00044,9235639.0,22178262.14,492230338.0
10,22244873.92,2018-12-27T10:14:57,50000000.0,2018-12-17,KUB,5000000000.0,KUB17122018,189,45023.77,0.0,0.045232,TRYKARE00044,9307178.0,22249923.61,491901449.0
11,22343774.37,2018-12-28T10:14:59,50000000.0,2018-12-18,KUB,5000000000.0,KUB18122018,192,45043.7,0.0,0.045339,TRYKARE00044,9332623.0,22347757.4,492908275.0
12,22227439.45,2018-12-29T10:14:58,50000000.0,2018-12-19,KUB,5000000000.0,KUB19122018,192,45350.73,0.0,0.045134,TRYKARE00044,9357151.0,22222726.04,492372133.0
13,22150717.73,2018-12-30T10:14:58,50000000.0,2018-12-20,KUB,5000000000.0,KUB20122018,192,44868.68,0.0,0.044975,TRYKARE00044,9365326.0,22144670.4,492372133.0
14,21874721.36,2018-12-31T10:15:00,50000000.0,2018-12-21,KUB,5000000000.0,KUB21122018,191,43797.96,0.0,0.044468,TRYKARE00044,9373502.0,21893503.06,492340744.0
15,21937385.46,2019-01-03T10:14:57,50000000.0,2018-12-24,KUB,5000000000.0,KUB24122018,191,43686.77,0.0,0.04464,TRYKARE00044,9425624.0,21983058.7,492452684.0
16,22008928.75,2019-01-04T10:14:57,50000000.0,2018-12-25,KUB,5000000000.0,KUB25122018,192,44834.54,0.0,0.044789,TRYKARE00044,9450152.0,22033916.56,491952756.0
17,22077981.51,2019-01-05T10:14:56,50000000.0,2018-12-26,KUB,5000000000.0,KUB26122018,192,44693.45,0.0,0.044888,TRYKARE00044,9473658.0,22094905.65,492220217.0
18,21976488.77,2019-01-06T10:14:55,50000000.0,2018-12-27,KUB,5000000000.0,KUB27122018,192,43876.52,0.0,0.044722,TRYKARE00044,9480812.0,22013834.37,492239864.0
19,22016321.71,2019-01-07T10:15:00,50000000.0,2018-12-28,KUB,5000000000.0,KUB28122018,192,44080.42,0.0,0.044801,TRYKARE00044,9487966.0,22020322.47,491519433.0
20,21884497.51,2019-01-10T10:14:57,50000000.0,2018-12-31,KUB,5000000000.0,KUB31122018,191,73833.88,0.0,0.044581,TRYKARE00044,9556440.0,21684264.04,486397282.0
21,21926602.67,2019-01-12T10:14:58,50000000.0,2019-01-02,KUB,5000000000.0,KUB02012019,190,74585.35,0.0,0.044743,TRYKARE00044,9604370.0,21763963.12,486416468.0
22,20948079.39,2019-01-13T10:14:57,50000000.0,2019-01-03,KUB,5000000000.0,KUB03012019,190,107907.67,0.0,0.04524,TRYKARE00044,9612546.0,22019288.09,486725310.0
23,21570697.52,2019-01-14T10:14:59,50000000.0,2019-01-04,KUB,5000000000.0,KUB04012019,192,110909.28,0.0,0.046434,TRYKARE00044,9620722.0,21649854.29,466253908.0
24,22531307.49,2019-01-17T10:14:57,50000000.0,2019-01-07,KUB,5000000000.0,KUB07012019,193,622.0,0.0,0.046105,TRYKARE00044,9692262.0,21501327.31,466359779.0
25,21356039.07,2019-01-18T10:14:56,50000000.0,2019-01-08,KUB,5000000000.0,KUB08012019,194,533.32,0.0,0.045763,TRYKARE00044,9717812.0,21342130.2,466359850.0
26,21641117.39,2019-01-19T10:14:55,50000000.0,2019-01-09,KUB,5000000000.0,KUB09012019,196,718.35,0.0,0.046359,TRYKARE00044,9742340.0,21626500.81,466496122.0
27,21903124.32,2019-01-20T10:14:54,50000000.0,2019-01-10,KUB,5000000000.0,KUB10012019,197,385.12,0.0,0.046899,TRYKARE00044,9750516.0,21888404.74,466712768.0
28,21779508.29,2019-01-21T10:14:59,50000000.0,2019-01-11,KUB,5000000000.0,KUB11012019,200,858.32,0.0,0.046624,TRYKARE00044,9758692.0,21763339.01,466787331.0
29,21672088.52,2019-01-24T10:14:57,50000000.0,2019-01-14,KUB,5000000000.0,KUB14012019,202,922.58,0.0,0.046375,TRYKARE00044,9830232.0,21653041.04,466915931.0
30,21970064.26,2019-01-25T10:14:56,50000000.0,2019-01-15,KUB,5000000000.0,KUB15012019,202,508.37,0.0,0.047015,TRYKARE00044,9855782.0,21931236.08,466477614.0
31,21710214.28,2019-01-26T10:14:55,50000000.0,2019-01-16,KUB,5000000000.0,KUB16012019,205,804.42,0.0,0.046372,TRYKARE00044,9880310.0,21505248.23,463750791.0
32,21561379.45,2019-01-27T10:14:57,50000000.0,2019-01-17,KUB,5000000000.0,KUB17012019,204,873.92,0.0,0.046084,TRYKARE00044,9888383.0,21376029.27,463850698.0
33,21272492.1,2019-01-28T10:14:59,50000000.0,2019-01-18,KUB,5000000000.0,KUB18012019,202,771.76,0.0,0.045714,TRYKARE00044,9896559.0,21247666.89,464793539.0
34,21261977.35,2019-01-31T10:14:57,50000000.0,2019-01-21,KUB,5000000000.0,KUB21012019,203,717.55,0.0,0.045673,TRYKARE00044,9968099.0,21234325.06,464923609.0
35,21334548.9,2019-02-01T10:14:56,50000000.0,2019-01-22,KUB,5000000000.0,KUB22012019,202,577.12,0.0,0.045619,TRYKARE00044,9993649.0,21072835.97,461931850.0
36,21426045.46,2019-02-02T10:14:55,50000000.0,2019-01-23,KUB,5000000000.0,KUB23012019,203,708.07,0.0,0.045763,TRYKARE00044,10018177.0,21163254.9,462458317.0
37,21108853.49,2019-02-03T10:14:54,50000000.0,2019-01-24,KUB,5000000000.0,KUB24012019,199,383.76,0.0,0.045589,TRYKARE00044,10026353.0,21081238.53,462416657.0
38,21050100.76,2019-02-04T10:15:00,50000000.0,2019-01-25,KUB,5000000000.0,KUB25012019,200,270.25,0.0,0.045417,TRYKARE00044,10034529.0,21021457.0,462852871.0
39,21045993.99,2019-02-07T10:14:57,50000000.0,2019-01-28,KUB,5000000000.0,KUB28012019,202,612.86,0.0,0.045429,TRYKARE00044,10106069.0,21032316.55,462968479.0
40,21078090.75,2019-02-08T10:14:56,50000000.0,2019-01-29,KUB,5000000000.0,KUB29012019,203,538.84,0.0,0.045493,TRYKARE00044,10131619.0,21046559.94,462627887.0
