,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,9226400.58,2018-12-13T10:14:57,20000000.0,2018-12-03,KYA,2000000000.0,KYA03122018,44,1035.83,0.0,0.050712,TRYKARE00010,9032261.0,9197882.74,181375300.0
1,9113028.13,2018-12-14T10:14:56,20000000.0,2018-12-04,KYA,2000000000.0,KYA04122018,44,1035.83,0.0,0.050429,TRYKARE00010,9057811.0,9146536.87,181375300.0
2,8995707.49,2018-12-15T10:14:55,20000000.0,2018-12-05,KYA,2000000000.0,KYA05122018,44,1035.83,0.0,0.049778,TRYKARE00010,9082339.0,9028444.37,181375300.0
3,9033241.15,2018-12-16T10:14:54,20000000.0,2018-12-06,KYA,2000000000.0,KYA06122018,44,811.5,0.0,0.049759,TRYKARE00010,9090515.0,9025059.27,181375900.0
4,8943472.04,2018-12-17T10:14:59,20000000.0,2018-12-07,KYA,2000000000.0,KYA07122018,44,791.59,0.0,0.049263,TRYKARE00010,9098691.0,8935205.85,181375900.0
5,9037244.52,2018-12-20T10:14:57,20000000.0,2018-12-10,KYA,2000000000.0,KYA10122018,44,791.59,0.0,0.049768,TRYKARE00010,9170231.0,9026765.85,181375900.0
6,8860219.36,2018-12-21T10:14:56,20000000.0,2018-12-11,KYA,2000000000.0,KYA11122018,44,692.57,0.0,0.048781,TRYKARE00010,9194759.0,8847676.11,181375200.0
7,8947592.62,2018-12-22T10:14:55,20000000.0,2018-12-12,KYA,2000000000.0,KYA12122018,44,760.6,0.0,0.048619,TRYKARE00010,9219287.0,8818175.27,181374800.0
8,8770487.63,2018-12-23T10:14:54,20000000.0,2018-12-13,KYA,2000000000.0,KYA13122018,44,944.83,0.0,0.047637,TRYKARE00010,9227463.0,8633067.31,181226200.0
9,8753095.49,2018-12-24T10:14:53,20000000.0,2018-12-14,KYA,2000000000.0,KYA14122018,43,383.68,0.0,0.048221,TRYKARE00010,9235640.0,8738803.87,181225800.0
10,8703329.73,2018-12-27T10:14:57,20000000.0,2018-12-17,KYA,2000000000.0,KYA17122018,42,364.63,0.0,0.047934,TRYKARE00010,9307179.0,8686806.56,181225800.0
11,8642779.16,2018-12-28T10:14:59,20000000.0,2018-12-18,KYA,2000000000.0,KYA18122018,42,760.42,0.0,0.047649,TRYKARE00010,9332624.0,8635304.32,181225800.0
12,8649715.48,2018-12-29T10:14:58,20000000.0,2018-12-19,KYA,2000000000.0,KYA19122018,42,760.42,0.0,0.048207,TRYKARE00010,9357152.0,8736345.81,181225800.0
13,8860449.66,2018-12-30T10:14:58,20000000.0,2018-12-20,KYA,2000000000.0,KYA20122018,42,548.3,0.0,0.049116,TRYKARE00010,9365327.0,8901087.05,181225800.0
14,9159293.14,2018-12-31T10:15:00,20000000.0,2018-12-21,KYA,2000000000.0,KYA21122018,42,401.6,0.0,0.048696,TRYKARE00010,9373503.0,8825049.2,181225800.0
15,9052548.0,2019-01-03T10:14:57,20000000.0,2018-12-24,KYA,2000000000.0,KYA24122018,42,437.1,0.0,0.048647,TRYKARE00010,9425625.0,8816039.43,181225800.0
16,8718186.16,2019-01-04T10:14:57,20000000.0,2018-12-25,KYA,2000000000.0,KYA25122018,42,694.17,0.0,0.048431,TRYKARE00010,9450153.0,8776923.25,181225800.0
17,8565895.47,2019-01-05T10:14:56,20000000.0,2018-12-26,KYA,2000000000.0,KYA26122018,42,788.91,0.0,0.047967,TRYKARE00010,9473659.0,8692839.6,181225800.0
18,8543242.42,2019-01-06T10:14:55,20000000.0,2018-12-27,KYA,2000000000.0,KYA27122018,42,1039.01,0.0,0.048005,TRYKARE00010,9480813.0,8699802.84,181225700.0
19,8875379.57,2019-01-07T10:15:00,20000000.0,2018-12-28,KYA,2000000000.0,KYA28122018,41,859.18,0.0,0.047902,TRYKARE00010,9487967.0,8124699.25,169609800.0
20,8135624.63,2019-01-10T10:14:57,20000000.0,2018-12-31,KYA,2000000000.0,KYA31122018,40,708.17,0.0,0.047672,TRYKARE00010,9556441.0,8085718.73,169609800.0
21,8234470.61,2019-01-12T10:14:58,20000000.0,2019-01-02,KYA,2000000000.0,KYA02012019,40,802.78,0.0,0.04805,TRYKARE00010,9604371.0,8149721.87,169609800.0
22,5139305.17,2019-01-13T10:14:57,20000000.0,2019-01-03,KYA,2000000000.0,KYA03012019,40,547.42,0.0,0.046846,TRYKARE00010,9612547.0,7945735.97,169614000.0
23,4985521.08,2019-01-14T10:14:59,20000000.0,2019-01-04,KYA,2000000000.0,KYA04012019,40,460.23,0.0,0.046145,TRYKARE00010,9620723.0,5520744.51,119640100.0
24,5705317.7,2019-01-17T10:14:57,20000000.0,2019-01-07,KYA,2000000000.0,KYA07012019,40,411.72,0.0,0.04698,TRYKARE00010,9692263.0,5620636.08,119640100.0
25,5852154.89,2019-01-18T10:14:56,20000000.0,2019-01-08,KYA,2000000000.0,KYA08012019,40,889.23,0.0,0.047487,TRYKARE00010,9717813.0,5681303.93,119640100.0
26,5706858.08,2019-01-19T10:14:55,20000000.0,2019-01-09,KYA,2000000000.0,KYA09012019,40,333.5,0.0,0.04769,TRYKARE00010,9742341.0,5705661.76,119640100.0
27,5589102.19,2019-01-20T10:14:54,20000000.0,2019-01-10,KYA,2000000000.0,KYA10012019,40,1102.77,0.0,0.047667,TRYKARE00010,9750517.0,5702840.75,119640100.0
28,5623460.58,2019-01-21T10:14:59,20000000.0,2019-01-11,KYA,2000000000.0,KYA11012019,40,875.09,0.0,0.047593,TRYKARE00010,9758693.0,5694008.23,119640100.0
29,5726536.71,2019-01-24T10:14:57,20000000.0,2019-01-14,KYA,2000000000.0,KYA14012019,40,530.71,0.0,0.04784,TRYKARE00010,9830233.0,5723935.11,119647400.0
