,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,55477412.44,2018-12-13T10:14:57,100000000.0,2018-12-03,MAC,10000000000.0,MAC03122018,26,5931.3,1238422.9,0.01802,TRYSRMD00010,9032265.0,55229699.07,3064966168.0
1,56054344.96,2018-12-14T10:14:56,100000000.0,2018-12-04,MAC,10000000000.0,MAC04122018,26,6314.46,914588.46,0.01826,TRYSRMD00010,9057815.0,55965938.22,3064966168.0
2,55373144.2,2018-12-15T10:14:55,100000000.0,2018-12-05,MAC,10000000000.0,MAC05122018,26,2908.66,914588.46,0.018037,TRYSRMD00010,9082343.0,55282210.63,3064966168.0
3,54955894.71,2018-12-16T10:14:54,100000000.0,2018-12-06,MAC,10000000000.0,MAC06122018,26,3223.02,760475.78,0.017982,TRYSRMD00010,9090519.0,55115135.87,3064966168.0
4,54385979.6,2018-12-17T10:14:59,100000000.0,2018-12-07,MAC,10000000000.0,MAC07122018,26,3452.28,760480.98,0.017873,TRYSRMD00010,9098695.0,54780715.55,3064966168.0
5,55280045.27,2018-12-20T10:14:57,100000000.0,2018-12-10,MAC,10000000000.0,MAC10122018,26,3388.8,1114129.56,0.018126,TRYSRMD00010,9170235.0,55555059.8,3064966168.0
6,55037324.25,2018-12-21T10:14:56,100000000.0,2018-12-11,MAC,10000000000.0,MAC11122018,26,3498.55,1591030.24,0.01794,TRYSRMD00010,9194763.0,54986884.96,3064966168.0
7,55254135.84,2018-12-22T10:14:55,100000000.0,2018-12-12,MAC,10000000000.0,MAC12122018,26,3604.26,1721105.04,0.017894,TRYSRMD00010,9219291.0,54845881.53,3064966168.0
8,53913630.61,2018-12-23T10:14:54,100000000.0,2018-12-13,MAC,10000000000.0,MAC13122018,26,4087.33,1571002.22,0.017397,TRYSRMD00010,9227467.0,53331816.64,3065525379.0
9,54152865.68,2018-12-24T10:14:53,100000000.0,2018-12-14,MAC,10000000000.0,MAC14122018,26,4082.22,990623.82,0.017604,TRYSRMD00010,9235644.0,53966714.22,3065525379.0
