,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,1664386.69,2018-12-13T10:14:57,200000000.0,2018-12-03,MAD,200000000.0,MAD03122018,43,0.0,593138.59,0.089325,TRMMADWWWWW7,9032266.0,1667692.16,18669834.0
1,1669427.13,2018-12-14T10:14:56,200000000.0,2018-12-04,MAD,200000000.0,MAD04122018,43,0.0,605386.21,0.089026,TRMMADWWWWW7,9057816.0,1662100.87,18669834.0
2,1674966.86,2018-12-15T10:14:55,200000000.0,2018-12-05,MAD,200000000.0,MAD05122018,43,0.0,602387.59,0.08908,TRMMADWWWWW7,9082344.0,1663106.43,18669834.0
3,1724636.12,2018-12-16T10:14:54,200000000.0,2018-12-06,MAD,200000000.0,MAD06122018,43,0.0,599383.2,0.089294,TRMMADWWWWW7,9090520.0,1667107.84,18669834.0
4,1729617.57,2018-12-17T10:14:59,200000000.0,2018-12-07,MAD,200000000.0,MAD07122018,43,0.0,592378.72,0.089302,TRMMADWWWWW7,9098696.0,1667259.88,18669834.0
5,1659637.37,2018-12-20T10:14:57,200000000.0,2018-12-10,MAD,200000000.0,MAD10122018,43,0.0,545055.21,0.089457,TRMMADWWWWW7,9170236.0,1670151.84,18669834.0
6,1647854.86,2018-12-21T10:14:56,200000000.0,2018-12-11,MAD,200000000.0,MAD11122018,43,0.0,533346.08,0.089514,TRMMADWWWWW7,9194764.0,1671216.71,18669834.0
7,1686664.67,2018-12-22T10:14:55,200000000.0,2018-12-12,MAD,200000000.0,MAD12122018,43,0.0,557362.43,0.08954,TRMMADWWWWW7,9219292.0,1671245.1,18664694.0
8,1739050.23,2018-12-23T10:14:54,200000000.0,2018-12-13,MAD,200000000.0,MAD13122018,42,0.0,588380.99,0.089666,TRMMADWWWWW7,9227468.0,1673582.56,18664694.0
9,1678623.8,2018-12-24T10:14:53,200000000.0,2018-12-14,MAD,200000000.0,MAD14122018,42,0.0,574368.78,0.089854,TRMMADWWWWW7,9235645.0,1677102.28,18664694.0
10,1646651.41,2018-12-27T10:14:57,200000000.0,2018-12-17,MAD,200000000.0,MAD17122018,42,0.0,525996.78,0.089949,TRMMADWWWWW7,9307184.0,1678878.01,18664694.0
11,1707085.38,2018-12-28T10:14:59,200000000.0,2018-12-18,MAD,200000000.0,MAD18122018,42,0.0,622399.61,0.090029,TRMMADWWWWW7,9332629.0,1633721.06,18146694.0
12,1666414.09,2018-12-29T10:14:58,200000000.0,2018-12-19,MAD,200000000.0,MAD19122018,42,0.0,550353.36,0.090297,TRMMADWWWWW7,9357157.0,1637560.57,18135274.0
13,1785186.82,2018-12-30T10:14:58,200000000.0,2018-12-20,MAD,200000000.0,MAD20122018,41,0.0,634403.85,0.090679,TRMMADWWWWW7,9365332.0,1738423.09,19171274.0
