,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,1356128.82,2018-12-13T10:14:57,750000000.0,2018-12-03,MBL,750000000.0,MBL03122018,22,0.0,913754.04,0.049723,TRMMAKWWWWW2,9032270.0,1348680.18,27123690.0
1,1366040.25,2018-12-14T10:14:56,750000000.0,2018-12-04,MBL,750000000.0,MBL04122018,23,0.0,913582.82,0.050085,TRMMAKWWWWW2,9057820.0,1357990.54,27113490.0
2,1375258.8,2018-12-15T10:14:55,750000000.0,2018-12-05,MBL,750000000.0,MBL05122018,22,0.0,912585.93,0.050443,TRMMAKWWWWW2,9082348.0,1367688.45,27113490.0
3,1370899.35,2018-12-16T10:14:54,750000000.0,2018-12-06,MBL,750000000.0,MBL06122018,22,0.0,978625.65,0.050433,TRMMAKWWWWW2,9090524.0,1122250.73,22252430.0
4,1127625.04,2018-12-17T10:14:59,750000000.0,2018-12-07,MBL,750000000.0,MBL07122018,21,0.0,733468.92,0.050546,TRMMAKWWWWW2,9098700.0,931880.17,18436430.0
5,932362.44,2018-12-20T10:14:57,750000000.0,2018-12-10,MBL,750000000.0,MBL10122018,20,0.0,541049.67,0.050385,TRMMAKWWWWW2,9170240.0,928910.83,18436430.0
6,930974.13,2018-12-21T10:14:56,750000000.0,2018-12-11,MBL,750000000.0,MBL11122018,20,0.0,541351.28,0.050307,TRMMAKWWWWW2,9194768.0,927478.85,18436430.0
7,933699.48,2018-12-22T10:14:55,750000000.0,2018-12-12,MBL,750000000.0,MBL12122018,20,0.0,560364.38,0.050462,TRMMAKWWWWW2,9219296.0,928922.32,18408430.0
8,933743.05,2018-12-23T10:14:54,750000000.0,2018-12-13,MBL,750000000.0,MBL13122018,19,0.0,558361.55,0.050543,TRMMAKWWWWW2,9227472.0,930422.3,18408430.0
9,934456.64,2018-12-24T10:14:53,750000000.0,2018-12-14,MBL,750000000.0,MBL14122018,19,0.0,558358.5,0.050586,TRMMAKWWWWW2,9235649.0,872090.82,17239780.0
10,878321.41,2018-12-27T10:14:57,750000000.0,2018-12-17,MBL,750000000.0,MBL17122018,18,0.0,499947.0,0.050749,TRMMAKWWWWW2,9307188.0,874899.18,17239780.0
11,879053.15,2018-12-28T10:14:59,750000000.0,2018-12-18,MBL,750000000.0,MBL18122018,18,0.0,499319.91,0.050793,TRMMAKWWWWW2,9332633.0,875655.53,17239780.0
12,875387.83,2018-12-29T10:14:58,750000000.0,2018-12-19,MBL,750000000.0,MBL19122018,18,0.0,499320.59,0.050579,TRMMAKWWWWW2,9357161.0,871969.45,17239780.0
13,875688.54,2018-12-30T10:14:58,750000000.0,2018-12-20,MBL,750000000.0,MBL20122018,18,0.0,514327.41,0.050603,TRMMAKWWWWW2,9365336.0,872385.02,17239780.0
14,876141.23,2018-12-31T10:15:00,750000000.0,2018-12-21,MBL,750000000.0,MBL21122018,18,0.0,514327.41,0.050631,TRMMAKWWWWW2,9373512.0,872861.67,17239780.0
15,878380.38,2019-01-03T10:14:57,750000000.0,2018-12-24,MBL,750000000.0,MBL24122018,18,0.0,565084.73,0.050747,TRMMAKWWWWW2,9425634.0,874863.11,17239780.0
16,878816.95,2019-01-04T10:14:57,750000000.0,2018-12-25,MBL,750000000.0,MBL25122018,18,0.0,564360.81,0.050776,TRMMAKWWWWW2,9450162.0,875363.75,17239780.0
17,878995.98,2019-01-05T10:14:56,750000000.0,2018-12-26,MBL,750000000.0,MBL26122018,18,0.0,563362.48,0.050804,TRMMAKWWWWW2,9473668.0,873837.93,17200330.0
18,877559.98,2019-01-06T10:14:55,750000000.0,2018-12-27,MBL,750000000.0,MBL27122018,17,0.0,561381.94,0.050832,TRMMAKWWWWW2,9480822.0,874335.7,17200330.0
19,878478.61,2019-01-07T10:15:00,750000000.0,2018-12-28,MBL,750000000.0,MBL28122018,17,0.0,561361.19,0.050882,TRMMAKWWWWW2,9487977.0,875184.91,17200330.0
20,880082.71,2019-01-10T10:14:57,750000000.0,2018-12-31,MBL,750000000.0,MBL31122018,17,0.0,562062.83,0.050961,TRMMAKWWWWW2,9556451.0,876550.9,17200330.0
21,881208.47,2019-01-12T10:14:58,750000000.0,2019-01-02,MBL,750000000.0,MBL02012019,17,0.0,562731.37,0.051007,TRMMAKWWWWW2,9604381.0,877332.18,17200330.0
22,883320.55,2019-01-13T10:14:57,750000000.0,2019-01-03,MBL,750000000.0,MBL03012019,18,0.0,62040.43,0.05111,TRMMAKWWWWW2,9612557.0,879362.16,17205230.0
23,886268.04,2019-01-14T10:14:59,750000000.0,2019-01-04,MBL,750000000.0,MBL04012019,18,0.0,62040.09,0.051279,TRMMAKWWWWW2,9620733.0,882268.93,17205230.0
24,892483.43,2019-01-17T10:14:57,750000000.0,2019-01-07,MBL,750000000.0,MBL07012019,18,0.0,66126.94,0.051359,TRMMAKWWWWW2,9692273.0,883638.4,17205230.0
25,893633.32,2019-01-18T10:14:56,750000000.0,2019-01-08,MBL,750000000.0,MBL08012019,18,0.0,67042.95,0.051421,TRMMAKWWWWW2,9717823.0,884705.81,17205230.0
26,894777.18,2019-01-19T10:14:55,750000000.0,2019-01-09,MBL,750000000.0,MBL09012019,18,0.0,67043.32,0.051486,TRMMAKWWWWW2,9742351.0,885813.15,17205030.0
