,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,7313757.04,2018-12-13T10:14:57,10000000.0,2018-12-03,MPF,1052562006.0,MPF03122018,78,655.11,0.0,1.207322,TRYMKFT00034,9032273.0,7304997.96,6050578.037
1,7039975.15,2018-12-14T10:14:56,10000000.0,2018-12-04,MPF,1052562006.0,MPF04122018,78,162.32,0.0,1.208128,TRYMKFT00034,9057823.0,7030491.36,5819327.037
2,7158948.41,2018-12-15T10:14:55,10000000.0,2018-12-05,MPF,1052562006.0,MPF05122018,80,408.48,0.0,1.208906,TRYMKFT00034,9082351.0,7149475.39,5914002.037
3,7117575.61,2018-12-16T10:14:54,10000000.0,2018-12-06,MPF,1052562006.0,MPF06122018,79,761.68,0.0,1.209686,TRYMKFT00034,9090527.0,7108221.59,5876088.037
4,7281317.4,2018-12-17T10:14:59,10000000.0,2018-12-07,MPF,1052562006.0,MPF07122018,79,858.87,0.0,1.210455,TRYMKFT00034,9098703.0,7278824.64,6013298.037
5,7641868.1,2018-12-20T10:14:57,10000000.0,2018-12-10,MPF,1052562006.0,MPF10122018,82,255.53,0.0,1.212758,TRYMKFT00034,9170243.0,7638021.58,6298060.037
6,8147328.58,2018-12-21T10:14:56,10000000.0,2018-12-11,MPF,1052562006.0,MPF11122018,81,661.31,0.0,1.213532,TRYMKFT00034,9194771.0,8143622.4,6710678.037
7,8386276.95,2018-12-22T10:14:55,10000000.0,2018-12-12,MPF,1052562006.0,MPF12122018,84,206.31,0.0,1.214298,TRYMKFT00034,9219299.0,8381842.99,6902626.037
8,7987713.5,2018-12-23T10:14:54,10000000.0,2018-12-13,MPF,1052562006.0,MPF13122018,82,633.93,0.0,1.214906,TRYMKFT00034,9227475.0,7983446.25,6571247.037
9,8007316.46,2018-12-24T10:14:53,10000000.0,2018-12-14,MPF,1052562006.0,MPF14122018,81,1805.38,0.0,1.215741,TRYMKFT00034,9235652.0,8003959.28,6583603.037
10,7660203.14,2018-12-27T10:14:57,10000000.0,2018-12-17,MPF,1052562006.0,MPF17122018,86,1733.3,0.0,1.218031,TRYMKFT00034,9307191.0,7656021.03,6285573.037
11,8156870.03,2018-12-28T10:14:59,10000000.0,2018-12-18,MPF,1052562006.0,MPF18122018,85,1108.56,0.0,1.218869,TRYMKFT00034,9332636.0,8151797.49,6688000.037
12,6944223.07,2018-12-29T10:14:58,10000000.0,2018-12-19,MPF,1052562006.0,MPF19122018,87,936.75,0.0,1.219519,TRYMKFT00034,9357164.0,6938749.23,5689744.037
13,6731077.98,2018-12-30T10:14:58,10000000.0,2018-12-20,MPF,1052562006.0,MPF20122018,87,1295.76,0.0,1.220054,TRYMKFT00034,9365339.0,6725740.51,5512659.037
14,6723321.19,2018-12-31T10:15:00,10000000.0,2018-12-21,MPF,1052562006.0,MPF21122018,87,829.85,0.0,1.220816,TRYMKFT00034,9373515.0,6717295.5,5502298.037
15,6631435.58,2019-01-03T10:14:57,10000000.0,2018-12-24,MPF,1052562006.0,MPF24122018,92,930.72,0.0,1.223106,TRYMKFT00034,9425637.0,6624852.15,5416416.037
16,6146208.68,2019-01-04T10:14:57,10000000.0,2018-12-25,MPF,1052562006.0,MPF25122018,94,517.33,0.0,1.223875,TRYMKFT00034,9450165.0,6139006.94,5016041.037
17,6467972.36,2019-01-05T10:14:56,10000000.0,2018-12-26,MPF,1052562006.0,MPF26122018,96,1132.38,0.0,1.22485,TRYMKFT00034,9473671.0,6461171.26,5275072.037
18,6431892.88,2019-01-06T10:14:55,10000000.0,2018-12-27,MPF,1052562006.0,MPF27122018,99,595.64,0.0,1.225615,TRYMKFT00034,9480825.0,6424341.62,5241728.037
19,6436168.32,2019-01-07T10:15:00,10000000.0,2018-12-28,MPF,1052562006.0,MPF28122018,102,560.24,0.0,1.226388,TRYMKFT00034,9487980.0,6428368.13,5241707.037
20,6448873.86,2019-01-10T10:14:57,10000000.0,2018-12-31,MPF,1052562006.0,MPF31122018,100,478.23,0.0,1.228688,TRYMKFT00034,9556454.0,6440349.99,5241648.037
21,6500888.41,2019-01-12T10:14:58,10000000.0,2019-01-02,MPF,1052562006.0,MPF02012019,103,93787.99,0.0,1.230143,TRYMKFT00034,9604384.0,6584925.1,5352976.037
22,6504126.98,2019-01-13T10:14:57,10000000.0,2019-01-03,MPF,1052562006.0,MPF03012019,105,643.96,0.0,1.230717,TRYMKFT00034,9612560.0,6494820.8,5277267.037
23,6638405.15,2019-01-14T10:14:59,10000000.0,2019-01-04,MPF,1052562006.0,MPF04012019,105,834.95,0.0,1.231488,TRYMKFT00034,9620736.0,6629086.95,5382988.037
24,6535815.98,2019-01-17T10:14:57,10000000.0,2019-01-07,MPF,1052562006.0,MPF07012019,104,1675.99,0.0,1.233744,TRYMKFT00034,9692276.0,6526738.99,5290189.037
25,6556312.55,2019-01-18T10:14:56,10000000.0,2019-01-08,MPF,1052562006.0,MPF08012019,103,1333.7,0.0,1.234593,TRYMKFT00034,9717826.0,6553778.11,5308453.037
26,7200296.62,2019-01-19T10:14:55,10000000.0,2019-01-09,MPF,1052562006.0,MPF09012019,107,4280.65,0.0,1.235378,TRYMKFT00034,9742354.0,7200471.2,5828557.037
27,7447745.98,2019-01-20T10:14:54,10000000.0,2019-01-10,MPF,1052562006.0,MPF10012019,108,53351.0,0.0,1.234096,TRYMKFT00034,9750530.0,7496743.85,6074684.037
28,7312551.49,2019-01-21T10:14:59,10000000.0,2019-01-11,MPF,1052562006.0,MPF11012019,107,117.84,0.0,1.235154,TRYMKFT00034,9758706.0,7255096.69,5873840.037
29,7163767.22,2019-01-24T10:14:57,10000000.0,2019-01-14,MPF,1052562006.0,MPF14012019,107,296.9,0.0,1.239139,TRYMKFT00034,9830246.0,7158760.24,5777207.037
30,7168336.46,2019-01-25T10:14:56,10000000.0,2019-01-15,MPF,1052562006.0,MPF15012019,106,538.88,0.0,1.239888,TRYMKFT00034,9855796.0,7163663.66,5777668.037
31,7173234.76,2019-01-26T10:14:55,10000000.0,2019-01-16,MPF,1052562006.0,MPF16012019,109,383.0,0.0,1.240687,TRYMKFT00034,9880324.0,7168168.88,5777581.037
32,7279168.15,2019-01-27T10:14:57,10000000.0,2019-01-17,MPF,1052562006.0,MPF17012019,113,80414.15,0.0,1.241421,TRYMKFT00034,9888397.0,7353890.65,5923768.037
33,7396845.38,2019-01-28T10:14:59,10000000.0,2019-01-18,MPF,1052562006.0,MPF18012019,111,101028.02,0.0,1.242164,TRYMKFT00034,9896573.0,7491934.77,6031356.037
34,7717248.08,2019-01-31T10:14:57,10000000.0,2019-01-21,MPF,1052562006.0,MPF21012019,113,6978.0,0.0,1.244402,TRYMKFT00034,9968113.0,7717526.06,6201796.037
35,7722284.79,2019-02-01T10:14:56,10000000.0,2019-01-22,MPF,1052562006.0,MPF22012019,114,1094.52,0.0,1.245172,TRYMKFT00034,9993663.0,7716425.45,6197077.037
36,8130911.12,2019-02-02T10:14:55,10000000.0,2019-01-23,MPF,1052562006.0,MPF23012019,112,1016.0,0.0,1.24591,TRYMKFT00034,10018191.0,8124707.17,6521103.037
37,8163430.83,2019-02-03T10:14:54,10000000.0,2019-01-24,MPF,1052562006.0,MPF24012019,108,886.32,0.0,1.24663,TRYMKFT00034,10026367.0,8156829.99,6543105.037
38,8431356.87,2019-02-04T10:15:00,10000000.0,2019-01-25,MPF,1052562006.0,MPF25012019,105,1808.83,0.0,1.247371,TRYMKFT00034,10034543.0,8425403.26,6754529.037
39,8615635.99,2019-02-07T10:14:57,10000000.0,2019-01-28,MPF,1052562006.0,MPF28012019,107,1388.84,0.0,1.249548,TRYMKFT00034,10106083.0,8608419.7,6889227.037
40,8621065.08,2019-02-08T10:14:56,10000000.0,2019-01-29,MPF,1052562006.0,MPF29012019,108,71196.2,0.0,1.250287,TRYMKFT00034,10131633.0,8683373.03,6945102.037
41,8479337.37,2019-02-09T10:14:55,10000000.0,2019-01-30,MPF,1052562006.0,MPF30012019,109,41948.75,0.0,1.250993,TRYMKFT00034,10156163.0,8512119.79,6804290.037
42,8484644.12,2019-02-10T10:14:54,10000000.0,2019-01-31,MPF,1052562006.0,MPF31012019,112,1625.61,0.0,1.251734,TRYMKFT00034,10164337.0,8476826.45,6772066.037
43,8633900.59,2019-02-11T10:14:53,10000000.0,2019-02-01,MPF,1052562006.0,MPF01022019,113,145778.39,0.0,1.252456,TRYMKFT00034,10172513.0,8769949.96,7002200.037
44,9064650.04,2019-02-14T10:14:58,10000000.0,2019-02-04,MPF,1052562006.0,MPF04022019,117,7748.84,0.0,1.254893,TRYMKFT00034,10244053.0,9061844.42,7221207.037
45,9766925.39,2019-02-15T10:14:57,10000000.0,2019-02-05,MPF,1052562006.0,MPF05022019,116,13923.46,0.0,1.255625,TRYMKFT00034,10269603.0,9769997.89,7780983.037
46,9023919.13,2019-02-16T10:14:56,10000000.0,2019-02-06,MPF,1052562006.0,MPF06022019,114,4621.91,0.0,1.256355,TRYMKFT00034,10294131.0,9017406.78,7177435.037
