,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,1655099.5,2018-12-13T10:14:57,10000000.0,2018-12-03,MPK,1018983933.0,MPK03122018,344,26.88,0.0,1.199779,TRYMKFT00026,9032275.0,1580190.04,1317067.415
1,1527489.81,2018-12-14T10:14:56,10000000.0,2018-12-04,MPK,1018983933.0,MPK04122018,344,76.22,0.0,1.208275,TRYMKFT00026,9057825.0,1591379.25,1317067.415
2,1470756.52,2018-12-15T10:14:55,10000000.0,2018-12-05,MPK,1018983933.0,MPK05122018,344,94.08,0.0,1.209366,TRYMKFT00026,9082353.0,1595817.93,1319549.415
3,1601813.88,2018-12-16T10:14:54,10000000.0,2018-12-06,MPK,1018983933.0,MPK06122018,344,24.5,0.0,1.210035,TRYMKFT00026,9090529.0,1596700.46,1319549.415
4,1600512.26,2018-12-17T10:14:59,10000000.0,2018-12-07,MPK,1018983933.0,MPK07122018,344,107.82,0.0,1.210767,TRYMKFT00026,9098705.0,1597865.91,1319713.415
5,1614604.62,2018-12-20T10:14:57,10000000.0,2018-12-10,MPK,1018983933.0,MPK10122018,346,227.1,0.0,1.213344,TRYMKFT00026,9170245.0,1611804.85,1328398.415
6,1615962.27,2018-12-21T10:14:56,10000000.0,2018-12-11,MPK,1018983933.0,MPK11122018,346,35.53,0.0,1.214154,TRYMKFT00026,9194773.0,1612879.98,1328398.415
7,2619559.21,2018-12-22T10:14:55,10000000.0,2018-12-12,MPK,1018983933.0,MPK12122018,348,428.6,0.0,1.215547,TRYMKFT00026,9219301.0,2616733.87,2152721.415
8,2622579.4,2018-12-23T10:14:54,10000000.0,2018-12-13,MPK,1018983933.0,MPK13122018,349,85.73,0.0,1.21643,TRYMKFT00026,9227477.0,2619335.12,2153296.415
9,2764339.84,2018-12-24T10:14:53,10000000.0,2018-12-14,MPK,1018983933.0,MPK14122018,351,29.86,0.0,1.217221,TRYMKFT00026,9235654.0,2760896.7,2268197.415
10,3080850.36,2018-12-27T10:14:57,10000000.0,2018-12-17,MPK,1018983933.0,MPK17122018,357,217.77,0.0,1.219702,TRYMKFT00026,9307193.0,3077062.76,2522798.415
11,3088774.13,2018-12-28T10:14:59,10000000.0,2018-12-18,MPK,1018983933.0,MPK18122018,358,86.45,0.0,1.220745,TRYMKFT00026,9332638.0,3084697.48,2526897.415
12,3144817.62,2018-12-29T10:14:58,10000000.0,2018-12-19,MPK,1018983933.0,MPK19122018,358,99.41,0.0,1.221697,TRYMKFT00026,9357166.0,3140593.67,2570680.415
