,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,584801.02,2018-12-13T10:14:57,10000000.0,2018-12-03,MPS,1087869156.0,MPS03122018,45,36.1,0.0,0.911865,TRYMKFT00018,9032276.0,581427.56,637624.39
1,589373.12,2018-12-14T10:14:56,10000000.0,2018-12-04,MPS,1087869156.0,MPS04122018,45,36.1,0.0,0.91554,TRYMKFT00018,9057826.0,583770.94,637624.39
2,587471.05,2018-12-15T10:14:55,10000000.0,2018-12-05,MPS,1087869156.0,MPS05122018,47,68.56,0.0,0.908664,TRYMKFT00018,9082354.0,580677.71,639045.39
3,599459.2,2018-12-16T10:14:54,10000000.0,2018-12-06,MPS,1087869156.0,MPS06122018,52,388.31,0.0,0.911846,TRYMKFT00018,9090530.0,595117.66,652651.39
4,607075.72,2018-12-17T10:14:59,10000000.0,2018-12-07,MPS,1087869156.0,MPS07122018,54,60.57,0.0,0.906218,TRYMKFT00018,9098706.0,604385.84,666932.39
5,605843.47,2018-12-20T10:14:57,10000000.0,2018-12-10,MPS,1087869156.0,MPS10122018,53,105.58,0.0,0.904918,TRYMKFT00018,9170246.0,603518.98,666932.39
6,604818.98,2018-12-21T10:14:56,10000000.0,2018-12-11,MPS,1087869156.0,MPS11122018,53,61.89,0.0,0.897431,TRYMKFT00018,9194774.0,602398.99,671248.39
7,731440.33,2018-12-22T10:14:55,10000000.0,2018-12-12,MPS,1087869156.0,MPS12122018,52,97.73,0.0,0.891659,TRYMKFT00018,9219302.0,598422.98,671134.39
8,847141.27,2018-12-23T10:14:54,10000000.0,2018-12-13,MPS,1087869156.0,MPS13122018,51,84.82,0.0,0.863851,TRYMKFT00018,9227478.0,708263.33,819890.39
9,714491.2,2018-12-24T10:14:53,10000000.0,2018-12-14,MPS,1087869156.0,MPS14122018,50,292.34,0.0,0.868692,TRYMKFT00018,9235655.0,712235.13,819893.39
10,702762.91,2018-12-27T10:14:57,10000000.0,2018-12-17,MPS,1087869156.0,MPS17122018,50,243.88,0.0,0.854127,TRYMKFT00018,9307194.0,699951.16,819493.39
11,724979.73,2018-12-28T10:14:59,10000000.0,2018-12-18,MPS,1087869156.0,MPS18122018,49,21.55,0.0,0.851754,TRYMKFT00018,9332639.0,698006.52,819493.39
12,726984.14,2018-12-29T10:14:58,10000000.0,2018-12-19,MPS,1087869156.0,MPS19122018,50,24.96,0.0,0.854517,TRYMKFT00018,9357167.0,700274.65,819497.39
13,709249.09,2018-12-30T10:14:58,10000000.0,2018-12-20,MPS,1087869156.0,MPS20122018,50,133.18,0.0,0.862553,TRYMKFT00018,9365342.0,706859.72,819497.39
14,711953.31,2018-12-31T10:15:00,10000000.0,2018-12-21,MPS,1087869156.0,MPS21122018,51,28.97,0.0,0.865246,TRYMKFT00018,9373518.0,709090.71,819525.39
15,710749.64,2019-01-03T10:14:57,10000000.0,2018-12-24,MPS,1087869156.0,MPS24122018,52,37.62,0.0,0.86352,TRYMKFT00018,9425640.0,707685.2,819535.39
16,711975.59,2019-01-04T10:14:57,10000000.0,2018-12-25,MPS,1087869156.0,MPS25122018,52,39.35,0.0,0.86493,TRYMKFT00018,9450168.0,708842.6,819537.39
17,707605.17,2019-01-05T10:14:56,10000000.0,2018-12-26,MPS,1087869156.0,MPS26122018,53,67.02,0.0,0.859512,TRYMKFT00018,9473674.0,704430.02,819569.39
18,708784.92,2019-01-06T10:14:55,10000000.0,2018-12-27,MPS,1087869156.0,MPS27122018,53,88.51,0.0,0.860866,TRYMKFT00018,9480828.0,705561.3,819594.39
19,708790.23,2019-01-07T10:15:00,10000000.0,2018-12-28,MPS,1087869156.0,MPS28122018,53,88.51,0.0,0.860788,TRYMKFT00018,9487983.0,696018.62,808583.39
20,697242.19,2019-01-10T10:14:57,10000000.0,2018-12-31,MPS,1087869156.0,MPS31122018,51,43.04,0.0,0.857929,TRYMKFT00018,9556457.0,693663.58,808532.39
21,703284.49,2019-01-12T10:14:58,10000000.0,2019-01-02,MPS,1087869156.0,MPS02012019,50,60.57,0.0,0.865307,TRYMKFT00018,9604387.0,699628.59,808532.39
22,663431.12,2019-01-13T10:14:57,10000000.0,2019-01-03,MPS,1087869156.0,MPS03012019,50,60.57,0.0,0.851061,TRYMKFT00018,9612563.0,688110.68,808532.39
23,691799.79,2019-01-14T10:14:59,10000000.0,2019-01-04,MPS,1087869156.0,MPS04012019,53,77.06,0.0,0.83899,TRYMKFT00018,9620739.0,686253.43,817951.39
24,727155.85,2019-01-17T10:14:57,10000000.0,2019-01-07,MPS,1087869156.0,MPS07012019,53,11.6,0.0,0.847333,TRYMKFT00018,9692279.0,693077.26,817951.39
25,700028.95,2019-01-18T10:14:56,10000000.0,2019-01-08,MPS,1087869156.0,MPS08012019,54,105.89,0.0,0.852726,TRYMKFT00018,9717829.0,693759.47,813578.39
26,699967.55,2019-01-19T10:14:55,10000000.0,2019-01-09,MPS,1087869156.0,MPS09012019,53,29.99,0.0,0.856304,TRYMKFT00018,9742357.0,692646.6,808879.39
27,701984.1,2019-01-20T10:14:54,10000000.0,2019-01-10,MPS,1087869156.0,MPS10012019,53,47.0,0.0,0.860528,TRYMKFT00018,9750533.0,698618.11,811848.39
28,771446.64,2019-01-21T10:14:59,10000000.0,2019-01-11,MPS,1087869156.0,MPS11012019,53,517.96,0.0,0.861746,TRYMKFT00018,9758709.0,768546.72,891848.39
29,773463.07,2019-01-24T10:14:57,10000000.0,2019-01-14,MPS,1087869156.0,MPS14012019,53,64.03,0.0,0.863263,TRYMKFT00018,9830249.0,769865.44,891808.39
30,817585.46,2019-01-25T10:14:56,10000000.0,2019-01-15,MPS,1087869156.0,MPS15012019,54,5.03,0.0,0.86186,TRYMKFT00018,9855799.0,768635.91,891833.39
31,759696.07,2019-01-26T10:14:55,10000000.0,2019-01-16,MPS,1087869156.0,MPS16012019,54,81.02,0.0,0.863982,TRYMKFT00018,9880327.0,770527.58,891833.39
32,719308.21,2019-01-27T10:14:57,10000000.0,2019-01-17,MPS,1087869156.0,MPS17012019,54,129.15,0.0,0.869477,TRYMKFT00018,9888400.0,724108.65,832809.39
33,729261.06,2019-01-28T10:14:59,10000000.0,2019-01-18,MPS,1087869156.0,MPS18012019,55,258.56,0.0,0.871502,TRYMKFT00018,9896576.0,725799.81,832814.39
34,736387.64,2019-01-31T10:14:57,10000000.0,2019-01-21,MPS,1087869156.0,MPS21012019,55,258.56,0.0,0.879796,TRYMKFT00018,9968116.0,732706.62,832814.39
35,737813.36,2019-02-01T10:14:56,10000000.0,2019-01-22,MPS,1087869156.0,MPS22012019,58,216.45,0.0,0.880672,TRYMKFT00018,9993666.0,734027.97,833486.39
36,740705.54,2019-02-02T10:14:55,10000000.0,2019-01-23,MPS,1087869156.0,MPS23012019,58,216.45,0.0,0.884079,TRYMKFT00018,10018194.0,731545.37,827466.39
37,743268.69,2019-02-03T10:14:54,10000000.0,2019-01-24,MPS,1087869156.0,MPS24012019,59,225.76,0.0,0.88744,TRYMKFT00018,10026370.0,739345.55,833121.39
38,752132.01,2019-02-04T10:15:00,10000000.0,2019-01-25,MPS,1087869156.0,MPS25012019,60,226.74,0.0,0.897384,TRYMKFT00018,10034546.0,748135.05,833684.39
39,749263.47,2019-02-07T10:14:57,10000000.0,2019-01-28,MPS,1087869156.0,MPS28012019,62,233.02,0.0,0.893652,TRYMKFT00018,10106086.0,739976.11,828036.39
40,744954.25,2019-02-08T10:14:56,10000000.0,2019-01-29,MPS,1087869156.0,MPS29012019,61,254.8,0.0,0.894394,TRYMKFT00018,10131636.0,740624.98,828074.39
41,749603.86,2019-02-09T10:14:55,10000000.0,2019-01-30,MPS,1087869156.0,MPS30012019,61,258.43,0.0,0.899927,TRYMKFT00018,10156166.0,744202.02,826958.39
42,756976.3,2019-02-10T10:14:54,10000000.0,2019-01-31,MPS,1087869156.0,MPS31012019,60,152.27,0.0,0.909823,TRYMKFT00018,10164340.0,751386.91,825860.39
43,751905.8,2019-02-11T10:14:53,10000000.0,2019-02-01,MPS,1087869156.0,MPS01022019,58,367.8,0.0,0.905109,TRYMKFT00018,10172516.0,747540.7,825912.39
44,810556.2,2019-02-14T10:14:58,10000000.0,2019-02-04,MPS,1087869156.0,MPS04022019,60,495.42,0.0,0.898572,TRYMKFT00018,10244056.0,736728.65,819888.39
45,900366.37,2019-02-15T10:14:57,10000000.0,2019-02-05,MPS,1087869156.0,MPS05022019,59,119929.56,0.0,0.899051,TRYMKFT00018,10269606.0,912334.27,1014774.39
46,984483.17,2019-02-16T10:14:56,10000000.0,2019-02-06,MPS,1087869156.0,MPS06022019,58,9431.65,0.0,0.895303,TRYMKFT00018,10294134.0,908620.25,1014874.39
47,955971.44,2019-02-17T10:15:00,10000000.0,2019-02-07,MPS,1087869156.0,MPS07022019,59,498.44,0.0,0.89683,TRYMKFT00018,10302207.0,910202.07,1014910.39
48,917879.82,2019-02-18T10:14:58,10000000.0,2019-02-08,MPS,1087869156.0,MPS08022019,60,991.53,0.0,0.901951,TRYMKFT00018,10310383.0,915309.66,1014811.39
49,907845.76,2019-02-21T10:14:57,10000000.0,2019-02-11,MPS,1087869156.0,MPS11022019,60,890.72,0.0,0.903109,TRYMKFT00018,10381923.0,916485.5,1014811.39
50,923225.18,2019-02-22T10:14:56,10000000.0,2019-02-12,MPS,1087869156.0,MPS12022019,60,316.27,0.0,0.917558,TRYMKFT00018,10407472.0,931216.19,1014885.39
