,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,34382374.39,2018-12-13T10:14:57,200000000.0,2018-12-03,ODV,200000000.0,ODV03122018,280,98614.83,0.0,1.386829,TRYAKPO00237,9032283.0,36125250.51,26048816.0
1,34772830.12,2018-12-14T10:14:56,200000000.0,2018-12-04,ODV,200000000.0,ODV04122018,278,43948.96,1917212.59,1.389737,TRYAKPO00237,9057833.0,35956437.67,25872844.0
2,34457331.89,2018-12-15T10:14:55,200000000.0,2018-12-05,ODV,200000000.0,ODV05122018,278,57285.18,1453877.77,1.392217,TRYAKPO00237,9082361.0,35700379.23,25642819.0
3,34294226.42,2018-12-16T10:14:54,200000000.0,2018-12-06,ODV,200000000.0,ODV06122018,276,58869.8,1507951.68,1.39643,TRYAKPO00237,9090537.0,35808363.27,25642798.0
4,35991134.96,2018-12-17T10:14:59,200000000.0,2018-12-07,ODV,200000000.0,ODV07122018,271,58587.99,3231096.64,1.395448,TRYAKPO00237,9098713.0,35755943.12,25623277.0
5,35714314.34,2018-12-20T10:14:57,200000000.0,2018-12-10,ODV,200000000.0,ODV10122018,268,58381.51,3196371.26,1.394406,TRYAKPO00237,9170253.0,34730709.3,24907172.0
6,35488264.16,2018-12-21T10:14:56,200000000.0,2018-12-11,ODV,200000000.0,ODV11122018,268,57445.22,3631381.22,1.393414,TRYAKPO00237,9194781.0,34631322.91,24853585.0
7,35577261.22,2018-12-22T10:14:55,200000000.0,2018-12-12,ODV,200000000.0,ODV12122018,266,58372.57,3639271.88,1.396754,TRYAKPO00237,9219309.0,34713887.51,24853262.0
8,34759730.73,2018-12-23T10:14:54,200000000.0,2018-12-13,ODV,200000000.0,ODV13122018,266,58293.07,2805690.08,1.397363,TRYAKPO00237,9227485.0,34728825.1,24853119.0
9,34715896.82,2018-12-24T10:14:53,200000000.0,2018-12-14,ODV,200000000.0,ODV14122018,265,58206.3,2732717.16,1.39857,TRYAKPO00237,9235662.0,34758825.76,24853119.0
10,34724572.11,2018-12-27T10:14:57,200000000.0,2018-12-17,ODV,200000000.0,ODV17122018,262,58350.71,2737304.68,1.398846,TRYAKPO00237,9307201.0,34715299.97,24817100.0
11,34732769.21,2018-12-28T10:14:59,200000000.0,2018-12-18,ODV,200000000.0,ODV18122018,262,58445.21,2739777.82,1.399115,TRYAKPO00237,9332647.0,34621530.97,24745300.0
12,34760295.7,2018-12-29T10:14:58,200000000.0,2018-12-19,ODV,200000000.0,ODV19122018,262,57986.29,2741726.58,1.400183,TRYAKPO00237,9357175.0,34456436.06,24608527.0
13,34752610.01,2018-12-30T10:14:58,200000000.0,2018-12-20,ODV,200000000.0,ODV20122018,261,57772.76,2836809.74,1.401653,TRYAKPO00237,9365350.0,34270320.7,24449930.0
14,33982427.76,2018-12-31T10:15:00,200000000.0,2018-12-21,ODV,200000000.0,ODV21122018,260,57455.97,3918462.8,1.404807,TRYAKPO00237,9373526.0,34306570.51,24420850.0
15,34444800.49,2019-01-03T10:14:57,200000000.0,2018-12-24,ODV,200000000.0,ODV24122018,258,58229.04,4379347.17,1.405111,TRYAKPO00237,9425648.0,34320364.09,24425373.0
16,34334967.57,2019-01-04T10:14:57,200000000.0,2018-12-25,ODV,200000000.0,ODV25122018,257,58204.46,4272725.78,1.405047,TRYAKPO00237,9450176.0,34328755.16,24432452.0
17,34332544.98,2019-01-05T10:14:56,200000000.0,2018-12-26,ODV,200000000.0,ODV26122018,255,57637.22,4246977.97,1.406091,TRYAKPO00237,9473682.0,34133371.4,24275367.0
18,34332700.44,2019-01-06T10:14:55,200000000.0,2018-12-27,ODV,200000000.0,ODV27122018,255,57943.57,4254341.51,1.405839,TRYAKPO00237,9480836.0,34132905.65,24279392.0
