,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,6966005.53,2018-12-13T10:14:57,0.0,2018-12-03,OHB,1500000000.0,OHB03122018,35,4770.28,0.0,0.947244,TRYOYKP00039,9032287.0,6530210.44,6893907
1,6526114.59,2018-12-14T10:14:56,0.0,2018-12-04,OHB,1500000000.0,OHB04122018,36,5922.84,0.0,0.944052,TRYOYKP00039,9057837.0,6509349.03,6895115
2,6459995.28,2018-12-15T10:14:55,0.0,2018-12-05,OHB,1500000000.0,OHB05122018,37,7889.34,0.0,0.931323,TRYOYKP00039,9082365.0,6433870.77,6908314
3,6418806.56,2018-12-16T10:14:54,0.0,2018-12-06,OHB,1500000000.0,OHB06122018,37,4651.64,0.0,0.929442,TRYOYKP00039,9090541.0,6420875.45,6908314
4,6349290.73,2018-12-17T10:14:59,0.0,2018-12-07,OHB,1500000000.0,OHB07122018,37,5193.15,0.0,0.919404,TRYOYKP00039,9098717.0,6350650.06,6907358
5,6414512.97,2018-12-20T10:14:57,0.0,2018-12-10,OHB,1500000000.0,OHB10122018,36,5898.75,0.0,0.928918,TRYOYKP00039,9170257.0,6416349.66,6907338
6,6345744.21,2018-12-21T10:14:56,0.0,2018-12-11,OHB,1500000000.0,OHB11122018,35,5984.08,0.0,0.918904,TRYOYKP00039,9194785.0,6334158.38,6893166
7,6321752.68,2018-12-22T10:14:55,0.0,2018-12-12,OHB,1500000000.0,OHB12122018,35,4376.8,0.0,0.917046,TRYOYKP00039,9219313.0,6318836.44,6890426
8,6193523.16,2018-12-23T10:14:54,0.0,2018-12-13,OHB,1500000000.0,OHB13122018,34,4388.81,0.0,0.89963,TRYOYKP00039,9227489.0,6198836.15,6890426
9,6255061.45,2018-12-24T10:14:53,0.0,2018-12-14,OHB,1500000000.0,OHB14122018,35,4053.79,0.0,0.90847,TRYOYKP00039,9235666.0,6259877.3,6890574
10,6204005.38,2018-12-27T10:14:57,0.0,2018-12-17,OHB,1500000000.0,OHB17122018,36,4674.87,0.0,0.900112,TRYOYKP00039,9307205.0,6202331.03,6890620
11,6170709.11,2018-12-28T10:14:59,0.0,2018-12-18,OHB,1500000000.0,OHB18122018,35,4468.11,0.0,0.89629,TRYOYKP00039,9332652.0,6175995.65,6890620
12,6242519.63,2018-12-29T10:14:58,0.0,2018-12-19,OHB,1500000000.0,OHB19122018,37,4206.76,0.0,0.906568,TRYOYKP00039,9357180.0,6246889.7,6890705
13,6339166.08,2018-12-30T10:14:58,0.0,2018-12-20,OHB,1500000000.0,OHB20122018,36,10512.14,0.0,0.920303,TRYOYKP00039,9365355.0,6341538.92,6890705
14,6307328.28,2018-12-31T10:15:00,0.0,2018-12-21,OHB,1500000000.0,OHB21122018,36,10050.03,0.0,0.915538,TRYOYKP00039,9373531.0,6308703.29,6890705
15,6312056.19,2019-01-03T10:14:57,0.0,2018-12-24,OHB,1500000000.0,OHB24122018,36,9590.94,0.0,0.915924,TRYOYKP00039,9425653.0,6311364.47,6890705
16,6364021.57,2019-01-04T10:14:57,0.0,2018-12-25,OHB,1500000000.0,OHB25122018,37,9267.81,0.0,0.914244,TRYOYKP00039,9450181.0,6299788.6,6890711
17,6328348.28,2019-01-05T10:14:56,0.0,2018-12-26,OHB,1500000000.0,OHB26122018,37,8828.52,0.0,0.908923,TRYOYKP00039,9473687.0,6263041.33,6890621
18,6458254.64,2019-01-06T10:14:55,0.0,2018-12-27,OHB,1500000000.0,OHB27122018,37,8591.11,0.0,0.91035,TRYOYKP00039,9480841.0,6272875.03,6890621
19,6412758.69,2019-01-07T10:15:00,0.0,2018-12-28,OHB,1500000000.0,OHB28122018,37,8123.92,0.0,0.909041,TRYOYKP00039,9487996.0,6263662.31,6890405
20,6236573.61,2019-01-10T10:14:57,0.0,2018-12-31,OHB,1500000000.0,OHB31122018,35,7348.84,0.0,0.905166,TRYOYKP00039,9556470.0,6236940.47,6890384
21,6316820.63,2019-01-12T10:14:58,1500000000.0,2019-01-02,OHB,1500000000.0,OHB02012019,34,7670.32,691899.25,0.911327,TRYOYKP00039,9604400.0,6279390.55,6890384
22,6145734.03,2019-01-13T10:14:57,0.0,2019-01-03,OHB,1500000000.0,OHB03012019,35,9756.08,0.0,0.891141,TRYOYKP00039,9612576.0,6140398.17,6890493
23,6099954.15,2019-01-14T10:14:59,1500000000.0,2019-01-04,OHB,1500000000.0,OHB04012019,36,10465.12,660425.84,0.878765,TRYOYKP00039,9620752.0,6055377.18,6890779
24,6200807.92,2019-01-17T10:14:57,0.0,2019-01-07,OHB,1500000000.0,OHB07012019,35,4933.35,0.0,0.893941,TRYOYKP00039,9692292.0,6159951.95,6890779
25,6230883.08,2019-01-18T10:14:56,0.0,2019-01-08,OHB,1500000000.0,OHB08012019,35,5599.88,0.0,0.904092,TRYOYKP00039,9717842.0,6229900.0,6890779
26,6261112.02,2019-01-19T10:14:55,0.0,2019-01-09,OHB,1500000000.0,OHB09012019,35,5975.51,0.0,0.908482,TRYOYKP00039,9742370.0,6260048.17,6890668
27,6223138.04,2019-01-20T10:14:54,0.0,2019-01-10,OHB,1500000000.0,OHB10012019,34,5641.35,0.0,0.909732,TRYOYKP00039,9750546.0,6268659.08,6890668
28,6228800.21,2019-01-21T10:14:59,0.0,2019-01-11,OHB,1500000000.0,OHB11012019,34,5019.48,0.0,0.910411,TRYOYKP00039,9758722.0,6273342.6,6890668
29,6324878.8,2019-01-24T10:14:57,0.0,2019-01-14,OHB,1500000000.0,OHB14012019,34,5574.28,0.0,0.915414,TRYOYKP00039,9830262.0,6307817.4,6890668
30,6332299.45,2019-01-25T10:14:56,0.0,2019-01-15,OHB,1500000000.0,OHB15012019,34,5664.09,0.0,0.917999,TRYOYKP00039,9855812.0,6325623.46,6890668
31,6379010.67,2019-01-26T10:14:55,0.0,2019-01-16,OHB,1500000000.0,OHB16012019,34,5805.73,0.0,0.926794,TRYOYKP00039,9880340.0,6386219.34,6890658
32,6532882.55,2019-01-27T10:14:57,0.0,2019-01-17,OHB,1500000000.0,OHB17012019,33,5734.35,0.0,0.949434,TRYOYKP00039,9888413.0,6542224.46,6890658
33,6776089.27,2019-01-28T10:14:59,0.0,2019-01-18,OHB,1500000000.0,OHB18012019,33,6008.04,0.0,0.962124,TRYOYKP00039,9896589.0,6629666.56,6890658
34,6827299.14,2019-01-31T10:14:57,0.0,2019-01-21,OHB,1500000000.0,OHB21012019,33,5615.05,0.0,0.974666,TRYOYKP00039,9968129.0,6716087.62,6890658
35,6637813.65,2019-02-01T10:14:56,0.0,2019-01-22,OHB,1500000000.0,OHB22012019,34,5165.26,0.0,0.969638,TRYOYKP00039,9993679.0,6681492.57,6890710
36,6697033.93,2019-02-02T10:14:55,0.0,2019-01-23,OHB,1500000000.0,OHB23012019,33,5383.43,0.0,0.985597,TRYOYKP00039,10018207.0,6791455.27,6890703
37,6641954.65,2019-02-03T10:14:54,0.0,2019-01-24,OHB,1500000000.0,OHB24012019,33,5904.32,0.0,0.988724,TRYOYKP00039,10026383.0,6813186.63,6890891
38,6833699.19,2019-02-04T10:15:00,0.0,2019-01-25,OHB,1500000000.0,OHB25012019,34,5989.74,0.0,1.002849,TRYOYKP00039,10034559.0,6920663.85,6901004
39,6901666.27,2019-02-07T10:14:57,0.0,2019-01-28,OHB,1500000000.0,OHB28012019,35,6174.57,0.0,1.003405,TRYOYKP00039,10106099.0,6924537.66,6901043
40,6760311.6,2019-02-08T10:14:56,0.0,2019-01-29,OHB,1500000000.0,OHB29012019,36,6612.33,0.0,0.999107,TRYOYKP00039,10131649.0,6895186.06,6901349
41,6969752.29,2019-02-09T10:14:55,0.0,2019-01-30,OHB,1500000000.0,OHB30012019,36,6368.65,0.0,1.02247,TRYOYKP00039,10156179.0,7056425.24,6901349
42,4829310.91,2019-02-10T10:14:54,0.0,2019-01-31,OHB,1500000000.0,OHB31012019,36,6546.88,0.0,1.024373,TRYOYKP00039,10164353.0,7069553.57,6901349
43,4799243.24,2019-02-11T10:14:53,0.0,2019-02-01,OHB,1500000000.0,OHB01022019,36,6202.36,0.0,1.025134,TRYOYKP00039,10172529.0,4340718.75,4234296
44,4286286.55,2019-02-14T10:14:58,0.0,2019-02-04,OHB,1500000000.0,OHB04022019,36,6471.84,0.0,1.015538,TRYOYKP00039,10244069.0,4300257.29,4234464
45,4193085.13,2019-02-15T10:14:57,0.0,2019-02-05,OHB,1500000000.0,OHB05022019,36,6131.25,0.0,1.012274,TRYOYKP00039,10269619.0,4286458.93,4234486
