,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,1687013.92,2018-12-13T10:14:57,0.0,2018-12-03,OKD,1500000000.0,OKD03122018,88,3953.22,0.0,0.025534,TRYOYMD00072,9032288.0,1683978.27,65949640.0
1,1684760.07,2018-12-14T10:14:56,0.0,2018-12-04,OKD,1500000000.0,OKD04122018,88,5580.91,0.0,0.025523,TRYOYMD00072,9057838.0,1683239.37,65949640.0
2,1675309.07,2018-12-15T10:14:55,0.0,2018-12-05,OKD,1500000000.0,OKD05122018,88,6782.2,0.0,0.025442,TRYOYMD00072,9082366.0,1677879.58,65949640.0
3,1670173.9,2018-12-16T10:14:54,0.0,2018-12-06,OKD,1500000000.0,OKD06122018,88,5109.73,0.0,0.025379,TRYOYMD00072,9090542.0,1673706.13,65949640.0
4,1639569.44,2018-12-17T10:14:59,0.0,2018-12-07,OKD,1500000000.0,OKD07122018,88,4334.35,0.0,0.02532,TRYOYMD00072,9098718.0,1669812.28,65949640.0
5,1645290.97,2018-12-20T10:14:57,0.0,2018-12-10,OKD,1500000000.0,OKD10122018,88,4613.63,0.0,0.025405,TRYOYMD00072,9170258.0,1675476.12,65949640.0
6,1670608.13,2018-12-21T10:14:56,0.0,2018-12-11,OKD,1500000000.0,OKD11122018,88,4717.9,0.0,0.025371,TRYOYMD00072,9194786.0,1673187.36,65949666.0
7,1672322.45,2018-12-22T10:14:55,0.0,2018-12-12,OKD,1500000000.0,OKD12122018,89,3963.55,0.0,0.025384,TRYOYMD00072,9219314.0,1673020.31,65909676.0
8,1647366.81,2018-12-23T10:14:54,0.0,2018-12-13,OKD,1500000000.0,OKD13122018,89,5693.39,0.0,0.025108,TRYOYMD00072,9227490.0,1655359.69,65929385.0
9,1655092.98,2018-12-24T10:14:53,0.0,2018-12-14,OKD,1500000000.0,OKD14122018,89,4934.39,0.0,0.025212,TRYOYMD00072,9235667.0,1662240.01,65929385.0
10,1652469.87,2018-12-27T10:14:57,0.0,2018-12-17,OKD,1500000000.0,OKD17122018,90,5861.68,0.0,0.025111,TRYOYMD00072,9307206.0,1655546.69,65930295.0
11,1648315.89,2018-12-28T10:14:59,0.0,2018-12-18,OKD,1500000000.0,OKD18122018,89,5590.42,0.0,0.025049,TRYOYMD00072,9332653.0,1651010.15,65910598.0
12,1646079.02,2018-12-29T10:14:58,0.0,2018-12-19,OKD,1500000000.0,OKD19122018,88,5343.07,0.0,0.025134,TRYOYMD00072,9357181.0,1656616.18,65910659.0
13,1652934.74,2018-12-30T10:14:58,0.0,2018-12-20,OKD,1500000000.0,OKD20122018,88,6910.02,0.0,0.025251,TRYOYMD00072,9365356.0,1664292.39,65910659.0
14,1659698.97,2018-12-31T10:15:00,0.0,2018-12-21,OKD,1500000000.0,OKD21122018,89,6971.31,0.0,0.025233,TRYOYMD00072,9373532.0,1663181.35,65912639.0
15,1662854.53,2019-01-03T10:14:57,0.0,2018-12-24,OKD,1500000000.0,OKD24122018,89,6222.64,0.0,0.025262,TRYOYMD00072,9425654.0,1665075.78,65912631.0
16,1681389.99,2019-01-04T10:14:57,0.0,2018-12-25,OKD,1500000000.0,OKD25122018,88,6001.72,0.0,0.025264,TRYOYMD00072,9450182.0,1665210.32,65912631.0
17,1677625.21,2019-01-05T10:14:56,0.0,2018-12-26,OKD,1500000000.0,OKD26122018,89,6254.56,0.0,0.025208,TRYOYMD00072,9473688.0,1661527.83,65912665.0
