,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,26573746.19,2018-12-13T10:14:57,0.0,2018-12-03,OKT,5000000000.0,OKT03122018,307,11099.3,0.0,0.019542,TRYOYMD00064,9032289.0,26556139.17,1358944676.0
1,25808163.03,2018-12-14T10:14:56,0.0,2018-12-04,OKT,5000000000.0,OKT04122018,304,14596.54,0.0,0.019556,TRYOYMD00064,9057839.0,25792972.66,1318910282.0
2,27188085.19,2018-12-15T10:14:55,0.0,2018-12-05,OKT,5000000000.0,OKT05122018,303,16642.43,0.0,0.019575,TRYOYMD00064,9082367.0,27173803.37,1388221709.0
3,27977300.94,2018-12-16T10:14:54,0.0,2018-12-06,OKT,5000000000.0,OKT06122018,308,6204.3,0.0,0.01959,TRYOYMD00064,9090543.0,27976877.93,1428134321.0
4,28426464.38,2018-12-17T10:14:59,0.0,2018-12-07,OKT,5000000000.0,OKT07122018,310,7311.8,0.0,0.019603,TRYOYMD00064,9098719.0,28425960.06,1450052931.0
5,28610389.46,2018-12-20T10:14:57,0.0,2018-12-10,OKT,5000000000.0,OKT10122018,311,12196.36,0.0,0.019641,TRYOYMD00064,9170259.0,28611180.29,1456695090.0
6,28964739.39,2018-12-21T10:14:56,0.0,2018-12-11,OKT,5000000000.0,OKT11122018,313,11336.46,0.0,0.019653,TRYOYMD00064,9194787.0,28963459.43,1473709688.0
7,29196421.21,2018-12-22T10:14:55,0.0,2018-12-12,OKT,5000000000.0,OKT12122018,313,10069.84,0.0,0.019661,TRYOYMD00064,9219315.0,29192654.32,1484765606.0
8,29029470.3,2018-12-23T10:14:54,0.0,2018-12-13,OKT,5000000000.0,OKT13122018,315,27086.6,0.0,0.019669,TRYOYMD00064,9227491.0,29041506.07,1476491350.0
9,29578737.13,2018-12-24T10:14:53,0.0,2018-12-14,OKT,5000000000.0,OKT14122018,317,12877.24,0.0,0.019684,TRYOYMD00064,9235668.0,29575327.49,1502533895.0
10,29522833.94,2018-12-27T10:14:57,0.0,2018-12-17,OKT,5000000000.0,OKT17122018,317,12531.76,0.0,0.019727,TRYOYMD00064,9307207.0,29515377.93,1496176981.0
11,29724266.42,2018-12-28T10:14:59,0.0,2018-12-18,OKT,5000000000.0,OKT18122018,318,11571.92,0.0,0.019742,TRYOYMD00064,9332654.0,29714549.79,1505177323.0
12,29808807.55,2018-12-29T10:14:58,0.0,2018-12-19,OKT,5000000000.0,OKT19122018,317,12191.81,0.0,0.019756,TRYOYMD00064,9357182.0,29798406.6,1508316384.0
13,29818156.04,2018-12-30T10:14:58,0.0,2018-12-20,OKT,5000000000.0,OKT20122018,323,13446.43,0.0,0.019768,TRYOYMD00064,9365357.0,29807705.12,1507840461.0
14,30360273.71,2018-12-31T10:15:00,0.0,2018-12-21,OKT,5000000000.0,OKT21122018,325,14294.08,0.0,0.019781,TRYOYMD00064,9373533.0,30349343.57,1534242826.0
15,30008274.0,2019-01-03T10:14:57,0.0,2018-12-24,OKT,5000000000.0,OKT24122018,322,13823.85,0.0,0.019814,TRYOYMD00064,9425655.0,29992936.85,1513743234.0
16,30115122.08,2019-01-04T10:14:57,0.0,2018-12-25,OKT,5000000000.0,OKT25122018,323,14553.4,0.0,0.019831,TRYOYMD00064,9450183.0,30099197.89,1517759537.0
17,30279268.83,2019-01-05T10:14:56,0.0,2018-12-26,OKT,5000000000.0,OKT26122018,325,13280.16,0.0,0.019788,TRYOYMD00064,9473689.0,30260748.18,1529258920.0
18,30585084.76,2019-01-06T10:14:55,0.0,2018-12-27,OKT,5000000000.0,OKT27122018,326,12630.33,0.0,0.019802,TRYOYMD00064,9480843.0,30564578.58,1543473746.0
19,29881396.32,2019-01-07T10:15:00,0.0,2018-12-28,OKT,5000000000.0,OKT28122018,322,12124.57,0.0,0.019841,TRYOYMD00064,9487998.0,29859077.68,1504927129.0
20,29851349.65,2019-01-10T10:14:57,0.0,2018-12-31,OKT,5000000000.0,OKT31122018,319,11345.25,0.0,0.019888,TRYOYMD00064,9556472.0,29824431.66,1499610984.0
21,29999419.97,2019-01-12T10:14:58,50000000.0,2019-01-02,OKT,5000000000.0,OKT02012019,320,11188.54,2909781.78,0.019909,TRYOYMD00064,9604402.0,29968372.52,1505267304.0
22,29967616.71,2019-01-13T10:14:57,0.0,2019-01-03,OKT,5000000000.0,OKT03012019,319,14038.66,0.0,0.01994,TRYOYMD00064,9612578.0,29938175.92,1501424147.0
