,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,6460611.13,2018-12-13T10:14:57,100000000.0,2018-12-03,OSD,10000000000.0,OSD03122018,99,6839.69,230439.52,1.478053,TRYOSMP00029,9032290.0,6490303.49,4391117.0
1,6460814.43,2018-12-14T10:14:56,100000000.0,2018-12-04,OSD,10000000000.0,OSD04122018,99,10738.17,220141.34,1.479188,TRYOSMP00029,9057840.0,6496684.83,4392062.0
2,6735709.76,2018-12-15T10:14:55,100000000.0,2018-12-05,OSD,10000000000.0,OSD05122018,99,2520.38,290186.72,1.480236,TRYOSMP00029,9082368.0,6765521.08,4570570.0
3,7099726.98,2018-12-16T10:14:54,100000000.0,2018-12-06,OSD,10000000000.0,OSD06122018,102,7236.86,900573.56,1.481298,TRYOSMP00029,9090544.0,7133781.56,4815900.0
4,7214300.87,2018-12-17T10:14:59,100000000.0,2018-12-07,OSD,10000000000.0,OSD07122018,104,2971.82,720459.78,1.482343,TRYOSMP00029,9098720.0,7250168.35,4891021.0
5,7233796.59,2018-12-20T10:14:57,100000000.0,2018-12-10,OSD,10000000000.0,OSD10122018,104,3778.31,771482.7,1.485325,TRYOSMP00029,9170260.0,7269075.24,4893929.0
6,7242621.1,2018-12-21T10:14:56,100000000.0,2018-12-11,OSD,10000000000.0,OSD11122018,107,4514.55,820532.46,1.486061,TRYOSMP00029,9194788.0,7278176.9,4897630.0
7,7384521.47,2018-12-22T10:14:55,100000000.0,2018-12-12,OSD,10000000000.0,OSD12122018,111,6293.56,720466.62,1.486504,TRYOSMP00029,9219316.0,7421382.44,4992507.0
8,7394669.86,2018-12-23T10:14:54,100000000.0,2018-12-13,OSD,10000000000.0,OSD13122018,110,2341.99,240153.86,1.487576,TRYOSMP00029,9227492.0,7427103.07,4992755.0
9,7439459.98,2018-12-24T10:14:53,100000000.0,2018-12-14,OSD,10000000000.0,OSD14122018,108,6741.58,320205.58,1.48845,TRYOSMP00029,9235669.0,7475819.95,5022553.0
10,7458615.27,2018-12-27T10:14:57,100000000.0,2018-12-17,OSD,10000000000.0,OSD17122018,106,4231.63,160315.62,1.49162,TRYOSMP00029,9307208.0,7491050.53,5022092.0
11,7552843.59,2018-12-28T10:14:59,100000000.0,2018-12-18,OSD,10000000000.0,OSD18122018,106,3249.23,340220.3,1.492516,TRYOSMP00029,9332655.0,7583818.52,5081231.0
