,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,13915831.48,2018-12-13T10:14:57,30000000.0,2018-12-03,OSL,3000000000.0,OSL03122018,632,4475.12,3390189.18,0.020979,TRYONCM00010,9032291.0,13892969.78,662247683.0
1,14872661.19,2018-12-14T10:14:56,30000000.0,2018-12-04,OSL,3000000000.0,OSL04122018,640,22964.59,4681587.0,0.020993,TRYONCM00010,9057841.0,14871002.4,708372791.0
2,14658571.27,2018-12-15T10:14:55,30000000.0,2018-12-05,OSL,3000000000.0,OSL05122018,630,4676.14,3957894.34,0.021006,TRYONCM00010,9082369.0,14640482.04,696979642.0
3,13467156.25,2018-12-16T10:14:54,30000000.0,2018-12-06,OSL,3000000000.0,OSL06122018,617,4707.68,2676300.36,0.021019,TRYONCM00010,9090545.0,13500897.0,642333884.0
4,13379893.85,2018-12-17T10:14:59,30000000.0,2018-12-07,OSL,3000000000.0,OSL07122018,609,4410.31,2696828.6,0.021033,TRYONCM00010,9098721.0,13375396.91,635935308.0
5,13726358.47,2018-12-20T10:14:57,30000000.0,2018-12-10,OSL,3000000000.0,OSL10122018,621,6311.88,3136234.8,0.021073,TRYONCM00010,9170261.0,13721542.46,651140477.0
6,13893597.13,2018-12-21T10:14:56,30000000.0,2018-12-11,OSL,3000000000.0,OSL11122018,621,4283.68,3516834.36,0.021086,TRYONCM00010,9194789.0,13885940.57,658533077.0
7,14403198.6,2018-12-22T10:14:55,30000000.0,2018-12-12,OSL,3000000000.0,OSL12122018,630,10072.56,4218272.18,0.021096,TRYONCM00010,9219317.0,14400493.64,682623043.0
8,13647284.34,2018-12-23T10:14:54,30000000.0,2018-12-13,OSL,3000000000.0,OSL13122018,630,3257.66,3295530.38,0.021108,TRYONCM00010,9227493.0,13637068.49,646066239.0
9,13949100.74,2018-12-24T10:14:53,30000000.0,2018-12-14,OSL,3000000000.0,OSL14122018,630,6306.71,3346860.32,0.021119,TRYONCM00010,9235670.0,13941094.64,660133711.0
10,13102406.62,2018-12-27T10:14:57,30000000.0,2018-12-17,OSL,3000000000.0,OSL17122018,622,5406.61,2534912.02,0.021158,TRYONCM00010,9307209.0,13164756.37,622212492.0
11,14120757.84,2018-12-28T10:14:59,30000000.0,2018-12-18,OSL,3000000000.0,OSL18122018,634,9591.38,3815819.7,0.021168,TRYONCM00010,9332656.0,14016891.22,662185076.0
12,13456756.7,2018-12-29T10:14:58,30000000.0,2018-12-19,OSL,3000000000.0,OSL19122018,630,3199.51,2432872.18,0.021171,TRYONCM00010,9357184.0,13441926.72,634913853.0
13,12894675.2,2018-12-30T10:14:58,30000000.0,2018-12-20,OSL,3000000000.0,OSL20122018,620,6586.98,2192609.38,0.021183,TRYONCM00010,9365359.0,12983747.67,612946230.0
14,13084485.92,2018-12-31T10:15:00,30000000.0,2018-12-21,OSL,3000000000.0,OSL21122018,623,3283.6,2792984.66,0.021189,TRYONCM00010,9373535.0,13210514.05,623465216.0
15,13189478.98,2019-01-03T10:14:57,30000000.0,2018-12-24,OSL,3000000000.0,OSL24122018,637,3489.93,3116893.94,0.021219,TRYONCM00010,9425657.0,13574649.77,639731510.0
16,13558541.83,2019-01-04T10:14:57,30000000.0,2018-12-25,OSL,3000000000.0,OSL25122018,633,2059.92,3489665.46,0.021227,TRYONCM00010,9450185.0,13537975.55,637772189.0
17,13292813.48,2019-01-05T10:14:56,30000000.0,2018-12-26,OSL,3000000000.0,OSL26122018,639,5590.0,3120785.46,0.021238,TRYONCM00010,9473691.0,13382222.13,630094026.0
18,13391727.38,2019-01-06T10:14:55,30000000.0,2018-12-27,OSL,3000000000.0,OSL27122018,629,5135.26,3108081.42,0.02125,TRYONCM00010,9480845.0,13372675.85,629292973.0
19,13199991.54,2019-01-07T10:15:00,30000000.0,2018-12-28,OSL,3000000000.0,OSL28122018,631,6649.49,3292165.94,0.021267,TRYONCM00010,9488000.0,13181724.9,619824382.0
20,13325163.31,2019-01-10T10:14:57,30000000.0,2018-12-31,OSL,3000000000.0,OSL31122018,633,6446.83,3610314.0,0.021301,TRYONCM00010,9556474.0,13414701.32,629765955.0
