,record_id,kisi_sayisi,record_date,price,aktif_deger,data_date,tedavuldeki_pay_sayisi,fund_code
0,OTK03122018,0,2020-09-21T18:03:30.295,1.176696,594231.32,2018-12-03,505000,OTK
1,OTK04122018,0,2020-09-21T18:03:30.302,1.1774,594587.0,2018-12-04,505000,OTK
2,OTK05122018,0,2020-09-21T18:03:30.311,1.178105,594942.89,2018-12-05,505000,OTK
3,OTK06122018,0,2020-09-21T18:03:30.317,1.17881,595299.06,2018-12-06,505000,OTK
4,OTK07122018,0,2020-09-21T18:03:30.323,1.179516,595655.48,2018-12-07,505000,OTK
5,OTK10122018,0,2020-09-21T18:03:30.328,1.179765,595781.44,2018-12-10,505000,OTK
6,OTK11122018,0,2020-09-21T18:03:30.332,1.180334,596068.75,2018-12-11,505000,OTK
7,OTK12122018,0,2020-09-21T18:03:30.339,1.181043,596426.54,2018-12-12,505000,OTK
8,OTK13122018,0,2020-09-21T18:03:30.344,1.181752,596784.54,2018-12-13,505000,OTK
9,OTK14122018,0,2020-09-21T18:03:30.348,1.182461,597142.82,2018-12-14,505000,OTK
10,OTK17122018,0,2020-09-21T18:03:30.356,1.184592,598219.15,2018-12-17,505000,OTK
11,OTK18122018,0,2020-09-21T18:03:30.361,1.185211,598531.67,2018-12-18,505000,OTK
12,OTK19122018,0,2020-09-21T18:03:30.369,1.185907,598883.27,2018-12-19,505000,OTK
13,OTK20122018,0,2020-09-21T18:03:30.373,1.186604,599235.1,2018-12-20,505000,OTK
14,OTK21122018,0,2020-09-21T18:03:30.377,1.187301,599587.21,2018-12-21,505000,OTK
15,OTK24122018,0,2020-09-21T18:03:30.385,1.189051,600470.76,2018-12-24,505000,OTK
16,OTK25122018,0,2020-09-21T18:03:30.389,1.189675,600786.02,2018-12-25,505000,OTK
17,OTK26122018,0,2020-09-21T18:03:30.403,1.190367,601135.41,2018-12-26,505000,OTK
18,OTK27122018,0,2020-09-21T18:03:30.407,1.19106,601485.25,2018-12-27,505000,OTK
19,OTK28122018,0,2020-09-21T18:03:30.412,1.191754,601835.66,2018-12-28,505000,OTK
20,OTK31122018,0,2020-09-21T18:03:30.418,1.193877,602907.74,2018-12-31,505000,OTK
21,OTK02012019,0,2020-09-21T18:15:27.434,1.195216,603583.84,2019-01-02,505000,OTK
22,OTK03012019,0,2020-09-21T18:15:27.43,1.195526,603740.85,2019-01-03,505000,OTK
23,OTK04012019,0,2020-09-21T18:15:27.427,1.19609,604025.31,2019-01-04,505000,OTK
24,OTK07012019,0,2020-09-21T18:15:27.423,1.196526,604245.56,2019-01-07,505000,OTK
25,OTK08012019,0,2020-09-21T18:15:27.42,1.197093,604532.03,2019-01-08,505000,OTK
26,OTK09012019,0,2020-09-21T18:15:27.416,1.197657,604816.69,2019-01-09,505000,OTK
27,OTK10012019,0,2020-09-21T18:15:27.412,1.198098,605039.69,2019-01-10,505000,OTK
28,OTK11012019,0,2020-09-21T18:15:27.409,1.198663,605324.67,2019-01-11,505000,OTK
