,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,962086.43,2018-12-13T10:14:57,0.0,2018-12-03,RBH,1000000000.0,RBH03122018,11,13088.44,0.0,0.968412,TRYAPYS00023,9032301.0,972116.1,1003825.0
1,968752.04,2018-12-14T10:14:56,0.0,2018-12-04,RBH,1000000000.0,RBH04122018,11,13091.35,0.0,0.974955,TRYAPYS00023,9057851.0,978686.75,1003828.0
2,959608.14,2018-12-15T10:14:55,0.0,2018-12-05,RBH,1000000000.0,RBH05122018,11,13091.35,0.0,0.965722,TRYAPYS00023,9082379.0,966511.58,1000818.0
3,971137.89,2018-12-16T10:14:54,0.0,2018-12-06,RBH,1000000000.0,RBH06122018,9,10115.38,0.0,0.977144,TRYAPYS00023,9090555.0,977943.53,1000818.0
4,957132.22,2018-12-17T10:14:59,0.0,2018-12-07,RBH,1000000000.0,RBH07122018,9,8726.76,0.0,0.963054,TRYAPYS00023,9098731.0,963890.33,1000868.0
5,959157.41,2018-12-20T10:14:57,0.0,2018-12-10,RBH,1000000000.0,RBH10122018,10,8849.07,0.0,0.964788,TRYAPYS00023,9170271.0,965748.06,1000995.0
6,949145.27,2018-12-21T10:14:56,0.0,2018-12-11,RBH,1000000000.0,RBH11122018,10,8840.58,0.0,0.95469,TRYAPYS00023,9194799.0,955640.35,1000995.0
7,918884.95,2018-12-22T10:14:55,0.0,2018-12-12,RBH,1000000000.0,RBH12122018,10,8840.58,0.0,0.953106,TRYAPYS00023,9219327.0,954054.63,1000995.0
8,897882.75,2018-12-23T10:14:54,0.0,2018-12-13,RBH,1000000000.0,RBH13122018,10,8801.78,0.0,0.932032,TRYAPYS00023,9227503.0,932959.13,1000995.0
9,940018.82,2018-12-24T10:14:53,0.0,2018-12-14,RBH,1000000000.0,RBH14122018,10,6846.46,0.0,0.94338,TRYAPYS00023,9235680.0,944321.11,1000998.0
10,923598.59,2018-12-27T10:14:57,0.0,2018-12-17,RBH,1000000000.0,RBH17122018,10,6846.46,0.0,0.926698,TRYAPYS00023,9307219.0,927622.55,1000998.0
11,916845.02,2018-12-28T10:14:59,0.0,2018-12-18,RBH,1000000000.0,RBH18122018,12,6503.99,0.0,0.919464,TRYAPYS00023,9332666.0,920397.73,1001016.0
12,920361.84,2018-12-29T10:14:58,0.0,2018-12-19,RBH,1000000000.0,RBH19122018,12,6557.32,0.0,0.922884,TRYAPYS00023,9357194.0,923875.49,1001074.0
13,932916.22,2018-12-30T10:14:58,0.0,2018-12-20,RBH,1000000000.0,RBH20122018,12,6557.32,0.0,0.935332,TRYAPYS00023,9365369.0,936336.23,1001074.0
14,928082.19,2018-12-31T10:15:00,0.0,2018-12-21,RBH,1000000000.0,RBH21122018,12,6557.32,0.0,0.93041,TRYAPYS00023,9373545.0,931409.05,1001074.0
15,928598.19,2019-01-03T10:14:57,0.0,2018-12-24,RBH,1000000000.0,RBH24122018,12,6557.32,0.0,0.930646,TRYAPYS00023,9425667.0,931645.52,1001074.0
16,922563.18,2019-01-04T10:14:57,0.0,2018-12-25,RBH,1000000000.0,RBH25122018,13,9820.22,0.0,0.927328,TRYAPYS00023,9450195.0,928777.99,1001564.0
17,914005.61,2019-01-05T10:14:56,0.0,2018-12-26,RBH,1000000000.0,RBH26122018,12,9810.91,0.0,0.918692,TRYAPYS00023,9473701.0,920128.4,1001564.0
18,912698.79,2019-01-06T10:14:55,0.0,2018-12-27,RBH,1000000000.0,RBH27122018,13,9830.2,0.0,0.917294,TRYAPYS00023,9480855.0,918289.69,1001085.0
19,910280.82,2019-01-07T10:15:00,0.0,2018-12-28,RBH,1000000000.0,RBH28122018,12,9370.85,0.0,0.914788,TRYAPYS00023,9488010.0,915780.14,1001085.0
20,908125.55,2019-01-10T10:14:57,0.0,2018-12-31,RBH,1000000000.0,RBH31122018,13,9401.03,0.0,0.912451,TRYAPYS00023,9556484.0,913470.98,1001118.0
21,919388.16,2019-01-12T10:14:58,0.0,2019-01-02,RBH,1000000000.0,RBH02012019,13,8673.99,0.0,0.923472,TRYAPYS00023,9604414.0,924508.88,1001123.0
