,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,710078.16,2018-12-13T10:14:57,1000000000.0,2018-12-03,RBK,1000000000.0,RBK03122018,9,39310.48,0.0,0.898864,TRYAPYS00031,9032302.0,749002.63,833277
1,714509.11,2018-12-14T10:14:56,1000000000.0,2018-12-04,RBK,1000000000.0,RBK04122018,9,39518.51,0.0,0.904341,TRYAPYS00031,9057852.0,753566.25,833277
2,723092.31,2018-12-15T10:14:55,1000000000.0,2018-12-05,RBK,1000000000.0,RBK05122018,9,40024.35,0.0,0.915157,TRYAPYS00031,9082380.0,762579.03,833277
3,732792.13,2018-12-16T10:14:54,1000000000.0,2018-12-06,RBK,1000000000.0,RBK06122018,9,40617.36,0.0,0.927455,TRYAPYS00031,9090556.0,772826.91,833277
4,731890.47,2018-12-17T10:14:59,1000000000.0,2018-12-07,RBK,1000000000.0,RBK07122018,9,39640.88,0.0,0.926187,TRYAPYS00031,9098732.0,771770.68,833277
5,729785.54,2018-12-20T10:14:57,1000000000.0,2018-12-10,RBK,1000000000.0,RBK10122018,10,39446.71,0.0,0.923124,TRYAPYS00031,9170272.0,769240.79,833302
6,726655.8,2018-12-21T10:14:56,1000000000.0,2018-12-11,RBK,1000000000.0,RBK11122018,10,38532.71,0.0,0.918944,TRYAPYS00031,9194800.0,765706.95,833247
7,733809.56,2018-12-22T10:14:55,1000000000.0,2018-12-12,RBK,1000000000.0,RBK12122018,9,38912.25,0.0,0.927953,TRYAPYS00031,9219328.0,773213.7,833247
8,735530.17,2018-12-23T10:14:54,1000000000.0,2018-12-13,RBK,1000000000.0,RBK13122018,9,38952.7,0.0,0.93002,TRYAPYS00031,9227504.0,774936.07,833247
9,736034.37,2018-12-24T10:14:53,1000000000.0,2018-12-14,RBK,1000000000.0,RBK14122018,9,38985.58,0.0,0.930515,TRYAPYS00031,9235681.0,775395.61,833297
10,737877.29,2018-12-27T10:14:57,1000000000.0,2018-12-17,RBK,1000000000.0,RBK17122018,9,39046.87,0.0,0.932521,TRYAPYS00031,9307220.0,777066.68,833297
11,739324.67,2018-12-28T10:14:59,1000000000.0,2018-12-18,RBK,1000000000.0,RBK18122018,9,39085.27,0.0,0.934206,TRYAPYS00031,9332667.0,778474.61,833301
