,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,761398.05,2018-12-13T10:14:57,1000000000.0,2018-12-03,RBT,1000000000.0,RBT03122018,22,12138.44,0.0,1.032439,TRYAPYS00056,9032303.0,771198.94,746968
1,761887.9,2018-12-14T10:14:56,1000000000.0,2018-12-04,RBT,1000000000.0,RBT04122018,23,12238.59,0.0,1.033003,TRYAPYS00056,9057853.0,771720.62,747065
2,762365.71,2018-12-15T10:14:55,1000000000.0,2018-12-05,RBT,1000000000.0,RBT05122018,23,13271.6,0.0,1.033551,TRYAPYS00056,9082381.0,773163.07,748065
3,762845.82,2018-12-16T10:14:54,1000000000.0,2018-12-06,RBT,1000000000.0,RBT06122018,24,19237.77,0.0,1.034097,TRYAPYS00056,9090557.0,779574.37,753870
4,765494.83,2018-12-17T10:14:59,1000000000.0,2018-12-07,RBT,1000000000.0,RBT07122018,24,16378.25,0.0,1.034656,TRYAPYS00056,9098733.0,779995.9,753870
5,766963.69,2018-12-20T10:14:57,1000000000.0,2018-12-10,RBT,1000000000.0,RBT10122018,24,18447.56,0.0,1.036326,TRYAPYS00056,9170273.0,783328.0,755870
6,767453.81,2018-12-21T10:14:56,1000000000.0,2018-12-11,RBT,1000000000.0,RBT11122018,24,18432.54,0.0,1.036864,TRYAPYS00056,9194801.0,783734.4,755870
7,767944.26,2018-12-22T10:14:55,1000000000.0,2018-12-12,RBT,1000000000.0,RBT12122018,24,18432.54,0.0,1.037422,TRYAPYS00056,9219329.0,784156.15,755870
8,778676.33,2018-12-23T10:14:54,1000000000.0,2018-12-13,RBT,1000000000.0,RBT13122018,24,8159.89,0.0,1.037939,TRYAPYS00056,9227505.0,784546.84,755870
9,779413.07,2018-12-24T10:14:53,1000000000.0,2018-12-14,RBT,1000000000.0,RBT14122018,25,8449.47,0.0,1.038822,TRYAPYS00056,9235682.0,785504.4,756149
10,779484.18,2018-12-27T10:14:57,1000000000.0,2018-12-17,RBT,1000000000.0,RBT17122018,26,13452.25,0.0,1.040623,TRYAPYS00056,9307221.0,790371.56,759518
11,781538.26,2018-12-28T10:14:59,1000000000.0,2018-12-18,RBT,1000000000.0,RBT18122018,25,11873.22,0.0,1.041256,TRYAPYS00056,9332668.0,790777.69,759446
12,781847.8,2018-12-29T10:14:58,1000000000.0,2018-12-19,RBT,1000000000.0,RBT19122018,24,7402.07,0.0,1.041575,TRYAPYS00056,9357196.0,786547.29,755152
13,782339.63,2018-12-30T10:14:58,1000000000.0,2018-12-20,RBT,1000000000.0,RBT20122018,27,7810.38,0.0,1.042135,TRYAPYS00056,9365371.0,787378.61,755544
14,782726.46,2018-12-31T10:15:00,1000000000.0,2018-12-21,RBT,1000000000.0,RBT21122018,28,8013.49,0.0,1.042693,TRYAPYS00056,9373547.0,787899.72,755639
15,784287.93,2019-01-03T10:14:57,1000000000.0,2018-12-24,RBT,1000000000.0,RBT24122018,28,8013.49,0.0,1.044486,TRYAPYS00056,9425669.0,789254.55,755639
16,782996.59,2019-01-04T10:14:57,1000000000.0,2018-12-25,RBT,1000000000.0,RBT25122018,29,8212.99,0.0,1.042687,TRYAPYS00056,9450197.0,788093.88,755830
17,785358.83,2019-01-05T10:14:56,1000000000.0,2018-12-26,RBT,1000000000.0,RBT26122018,28,7911.66,0.0,1.045722,TRYAPYS00056,9473703.0,790085.88,755541
18,815984.62,2019-01-06T10:14:55,1000000000.0,2018-12-27,RBT,1000000000.0,RBT27122018,30,2918.56,0.0,1.046293,TRYAPYS00056,9480857.0,815648.87,779561
19,816336.3,2019-01-07T10:15:00,1000000000.0,2018-12-28,RBT,1000000000.0,RBT28122018,30,2918.56,0.0,1.046654,TRYAPYS00056,9488012.0,815930.84,779561
20,817834.26,2019-01-10T10:14:57,1000000000.0,2018-12-31,RBT,1000000000.0,RBT31122018,30,2918.56,0.0,1.048307,TRYAPYS00056,9556486.0,817219.54,779561
21,818855.2,2019-01-12T10:14:58,1000000000.0,2019-01-02,RBT,1000000000.0,RBT02012019,30,2186.96,0.0,1.049109,TRYAPYS00056,9604416.0,817844.53,779561
22,819372.01,2019-01-13T10:14:57,1000000000.0,2019-01-03,RBT,1000000000.0,RBT03012019,30,2565.69,0.0,1.049739,TRYAPYS00056,9612592.0,818714.28,779922
23,819890.08,2019-01-14T10:14:59,1000000000.0,2019-01-04,RBT,1000000000.0,RBT04012019,29,2411.95,0.0,1.050308,TRYAPYS00056,9620768.0,819038.93,779808
24,821427.76,2019-01-17T10:14:57,1000000000.0,2019-01-07,RBT,1000000000.0,RBT07012019,27,4470.56,0.0,1.051992,TRYAPYS00056,9692308.0,822413.7,781768
25,801320.29,2019-01-18T10:14:56,1000000000.0,2019-01-08,RBT,1000000000.0,RBT08012019,27,2120.66,0.0,1.052565,TRYAPYS00056,9717858.0,799883.18,759937
