,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,8920617.2,2018-12-13T10:14:57,0.0,2018-12-03,SUA,1500000000.0,SUA03122018,94,901.45,2643117.0,0.046391,TRYDUUM00010,9032325.0,11589308.58,249820474.0
1,11943760.14,2018-12-14T10:14:56,0.0,2018-12-04,SUA,1500000000.0,SUA04122018,97,1008.41,5673658.31,0.04646,TRYDUUM00010,9057874.0,11935490.78,256897487.0
2,12670017.14,2018-12-15T10:14:55,0.0,2018-12-05,SUA,1500000000.0,SUA05122018,101,994.18,2001290.41,0.046517,TRYDUUM00010,9082402.0,12709635.22,273226607.0
3,13041734.4,2018-12-16T10:14:54,0.0,2018-12-06,SUA,1500000000.0,SUA06122018,103,880.49,2501561.64,0.046558,TRYDUUM00010,9090578.0,13181858.86,283128326.0
4,13386212.98,2018-12-17T10:14:59,0.0,2018-12-07,SUA,1500000000.0,SUA07122018,109,703.43,2501589.04,0.046513,TRYDUUM00010,9098754.0,13443503.24,289025454.0
5,14200863.69,2018-12-20T10:14:57,0.0,2018-12-10,SUA,1500000000.0,SUA10122018,113,1093.03,2605032.6,0.046566,TRYDUUM00010,9170294.0,14150414.14,303880605.0
6,15219306.9,2018-12-21T10:14:56,0.0,2018-12-11,SUA,1500000000.0,SUA11122018,113,204.84,9475148.36,0.046587,TRYDUUM00010,9194822.0,15201731.67,326310431.0
7,16059956.93,2018-12-22T10:14:55,0.0,2018-12-12,SUA,1500000000.0,SUA12122018,115,868.76,9010773.07,0.046602,TRYDUUM00010,9219350.0,15925170.34,341727949.0
8,16042429.88,2018-12-23T10:14:54,0.0,2018-12-13,SUA,1500000000.0,SUA13122018,112,356.86,8996727.14,0.046607,TRYDUUM00010,9227526.0,12612935.99,270624240.0
9,12573866.89,2018-12-24T10:14:53,0.0,2018-12-14,SUA,1500000000.0,SUA14122018,108,621.63,5600534.54,0.0467,TRYDUUM00010,9235703.0,12348867.21,264430124.0
10,12337392.27,2018-12-27T10:14:57,0.0,2018-12-17,SUA,1500000000.0,SUA17122018,105,720.45,5358197.83,0.046689,TRYDUUM00010,9307242.0,12327183.14,264029419.0
11,12394524.11,2018-12-28T10:14:59,0.0,2018-12-18,SUA,1500000000.0,SUA18122018,107,676.06,5417470.89,0.046721,TRYDUUM00010,9332689.0,9110885.55,195006823.0
12,9106074.32,2018-12-29T10:14:58,0.0,2018-12-19,SUA,1500000000.0,SUA19122018,105,284.28,1213774.33,0.046664,TRYDUUM00010,9357217.0,8808600.34,188767405.0
13,8713148.11,2018-12-30T10:14:58,0.0,2018-12-20,SUA,1500000000.0,SUA20122018,103,594.98,1880189.17,0.046672,TRYDUUM00010,9365392.0,8625087.21,184804097.0
14,8755474.38,2018-12-31T10:15:00,0.0,2018-12-21,SUA,1500000000.0,SUA21122018,101,1046.44,1000635.62,0.046689,TRYDUUM00010,9373568.0,8311588.09,178021994.0
15,8584302.15,2019-01-03T10:14:57,0.0,2018-12-24,SUA,1500000000.0,SUA24122018,101,1008.67,1001923.29,0.046752,TRYDUUM00010,9425690.0,8322624.8,178017874.0
16,8454173.44,2019-01-04T10:14:57,0.0,2018-12-25,SUA,1500000000.0,SUA25122018,100,785.44,1359865.66,0.046819,TRYDUUM00010,9450218.0,8290612.05,177077339.0
